식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
HDD피자 성수점,6.6.금,1,"핫치킨피자는 매콤한 소스에 치즈가 듬뿍 올라가 자꾸 손이 가는 맛이었고, 트러플포테이토는 풍미가 고급스러워 만족스러웠어요.
두 가지 피자 조합이 자극적이면서도 균형이 좋아서 맥주랑 궁합도 딱입니다.
도우도 바삭해서 끝까지 맛있게 먹었어요!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",점심에 방문
HDD피자 성수점,5.27.화,1,wow 미국식피자느낌 대박..헤비함이 가득해요 ㅋㅋㅋ 그만큼 맛없을 수가 없는 피자입니다. 웨이팅 왜 하는지 알거같은...감자도 튀긴감자가 올라가더라고요. 트러플향 제대로 나서 좋았습니다. 핫치킨은 상당히 매콤해요!,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 혼밥하기 좋아요",저녁에 방문
HDD피자 성수점,5.25.일,1,"트러플 감자 피자 먹으러 주기적으로 방문 중입니다!! 진짜 맛있어요 ㅎㅎ 반반피자로 먹다가 오늘은 한판은 트러플 감자만 주문했는데 역시 존맛이요
성수 근처 오실 일 있으면 hdd피자 추천! 한강에 테이크아웃해서 가져가기도 좋을 거 같아요","인테리어가 멋져요, 음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
HDD피자 성수점,5.23.금,1,"HDD 트러플 감자 & 핫치킨 반반 피자 먹어봤는데, 조합이 꽤 괜찮았어요.
트러플 감자는 은은한 향에 고소한 감자 토핑이 부드럽고, 핫치킨은 매콤해서 반전 매력!
한 판에 두 가지 맛 즐길 수 있어 만족도 굿입니다!!","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 뷰가 좋아요",점심에 방문
HDD피자 성수점,5.15.목,1,"성수동 핫플 구경하다가 캐주얼한 식사 원하시면 들르기 좋은 피자집이에요.
피자가 짜지 않고 담백한 편이라 부모님과 함께 먹기도 좋구요. 두명이 함께 먹기 좋은 사이즈였어요. 두가지맛 피자 선택해서 주문할 수 있으니 각자의 취향대로 하나씩 고를 수 있어요. 저는 너무 짜지 않아서 진짜 맛있게 먹었어요.","음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요",저녁에 방문
HDD피자 성수점,5.8.목,1,"피자가 건강한 도우에 소화 잘되는 맛이라 너무 맛있게 즐겼어요 비쥬얼도 좋은데 맛까지 다 잡은 곳! 친구랑 성수동 나들이 갔다가 여유 좋게 피자를 즐기고 왔어요
대신 사람들이 많이 다니는 거리에 위치하고 있어 웨이팅 있을 수 있으니 식사시간 전 후로 가시는게 좋을 것 같아요 ㅎㅎ","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 가성비가 좋아요, 건강한 맛이에요",점심에 방문
HDD피자 성수점,5.2.금,1,"이미 피자 맛집으로 유명한 HDD 피자 방문했는데
도우가 두꺼운데 완전 쫀득쫀득해서 너무 맛있었어요!
하루에 한정수량으로 도우를 만드시던데
믿고 드셔도 될것같아요 !! 성수 1티어 피자집이에요!!하프앤하프로 트러플포테이토, 핫치킨 시켰는데
트러플 맛이 느끼하지않게 은은하게 나면서 두가지 감자가(포테이토팝, 얇게썬 감자) 있어서 너무 맛있었어요!
핫치킨은 위에올라간 치킨튀김(?) 같은게 담백하니 맛있고 얇게 썬 닭 가슴살도 있어서 맛있었어요!!
제가 좋아하는 양파도 듬뿍 들어가있네요💕
살짝 매콤해서 트러플 포테이토랑 환상의 조합이에요!!
웨이팅이 아깝지 않을 정도의 맛이니
무조건 드세요 !! 너무 맛있어요 👍
접기","매장이 청결해요, 음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
HDD피자 성수점,5.9.금,1,"성수까지 피자 먹으러 HDD피자 찾아왔움 ㅎㅎ

여기는 제가 세번째 방문하는 곳이에요!!
소스가 듬뿍 올라가 있어서 맛있어요.

핫치킨이랑 트러플 포테이토 조합 넘 마싯네용
분위기도 힙하고 평일 저녁에 방문하니
웨이팅도 없이 편하게 잘먹었습니다 ~~~
접기","음식이 맛있어요, 인테리어가 멋져요",저녁에 방문
HDD피자 성수점,5.1.목,1,"성수동 피자 맛집으로 워낙 유명해서 전부터 궁금했는데 평일 낮에 방문해봤어요! 가장 유명한 트러플 감자랑 핫치킨으로 주문했는데 도우, 치즈, 소스 전부 너무 맛있더라구요 특히 트러플향이 너무 취향이라 또 먹고 싶어졌어요... 성수 데이트 핫플이라 커플이나 친구들끼리 가기에 너무 좋을 것 같아요 피자 좋아하신다면 강추👍","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",점심에 방문
HDD피자 성수점,5.14.수,1,"포장했는데 와 사람 진짜 많고… 진짜루 핫플이에요
기대했는데 기대보다 너무 맛있어서 입이 쩌억 벌어졌어요 와 진짜 진짜 피자맛집 🍕🍕🍕 레전드
그자리에서 바로 먹으면 더 맛있겠지만 사람이 넘 많아서 포장했는데 집와서 먹어도 존맛이네요 휴","인테리어가 멋져요, 사진이 잘 나와요, 음식이 맛있어요, 특별한 메뉴가 있어요, 음식이 빨리 나와요",점심에 방문
