식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
건대 숯불부자곱창,6.2.월,1,"테이블 간격도 넓고 곱창집이 깔끔해서 더욱 믿음이 가더라구요. 곱창집은 다닥다닥 간격도 붙어 있고 시끄럽고, 심지어 깔끔하지 못한 집도 많은데 이 집은 굳굳굳! 심지어 의자도 편합니다. 생마늘 소곱창 1인분과 소곱창 1인분 주문했고 소곱창 다 먹은 뒤는 볶음밥으로 마무리했지요. 소곱창이 꼬들꼬들 식감도 좋고, 신선한 곱도 많아서 맛있어요! 무엇보다도 양도 대박많아서 정말 푸짐하게 먹었습니다^^","고기 질이 좋아요, 음식이 맛있어요, 잡내가 적어요, 재료가 신선해요, 매장이 넓어요"
건대 숯불부자곱창,5.30.금,1,"와 지나가다가 냄새가 너무 좋아서 들어갔는데
웬걸 너무 맛있어요… 안질기고 부드럽고 냄새 하나도 안나고 맛있습니다ㅜㅜ

그리고 다들 너무 친절하시고, 얼그레이 하이볼이 미친놈입미다 다른데랑은 다른 맛이니까 꼭꼭 드셔보세요ㅜㅜ 마늘소곱창+모듬 조합입니댜🖤

재방문의사 200% 앞으로 건대에서 소곱창은 여기로 하려구요 ㅎㅎ
접기","매장이 넓어요, 친절해요, 음식이 맛있어요, 잡내가 적어요, 비싼 만큼 가치있어요"
건대 숯불부자곱창,6.3.화,1,"검색해서 찾아왔어요! 소모둠으로 시켜서 먹었는데
진짜 인생 식당..💛 곱창 막창 대창 다 맛있어요 진짜로..🔥
전체적으로 매장 깔끔하고 다 구워져서 나와서
엄청 편하고 좋았습니다! 다음에 또 올게요! 🙌🙌
(+그리고 묵사발 꼭 드세요! 진짜 1개 시켰다가 2개 추가했어요)
접기","매장이 넓어요, 고기 질이 좋아요, 음식이 맛있어요, 친절해요, 매장이 청결해요"
건대 숯불부자곱창,6.6.금,1,"우연히 들어왔는데
마늘곱창 맛있게 먹었어요~~

곱창 안에 통마늘이 들어있는건데
곱 안에 곱이 적고 마늘만 있는거 아닌가 하는 합리적 궁금증이 있었어요~~

아이들이 아주 맛있게 먹었어요~~
치즈곱창도 궁금하네요~~~^^
접기","음식이 맛있어요, 인테리어가 멋져요, 매장이 청결해요"
건대 숯불부자곱창,5.29.목,2,"건대 사는데 늘 오는 곱창집은 여기뿐입니다
강추드려요 제일 맛집이에요🩷","음식이 맛있어요, 고기 질이 좋아요, 단체모임 하기 좋아요, 뷰가 좋아요, 야외공간이 멋져요"
건대 숯불부자곱창,5.31.토,1,"넓은 매장에 직원분들도 아주 친절한 곱창집이네요
곱창이 잡내도 없이 이주 맛있고 다른 곳 대비 가성비도 좋네요.
다시 방문하고 싶네요!","음식이 맛있어요, 잡내가 적어요, 매장이 넓어요, 친절해요, 매장이 청결해요"
건대 숯불부자곱창,6.3.화,1,"양대창이랑 소곱창 한끼뚝딱ㅎ
염통이 진짜 맛있어요!
밑반찬도 맛나고 소곱창 드시면 간,천엽도 1회 줍니당~","음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 매장이 넓어요, 매장이 청결해요"
건대 숯불부자곱창,6.1.일,1,전에 왔는데 너무 맛있어서 또 방문했어요 건대 오면 무조건 와야 하는 곱창입니다!! 곱도 많고 직원분들도 너무 친절하세요 볶음밥 필수입니다 정말 맛있어요 🥺❤️,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
건대 숯불부자곱창,3.28.금,7,"곱창전골은 국물 맛이 깊고 진한 맛이 일품이에용!!
저는 음식 비린내에 예민한편인데 곱창도 신선하고 부드러워서, 먹을 때마다 입안에서 사르르 녹아요~~~~
맛 뿐만 아니라, 사장님께서 너무 친절하게 맞아주시는거같아용
이런 따뜻한 분위기 덕분에 더욱 기분 좋게 식사를
마칠 수 있는곳이에요! n번째 방문자의 리뷰이니 믿먹!!
정말 추천합니다!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요"
건대 숯불부자곱창,6.11.수,1,너무 맛있게 잘 먹고 가겠습니다!!! 미리 구워져서 나와서 편리해용 🥰🥰🥰 사장님도 너무 친절하세요 ㅎㅎ 다음에 또 올게요~~!!,"음식이 맛있어요, 고기 질이 좋아요, 친절해요, 매장이 청결해요, 직접 잘 구워줘요"
