식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
고로고로 성수,6.9.월,1,"문도픽사 갔다가 주변에서 뭐먹을까 하다가 오게 된 고로고로 성수점!
입구부터 너무 일본에 온 것 처럼 아기자기하게 자판기로 느낌을 살려줘서 감탄부터 나왔습니다!
고로고로 스페셜이랑 참치뱃살로 주문해서 먹었는데
김에다가 밥이랑 회 올려놓고 간장에 찍어먹으면 되는데 와사비랑 같이 먹으면 진짜..대박입니다
더 대박인건 먹다가 밥이 3분의 1정도 남았을때 오차즈케 무료로 주문하면 부어주는데
이게 진짜 무쳤습니다.. 이게 진짜 너무 맛있어서 감탄하면서 먹었습니다
우연히 온 곳에서 이런 맛집 발견이라니 🥹
진짜 행복한 맛점 했습니다
눈도 즐겁고 맛도 👍🏻👍🏻👍🏻 다음에 성수점 오면 또 올 의사 100000%입니다!!
너무 많이 대박나진 말아주세여..🥲
접기","음식이 맛있어요, 인테리어가 멋져요, 뷰가 좋아요, 아늑해요, 사진이 잘 나와요",저녁에 방문
고로고로 성수,5.25.일,1,"교육일정이나 전시 공연 외 서울 나들이가 뜸한 편이었는데 이 곳 때문에 서울에 다녀왔어요~

전부터 굉장히 가보고 싶었던 곳이었고
방문하니 오길 잘했다 라는 생각이 드는 대한민국 맛집 이었네요❤️

제가 선호하는 메뉴이기도 하고 비주얼로 보나 맛으로 보나
빠질 수 없는 굉장한 식당 입니다~

주말이여서 브레이크 타임이 없는 관계로
16시 경 하였고, waiting 없이 착석 할 수 있었어요~

어느 메뉴 하나 딱 집어서 추천 드리기 어려울 정도로
여긴 다 맛있을 것 같습니다. 맛 보장이 확실할 것 같습니다. ❤️

음식 힐링 제대로 하고 갑니다💝
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요",저녁에 방문
고로고로 성수,6.1.일,1,오늘 맛있는데서 먹고 싶어서 검색하다 예약 후 방문했는데 재료도 신선하고 맛의 조합들이 너무 좋아서 너무 맛있게 먹었어요 기본 이꾸라덮밥도 정말 맛있는데 금태덮밥이 진짜 너무 맛있어서..ㅎㅎ 이거 꼭 다들 드셔보셨으면 하네요,음식이 맛있어요,점심에 방문
고로고로 성수,5.31.토,1,"단새우랑 참치가 신선해서 너무 맛있게 잘먹었습니다
예약하고오기는 했는데 예약안해도 대기없이 먹을수 있는거 같습니다
복작복작한 성수에서 조용하게 잘먹었습니다!
마지막에 먹는 오차츠케가 킥이네용❤️
접기","인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요",점심에 방문
고로고로 성수,5.24.토,1,"성수에서 카이센동이 먹고 싶어서 검색해서 찾아왔어요. 매장 인테리어도 일본 감성 물씬 나고 넓고 깨끗해서 좋았어요. 고로고로,참치뱃살 주문했는데 회가 너무 신선하고 양념 간도 딱 맞아서 한 입 먹자마자 행복했습니다..🤤 마지막 오차즈케 꼭 드세요! 국물에 말아먹으면 마무리까지 완벽합니다… 담에 또 올게요ㅎ_ㅎ","친절해요, 매장이 청결해요, 음식이 맛있어요, 재료가 신선해요, 매장이 넓어요",저녁에 방문
고로고로 성수,5.29.목,1,기대하고 왔지만 기대 이상이네요 ☺️ 여태 먹었던 카이센동들 중 상급이에요 🩷 친절하셔서 기분 좋고 다시마도미육수도 끝내줍니다 👍성수오면 꼬옥 들르세요 💜 저는 종종 올듯 해요 재방 각입니다 호호,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
고로고로 성수,5.11.일,1,"비주얼에 이끌려 오게되었어요!!
일본에서 먹던 맛일까 하며 왔는데 맛있게 먹었습니다💕 장어덮밥이 개인적으로 제일 맛있었어요!
매장 분위기도 넘 좋고 다음엔 사케나 생맥주도 같이 먹어보고싶네요! 데이트 장소로 추천합니다","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
고로고로 성수,6.9.월,1,장어덮밥은 살이 오동통하고 밥이 찰져서 맛있었고 고로고로 참치뱃살 덮밥은 연어알이 입에서 터지는 식감이 너무 좋았어요 ! 오챠즈케까지 야무지게 말아먹고 갑니다 맛있게 잘 먹었어요 👀❤️‍🔥❤️‍🔥❤️‍🔥,"혼밥하기 좋아요, 친절해요, 음식이 맛있어요, 특별한 메뉴가 있어요, 반찬이 잘 나와요",점심에 방문
고로고로 성수,5.17.토,1,"장어 덮밥이 엄청 마싯음^^ 잔뼈가 있지만 신경 안쓰일정도! 특히 여기서 주시는 고추냉이랑 너어어어무 잘어울림 완죤 잘머것음~
이꾸리덮밥은 사골국물? 을 부어먹게 해주시는게 완전 진국임 냉면그릇으로 먹고싶음.. 저걸로 떡국 낋여오너라 하고싶음..","음식이 맛있어요, 친절해요",점심에 방문
고로고로 성수,4.22.화,1,"참치 뱃살을 베이스로 문어, 소라, 오징어까지 한가득 들어간 고로고로덮밥 ..... 진짜 너무 맛있어요 ㅠㅠ❤
입안 가득 퍼지는 바다향에 쫀득쫀득한 식감이 완전 중독적이에요! 연어알 톡톡 터지는 식감까지 더해져 마지막 한입까지 감동… 성수 맛집 찾으시는 분들 강추합니당 💛","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요",점심에 방문
