식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
고베규카츠 건대점,6.8.일,1,"규카츠 넘 맛있고 살살 녹았어요. 바삭하게 잘 튀겨져서 느끼하지 않고 담백했어요. 사이드도 바삭하고 맛있어서 식사 내내 만족스러웠고, 크림우동도 맛있었어요 전체적으로 조화가 잘 맞는 느낌이었어요. 친구들이랑 왔는데 딱 좋은 분위기라서 다음에 또 방문할게요!","음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요",점심에 방문
고베규카츠 건대점,4.29.화,1,"일하는 곳이 근처여서 몇 번 방문했습니다..
조용하고 음식이 분위기 있어요~
고기도 맛있어요^^
야들야들해요~ 고기냄새도 않나고 좋네요..
치킨마요는 처음 먹어봐요..밥이 많이 들어가 있어서 맛있을까 걱정했는데요 흰쌀밥 전체에 양념이 다 고르게 베이네요! 괜찮네요 몇 번 와 봐도^^
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
고베규카츠 건대점,6.5.목,1,"친구랑 규카츠 먹으러 나왔는데 완전 맛있어요 ٩( *˙0˙*)۶
가게 내부도 쾌적하고, 사장님께서도 친절하시고, 처음 먹어보는데 어렵지 않게 먹을 수 있었습니다! 재료도 신선한거 같고 배부르게 맛있게 먹었네요!
다음에 건대 올 일 있으면 또 오고 싶어요~!!","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요, 친절해요",저녁에 방문
고베규카츠 건대점,6.5.목,1,고기 부드럽고 맛있어요 리뷰 이벤트도 테이블당 최대 4개나 할 수 있어서 좋은거 같아요 치킨마요 덮밥 작은 그릇에 나올줄 알았는데 생각보다 양 많아서 좋았고 음식 다 맛있었습니당 틀어주는 노래도 다 제 취향이어서 기분 좋게 먹고 갑니당,"음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 음악이 좋아요",점심에 방문
고베규카츠 건대점,6.8.일,1,"고베큐카츠 부채살로 먹었는데 너무 맛있어요
세트 메뉴로 시켰더니 음료에 에그까지 너무 알차게 나오네요!!
다음에도 재방문 의사 100%에요","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 고기 질이 좋아요",저녁에 방문
고베규카츠 건대점,5.17.토,1,"처음방문했는데
규카츠고기 질긴곳도 많은데 여긴 질기지도 않고 맛있어요!
그리고 카레크림우동을 먹었는데 생각보다 달고 카레맛도 딱좋아요! 공간은 크지않지만 대기없이 여유롭게 들어갈수 있었어요!!나중에또올게요❣️","음식이 맛있어요, 가성비가 좋아요, 고기 질이 좋아요",점심에 방문
고베규카츠 건대점,6.5.목,1,"매장 분위기도 너무 좋고 음식도 너무 이쁘게 나옵니다
보기에도 좋은것이 먹기에도 좋드시 맛도 있어요ㅠㅠ
심지어 여긴 리뷰 이벤트가 4건까지 되어서 완전 여기 찐이에요!!리뷰이벤트로 주신 치즈볼이랑 가라아게 양도 많이 주시는 편이라 꼭 더 잘 되셨으면 하는 곳이네여","아늑해요, 차분한 분위기에요, 음식이 맛있어요, 메뉴 구성이 알차요, 매장이 청결해요",점심에 방문
고베규카츠 건대점,6.6.금,1,"평소에 규카츠를 많이 먹으러 이곳저곳 다니는 편인데
분위기도 위치도 맛도 넘 좋아요! 고체연료도 빨리 떨어지거나 화로 때문에 테이블이 좁아 힘들었던 적이 많았는데 여긴 화로도 지나다니시면서 계속 불 확인해주셔서 좋았습니다 :) 고기 다 굽고 먹고 있으면 화로도 치워주셔서 넘 좋았어요! 가라아게 야들야들 정말 맛도리입니다. 재방문 할 거임","인테리어가 멋져요, 혼밥하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
고베규카츠 건대점,6.8.일,1,"일본에서 먹었던 규카츠가 그리워서 한번 근처 규카츠집에 방문했어요 !!
근데 메뉴가 너무 맛있어요 !!! 일본에서 먹었던 규카츠 질과 맛이라서 너무 맛있게 잘 먹고가요🩷🩷 담에또 방문할게요 !ㅎㅎㅎㅎ","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 고기 질이 좋아요, 혼밥하기 좋아요",점심에 방문
고베규카츠 건대점,5.22.목,1,"규카츠는 고기의 두께도 적당하고 겉은 바삭, 속은 촉촉해서 씹을수록 고소한 풍미가 살아나요. 양도 넉넉해서 한 끼 든든하게 먹을 수 있었고, 곁들여 나온 소스와의 조화도 훌륭했어요. 특히 크림불닭은 매콤함과 부드러운 크림의 조화가 일품이라 계속 손이 가더라고요. 단짠의 조화 속에 살짝 감도는 불향까지 더해져 정말 어메이징한 맛이었습니다. 다음에 가도 꼭 이 두 메뉴는 다시 먹고 싶어요!","대화하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요",저녁에 방문
고베규카츠 건대점,6.7.토,1,고기 완전 맛있고 매장도 넓고 분위기도 좋아요 커리우동도 부드럽고 완전 맛있어요!! 점심으로 강추합니다:) 단체로 와도 공간이 넓어서 단체모임도 괜찮을 거 같아요!!,"음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 단체모임 하기 좋아요, 음악이 좋아요",저녁에 방문
고베규카츠 건대점,6.7.토,2,여자친구가 규카츠 땡긴다해서 왔는데 분위기부터 맛있구요 음식은 죽여줍니다 규카츠는 부드럽고 특히 불닭크림우동이 매콤꾸덕하니 겁나맛있어요 다음에 또 올것같습니다 규카츠 드시고 싶으신분들 꼭 와서 드셔보세요~~,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
고베규카츠 건대점,6.9.월,1,"건대 규카츠 맛집 검색하니 가장 먼저 나와서 믿고 가보자 하고 왔는데, 진짜 맛집이네요! 규카츠 퀄리티부터
함께 나오는 구성이 알차요!! 감자샐러드 와우!
리필이 되는지 여쭤보진 않았지만, 리필되면 이것만으로도 배채울 정도의 맛! 하지만 규카츠와 치즈카츠 치즈 폭폭처럼 흘러내립니다! 다음에 또 올게요~
건대 맛집은 고베규카츠!
접기","음식이 맛있어요, 양이 많아요, 고기 질이 좋아요, 아늑해요",저녁에 방문
고베규카츠 건대점,6.7.토,1,건대 나들이왔다가 우연찮게 들른 규카츠집!! 처음엔 손님이 없어서 긴가민가했지만 메뉴구성도 알차고 규카츠 질도 좋았어요!! 커리크림우동도 처음 먹어봤는데 맛있게 잘 먹었습니다!! 다음에 건대오면 다시 꼭 들를게용,"음식이 맛있어요, 고기 질이 좋아요, 비싼 만큼 가치있어요, 재료가 신선해요",저녁에 방문
고베규카츠 건대점,6.1.일,1,고기가 완전 입안에서 사르륵 녹아요!!! 바로 구워먹는것도 재밌고 정식 메뉴도 좋네영 친구들이랑 놀러왔다가 왔는데 매장 자리두 많고 메뉴도 테이블링 주문이라 편해요!,"음식이 맛있어요, 고기 질이 좋아요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
고베규카츠 건대점,6.2.월,1,"양 많고 맛있어요!!
살치살 규카츠에 다시계란 찍어 먹으니 너무 맛있어서 중독성있어요ㅠㅠ
치즈카츠도 양 많고 치즈가 줄줄이에요❤️❤️","음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
고베규카츠 건대점,5.19.월,1,일본에서 먹은 규카츠의 맛이 생각나 거리를 돌아다니던 중 규카츠를 발견하고 홀린듯이 들어왔습니다 고기는 일본 와규가 제 입에서 뛰어노는듯 했고 살살 녹아 기영이 마냥 먹으며 눈물을 흘릴것만 같았습니다 다음에는 반드시 대자를 먹으리를 다짐하며 글을 마무리합니다..,"음식이 맛있어요, 재료가 신선해요, 대화하기 좋아요",점심에 방문
고베규카츠 건대점,5.24.토,1,"건대 규카츠 여러번 먹어봤는데, 여기가 제일 입맛에 맞더라고요.😆
그래서 자꾸 오게되는 것 같아요 !
매장 분위기도 좋고 규카츠도 맛있어서 또 먹으러올게요 !!!!
너무 맛있었어요😍
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
고베규카츠 건대점,5.26.월,1,"갑자기 규카츠가 너무 먹고싶어서 방문했는데, 혼자 여도 너무 친절하게 응대해주셔서 기분 좋았습니당! 음식이 너무 맛있어서 말로 표현이 안되네요🥰 이전에도 몇번 방문했지만 늘 한결같이 맛있는 곳이에요! 가게 분위기도 너무 좋아서 가족 연인 누구랑 와도 좋은거 같아요","음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요, 인테리어가 멋져요, 친절해요",저녁에 방문
고베규카츠 건대점,5.29.목,1,금뇨일 저녁에 방문했는데 웨이팅없이 바로입장가능했고 맛있고 음식고빨리나왔어요!! 규카츠좋아하는데 세트메뉴 시켜먹으니 딱맛맀게 잘먹고 왕만족했어용,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
고베규카츠 건대점,5.28.수,1,투표하고 집가는길에 생각없이 들렀는데 진짜 기대이상으로 너무 맛있었습니다!! 특히 규카츠 진짜 교토에서 먹은것보다 맛있어요 ㄷㄷ 구성도 진짜 알차고 자주 올 것 같습니당,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
고베규카츠 건대점,5.11.일,1,"규카츠를 좋아하는 아들이 애정하는 집입니다.
아들과 둘이 간만에 데이트 즐기며 ~~

맛과 서비스 등등 ..
모든 면에서 만족하는 집 ...

오늘은 좀 이른지 줄 서지 않고 바로 들어와서 행복감이 배 입니다. ^^

오늘도 맛있는 치킨마요덮밥
살치살 규카츠는 사랑입니다 ^^*
접기","음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 비싼 만큼 가치있어요, 고기 질이 좋아요",저녁에 방문
고베규카츠 건대점,6.2.월,1,"2번째 방문
일반규카츠와 다르게 부위를 선택할수있어서 약간 색다른 맛의 규카츠를 먹을 수 있다.
연기가 잘 안빠져나가는게 살짝 아쉽다...ㅠㅡㅠ
그래도 독특한 규카츠를 먹어보고싶다는 분께 추천!
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",저녁에 방문
고베규카츠 건대점,5.24.토,1,"오랜만에 규카츠 먹으니까 맛있네요!
직원분이 설명도 잘해주시고
세트로 먹었는데 소스도 이것저것 많이 나와서
맛있게 먹었어요. 의외로 꿀이 맛있더라고요 ㅎㅎㅎ
접기","친절해요, 음식이 맛있어요, 양이 많아요",저녁에 방문
고베규카츠 건대점,5.24.토,1,"규카츠는 부드럽고 맛있구요, 불닭크림볶음면은 처음 먹어보는데 많이 안맵고 딱 조아요!!! 건대 오시면 여기 추천드려요! 세트메뉴도 많이 구성되어있어서 가성비 좋은 것 같아요😆","음식이 맛있어요, 양이 많아요, 인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
고베규카츠 건대점,5.23.금,1,"성수 올 때마다 오는 곳인데 매번 맛있어요!!
고기도 부드럽고 소스도 맛있어요
같이 나오는 소스랑 조합도 좋고 샐러드도 맛있어요","음식이 맛있어요, 재료가 신선해요, 친절해요",점심에 방문
