식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
교도리 홍대점,5.31.토,1,"여기 진짜 미쳤어요ㅋㅋ 닭발 좋아하면 무조건 교도리
숯불향 제대로 배어서 한 입 먹자마자 입안에서 파티하는데 쫄깃쫄깃한데 매운맛까지 딱이라 땀은 줄줄 젓가락은 멈출 수 없음 매운맛 단계 고를 수 있는데 2단계도 꽤 매워요 주먹밥이랑 계란찜이랑 같이 먹으면 진짜 국룰 조합 무조건 추가하고 닭발 손질 개깔끔해서 먹기 편하고 비린내 1도 없고 통통함 양도 생각보다 푸짐해서 둘이 가면 안주하나로 소주 10병 가능 가게 분위기도 주막 느낌이라 노래들으면서 좋은사람들과 좋은시간 쌉가능 사장님 완전 친절하시고 서비스도 받음 ㅋㅋ 닭발만으로도 충분하지만 탕수육? 그냥 차이나타운보다 맛있어서 필수로 시켜서 먹고 소주까지 먹을 때마다 오ㅓ 소리 나옴 오늘은 부모님모시고 간다 진짜 개 존맛탱구리라
접기","음식이 맛있어요, 기본 안주가 좋아요, 인테리어가 멋져요, 음악이 좋아요, 친절해요",저녁에 방문
교도리 홍대점,3.4.화,1,스트레스를 왕창 받은 오늘 매운닭발이 당겨서 언니와 함께 홍대 교도리 방문했어요🐤 입장하자 마자 큼직한 가마솥에 닭발이 가득~ 꺄아 그런데 무뼈 닭발은 없다 ㅋㅋㅋ 그래도 걱정하지 말자! 나 처럼 뼈닭발이 무서워서 못먹는 사람들을 위한 매운 닭날개 메뉴가 있다😍👍 우린 세트로 주문했는데 맵기는 1단계로 하고 세트중에 과일 탕수육을 고르고 주먹밥(4.0)을 추가 주문했는데 엄청 푸짐하게 나옵니다 ❤️❤️ 닭봉과 닭날개가 푸짐하게 들어간 작은냄비가 보글보글 끓고 입천정이 벗겨질 정도로 바삭한 탕수육은 과일소스에 찍어 먹으면 묘하게 중독적으로 맛있어요. 닭봉과 날개 1단계는 신라면 맵기정도이고 주먹밥이랑 같이 먹으면 극락의 조화입니다💖👍 기본으로 제공되는 홍합탕과 양배추 샐러드 그리고 무피클도 다 맛있네요🥗,"화장실이 깨끗해요, 사진이 잘 나와요, 음식이 맛있어요, 기본 안주가 좋아요, 메뉴 구성이 알차요",저녁에 방문
교도리 홍대점,4.25.금,1,"닭발 좋아하는 사람들은 달려가야 할 홍대 닭발맛집 포차입니다. 여기 국물닭발 매콤한 감칠맛이 대박이에요!!👍

치킨이랑 야채튀김도 바삭하게 잘 튀겨졌더라구요. 닭발국물에 찍어먹으면 환상 그 자체🥰

주먹밥이랑 같이 먹으면 더 든든합니다!!
접기","음식이 맛있어요, 인테리어가 멋져요",밤에 방문
교도리 홍대점,6.3.화,1,"닭발 매콤하니 맛있었어요~
홍대에 프차밖에 없는 줄 알았는데
이런 맛집 숨어있을 줄이얌…🥹🥹
다음에 또 올거에요!!
팽이버섯 추가 필필필 수 입니다❤️
접기","친절해요, 매장이 청결해요, 화장실이 깨끗해요, 음식이 맛있어요, 가성비가 좋아요",밤에 방문
교도리 홍대점,5.27.화,1,"홍대에 위치한 매운 닭발 맛집입니다~
맵찔이 분도 맛있게 드실 수 있는 맛있는 매운맛이에요~
연인과 함께 꼭 와보세요~~ 강추~!!","음식이 맛있어요, 인테리어가 멋져요, 음악이 좋아요, 친절해요, 매장이 청결해요",저녁에 방문
교도리 홍대점,5.24.토,1,국물 닭발 너무 맛있는데 옛날 치킨이 너무 짜요 ㅠㅠ 같이 나오는 야채 튀김은 참 맛있습니다! 노포 감성 분위기에 8090 노래 흘러 나와 술 먹기 너무 좋아요~~ 다음에 닭발 먹고 싶을때 또 가려구요,음식이 맛있어요,밤에 방문
교도리 홍대점,5.16.금,1,닭발 좋아하시는분들께 진짜!!! 추천드립니다 네이버 검색하다가 맛있어보여서 왔는데 닭발이 너무너무 맛있었어요… 뼈닭발은 처음인데 뼈발라먹는재미도 있고 무엇보다 양념이 너무 맛있어서 정신없이 먹었네요 사이드 메뉴로 주먹밥도 2번 시켜먹고 김치전도 추가했는데 대패삼겹살이 들어가서 진짜 맛있었어요! 친구들이랑 오시는분들께 진짜 추천드립니다!!😻😻💕💕,"음식이 맛있어요, 기본 안주가 좋아요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
교도리 홍대점,5.27.화,1,"맛있게먹었습니다
홍대근처라 접근성이 좋은데 시끄럽지도않고
이야기하기좋았어요
안주 가격도 괜찮고 맛있어서 자주오고싶은 곳 입니다
+옛날 노래 나와서 좋아요
접기","음악이 좋아요, 대화하기 좋아요, 음식이 맛있어요, 가성비가 좋아요",저녁에 방문
교도리 홍대점,6.7.토,1,닭발은 처음 먹어봤는데 매움 단계를 조절할 수 있어서 좋았습니다~! 너무 맛있었어요😍😍,"음식이 맛있어요, 가성비가 좋아요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
교도리 홍대점,6.7.토,1,친구랑 같이 왔는데 닭발이 맵찔이도 먹을수있고 다 먹음직스러웠어용 노래 선곡도 좋아서 또 오고싶습니댱,"음식이 맛있어요, 특별한 메뉴가 있어요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
