식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
남짐릇 성수점,6.10.화,1,"성수동 최고의 이색맛집.남진릇!
워낙 내공이 탄탄한 쉐프님들이계셔서 무엇을 주문해도 다 맛이 좋았어요. 센스있는 메뉴설명과 좋은분위기. 편한자리. 맛난음식
이렇게 또 배우고 갑니다.
남녀노소 누구나 좋아할 맛이에요.
믿고 꼭 가보세요.
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 현지 맛에 가까워요, 가성비가 좋아요",점심에 방문
남짐릇 성수점,6.9.월,1,"너무 맛있어요-!!! 같이 나온 고수 소스에 항정살덮밥 먹으면 너무 맛있어요. 공심채도 매콤하면서도 너무 맛있고 비프팟타이도 고기가 부드럽고 진짜 맛있어요.
가게 직원분들도 너무 친절하시고 오픈키친이여서 가게도 깨끗하고 요리하는 모습도 볼수있어서 정말 좋아요","음식이 맛있어요, 현지 맛에 가까워요, 친절해요, 매장이 청결해요",저녁에 방문
남짐릇 성수점,5.21.수,1,"태국보다 더 맛있다고 느낀 건 처음이에요! 똠얌누들은 국물이 진하면서도 산미와 향신료 밸런스가 완벽했고, 다진 고기와 라임 잎 조합이 최고였어요. 족발덮밥은 잡내 없이 부드럽고 간장소스가 감칠맛 가득! 솜땀은 상큼하고 라이스 크래커랑 함께 먹으니 식감까지 완벽했어요. 분위기 좋고 서비스도 친절해서 재방문 의사 100%입니다.","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
남짐릇 성수점,6.6.금,1,"공휴일 점심이라 웨이팅이 있었는데, 미리 예약한 덕분에 대기 없이 이용할 수 있었습니다😊
주문한 카오카무, 새우팟타이, 공심채 볶음의 맛은 말 할 것도 없이 만족스러웠습니다!
인테리어가 특히 특이하고 분위기 있어서, 오랜만에 함께 데이트 나온 엄마가 아주 만족하셨습니다🥰","음식이 맛있어요, 양이 많아요, 현지 맛에 가까워요, 인테리어가 멋져요, 매장이 청결해요",점심에 방문
남짐릇 성수점,5.29.목,3,"나에게 족발은 그저 먹던 음식이었다. 족발 삶는 냄새가 참 식욕을 돋우는 향이라고는 일찌감치 느끼고 있었지만, 밥에 비벼 먹는 메뉴가 태국 음식에 있었다니! 올해 2월에 태국에 가서도 못 먹어본 것을 이번에 먹게 되었다. 그저 돼지갈비찜을 밥에 비벼 먹는 맛이지만, 야들한 족발 껍질과 그 향에 비벼지니 또 색다르다. 맛있다. 곁들인 공심채볶음도 괜찮게 먹었다. 소스의 맛이 입에 오래 남지 않는 것은 이 채소의 어쩔 수 없는 특징인 걸까. 일행이 주문한 옐로우 커리 덮밥과 똠얌 쌀국수도 맛있었다. 다만 아쉬운 것은 일행의 커리 덮밥에 추가했던 새우튀김에서 머리카락이 나왔다. 충분히 있을 수 있는 일이다. 하지만 새로 튀겨 준 하나의 새우튀김의 대처가 매우 적당한 듯,약간 초라한 듯 사이를 오가는 느낌이었다.","음식이 맛있어요, 향신료가 강하지 않아요, 인테리어가 멋져요",점심에 방문
남짐릇 성수점,6.1.일,1,처음에 지하로 들어가서 이게 맞나 싶었는데 들어가자마자 인테리어도 고급지게 돼있어서 놀랐음. 직원분들 친절하고 음식도 엄청 맛있당. 특히 모닝글로리가 찐임. 불맛도 나고 여기다 밥만 먹어도 진짜 맛있음👍👍👍👍👍근데 똠양쌀국수는 호불호 있는듯 같이 간 친구는 잘 못 먹었음,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 매장이 청결해요",점심에 방문
남짐릇 성수점,5.17.토,1,모든 메뉴가 너무 맛있는데 특히 팟타이..가 미쳤습니다 ... 다른데랑 뭔가 맛이 다른데 뭔지는 모르겠는데 아무튼 맛있어요...ㅠㅠ 카오카무도 .. 고기가 완전 입에서 녹아요ㅠㅠ ❤️ 곱창똠얌도 다른데서 잘 안파는 메뉴라 특별하구 너무 맛있었어요 🤤 그리고 전체적으로 다 양이 많아요 !!! 직원분들도 친절하셔서 기분좋게 먹구 갑니당 🤍,"음식이 맛있어요, 양이 많아요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",점심에 방문
남짐릇 성수점,5.9.금,1,너무 친절하시고 분위기 정말 좋아요!! 양도푸짐하고 가격도 합리적이에요. 돼지고기 튀김볶음 정말 맛있구 닭고기 쌀국수도 추천합니다🥰 데이트 와도 정말 좋을것 같아요. 똠얌 쌀국수도 정말 맛있다네요 .. 닭고기쌀국수는 고수오일 줘서 특이해용,"친절해요, 아늑해요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
남짐릇 성수점,5.14.수,1,성수동 맛집 검색하다 여기다 싶어서 방문했어요!! 입구부터 태국 현지에 온듯한 인테리어에 놀라고 직원분들의 친철함에 놀라고 음식이 너무 맛있어서 또한번 놀랐어요^^ 태국음식 좋아해서 즐겨먹는데 진짜 맛있게 잘먹었어요!! 재방문 의사 완전 있습니다♡,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",점심에 방문
남짐릇 성수점,6.7.토,1,"강릉에서 여행와 첫 음식이였는데 넘 맛있는 맛집 찾아 너무 행복하네요.
똠양꿍쌀국수 진짜 너무 맛있어요.
다음에 서울오면 꼭 재방문해서 다른 음식들도 먹어보고싶네요.
잘 먹었습니다^^
접기","음식이 맛있어요, 재료가 신선해요, 현지 맛에 가까워요, 인테리어가 멋져요, 친절해요",점심에 방문
