식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
노스 성수점,6.4.수,1,"부부끼리 오붓하게 데이트 갔어요.
성수동 핫한 레스토랑이라고 해서 갔는데 생각보다 더 핫플이어서 오래간만에 데이트 재미있게 했습니다 ^^
모든 메뉴가 다 맛있어 보였는데 치즈감자채전은 진짜 퓨전 피자로 너무 맛있었어요.
마무리로 들기름 아이스크림도 정말 좋았어요 ^^
접기","음식이 맛있어요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 친절해요, 특별한 날 가기 좋아요",저녁에 방문
노스 성수점,5.26.월,1,"미국에서 온 친구와 딸과 함께 예약하고 다녀왔습니다. 살짝 매콤한 오일소스 참나물파스타, 조금 단맛나는 크림소스 소불고기파스타, 수란이 올려진 목살필라프, 그리고 두툼하고 감자채가 바삭한 꽤 양이 많은 치즈감자채전 모두 맛있게 잘 먹었습니다.","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",저녁에 방문
노스 성수점,6.6.금,1,"직원분들 넘 친절하시고 음식도 진짜 맛있어요! 감자채 바삭바삭해서 식감도 좋고, 치즈 듬뿍에 상큼한 토마토소스 맛없없 조합이라 최고입니다ㅎㅎ 참나물 파스타도 깔끔한 오일파스타라 맛있었고 들기름 아이스크림도 달콤해서 넘 맛있었어요🥰👍👍 웨이팅할 가치가 있는 맛집입니다! 퓨전음식이라 독특한 메뉴가 정말 많더라구요~ 다음엔 다른 메뉴들도 먹어보고 싶어요ㅎㅎ 또 올게요!! 🐷🩷🩷","음식이 맛있어요, 특별한 메뉴가 있어요, 디저트가 맛있어요, 인테리어가 멋져요, 친절해요",점심에 방문
노스 성수점,5.9.금,1,"1)연어/차돌후토마끼 반줄 : 후토마끼답게 크기가 상당히 크고 연어/차돌, 계란, 새우튀김, 오이 등이 들어가 반개임에도 양이 많았음. 한입에 먹기는 힘들어서 나눠먹어야 하는게 좀 불편할 수 있음.
2) 깻잎페스토 파스타 : 깻잎으로 만든 페스토와 온센타마고를 함께 먹는 파스타로 파스타면이 일반면이 아닌 오레키에테 파스타면으로 약간 수제비 같은 느낌임. 면에 페스토가 적절하게 간이 배어있어서 맛있게 즐길 수 있었음.
3) 차돌알리올리오 : 고소한 차돌을 올린 알리올리오 파스타로 약간 느끼할 수 있는 알리올리오를 매콤함을 곁들여 물리지 않고 맛있게 먹을 수 있었음. 매운거를 잘 못먹는 사람들에겐 조금 매울 수 있으나 심심하지 않아서 좋았음.

벽에 걸린 휴지는 아쉬움. 음식에 먼지 날리고, 인테리어로 최악.
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 컨셉이 독특해요",점심에 방문
노스 성수점,5.29.목,1,"치즈 감자채전 비슷한 메뉴 다른 곳에서도 먹어봤는데 여기가 가장 독보적인 것 같습니다. 치즈를 이렇게 듬뿍 넣어주시고, 폭신하게 재료들이 가득 들어가서 참 풍족했습니다. 토마토 소스까지 들어가서 마치 피자를 먹는 것 같은 기분이었어요. 채전 겉면에도 바닥에도 감자채가 바삭하게 들어가서 포카칩 먹는 맛도 났어요. 카다이프 떡볶이는 실타래 튀김이 떡을 감싸서 바삭하면서도 쫄깃했어요. 소스는 살짝만 매워서 부담이 없이 가볍게 먹을 수 있었습니다. 한식과 양식이 섞인 맛집이고, 인테리어는 한옥풍이라서 운치있었습니다.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 아늑해요, 야외공간이 멋져요",저녁에 방문
노스 성수점,5.28.수,1,성수동에서 한식 파스타 둘다 먹고 싶은 분들께 완전 강추하는 성수 맛집 노스 성수점입니다 치즈감자채전 치즈피자처럼 치즈왕창 들어가서 맛있어요 👍 칼비빔면도 새콤하면서 고소해서 비빔면 좋아하시면 추천합니다 👍👍👍,"음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 인테리어가 멋져요, 사진이 잘 나와요",점심에 방문
노스 성수점,6.3.화,1,"카다이프떡볶이랑 파스타 먹었는데 조합이 좋았어요 🥰
다른 메뉴들도 맛있어보여서 또 오고싶어요!
휴일 기준 1:30분에 이미 재료소진, 웨이팅 마감이더라구요 🥹 저희는 네이버로 예약해서 다행히 잘다녀왔습니다 💚
테이블에 기본 냅킨과 물티슈 정도는 놓여져 있었으면 좋겠어요!
접기","아늑해요, 음식이 맛있어요, 가성비가 좋아요",점심에 방문
노스 성수점,4.26.토,1,"매장 분위기 너무 좋고 음식이 너무 맛있어요.
3가지 다 맛있네요.감자채전은 피자같기도 하고
가지덥밥은 맛이 독특하면서 맛있어요.
사태칼국수의 사태는 쫄깃하면서 찔기지 않고
부드러우면서 부서지지 않게 익힘정도가 너무 좋아요.
칼국수에 배추맛은 더 좋아요.
직원들도 다들 친절하시고 너무 좋아요.
들기름아이스크림도 너무 맛있어요.
다음에는 다른것도 먹으러 와야겠네요
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",점심에 방문
노스 성수점,6.1.일,1,"아이들과 함께 방문했어요
감자채전 치즈 가득
너무 맛있게 먹었어요
겉바속촉
대부분 메뉴 다 맛있었는데
칼국수는 걍 그냥 그랬어요

메쉬 포테이토 부드럽고 맛있네요
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요",저녁에 방문
노스 성수점,4.16.수,1,"예약없이 방문해서 밖에서 웨이팅 중이였는데 친절하신 직원분 덕분에 밖에서 떨면서 있지않았어요.
음식도 정갈하고 짬뽕탕은 엄청 깔끔했고 맵지 않아서 먹기 좋았어요ㅎㅎ👍🏻참나물파스타는 오일리하지만 참나물맛이 많이나고 고소했어요 항정살은 뭐 말모말모 입니다💗","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 매장이 청결해요",점심에 방문
