식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
뉴웨이브서울 건대점,6.5.목,1,성수동에 숨어 있는 카페처럼 골목 골목에 숨어 있는 건대 양식 맛집을 찾았어요💓 외과과 내부 깔끔하고 심플하면서 공간이 예쁜 건대 양식집! 파스타뿐만 아니라 피자와 샐러드 모든 음식들이 맛있는 양식집! 다음에 또 들릴게요💓💓,"인테리어가 멋져요, 대화하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 친절해요",저녁에 방문
뉴웨이브서울 건대점,6.10.화,1,"예쁜 인테리어가 한가득!
분위기 좋은데서 맛있는 음식 먹으니 더 맛있게 느껴집니당!
이런 분위기 좋은데가 있는줄 몰랐는데
건대 숨은 맛집이에여
특히나 파는곳이 흔치않은 아란치니! 이거 하나 먹으려고 달려왔는데 담에 또 올겁니다앙🥰
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
뉴웨이브서울 건대점,6.11.수,2,"반려견이랑 같이 왔는데 반려견 자리도 신경써 주시고 반려견 물컵, 담요 다 세심하게 챙겨주셔서 정말 편하게 식사 할 수 있었습니다☺️ 음식도 너무! 맛있어서 먹다가 다른메뉴도 추가 주문했네요ㅎㅎㅎ분위기도 좋아서 또 방문하고 싶은 곳이에요!","친절해요, 매장이 청결해요, 반려동물과 가기 좋아요, 음식이 맛있어요, 재료가 신선해요",저녁에 방문
뉴웨이브서울 건대점,6.8.일,1,"건대에 이런 인테리어는 보기 힘들어서
예전부터 꼭 와보고 싶었던 곳이에요!
뉴웨이브서울 피자 / 알프레도크림파스타 / 트러플감자튀김 이렇게 시켰어요!
남자친구는 파스타가 젤 맛있대요 ٩(๑˃̵ᴗ˂̵)و
분위기 넘 조아용 ~~~!
접기","인테리어가 멋져요, 아늑해요, 컨셉이 독특해요, 차분한 분위기에요",저녁에 방문
뉴웨이브서울 건대점,5.21.수,1,"제 뇨끼맛집 1등으로 등극했어요!!!
식감이랑 맛이 진짜 미쳤어요 이거 보시는 분들 뇨끼는 필수로 주문하세요
직접 만드신다는 아란치니도 겉바속촉 넘 맛있었고 프로슈토루꼴라피자, 들기름대파파스타도 다 맛있어요. 여자 둘이서 이만큼 시킨건데 여러분 처음부터 여러개 시키는게 좋아요 왜냐하면 다 맛있어서 결국 더 시키게 되거든요ㅋㅋㅋ
건대에 이런 곳이 있다니 분위기도 좋고 맛도 완벽
나만 알고 싶은 맛집이지만 많은 사람들이 먹어봤으면 좋겠어요!
접기","음식이 맛있어요, 인테리어가 멋져요, 아늑해요, 차분한 분위기에요, 사진이 잘 나와요",저녁에 방문
뉴웨이브서울 건대점,5.30.금,1,"첫 방문입니다!
예약후 방문했는데 직원 분들도
엄청 친절하시고 인테리어도 이뻐요

여자친구랑 기념일에 오기 딱 좋은것 같네요

저는 특히 블루치즈뇨끼가 맛있었던 것 같아요

잘먹었습니다.
접기","음식이 맛있어요, 친절해요, 화장실이 깨끗해요, 아늑해요, 대화하기 좋아요",저녁에 방문
뉴웨이브서울 건대점,5.18.일,1,"뉴웨이브서울 유명한 건 알고 있었는데 생일 기념으로 방문했어요! 피자가 진짜 맛도리입니다🔥🔥😅 치폴레소스가 진짜 맛있어서 꼬다리도 야무지게 싹싹 잘라머금요 ;;소개팅 명소인지 앞옆으로 죄다 소개팅 ,,(오히려조아 재밌다 ㅋㅋ) 단점은 사람이 많아서 목소리가 잘 안들린다는거?! 걍 나쁘지않게 맛있는 양식집입니다 소모임(2~4인) 있으시면 추천추천","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 특별한 날 가기 좋아요",저녁에 방문
뉴웨이브서울 건대점,5.15.목,1,"가게 분위기가 정말 너무 좋았어요✨
조명이 은은하고 감성적인 인테리어 덕분에 사진도 예쁘게 잘 나와서 기분까지 좋아지더라고요.
파스타는 크림이 진하고 고소해서 계속 먹고 싶어지는 맛이었고, 피자도 토핑이 정말 풍부해서 한 입 먹자마자 감탄했어요! 특히 감자튀김 위에 치즈가 듬뿍 올라가 있어서 바삭하고 짭짤한 맛의 조화가 최고였어요🍝🍕🍟

와인 종류도 다양해서 음식과 함께 즐기기에 딱 좋았고, 데이트나 친구랑 분위기 있게 식사하기 좋은 장소예요.
직원분들도 친절하고 응대도 빠르셔서 전체적으로 만족도 높았어요. 다음에 또 방문하고 싶은 맛집입니다!
완전 추천드려요☺️
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
뉴웨이브서울 건대점,5.24.토,1,"음식이 너무 맛있고 아기자기한매장도 깔끔하고 이뻐서 좋았습니다
매장에 깔리는음악도 분위기에 한몫해주는거같아요
조명도좋고 적당히소란한편이라 소개팅도많이하러오시는거같아요세트메뉴구성도 나쁘지않네요
재 방문 예정입니다~!!
접기","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
뉴웨이브서울 건대점,6.3.화,1,"생일 기념으로 방문했어요 !
분위기도 너무 좋고 음식도 맛있고 사장님도 너무 친절하셔서 더더욱 행복한 생일이 된것 같아요 🥹

열심히 여러곳 알아보다 결정한 곳인데 정말 후회없었고 이곳으로 예약하길 너무 잘했단 생각만 들었던 것 같아요 🤍 나중에 또 기념할 일이 생긴다면 뉴웨이브서울로 다시 올 것 같습니다 ㅎㅎ

다음 일정이 급해서 사진을 많이 찍진 못했지만 조명도 너무 예뻐서 인생샷 건질 수 있을 정도의 분위기에요 !

Ps. 너무 잘 챙겨주시고 친절하셨던 사장님 정말 감사드립니다 ,, 🤍 번창하세요 !!!
접기","친절해요, 특별한 날 가기 좋아요, 음식이 맛있어요, 인테리어가 멋져요, 단체모임 하기 좋아요",저녁에 방문
뉴웨이브서울 건대점,4.13.일,1,"건대에서 단체모임하기 좋은 곳이에요! 맛도 좋고 분위기도 좋고, 서비스도 좋아요~~! 같이 데리고 간 친구들 다 만족하면서 맛있는 식사시간 가졌어요:) 건대모임 건대맛집장소 찾는다면 여기 뉴웨이브서울 건대점 완전 완전 추천이에요~~!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
뉴웨이브서울 건대점,6.3.화,1,조용하고 아늑한 분위기에서 함께 여유롭게 식사할 수 있었던 시간이었어요 음식 하나하나 정성스럽고 맛도 훌륭해서 다음에는 저녁 시간에 다시 와보고 싶다는 생각이 들었어요!,"음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
뉴웨이브서울 건대점,5.5.월,1,"일단 스테이크가… 고기 본연의 맛을 살리면서도 소스랑 밸런스가 너무 잘 맞아서 와인과도 찰떡…!
무엇보다 오픈키친이라 조리하는 모습이 다 보이는데, 그 자체로 너무 깔끔하고 신뢰감도 느껴졌어요.
조명도 따뜻하고 적당히 차분해서 데이트 장소로 딱이었고, 조용한 대화 분위기도 가능해서 소중한 시간이 더 특별하게 느껴졌답니다.
강력 추천하는 레스토랑입니다
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 친절해요",저녁에 방문
뉴웨이브서울 건대점,5.5.월,1,예전에는 예약 못해서 못먹었는데 오늘 운좋게 예약도 하고 조금 일찍 도착했는데 다행히 바로 입장할수 있었어요! 피자 파스타 너무 맛있고 음식도 빨리 나왔어요 분위기가 좋고 조용하고 아늑해서 다음에 또 오고 싶어요 건대 맛집 추천👍,"친절해요, 매장이 청결해요, 음식이 맛있어요, 재료가 신선해요, 아늑해요",저녁에 방문
뉴웨이브서울 건대점,5.3.토,1,"건대입구역 맛집!! 피자, 파스타, 스테이크 드시고 싶으신 분들은 여기로 오세요~~ 아란치니는 꼭 시키셔야합니다 바삭하니 너무너무 맛있어요 피자랑 뇨끼 스테이크도 너무너무 맛있습니다 와인도 너무 잘 어울려요","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 비싼 만큼 가치있어요",점심에 방문
