식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
담솥 성수점,6.6.금,1,"성수동 골목에 있어서 찾기는 쉬워요.
주차는 근처 공영주차장에 했구요. 웨이팅이 있지는 않지만 사람은 붐벼요.
아이랑 함께 왔는데 아이들이 먹을 수 있는 메뉴도 있고 매운 메뉴도 있네요.
꽈리고추와 두부가 함께 어우러지니 굉장히 맛있게 먹었어요. 맵기는 진매 정도?
아르바이트 분께서 친절이 몸에 베어있으신듯요. 친절하게 응대해주셔서 즐거운 마음으로 다녀갑니다. : )
접기","음식이 맛있어요, 양이 많아요, 건강한 맛이에요, 친절해요",저녁에 방문
담솥 성수점,5.24.토,1,"직원 분께서 너무 친절해요~
3시쯤 와서 그런가 웨이팅은 없었어요!
외국분들이 많으시고 시설이 아늑하고 깔끔해서 좋아요❤️","혼밥하기 좋아요, 아늑해요, 음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요",점심에 방문
담솥 성수점,6.5.목,1,"솥밥 먹고 싶어서 왔는데 여기 넘 맛있어용!!
담에 또 오고 싶네용 ㅎㅎ 콜라도 잘 먹었습니닷","재료가 신선해요, 음식이 맛있어요, 인테리어가 멋져요",점심에 방문
담솥 성수점,6.3.화,1,음식이 너무 따뜻하고 맛있어요. 사장님도 너무 친절해요. 다음에 또 올 것 같아요!!,"음식이 맛있어요, 재료가 신선해요",저녁에 방문
담솥 성수점,6.3.화,1,"음식도 깔끔하게 잘 나오고, 직원분들도 친절하세요! 놀러나왔다가 맛있어 보여서 방문했는데 양도 딱 맞고 맛있어요! 체고!","음식이 맛있어요, 매장이 넓어요, 친절해요, 매장이 청결해요",저녁에 방문
담솥 성수점,5.11.일,1,나여자친구가 건강한 음식을 좋아하는데 맛도 있고 건강한 음식이라서 여기를 너무 좋아해요 두 번째 방문인데 우삼겹솥밥 메뉴가 가장 맛있네요~,"음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 고기 질이 좋아요, 메뉴 구성이 알차요",저녁에 방문
담솥 성수점,4.26.토,1,"🍚매운가지+소고기숙주

✔️개인적으로 소고기가 더 맛있었음
✔️솥밥먹고 누룽지먹고, 요구르트까지 먹으면 완벽✨️
접기","음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
담솥 성수점,6.5.목,1,"맛있고 친절하세요!!!!!
솥밥 양도 많고 진짜 맛있어요 ㅎㅎㅎㅎ 또 올께요!","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",점심에 방문
담솥 성수점,3.10.월,1,솥밥 먹고싶어서 방문했어요! 좋아하는 가지 메뉴가 있어서 싹싹 긁어먹었어요🩷 역시 솥 아래 누룽지 긁어먹는게 별미 ㅠㅠ 다른 메뉴랑도 엄청 고민했는데 다음에 와서 먹어보려구요. 가지솥밥 간장소스가 완전 킥이에용,"음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 건강한 맛이에요, 혼밥하기 좋아요",저녁에 방문
담솥 성수점,4.12.토,1,"저는 고등어 솥밥을 먹었는데, 고등어가 껍질은 바삭바삭하고 살은 부드러워서 맛있었습니다.
우삽겹이랑 스테이크 먹은 제 친구들도 맛있었대요 😄
특히 요구르트가 나온다는 점이 너무 좋았어요!","음식이 맛있어요, 메뉴 구성이 알차요, 고기 질이 좋아요, 매장이 청결해요, 음식이 빨리 나와요",점심에 방문
담솥 성수점,6.6.금,1,웨이팅 크게 길지 않았고 너무 맛있어요!! 스테이크는 정말 부드러웠어요!! 다음에 또 올게요!!,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 메뉴 구성이 알차요, 친절해요",점심에 방문
담솥 성수점,6.5.목,1,까만안경낀 남자직원분 불친절 + 틱틱거리는 말투에 밥먹는 그 짧은 시간에 빈정이 몇번이나 상했는지 의자좀 넣어라 메뉴 주문은 ‘이거’ 말고 말로해라 계산 따로할거면 메뉴명을 미리말해라 ㅋㅋㅋ 사람 무안+꼽주는 말투에 혼나러간건지 돈내고 밥먹으러 간건지 ㅎㅎ 날은 더워죽겠는데 솥밥집이 에어컨도 안틀고 직원은 내내 짜증만내네요 최악이고 비추천입니다 두번다신 안가요,컨셉이 독특해요,점심에 방문
담솥 성수점,5.31.토,1,남자친구랑 왔는데 밥도 너무 맛있고 친절하구 좋네요!! 성수 오시면 추천드려요👍👍 솥밥 짱!🗿,"음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요, 인테리어가 멋져요",저녁에 방문
담솥 성수점,4.8.화,1,성수동 최고의 솥밥집 진짜 너무너무 맛있게 잘먹었어요 양도 많아서 배부르게 먹었어요 후식으로 요구르트까지ㅋㅋ 강추합니다❤️,"음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 건강한 맛이에요, 메뉴 구성이 알차요",점심에 방문
담솥 성수점,5.25.일,1,가지덮밥이랑 우삼겹 먹었는데 맛있아용!!! 또오고싶어요,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요",저녁에 방문
담솥 성수점,6.10.화,1,"솥밥 맛있어욤
가게가 생각보다는 작긴한데
대화하면서 먹기 좋아요 ~
혼밥도 좋습니다
접기","혼밥하기 좋아요, 대화하기 좋아요, 음식이 맛있어요",저녁에 방문
담솥 성수점,4.29.화,1,"가지솥밥은 처음 먹어보는데 진짜 너무 맛있습니다 !
우삼겹도 숯향 솔솔 나고 진짜 맛있었어요 ㅠ ㅠ 짱 👍","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",저녁에 방문
담솥 성수점,4.5.토,1,"토요일 11시쯤 오픈런해서 입장했어요 !
글쓴이는 마늘쫑솥밥 먹었는데 마늘향이 은은하니 좋았어요 ! 간단하면서 든든하게 식사하고 싶다면 여기 추천드립니다 ! 양도 종류도 많아서 좋아요 !
성수 올 때 재방문 할 것 같아요 !","음식이 맛있어요, 특별한 메뉴가 있어요, 건강한 맛이에요, 메뉴 구성이 알차요, 인테리어가 멋져요",점심에 방문
담솥 성수점,5.3.토,1,소고기숙주가 품절이어서 못먹었는데 가지솥밥하고 꽈리꼬추두부솥밥도 맛좋아용,"음식이 맛있어요, 양이 많아요, 가성비가 좋아요",저녁에 방문
담솥 성수점,5.17.토,1,음식이 빨리나와서 좋았어요 맛도있고 좋네요👍,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",점심에 방문
담솥 성수점,6.4.수,1,"정말 오랜만에 맛있는 솥밥 먹어서 행복해요!!ㅎㅎ
가지솥밥도 너무너무 맛있어서 다음엔 가지솥밥 먹으러 방문하고싶어요 🩷","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요",점심에 방문
담솥 성수점,6.4.수,1,"너무 맛있게 먹었습니다~
연인과 데이트하기 좋아요
잘 먹고 갑니다!
번창하세요~
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
담솥 성수점,4.5.토,1,"비오는 날 따뜻한 음식 먹고 싶어서 친구랑 찾다가
솥밥 시켜먹었는데 맛있었어요 ;)
적극적으로 바로 응대도 해주시고
덕분에 맛있게 잘 먹었습니다 🌸
한그릇 음식으로 맛있고 좋아요 ✨️
접기","음식이 맛있어요, 양이 많아요, 건강한 맛이에요, 반찬이 잘 나와요",저녁에 방문
