식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
더타코부스 성수점,5.28.수,1,"성수역 맛집 더타코부스에서 비리아 타코를 즐겼어요! 🌮🎉
비리아 타코는 멕시코 전통 요리로, 푹 삶은 고기를 바삭한 또띠아에 싸서 먹는 타코! 🥩✨
콘소메 육수에 찍어 먹으면 더 맛있답니다~ 😋🍲
다양한 타코 메뉴 중 피카딜로 타코가 제 최애! 돼지고기와 과카몰리 조합이 정말 맛있어요! 🌶️🥑
성수역 4번 출구 근처에 위치, 외국 분위기 물씬 풍기는 매장! 🌍
타코 생각나면 꼭 방문해보세요! 🏙️
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 현지 맛에 가까워요",저녁에 방문
더타코부스 성수점,6.8.일,1,"인테리어 징챠 이뽀여! 외국에 온 것 같아요.
시그니처 플래터 구성도 다양하구 맛있어여!
원래 타코를 좋아하는데도 먹기 번거로워서 막상 잘 안가게되는데 여기는 흘리지도 않구, 셀프바도 알차게 되어있어서 좋아요!!!","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 컨셉이 독특해요",점심에 방문
더타코부스 성수점,5.29.목,1,"예전엔 수제버거 파는 가게 자리에 처음 보는 타코 가게로 바뀐 거 보고 가기로 결정! 우리 포함 3팀 대기여서 금방 들어감. 음식도 빨리 나오고 적당히 힙한 분위기~ 타코, 퀘사디아 뿐 아니라 멕시칸 스타일 포케도 있어서 더 맘에 듦🤤 감자튀김 얇게 해 주는 곳 오랜만인데 나름 차별화라고 생각!","음식이 맛있어요, 가성비가 좋아요, 음식이 빨리 나와요",점심에 방문
더타코부스 성수점,5.12.월,1,"여기 타코 진짜 진짜 맛있어요
고기 잡내도 아예 안나고 양이 진짜 생각보다 2피스 먹으면 배불러요..

아 그리고 비리아 타코 무조건 드셔야합니다.
주문하고 바로 조리하시는 거 같아요
고기랑 치즈랑 듬뿍 들어가있고 다 먹을 때까지 엄청 뜨뜻했어요

다음에 오면 비리아는 꼭 다시 먹을 예정입니다.
+ 위생장갑도 준비되어있어서 손에 안 묻히고 먹기 가능해요!
접기","음식이 맛있어요, 향신료가 강하지 않아요, 잡내가 적어요, 음악이 좋아요, 특별한 날 가기 좋아요",저녁에 방문
더타코부스 성수점,5.15.목,1,"여기 진짜 타코 맛집.. 굽기가 타코 굽기가 너무 딱 적당하고 맛있어요 ㅠㅠ 성수오면 또 생각날듯
그리고 독일맥주 바이젠 파는데가 많지 않은데 여기 있는거 보면 사장님 맛잘알이심 일단 타코는 무조건 무조건 추천입니다!","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 대화하기 좋아요, 친절해요",저녁에 방문
더타코부스 성수점,5.20.화,1,"플래터 시켰는데 퀘사디아랑 타코랑 감튀 같이 나와서 일단 구성이 너무 좋아요 ㅠㅠㅠ
돼지고기가 전 최애인듯합니다
양념도 너무 맛있고 위생적이라 더 좋아요
꼭 과카몰리랑 같이 먹으시길 추천합니다
맛이 두 배가 되 ..
치폴레 닭껍질튀김도 맛있네여
감자튀김이 얇아서 좋아요
접기","음식이 맛있어요, 재료가 신선해요, 음악이 좋아요",저녁에 방문
더타코부스 성수점,4.19.토,1,"부산에서도 먹었던 더타코부스 !!
핫하디 핫한 성수에도 있다릴래 바로 달려갔습니댜앗

역시 저번에 먹은 비리아 타코 하나 때려주고
라이스도 먹어봤으유~~!🤗

라이스도 독특한게 뽀요뽀요하이~
짱짱 맛있더라구요~~😍

더타코부스 추천합니다아ㅏㅏ따꼬~~><
접기","인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요, 음식이 맛있어요, 양이 많아요",점심에 방문
더타코부스 성수점,6.1.일,1,유명해서 와보고싶었는데 드디어 와봤어요!! 타코플래터 나왔는데 다양한 맛으로 나와서 모두 맛보기 넘 좋아용 여자 둘이서 먹기 딱 좋구 넘 맛있어요!! 다음에 또 방문할게용,"음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요",점심에 방문
더타코부스 성수점,6.8.일,1,"차이점
1. 까르네아사다 타코는 누구나 먹을 수 있는 고기 타코라서 좋았다.
2. 비리아 타코는 커리와 다른 매콤함이 좋고, 양념과 같이 먹어야 당연히 더 맜있다.

공통점
고수를 좋아하는 사람은 고수를 추가해서 먹으면 더 좋을 것 같다.

타코 플레터를 먹어 보고 싶은 맛이다.
접기","인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
더타코부스 성수점,4.1.화,1,"✍️성수동 직장인 리뷰

대림국수가 갑작스레 사라지고
어떤가게가 들어올지 기대했는데
타코집이 생겼습니다

성수에 타코집이 워낙많아졌지만
여기는 공간이 넓고 창문이 많아서
개방적인느낌의 인테리어가 좋았어요
(힙함🙌)

셀프바에 위생장갑, 소스, 티슈 등
식사에 필요한것들이 준비되어 있고
(기름기가 있는편이라 장갑필수)

🌮비리아 타코
- 일반타코는 흘리는게 반인데 소고기가
치즈와 함께 조리되어 부드럽고 먹기편해요
- 특히 저 스튜? 소스에 찍어먹어도 맛있고
타바스코 소스를 곁들여도 맛있어요👏👏
- 🌿아쉬운점은 고수를 추가하면
고기에 믹스된게 아니고 또띠아
위에 뿌려져서 나와서 많이 흘리기도 하고
끝까지 고수맛을 즐길수 없는점이ㅜㅜ

가격대는 (제기준)높은편이었지만
정말맛있게 먹었어요 3pcs씩 먹고싶음
🤤💦💦
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 혼밥하기 좋아요, 단체모임 하기 좋아요",점심에 방문
