식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
도쿄빙수 건대점,5.29.목,1,"빙수의 계절이라 도쿄빙수는 처음 가 봤는데 아늑한 분위기에 빙수도 맛있었다. 색다른 빙수가 다양한 종류로 있었다. 토마토, 참외, 복숭아, 애플망고, 녹차 빙수 등이 있어서 다음에는 다른 맛으로 즐겨도 좋을 듯하다.","특별한 메뉴가 있어요, 디저트가 맛있어요, 인테리어가 멋져요, 대화하기 좋아요, 아늑해요",아침에 방문
도쿄빙수 건대점,6.8.일,1,"올해는 자두가 없어서 아쉽지만 참외랑 토마토 둘 다 맛있었어용
근데 토마토가 더 맛있으니 둘 중 고민한다면 토마토 추천합니다","가성비가 좋아요, 디저트가 맛있어요, 아늑해요, 차분한 분위기에요",점심에 방문
도쿄빙수 건대점,5.13.화,1,"토마토빙수에 후추가 뿌려져 있어서 처음엔 이게뭔가..하고 낯설었지만, 생각보다 잘 어울렸습니다. 새콤달콤한 토마토와 부드럽고 시원한 얼음이 깔끔하게 어울렸어요
후추 덕분에 맛이 심심하지 않고 은근한 포인트가 있었어요.
가게 직원분들도 친절합니다
색다른 디저트를 좋아하는 분들께 한 번쯤 추천하고 싶은 메뉴입니다.
접기","디저트가 맛있어요, 사진이 잘 나와요, 친절해요, 매장이 청결해요, 화장실이 깨끗해요",아침에 방문
도쿄빙수 건대점,5.2.금,1,토마토빙수라 으잉?햇는데 은근 달달하니 잘 어울리네요ㅋㅋ 글고 토스트가 진짜 존맛ㅋㅋ 커피땡기는 맛이에용,"특별한 메뉴가 있어요, 디저트가 맛있어요, 친절해요",아침에 방문
도쿄빙수 건대점,6.10.화,1,항상 도쿄빙수 가보고 싶었는데 드디어 소원 성취했습니다! 망고도 쫄깃해서 완전 달달하게 디저트 처리하고 왔슴다 🍨,"특별한 메뉴가 있어요, 가성비가 좋아요, 디저트가 맛있어요",저녁에 방문
도쿄빙수 건대점,5.24.토,1,"토마토 빙수는 말모~ 🍅
토스트 존맛탱 여기 토스트 맛집🍞",디저트가 맛있어요,아침에 방문
도쿄빙수 건대점,5.15.목,1,건대 올때마다 항상오는 빙수집! 망고빙수 존맛이욤~~😚😚,"커피가 맛있어요, 음료가 맛있어요, 특별한 메뉴가 있어요",저녁에 방문
도쿄빙수 건대점,5.18.일,1,토마토 빙수가 너무맛잇어욤~또올게요!,"대화하기 좋아요, 가성비가 좋아요, 디저트가 맛있어요, 양이 많아요, 음식이 맛있어요",저녁에 방문
도쿄빙수 건대점,4.15.화,1,딸기마스카포네빙수 먹었어용!!🍓 토마토만 먹어봤는데 딸기도 넘 달달상큼해서 좋고❤️ 마스카포네치즈가 아주 부드럽구 뽀인트로 짱🥰🍧🍧 건대오면 도쿄빙수가기 메모~📝,"아늑해요, 친절해요, 매장이 청결해요, 디저트가 맛있어요, 재료가 신선해요",저녁에 방문
도쿄빙수 건대점,1.27.월,1,아주 맛있어요! 마스카포네가 아주 잘어울립니다. 떡도 쫀득하고 맛있었어요!,"특별한 메뉴가 있어요, 디저트가 맛있어요",점심에 방문
도쿄빙수 건대점,3.10.월,1,토마토빙수🍅✨,특별한 메뉴가 있어요,점심에 방문
도쿄빙수 건대점,2.2.일,1,딸기빙수 맛있고 재료도 신선하고 직원분도 친절하세요,"음료가 맛있어요, 디저트가 맛있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",점심에 방문
도쿄빙수 건대점,1.12.일,1,너무 이쁘고 맛도 좋아요 😄,"특별한 메뉴가 있어요, 디저트가 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요, 대화하기 좋아요",밤에 방문
도쿄빙수 건대점,24.10.5.토,1,"유행할때안먹어보고 유행다지나고 먹어본 도쿄빙수!
달달한 단호박죽 맛 토핑이 올라가있어서 맛있게먹었어요!
안에도 한층더 있어서 끝까지맛있게 냠

단점: 그릇 너무 작아서 질질흘리고먹을수밖에
접기","특별한 메뉴가 있어요, 디저트가 맛있어요",점심에 방문
도쿄빙수 건대점,24.12.10.화,1,1년 전에도 왔었는데 너무 맛있어요!! 가게에 마지막 남았는데 서비스로 에그타르트도 주시고 😍😍 다음에 또 올게요~~!,"차분한 분위기에요, 가성비가 좋아요, 디저트가 맛있어요, 건강한 맛이에요, 음식이 맛있어요",저녁에 방문
도쿄빙수 건대점,24.11.13.수,1,"매장 들어가서 눈마주쳐도 인사 없음
그리고 분명 10시까지 영업시간으로 표기돼있는데...
9시 넘어가면서부터 엄청 쾅쾅 의자 책상 드르륵 치우시고
손님들 문열고 들어오자마자 “저희 영업 끝났어요!”
9시 4x분쯤 카운터에 서서 영업 종료라고 소리치심.. 음.. 😟
접기",,저녁에 방문
도쿄빙수 건대점,24.12.13.금,1,"토마토, 피스타치오 등 독특하고 맛난 빙수가 있어요","매장이 청결해요, 특별한 메뉴가 있어요, 디저트가 맛있어요, 음식이 맛있어요, 아늑해요",저녁에 방문
도쿄빙수 건대점,24.12.9.월,1,도쿄빙수 토마토빙수 너무 좋아요,"음료가 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 디저트가 맛있어요, 건강한 맛이에요",저녁에 방문
