식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
드로잉레시피 건대점,5.16.금,1,"건대 맛집 인정! 피자랑 파스타 둘 다 완벽🍕🍝
피자 바삭, 파스타 꾸덕! 건대 맛집 찜💯
건대 맛집답게 피자랑 파스타 둘 다 맛집!
분위기도 맛도 최고, 건대 이탈리안 맛집!
건대 맛집 피자 쫀득, 파스타 풍미 가득!
접기","음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
드로잉레시피 건대점,5.6.화,3,"갈 때마다 갈림쉬림프 꼭 먹어주고 이번에 피자는 게토서울 먹었는데 가지 식감도 좋고 참 맛있었어요!
다음에는 드로잉 까르보나라도 맛있다는데 꼭 먹어야겠어요 :) 항상 만족하면서 맛있게 먹고 오네요","음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요, 단체모임 하기 좋아요, 대화하기 좋아요",점심에 방문
드로잉레시피 건대점,5.17.토,1,"트러플 머쉬룸 도리아랑 봉골레 먹었어요! 음식 진짜 너무 맛있고 짜지 않아서 음식 맛을 더 잘 느낄 수 있었네요💛 직원분 엄청 친절하셔서 또 감동,,
토요일 1시 쯤 방문했는데 거의 만석이어서 놀랬어요ㅠ
역시 건대맛집!! 또 올게요❤️","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",점심에 방문
드로잉레시피 건대점,6.1.일,1,"드로잉샐러드부터 피자, 파스타까지 다 완벽했던 건대맛집 💯
샐러드는 상큼하고 플레이팅도 예뻐서 입맛 제대로 돋우고,
갈릭쉬림프 파스타는 통통한 새우랑 마늘향이 진짜 미쳤음.
게토뉴욕 & 트러플머쉬룸 하프 피자도 조합 최고! 도우는 바삭하고 토핑 풍부해서 하나도 안 남기고 싹싹 비움 🍕✨

분위기 좋고 음식 퀄리티까지 완벽한 건대맛집, 다음에도 또 방문각!
접기","음식이 맛있어요, 매장이 청결해요, 인테리어가 멋져요",저녁에 방문
드로잉레시피 건대점,5.28.수,1,"친구에게 추천받아 처음 방문해본 드로잉레시피
건대 검색하면 연관검색어에 뜰 정도로 유명한데
캐치테이블 웨이팅하는 맛집이더라구요!
다음에도 파스타, 피자 생각나면 방문할게요😊

#건대맛집 #동네맛집 #드로잉레시피 #존맛탱 #내돈내산
접기","음식이 맛있어요, 재료가 신선해요, 음료가 맛있어요",점심에 방문
드로잉레시피 건대점,5.16.금,5,"건대입구역 맛집~~비오는 날 빈대떡이 아닌 피자가 생각나서 왔어요. 피자도 바싹하고, 파스타도 꾸덕하니 맛있어요. 저녁시간대 되니 테이블이 꽉차네요~~","음식이 맛있어요, 재료가 신선해요, 음악이 좋아요, 친절해요, 매장이 청결해요",저녁에 방문
드로잉레시피 건대점,4.29.화,2,"분의기도 좋고 음식도 맛있어서 데이트하러 가기 좋는 곳인거 같아요~
피자 사이즈가 라지, 스몰이 있어서 둘이서 데이트 하면서도 파스타랑 피자까지 먹을 수 있어서 좋아요👍
다른메뉴도 궁금해서 또 가보려구요~","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 아늑해요, 차분한 분위기에요",점심에 방문
드로잉레시피 건대점,5.5.월,1,"양식이 너무 먹고 싶어서 건대에서 제일 맛있어 보이는 양식집 고르고 골라서 왔어요,,,🤍

모든 리뷰에 피자 칭찬이 자자해서 와 무조건 피자는 꼭! 시켜야겠다고 생각했는데 와 여기 피자는 정말 제 인생피자입니다. 정말 이 곳 피자 위대한 피자 좋은 피자…

원래 까르보나라가 너무 먹고싶어서 양식을 먹자고 생각한건데 갈릴 쉬림프 이미지를 보고 안시킬 수 없겠더라구요 ㅜㅅㅜ 근데 최고의 선택 이였어요..🥹🤍

양도 되게 많아서 너무 배부르고 행복한 식사였습니다..🤍 다음에 다른 메뉴 먹으러 또 올거에요!!
접기","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요, 특별한 날 가기 좋아요",저녁에 방문
드로잉레시피 건대점,4.26.토,2,"맛 좋았습니다
도리아는 정말 맛있었구요
까르보나라도 맛있었지만 개인적으로 까르보나라보단 갈릭쉬림프가 훨씬 좋았습니다^^;; 다음엔 다른거 먹어봐야겠네요
여긴 뭘 시켜도 평타 이상을 치는 곳
접기",음식이 맛있어요,점심에 방문
드로잉레시피 건대점,6.2.월,1,"건대입구역 자양동에서 가장 추천할만한 파스타, 피자 전문 건대맛집으로, 대기가 항상있으니, 조금 일찍오는 것을 추천드려요.","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요",저녁에 방문
드로잉레시피 건대점,6.2.월,1,"남자친구랑 방문했는데 분위기도 좋고 맛도 좋더라구요~~~
왜 맨날 사람이 많은지 납득이 되는..💕
자양동 숨은 피자 파스타 맛집이에요 !!","음식이 맛있어요, 가성비가 좋아요, 아늑해요",저녁에 방문
드로잉레시피 건대점,5.8.목,4,건대맛집 드로잉레시피~~!!! 가족이 정말 좋아하는 식당이에요~~ 어버이날이라고 아들이 오늘 꼭 여기오자고 하네요. 아들은 페페로니만 먹는데 여기 피자가 바삭하고 넘 맛있다고 해요~~,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 차분한 분위기에요, 친절해요",저녁에 방문
드로잉레시피 건대점,5.7.수,2,"벌써 세번째방문
게토 뉴욕은 이번에 처음 먹었는데 진짜ㅋㅋㅋㅋ 예상치도 못한 치즈버거맛임 라스베가스 인앤아웃에서 시킨 햄버거 호텔에서 옴뇸뇸했을때의 맛!!!

하와이안/드로잉피자/게토서울 먹어봤고 뉴욕도 점령했다!!! 다음은 뮈먹지? 크크크 건대에 이런 맛집이 없었는데 13년만에 드디어!!!!@ 호야 아웃!!!!
접기",음식이 맛있어요,저녁에 방문
