식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
따롱이훠궈 홍대점,6.2.월,1,"홍대에도 유명한 따롱이훠궈가 생겼다고 해서 다녀왔습니다!!

분위기 너무 좋구요, 밤 쯤엔 조명이 은은하게 켜져서 야외석에서 밥 먹어도 너무 좋겠더라구요 😚
중국 현지 느낌 물씬나고, 음식도 전부 맛있었어요
특히 순살소고기 진짜 맛나요.. 😝
푸주도 알맞게 익어서 부들거리고, 소스 셀프바도 다양한 소스가 있어서 골라먹기 너무 좋았습니다!!
마지막 양꼬치까지 주문했는데 야들한 양고기살에 쯔란까지 넉넉히 주셔서 정말 맛있게 먹었네요

홍대입구 훠궈맛집 찾고계시면 따롱이훠궈 추천합니다 😆
접기","인테리어가 멋져요, 단체모임 하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
따롱이훠궈 홍대점,5.26.월,1,"마라홍탕 중국본토맛 주문했는데
한국에서 느껴볼 수 없은 매운맛을 느낄수있어요

탕안에 이미 야채 두부갸들어있어서
양도 많고 맛있게 매워서 좋아요

분위기도 중국 시장느낌나서 여행온 느낌 가득
접기","음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 차분한 분위기에요, 대화하기 좋아요",저녁에 방문
따롱이훠궈 홍대점,6.6.금,1,"홍대훠궈 맛집이에요.
양도 완전 푸짐하고 가성비가 너무 좋아요.

소스도 셀프바에서 즐길 수 있는데 워낙 다양해서 취향껏 즐기기가 좋아요.

토마토탕을 먹었는데 여태껏 먹었던 훠궈 중 제일 맛있게 먹었어요.

인테리어도 이국적이고 분위기도 좋아서 모임이나 데이트 하기에도 좋겠더라구요.
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 인테리어가 멋져요",점심에 방문
따롱이훠궈 홍대점,6.4.수,1,"홍대 훠궈 맛집 따롱이훠궈
본토 느낌 낭낭하고 데이트하기에도 딱!!
기본적으로 많이 맵고 얼얼하니 맵찔이 주의.
맛있어서 계속 손이가는 맛.. 중독 그 자체🔥🔥🔥🔥🔥
분위기 짱 좋음. 음식도 존맛탱 🫶❤️❤️❤️❤️🤤
접기","음식이 맛있어요, 재료가 신선해요, 단체모임 하기 좋아요, 컨셉이 독특해요, 친절해요",저녁에 방문
따롱이훠궈 홍대점,6.3.화,1,"내부 인테리어가 중국에 놀러온 것 같았습니다!!
음식도 너무 맛있고 소스를 따로 만들어 먹을때 점장님 추천으로 만들었는데 넘 잘어울렸습니다👏
최고예요! 다음에 다시 와서 토마토탕 먹으려고요🔥","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",점심에 방문
따롱이훠궈 홍대점,5.11.일,1,"토마토홍탕 너무 진국이네요! 처음 왔는데 다음엔 홍탕도 먹어보려구요
양도 많고 두유피도있어서 맛있게 먹고 가요 :)
이런집은 흥했으면 좋겠네요🩷🩷🩷
자리도 넓어서 모임으로도 너무좋은 따롱이훠궈!@!!
완전 추천입니닷
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 친절해요",점심에 방문
따롱이훠궈 홍대점,5.29.목,1,"야장 분위기랑 넓은 매장, 청결함 다 좋았고 음식이 너무 맛있어요! 토마토 훠궈 중국 현지에서 너무맛있게 먹었었는데 거기에 필적하지않나 싶을정도!! 그리고 계란볶음밥이 댕맛도리 미쳤으니 꼭 시키세요 ㄷㄷㄷ 짱맛!!!","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",밤에 방문
따롱이훠궈 홍대점,4.1.화,1,"홍대데이트맛집.
사천성 본토의 매운맛을 느끼고 싶은 분들께 강력 추천함.(맵찔이는 토마토탕 하시길 ㅎㅎ) 사천성에서 시작한 브랜드로 우리나라에서는 생소하지만 현지 10대 훠궈 맛집으로 중국인 손님도 많은 곳. 중국 현지 느낌 나는 인테리어와 야장으로 분위기도 좋은 곳.","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
따롱이훠궈 홍대점,5.27.화,1,중국 유명한 10대 훠궈 브랜드 중에 하나라해서 중국음식 좋아하는 저로서 무조건 가봐야할 곳이였습니다! 그래서 방문하니 분위기도 너무 좋고 외국인들도 많고 양도 푸짐하게 많이 나와요!! 너무 맛있고 또 오고싶습니다!,"매장이 넓어요, 컨셉이 독특해요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
따롱이훠궈 홍대점,5.31.토,1,"평소 중국요리를 너무 좋아해서 인테리어분위기도 너무 좋은 곳이 있다길래 남편이랑 방문했는데,
남편은 마라를 잘못먹어 토마토훠궈도있어 너무 좋았고 모든음식이 다 너무 맛있어요..!

분위기부터 음식맛까지 완벽하고 매장도 넓어서 모임으로 방문하기도 너무 좋을것같아요!
접기","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
