식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
렉터스라운지 홍대,6.7.토,1,"커피가 맛있고 차분한 분위기의 카페입니다🙂 3층으로 이뤄져, 지하1층은 주문과 테이블 서너개 정도가 있고 1층과 2층은 조용한 분위기의 자리들이 많습니다. 카페 밖에도 앉을 수 있는 자리들이 있어서 날씨가 좋은 날에는 밖에서 책읽어도 좋을 것 같아요🏡 !","커피가 맛있어요, 디저트가 맛있어요, 인테리어가 멋져요, 야외공간이 멋져요, 차분한 분위기에요",점심에 방문
렉터스라운지 홍대,6.7.토,1,"저장해두고 방문은 처음해보는데 진짜 좋아요! 섹션마다 분위기가 달라서 분위기 바꿔가며 작업할 수도 있고, 홍대라 접근성도 좋아요. 다음에도 또 방문할 것 같아요!☺️

#서울북카페 #홍대카페 #작업하기좋은카페","인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요",점심에 방문
렉터스라운지 홍대,6.11.수,1,"롱블랙도 맛좋고-
공간 별로 특색이 있어서 좋았어용
공부하기엔 2층이 좋네요 ㅎㅎ
화장실도 깔끔하게 잘 관리하시고
야외공간도 6시 넘어가니 선선하니 좋네요
재방문 예정입니당
아 그리고 책도 많아용
#서울북카페 #홍대카페 #작업하기좋은카페
#책읽기좋은카페 #노트북하기좋은카페
접기","화장실이 깨끗해요, 인테리어가 멋져요, 집중하기 좋아요, 야외공간이 멋져요, 커피가 맛있어요",점심에 방문
렉터스라운지 홍대,6.10.화,1,처음 방문했는데 완전 느좋 카페네요!! 맛있어서 먹다가 사진 찍었어효 ㅋㅋ 🥰 분위기 너무 좋고 공간도 넓어서 작업하러 오기 너무 좋아요!! 사장님도 친절하시고 시원하고 화장실도 넓고.. 공간 자체에 신경을 많이 쓰신 느낌이라 단골 될 것 같아용🥹🤍🤍,"커피가 맛있어요, 친절해요, 인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요",점심에 방문
렉터스라운지 홍대,6.4.수,1,"인테리어, 창밖뷰, 음악, 커피맛, 담요랑 책까지 매력적이고 만족스러운 공간입니다! 공간과 서비스에 대한 사장님의 고민과 정성이 보여서 더 애정이 가는 카페였습니다!
창밖 조경이 예쁜데 맑은 날 와서 창가자리에 앉았더니 채광에 마음이 편안해지네요☺️
노트북 작업하기 좋은 카페, 혼자 사색하기 좋은 카페, 책 읽기 좋은 카페, 조용하고 느긋하게 시간 보낼 수 있는 카페 찾는다면 추천합니다!! 좋은 공간 발견해서 좋네요. 오래 운영해주셨으면 좋겠습니다!","커피가 맛있어요, 인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요, 야외공간이 멋져요",점심에 방문
렉터스라운지 홍대,6.4.수,1,"나만 알고 싶은 숨겨진 cafe...🫶
계단 따라서 올라오면 책장이 보이구요
잔잔한 노래 깔림+작업하기에도 좋습니다👍
방마다 다양한 공간이있어서 골라서 앉을 수있어욥!
#서울북카페#홍대카페#작업하기 좋은 카페#책 읽기좋은 카페#노트북하기 좋은 카페
접기","커피가 맛있어요, 음료가 맛있어요, 인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요",점심에 방문
렉터스라운지 홍대,6.1.일,1,무아지경이란 칵테일을 마셨는데 함께 준 조명 위에 올려서 왔다갔다 하면 일몰과 일출 같은 연출이 나타납니다. 의도하신 바인지 모르겠으나 굉장히 인상깊고 맛 또한 달고 짜니 여자들이 좋아할 맛이에요. 매장이 아주 넓고 읽을 책도 많아서 어지간한 북카페 보다 좋습니다.,"음료가 맛있어요, 가성비가 좋아요, 매장이 넓어요, 읽을만한 책이 많아요",저녁에 방문
렉터스라운지 홍대,6.8.일,1,"공부를 위해 조용한 카페를 찾고있었는데 웬걸..
핫플레이스를 발견하고 말았습니다 분위기면 분위기 공간이면 공간 아니 근데 커피 맛까지 이렇게 훌륭하면 다른 카페 어떻게 가요 🤣🤣🤣
차분하게 책읽고 싶거나 작업할 일이 있다면 이곳을 강력 추천합니다 따봉 육천 삼백개 드립니다😄","인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요, 차분한 분위기에요, 음료가 맛있어요",점심에 방문
렉터스라운지 홍대,6.8.일,1,"제가 갔던 북카페 중 최고입니다.
여기 인테리어 진짜 따뜻한데 세련됐습니다..
완전 만족 앞으로 무조건 다시 올 예정이고 여기 단골 될 거 같습니다!! 강추!!

#서울북카페
#홍대카페
#작업하기좋은카페
접기","커피가 맛있어요, 디저트가 맛있어요, 인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요",점심에 방문
렉터스라운지 홍대,5.31.토,1,업무가 많아서 항상 조용하고 분위기 좋은 카페를 찾곤 했는데 공간도 넓고 분위기도 좋고 노래도 좋고 감성도 좋고 이런 느좋 카페 저만 알고 싶은데 제가 특별히 공유합니다;;; 공익을 위해서;;;; 여기 정말 좋아요 첨 왔는데 반해버렸어요 😵‍💫😵‍💫🩷🩷🩷 담에 또 올 것입니다…. 사장님 돈 많이 버세요,"커피가 맛있어요, 인테리어가 멋져요, 집중하기 좋아요, 매장이 넓어요, 아늑해요",저녁에 방문
