식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
로니로티 건대점,4.27.일,1,"건대역에 있는 로니로티를 다녀왔어요.😁

이미 방문은 몇번 해봤고, 배달로도 즐겨 먹는 곳입니다.

로니로티의 극장점은 대식가인 저에게 양으로 무한 한 감동을 준다는 점이에요. 정말 가성비로는 표현이 되지 않을 만큼의 양을 줍니다.

제가 가장 좋아하는 메뉴는 김치 필라프인데, 오늘은 안먹어 봤던 메뉴로 주문을 했습니다.

이탈리안커틀넷은 돈가스인데, 정말 바삭하고 맛있어요. 주변에 샐러드와 감자튀김도 올라가 있는데 소스며 양념이며 정말 출중합니다. 전문점 돈가스보다 나아요.

차돌박이상하이스파게티는 매운고추가 많이 들어가 있고 바지락과 버섯이 들어가 있는데 신라면보다 약간 매운정도이며, 느낌에는 국물없는 매운짬뽕 먹는 기분이에요.

로니로티는 모든 음식이 맛있고, 매장도 넓고 최고에요!!💘
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 인테리어가 멋져요, 대화하기 좋아요",점심에 방문
로니로티 건대점,6.9.월,1,건대 로니로티는 예전부터 자주오던 곳이었는데 몇년이 지나도 가성비가 너무너무 흘륭해요 ㅎㅎ 맛은 진짜 강남 청담에 있는 비싼 파스타집보다 훠얼씬 맛있어용..ㅎㅎㅎ 그리고 직원 분들도 너무 친절해서 건대 데이트코스로는 정말 이만한 곳이 없어요. 강추강추,"음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 대화하기 좋아요, 친절해요",저녁에 방문
로니로티 건대점,4.27.일,2,"건대에서 개인적으로 분위기, 맛, 양 대비 가성비 대박인곳 1등 로니로티!🍽
건대입구 1번출구 바로 앞에 있어서 접근성도 좋은 곳이에요.
이탈리안커틀렛(10,900), 차돌박이상하이스파게티(16,900)
모두 Half 사이즈로 주문.
커틀렛은 웬만한 돈까스집보다 맛있음.
튀김옷이 얇고 부드럽게 사그작 부서지는 스타일입니다. 튀김옷이랑 고기랑 분리가 잘되긴했지만ㅋㅋ
따로 나온 돈까스 소스는 진해서 조금만 찍어 먹어도 돼요. 샐러드가 많이 나와서 죄책감 덜하게(?) 즐길수있었습니다.
상하이스파게티는 매워요!🔥
매운거+마라탕 러버들이 특히 좋아할맛.
차돌박이랑 버섯이 많이 들어있어서 개인적으로는 만족스러웠어요.
원래 여기 최애 메뉴는 김치필라프인데 다른 시도하는 메뉴들마다 맛있어서 주기적으로 찾게되는 곳입니다😘
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 넓어요",점심에 방문
로니로티 건대점,5.25.일,1,"오랜만에 방문한 로니로티, 하프와 원플레이트로 고를 수 있어서 상황에 맞게 주문하기 좋고 푸짐한 양은 역시나 변함없어 좋네요👍🏻 꾸덕한 리조또에 목살스테이크 환상적😍

#건대맛집#건대로니로티#건대스테이크#건대파스타","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 넓어요",점심에 방문
로니로티 건대점,5.14.수,1,"갈비살샐러드도 싱싱하구 갈비살도 같이 먹으니 맛있고, 목살스테이크와 새우필라프도 넘 맛있어요.
하와이안피자도 따뜻하니 여러가지 요리를 골고루 먹으니 양도 넉넉하구 든든하구 시원한 레몬맥주도 좋아요~","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요",저녁에 방문
로니로티 건대점,6.11.수,3,너무 맛있어서 계속 추가주문해서 먹었어요~~올리브 스파게티 최고 맛나요 야끼스파게티는 일본식인줄 모르고시켯는데 매웠지만 별미였습니다 또갈게요^^,"음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 메뉴 구성이 알차요",저녁에 방문
로니로티 건대점,5.31.토,1,넓고 쾌적해서 건대올때 자주오는 매장이에용 맛있는데 양도 엄청 많고 거기에 가격까지 착해서 조아여!! 까르보나라는 늘 맛있고 갈릭삼겹 처음 시켜봤는뎅 짭쪼롬하니 좋네용 다음에 또 오겠습니당😄💗💗🙏🏻,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 양이 많아요",점심에 방문
로니로티 건대점,5.31.토,1,"양도 많고 맛있어서 자주와요
여럿이 오기 너무좋고
맛있어요
스테이크도 파스타도 다맛나고
샐러드 소스 너무 맛있어요

#건대파스타#건대맛집#건대스테이크#건대로니로티
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 매장이 청결해요",점심에 방문
로니로티 건대점,6.5.목,1,"부채살 스테이크 먹었는데 샐러드랑 같이나와서 너무 맛있어요! 차돌박이 상하이 스파게티는 매콤 칼칼하니 맛있네요! 다음번엔 원플레이트로 도전해봐야겠어요~! 너무 맛있어서 숟가락으로 소스까지 퍼먹었어요 ㅋㅋ
#건대맛집#건대로니로티#건대스테이크#건대파스타","음식이 맛있어요, 양이 많아요, 재료가 신선해요, 가성비가 좋아요, 매장이 넓어요",점심에 방문
로니로티 건대점,5.31.토,1,"#건대맛집 #건대로니호티 #건대스테이크 #건대파스타
몇년째오는 단골 맛집이에요
친구들 이랑 왔다가 이번엔 가족이랑 식사하러왓러요 ㅎㅎ","음식이 맛있어요, 매장이 넓어요, 매장이 청결해요",점심에 방문
로니로티 건대점,6.10.화,1,"로니로티 건대점 너무 맛있어요!!
목살스테이크 강추!!

#건대맛집#건대파스타
접기","뷰가 좋아요, 음식이 맛있어요, 가성비가 좋아요",점심에 방문
로니로티 건대점,5.29.목,2,건대생은 꼭 와야되는 로니로티…🩷🩷 너무 맛있어요 조별 모임 하러 왔는데 진짜 최고!!,"음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요, 단체모임 하기 좋아요",저녁에 방문
로니로티 건대점,6.3.화,1,"파스타 먹을 때마다 오는 로니로티.
광진구인으로써 여기가 제일 가성비 맛집 입니다.
여기 만큼 맛있고 양 많은 집 없어요.
굳굳굳굳굳




#건대맛집 #건대로니로티 #건대파스타 #건대스테이크
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
로니로티 건대점,5.29.목,1,스테이크랑 샐러드 양도 많고 화덕피자도 맛있어요 일주일 사이 두번째 왔어요 ㅎㅎ,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요",저녁에 방문
로니로티 건대점,5.27.화,1,"양이 너무 많고! 가성비 완전 체고에요✨
4명에서 시켜도 많아용🫶🏻
맛도 맛있고 체고입니당🩷💨
건대 입구 체고 맛집
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요, 친절해요",저녁에 방문
로니로티 건대점,5.2.금,1,"입구부터 따뜻한 분위기 덕에 식사 전부터 기분 좋았어요 🍽️
파스타는 소스 양이 과하지 않아 깔끔했고, 면도 알맞게 익어 식감 좋았고요.
전체적인 흐름이 빠르고 자리도 여유 있어서 편하게 즐길 수 있었습니다.
건대에서 부담 없이 파스타 즐기기에 딱 좋은 곳이에요 👍
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요",점심에 방문
로니로티 건대점,6.6.금,1,"진짜 로니로티 개맛있음여…
맨날 건대오면 돌고돌아 또니로티임❤️
빨리 메뉴 다 머거봐여지","매장이 넓어요, 친절해요, 화장실이 깨끗해요, 음식이 맛있어요, 양이 많아요",저녁에 방문
