식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
마루마끼 성수점,6.9.월,1,"연어마끼, 차돌 후토마끼 반줄, 깻잎페스토 파스타 주문~~. 속이 꽉차서 그냥 먹어도 맛있고 소스에 찍어먹어도 넘 맛있어요. 깻잎페스토 파스타는 면이 너무 귀엽고 씹는 맛도 좋고 수란과 소스가 넘 잘 어울려 모든 음식 클리어~했어요.","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요",점심에 방문
마루마끼 성수점,5.28.수,1,"트러플 새우튀김 마끼 : 달달한 계란 과 잘 튀겨진 탱글탱글 새우튀김, 신선한 채소들이 잘 어울리면서 짭조름한 트러플 소스가 감칠맛을 업 시키는 마끼였어요!

전본 내장 파스트 : 소스는 꾸덕하고 진하고 감칠맛있는 전복 내장 소스에 부드러운면이 만나서 찰떡 궁합에 조합이었어요.
위에 올라간 전복은 쫄깃쫄깃했어요.
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
마루마끼 성수점,5.21.수,1,"차돌 알리오올리오를 먹어보니 파스타를 차돌로 감싸서 마치 육쌈냉면을 먹듯 먹고싶은 충동이 일어났다. 하지만 아차, 파스타는 양식이 아니던가. 교양을 차리지 않으면 안될 것 같다는 생각에 포크로 찔러 숟가락 위에서 돌려 먹었다. 차돌은 바삭과 부드러움 중간정도로 익었고 자색고구마칩으로 예상되는 과자는 찐득바삭의 사이에 있었다. 마늘은 바닥에 깔려있는데 면의 온도는 위는 차갑지만 아래는 살짝 따뜻했다. 마끼의 연어 신선도와 달걀말이의 부드러움은 좋았다. 마요소스도 진득했으며 후토마끼는 역시 알이 크다. 반줄 해야 5알 정도 나오는데 알이 크더라도 역시 비싸게 느껴지는 건 어쩔 수 없다.","음식이 맛있어요, 재료가 신선해요, 아늑해요",점심에 방문
마루마끼 성수점,5.15.목,1,"성수 데이트하기 좋은 맛집 마루마끼!
연무장길 한가운데 위치해서
핫플 카페 팝업 디저트 테이크아웃까지
동선 완벽해요 ㅎㅎ
음식도 빨리나오고
정갈하니 사진찍기도 예쁘게 잘나오더라구요
연어마끼 진심 먹어본것중에 젤 맛있어요 ㅠㅠㅠ
최고 ㅠ
차돌파스타는 먹어도먹어도 고기 가득해서
남자친구가 좋아할 메뉴로 추천!!
매장도 홍콩현지느낌나면서 아기자기 예쁘고
데이트장소로 추천하고 싶어요
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
마루마끼 성수점,5.1.목,1,"[협찬]일본식 마끼와 양식인 파스타를 전문적으로 판매하는 신상 맛집이네요
매장은 아늑한 느낌이 들고, 바 테이블과 2,4 인용 테이블이 있어서 혼밥부터 친구, 연인과 즐기기에 좋아요

✔️ 연어 마끼
사람의 얼굴같은 플레이팅이에요
연어와 계란이 큼지막하게 들어있어요
딱 한 입에 먹기 좋은 사이즈이고, 숙성 연어가 부드럽고 계란, 오이와 조화가 좋아요
와사비 마요네즈와 찍어먹으면 정말 맛있어요

✔️ 전복 내장 파스타
전복 내장을 정말 아낌없이 넣었는지, 꾸덕하고 진~한 파스타입니다!!
국물이 정말 녹진하고, 김부각과의 조화가 미쳤어요
바삭하고 짭짤한 김부각과 고소한 전복 내장이 정말 잘 어울려요!! 다시 생각날 맛입니다
접기","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 혼밥하기 좋아요, 차분한 분위기에요",점심에 방문
마루마끼 성수점,5.27.화,1,"후토마끼 사이즈 보고 놀랐어요ㅋㅋ 연어도 도톰하게 올라가 있어서 입안 가득 행복했구요💕
전복내장파스타는 꾸덕한 소스에 깊은 감칠맛까지 진짜 제대로예요!
음식도 금방 나와서 점심시간에 딱이에요 ⏰
성수에서 혼밥도 가능하고 데이트하기도 좋은 분위기였어요! 꼭 다시 갈 거예요 😍
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
마루마끼 성수점,5.29.목,1,"성수동 가서 맛집이래서 가봤어요 ㅋㅋ
일본같은 매장 느낌에 음식들이 엄청 프레쉬하고 유니크하더군요
전복파스타도 고소하니 새로운 퓨전 맛이고 마끼도 엄청 맛있더라구요^^","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 혼밥하기 좋아요",저녁에 방문
마루마끼 성수점,4.30.수,1,"성수동에서 데이트 하거나 나들이 할 때 방문하기 좋은 연무장길 맛집이에요!! 마끼 재료도 신선하고, 생각보다 양도 많아서 좋았어요!! 추천드립니당ㅎㅎ 전복내장파스타도 첨 먹어보는데 넘 맛있었어요,, 다음에 또 가서 먹고 싶은 맛ㅎㅎ분위기도 힙하고 맛도 좋은 성수동 맛집이에요 👍🏻","혼밥하기 좋아요, 컨셉이 독특해요, 음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요",점심에 방문
마루마끼 성수점,5.30.금,1,"메뉴 둘다 넘 맛있었어요
매장은 크지 않아서 웨이팅이 있을수 있답니다
다음엔 연어 후토마키도 먹어보고 싶네요
재방문할거에요
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 혼밥하기 좋아요, 매장이 청결해요",저녁에 방문
마루마끼 성수점,5.3.토,1,"성수 골목에서 우연히 찾은 우리마끼 성수점, 작지만 감성 가득한 공간이에요.
연어 후토마끼는 부드러운 연어가 어우러져 고급진 한 끼 느낌!
속이 꽉 찬 마끼가 입안에서 사르르 녹더라고요.
전복내장 파스타는 진한 바다 풍미가 인상적이었어요.
짭조름하고 감칠맛 도는 소스가 면에 착 감겨 숟가락이 멈추질 않았어요.
조용하고 따뜻한 분위기 덕분에 대화도 편했고, 다음엔 꼭 다시 가고 싶어요.
접기","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 건강한 맛이에요, 메뉴 구성이 알차요",밤에 방문
