식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
마리오네 성수점,6.5.목,1,"마리오네 다녀왔습니다
11시30분 오픈인데 10시52분 도착해서
웨이팅 걸어놨는데 그시간에 제가 13번째 였어요😅
정말 핫플이 맞더라구요🤭 12시조금 넘어서
들어갔습니다 메뉴는 시그니처인 가리발디랑
프로슈토부팔라 주문했습니다 친구랑 둘이갔는데
보통 두명이 두판 시켜서 드시더라구요 피자나와서
가리발디 먼저 먹었는데 정말 미친맛도리입니다
한입먹었을때 갬동 잊지 못해유🥹 프로슈토부팔라
도 너무 맛있었어요 둘중 한가지만 추천드리자면
제스타일은 가리발디 입니다 먹고 피자 두조각 남았는데
말씀 드리면 포장 해주셔서 가져왔어요
여긴 꼭 도가고 싶네요😊
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요, 메뉴 구성이 알차요",점심에 방문
마리오네 성수점,5.31.토,1,"한 입 먹어보고, 왜 이렇게 인기가 많은지 바로 납득했습니다...! 이탈리아 현지 맛을 제대로 구현해낸 피자 맛집이었어요 ㅎㅎ 재료도 신선하고 전체적인 재료 조합이 너무 좋아서 감칠맛이 예술이었어요ㅠㅠ 그리고 리얼 화덕에 구워내서 도우까지 남김없이 싹싹 먹게 되는 맛이었어요!

시그니처인 가리발디랑 마르게리타 토토 먹었는데 두 메뉴 구성 조합이 아주 좋았습니다 추천추천😀👍🏻
접기","인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요",점심에 방문
마리오네 성수점,6.8.일,1,"오며 가며 웨이팅이 너무 눈길을 끌던 곳입니다.
얼마나 맛있길래 이 더위에도 웨이팅이 끊이질 않을까하고 저희도 웨이팅을 ㅋㅋ

쫄깃 짭짤한 도우와 아낌없이 들어간 토핑이 취저입니다 이탈리안 피자 맛집을 성수동에서 찾다니 저는 복 받은 사람인가봐요
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
마리오네 성수점,5.23.금,1,"4시 50분에 웨이팅 등록하고 거의 7시 반쯤 입장했어요
성수동 구경하고 쇼핑하고 10팀 남았을때쯤 앞에서 대기했어요
앞에선 도우 반죽부터 화덕에 구워지는 모습 보면서 기다렸고 차례에 들어가서 주문하고 굉장히 빠르게 피자가 나왔던거 같아요
도우 소스 치즈 토핑 전부다 완벽하고 빵 끝만 먹어도 맛있는 말도안되는 피자입니다 저에게는 지금까지 먹었던 피자중에 최고였어요! 웨이팅한 2시간 반이 전혀 아깝지 않았어요
직원분들이 정말 친절하시고 여긴 진짜야..
접기","음식이 맛있어요, 재료가 신선해요, 현지 맛에 가까워요, 친절해요",저녁에 방문
마리오네 성수점,5.24.토,1,"오래 기다린만큼 맛잇게 먹엇습니다. 일산 포폴로 보다 전반적으로 더 만족하며 먹었습니다. 화덕피자집 찾아다니며 먹곤 하는데 탑이라 할만큼 맛있었지만, 이태리에서 살면서 먹은 피자랑은 조금 다릅니다. 마르게리타는 토마토맛도 진하고 도우조합도 맛이 좋았습니다. 가리발디는 맛은 소소 하지만 재료의 하나하나맛이 나지는 않아서 마르게리타 보단 별로 였지만 그래도 잘먹었습니다. 다음인 토마토 베이스 종류로 트로바 해보겠습니다. 치 베디아모 도포~","음식이 맛있어요, 재료가 신선해요",점심에 방문
마리오네 성수점,5.11.일,1,오픈런을해야 먹을 수 있는 피자 매장앞에 테이블링으로 30 분전에 방문해서 웨이팅걸어놨는데 부지런한분들이 많아서.. 대기햇음에도불구하고 30 분을 더 기다러서 피자를 접했는데 맛있었어요( 테이블링걸어두고 근처에 카페가있으니 쉬다 오시길),"음식이 맛있어요, 양이 많아요, 비싼 만큼 가치있어요, 친절해요",저녁에 방문
마리오네 성수점,5.17.토,1,"토요일 네시반에 대기걸고 거의 한시간 기다렸는데 진짜
도우, 치즈, 소스 완벽합니다ㅠㅠ

인생 화덕피자라 기다려도 또 갈 것 같아요
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
마리오네 성수점,3.26.수,1,"평일 저녁 6시에 갔는데, 웨이팅 1팀 있었습니다. 물론 제 뒤로 점점 늘어남👥
주변 손님들이 이탈리아 마냥 인당 1판씩 주문했길래, 저희도 호기롭게 마르게리따 클라시카+리코타(25.0), 모르타델라 피스타끼오(28.0) 주문했어요🐽
인생피자는 역시 마르게리따네요🥇심플 이즈 베스트
모르타델라 피스타끼오는 강한 햄맛과 부드러운 치즈 사이에 아주 미미하게 피스타치오의 고소함이 어우러지는 피자🍕
칠리소스와 올리브는 요청하면 갖다줍니다😊
접기","현지 맛에 가까워요, 음식이 맛있어요, 음식이 빨리 나와요",저녁에 방문
마리오네 성수점,5.9.금,1,"평일 4시15분 도착 30분에 캐치테이블 등록하고
5시 오픈에 바로 들어갔습니다-
재료 신선하고 도우 쫄깃 맛있어요! 마르게리따가 조금 더 맛났어용🍕","음식이 맛있어요, 재료가 신선해요",저녁에 방문
마리오네 성수점,5.15.목,1,화덕피자가 정말 너무나 맛있어요 종류도 여러개고 혼자서 1판 가능합니다 ㅎㅎ 다음에 다시 방문할 예정입니다!!,"음식이 맛있어요, 특별한 메뉴가 있어요",저녁에 방문
마리오네 성수점,3.22.토,1,"포장으로 가리발디 & 마르게리따+리코타 추가해서 시켰고, 너무 맛있게 먹었습니다👍👍

포장은 전화로 요청하면 되고, 15분 정도 뒤 매장으로 와서 결제 후 픽업하시면 됩니다.

피자는 기본적으로 도우는 기본적으로 쫄깃하면서 적당히 얇은편이였습니다. 저는 좋았어요!

가르발디는 뭔가 옐로우토마토가 채소지만 과일느낌나면서 달달함과 함께 치즈와 살시챠(소시지)가 어울어지며 독특하면서 익숙한 맛이라서 좋았습니다만....!

개인적으로 마르게리따에 리코타 추가한걸 더 강추합니다 ㅎㅎ

진짜 리코타가 적절하게 부드러우면서 토마토소스와 어울어지는데... 한입 먹으니 도우만 남아서 오히려 아쉬울 정도 였어요 ㅎㅎ

다음에 기회되면 직접 방문 or 또 포장해서 다른메뉴+마르게리따 먹어볼 예정입니다😆😉
접기","친절해요, 포장이 깔끔해요, 음식이 맛있어요, 비싼 만큼 가치있어요",저녁에 방문
마리오네 성수점,5.8.목,1,오늘 10시쯤 도착했는데 웨이팅 리스트 작성은 40분부터라 잠깐 한바퀴돌고 40분에 왔는데 앞에 12팀이 바로 어마어마하게 있더라고요 흑 한바퀴안돌고 걍 앞에서 기다릴껄 ㅎㅎ웨이팅입력하고 1시간반 웨이팅하고 먹었어요~ 가르발디 마르게리따 두판먹었어요 쫌 짜긴한데 본토맛에 느껴지고 담백하니 맛있게 먹었어요 저랑 엄마는 시그니처 가르발디가 맛있었어요 남편은 둘다 맛있다고 했어요,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
마리오네 성수점,3.15.토,1,"성수동 화덕피자 맛집으로 유명한데 예약하기 어려워 방문을 못했는데 드디어 방문했어요 시그니처 메뉴인 가리발디 역시 맛있구요 포르마지는 너무 치지해서 제 스타일은 아니었지만 치즈 좋아하면 좋아할듯 해요! 피클 대신 올리브 주는것도 좋고 칠리오일 있는것도 좋았어요

저랑 남편은 유럽에서 와서 워낙 극찬후기를 많이봐서 기대를 했는데 도우가 약간 아쉽긴 하지만 현지맛을 상당히 잘 구성했고 토핑은 정말 맛있었습니다 !

웨이팅만 심하지 않으면 마르게리따 먹으러 또 방문하고 싶어요
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요, 현지 맛에 가까워요",점심에 방문
마리오네 성수점,3.21.금,1,"도우의 폭신 쫄깃함이 와,,,,,진짜 미쳤고 위에 올라간 토핑들도 재료 하나하나 신선함이 그대로 느껴지는데 토마토가 이렇게 맛있는줄 이날 처음 알았네 웨이팅이 있어도 기다릴 가치 충분히 있고 성수 가면 무조건 꼭 가봐야 하는곳","음식이 맛있어요, 재료가 신선해요, 양이 많아요",점심에 방문
마리오네 성수점,6.1.일,1,"가게에서 먹으면 더 맛있었을 것 같은데
대기가 길어서 픽업해서 서울숲에서 먹었어요
도우가 쫄깃쫄깃 맛있습니당 올리브도 맛있었어요",음식이 맛있어요,점심에 방문
마리오네 성수점,4.12.토,1,"이게 진짜 이탈리안 정통 화덕피자 아니겠습니까. 도우, 소스, 토핑 모두 완벽합니다. 웨이팅할 가치가 있습니다.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 건강한 맛이에요",저녁에 방문
마리오네 성수점,3.2.일,1,"너무 맛있게 잘 먹었습니다.
친구가 추천해서 온 집인데 마침 비도오고 30분 정도 웨이팅도 했지만 충분히 가치있을만큼 메뉴가 맛있고 직원분들도 정말 친절하셨어요.
바쁘면 힘드실만도 한데 필요한거 더 없으시냐고 물어봐주시고 모든면에서 만족하고 갑니다👍🏻 재방문할게요~~","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 친절해요",저녁에 방문
마리오네 성수점,5.1.목,1,"탄 맛이 너무 강하게 느껴져서 너무 아쉬웠습니다.

가리발디 피자와 리코타 치즈를 추가하여 마르게리따 피자를 주문했습니다. 가리발디 피자는 비교적 괜찮았지만 마르게리따 피자는 도우가 너무 많이 구워져서인지 탄 맛이 너무 많이 났습니다. 입에 넣자마자 탄 맛이 지배적이어서 마르게리따의 맛을 전혀 느낄 수 없었습니다.

비교를 위해 각각 뒤집어서 동영상과 사진을 첨부했습니다. 왼쪽이 가리발디 피자, 오른쪽이 마르게리따 피자인데 마르게리따 피자의 도우가 확연히 색이 진하고 탄 부분이 많다는 것을 확인할 수 있었습니다.

화덕 피자 특성상 편차가 있어서 제가 먹은 피자만 유난히 그런 것일 수도 있다는 점 참고 바랍니다. 다만 부디 화덕의 온도 조절 및 굽는 시간 개선으로 편차가 줄어들었으면 좋겠습니다.
접기",커피가 맛있어요,저녁에 방문
마리오네 성수점,4.6.일,1,줄서는 이유를 알겠던 피자집! 개인적으로 가리발디가 마르게리따 보다 맛있었어요! 예약만 손쉽게 된다면 또또 가고싶은 곳 ㅠㅠ,"대화하기 좋아요, 친절해요, 음식이 맛있어요, 재료가 신선해요",저녁에 방문
마리오네 성수점,5.1.목,1,마르게리따마리오네 가리발디 보따르가,"음식이 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 음식이 빨리 나와요",저녁에 방문
마리오네 성수점,4.25.금,1,대기는 길어도 맛은 있는 곳,음식이 맛있어요,점심에 방문
마리오네 성수점,4.10.목,1,"4:30에 갔는데 오픈하고 40분정도?! 걸렸어요
맛있게 먹었습니당 🍕","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
마리오네 성수점,4.13.일,1,"진짜 너무 맛있어요! 다음에도 가서 먹고 싶은 맛,,마르게리따에는 리코타 꼭 추가하시는 거 추천드립니다! 진짜 신선한 맛이예요 시그니처 피자도 넘 맛있어서ㅜㅜ 다른 피자 먹으러 계속 가고 싶네요💕","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",점심에 방문
마리오네 성수점,4.5.토,1,"토요일 11시 20분까지 갔는데 대기 44번 받고, 근처 카페에서 1시15분까지 기다렸는데 19번...웨이팅이 안빠져섴ㅋㅋㅋ (라스트오더가 2시 25분까지 안빠지면 주문이 안된다고 하시더라고요) 홀에서 포장으로 바로 변경해서 20분만에 시그니처 피자 구매하고 근처 길바닥에서 4분만에 흡입했습니닼ㅋㅋㅋㅋㅋ 맛있어요! 웨이팅은 감수해야할 것 같아요!",음식이 맛있어요,점심에 방문
마리오네 성수점,3.23.일,1,"응봉산 개나리 구경 갔다가 성수에 점심 먹으러 들른 마리오네 (직장 동료 추천)

핫플이 많은 연무장길 주변이 아닌 중랑천 부근이라 가는 길에 인적이 많지 않아 금방 오더할 수 있겠네 했는데 왠걸...
오후 2시로 향해 가는데도 웨이팅이 있어 자칫하면 식사를 못 할뻔 했다 ㅠㅠ (중식 라스트 오더 14:15)

사전정보 없이 가서 시그니처 메뉴인 가리발디를 오더했는데 주변 테이블들을 보니 모르타델라 피스타끼오를 많이들 주문하시네

화덕에서 갓 나온 피자의 맛이란 뭐 ㅋㅋ 더군다나 산행 후 시장까지 한 상태라서 너무 맛있게 먹었다

담에 좀 여유를 갖고 와서 이것저것 시켜 먹어보면 좋을텐데 요즘 물가가 너무 장난 아니다 ㅠㅠ
피자 한판이 이제 거의 3만원 이라니
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 차분한 분위기에요, 친절해요",점심에 방문
마리오네 성수점,1.31.금,1,"‼️‼️‼️캐치테이블 예약 필수 ‼️‼️‼️
이탈리아가 그리워서 방문했어요… 아패롤도 팔고,,, 피자만 있는 이곳이 바로 성수동 속 작은 이태리 🇮🇹
도전정신으로 1인 1판 시켰는데 생각보다 양이 남아서 포장했어요 🥹… 메뉴는 온갖 멋부린 피자보다 근본인 마르게리따 추천합니다 🙏","음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 대화하기 좋아요",저녁에 방문
마리오네 성수점,5.3.토,1,웨이팅 할만큼 재료도 신선하고 맛있었습니다,"음식이 맛있어요, 재료가 신선해요",점심에 방문
마리오네 성수점,5.25.일,1,"1. 저녁 5시 홀 예약(2인) 후, 당일 전화(오후12시)로 홀예약인데 포장 가능 문의 -> 박스 소진되어 포장 불가하나 남은거 호일포장은 해줌 -> 전부 호일포장이라도 가능한지 -> 고객님이 괜찮으시면 해줌
2. 포장 가능하다 하여 일행을 늘려 근처 서울숲에서 놀다가 시간 맞춰서 포장하러 감
3. 포장 불가 안내 -> 전화로 사전 확인햇다 말함 -> 내부 확인 -> 5시 40분에 다시오면 해주겟다 -> 난 사전확인했다 그게 말이 되냐 -> 그럼 지금 홀 주문 다 받고 20분 뒤에 주문 받아주겠다(홀 가득 찼는데 맨 마지막으로 만들어 주겟단 뜻) -> 난 직원과 사전 확인 했는데 내부 소통 잘못한걸 내가 불이익 당하는게 말 안됨 항의->겨우받음

신경질적인 응대 + 사과없음: 사전확인했음에도 진상된 기분
접기",,저녁에 방문
마리오네 성수점,1.25.토,1,"예전에 경수중학교였나? 그 옆에 있던 걸로 기억하는데 이번에 집주변으로 옮겨와서 지나가다 테이크아웃을 해봤습니다.

가장 잘 나가는 시그니처 메뉴인 가리발디를 먹어봤는데 치즈의 풍미도 괜찮고 약간 칼칼한 느낌과 더불어 베이스 소스와 밸런스가 괜찮았습니다.
도우의 중앙부분부터 엣지 이전까지는 얇고 부드러우며, 엣지 부분은 쫄깃한 느낌은 있지만 겉이 바삭한 아메리칸 스타일의 그것과는 궤를 달리하는 느낌입니다.

화덕은 가스전용이 아니라 장작을 넣는 구조라 특유의 불향이 도우에 입혀져 있다고 느껴졌습니다.

전반적으로 맛은 있지만 가성비를 논하기에는 힘든 메뉴로 보이고 아쉽게도 매장 직원들은 그다지 친절하진 않았습니다.
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 직접 잘 구워줘요",저녁에 방문
마리오네 성수점,6.1.일,1,아주 맛있어요!!,"음식이 맛있어요, 재료가 신선해요",저녁에 방문
마리오네 성수점,1.23.목,1,"직접 반죽해서인지 도우가 쫀득해서 식감이 좋았어요
토마토의 맛과 버팔로치즈도 신선하고 맛있어요
이탈리아 피자답게 디저트캔디도 레몬사탕^^
나폴리 생각나요👍
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 청결해요",점심에 방문
마리오네 성수점,1.26.일,1,피자도우가 이렇게 맛있을 수 있군요 치즈풍미며 올리브유풍미 토마토풍미 뭐하나 빠지는게 없어요 화덕에 구워 스모키한맛까지 완벽 그 자체.,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",점심에 방문
마리오네 성수점,24.11.28.목,1,"✔️가리발디
안에 햄이 짭쪼롬하고 맛있음
✔️마르게리따(+리코타치즈)
토마토소스 올리브유 듬뿍 뿌려주심. 리코타 추가해서 드세요
✔️루꼴라
진짜 신선해서 어디서 받는지 궁금할지경

캐치테이블 예약취소 알람와서
오픈시간 예약하고 갔습니다.
예약자리랑 워크인자리 따로 있어 예약 못해도
오픈런 하시면 바로 먹을 수 있습니다.
웨이팅하며 메뉴 미리 적어서 들어가면 바로 먹을 수 있어요.

유명한데 이유가 있네요 맛있고 재료도 신선해요 !
올리브유 안아끼고 듬뿍 뿌려주셔서 너무 맛있게
두명이서 다~먹었습니다.
강추강추👍👍👍
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 건강한 맛이에요",점심에 방문
