식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
마망젤라또 성수점,6.11.수,1,"맛있는 젤라또 먹고싶어서 찾아왔어요!
날이 너무 더워서 진짜 흡입해서 먹었네요!
너무 맛있고 초코완전 꾸덕 !!!
금방 녹으니 매장에서 드시길 추천드릴게요
직원분들도 넘넘 친절해서 또 오고싶어요!
접기","디저트가 맛있어요, 비싼 만큼 가치있어요, 음식이 맛있어요, 친절해요, 매장이 청결해요",밤에 방문
마망젤라또 성수점,6.3.화,1,"분당에서 인기가 많은 젤라또 집인데 성수에도 지점이 생겨서 방문해봤습니다.
성수점도 인기가 많은지 줄이 꽤나 길게 서있었습니다. 매장이 분당점보다는 커서 내부 좌석이 꽤 있지만 내부 좌석을 이용하는 것은 쉽지가 않아서 테이크아웃을 해서 먹는 것을 추천드립니다.
전반적으로 대부분의 젤라또가 맛있는 편이고 시즌마다 주기적으로 메뉴가 바뀌는데 피스타치오나 초콜렛, 소르베류를 추천드립니다.
기본적으로 빨리 녹는 편이라 컵을 추천드리지만 콘을 드실거라면 피스타치오 콘을 추천드립니다. 피스타치오 콘이 맛도 괜찮고 사진찍기에 비주얼도 괜찮은 편입니다.
접기","특별한 메뉴가 있어요, 디저트가 맛있어요, 친절해요",밤에 방문
마망젤라또 성수점,4.29.화,1,"비주얼은 그럴싸해 보이나 맛은 평범 그 자체!! 재방문 의사 없어요!! 그냥 아이스크림 같았어요 시칠리아산 리얼 피스타치오 젤라또+피스타치오콘 주문했는데 피스타치오 맛이 진하지도 않고 쫀득한 식감도 없어요 그렇지만 젤라또에 설탕은 최소화, 대체당을 사용하고 화학첨가물이 안 들어간 점은 좋았어요 참고로 평일 오후 1시 50분 기준 10분 기다렸어요 최근에 먹었던 젤라또 중 가장 맛있었던 곳은 을지로3가 젤라또 와인바 타바키!! 여기는 피스타치오가 진하고 쫀득하고 진짜 맛있어요 특히 블루치즈맛은 환상적","건강한 맛이에요, 메뉴 구성이 알차요, 종류가 다양해요, 친절해요",점심에 방문
마망젤라또 성수점,4.24.목,5,"시즌메뉴 벚꽃젤라또 먹었는데 넘 맛있었어요!
아이스크림도 정말 가득가득 주시는데, 위에 올리브오일이랑 벚꽃크럼블 올려주셔서 비주얼도 예쁘고 맛도 정말 풍성하네요!!
너무 맛있게먹었어요.","특별한 메뉴가 있어요, 디저트가 맛있어요",점심에 방문
마망젤라또 성수점,5.4.일,1,"웨이팅이 길게 있길래 궁금해서 자세히 봤더니
너무 맛있어보여서 저희도 바로 줄서서 먹었어요😖😖
한 20분 정도?? 기다린 것 같아요 ㅎㅎ
피스타치오 너무 맛있었어요 ㅠ3ㅠ
초코와의 조합이 정말 좋네요 ㅎㅎㅎ 먹길 잘했어요!
리조 먹은 친구 말로는 리조도 쌀알이 씹히면서 맛있었대요
접기","특별한 메뉴가 있어요, 디저트가 맛있어요, 메뉴 구성이 알차요, 음식이 맛있어요",점심에 방문
마망젤라또 성수점,5.18.일,1,"<스티브 추천>
단연코 젤라또 탑!이네요… 😘가격은 엄청 사악해서 ㅠㅠ😩
얼마 전에 생긴 성수동 젤라또 집이에요. 너무나 너무나 맛있는데 가격이 너무 무사해요. 아이돌 어른들 각각 웃고 싶은 젤라또 먹었는데, 가격 30,000원 이상 나왔네요.
비싼 젤라 돌아서 돌아다니면서 먹지 않고 앉아서 하나하나 음미하면서 먹었어요. 콘을 추천 원하시는 맛 선택 하시면 되는데, 항상 먹고 싶었던 티라미슈는 못 만드셨는지 없었어요. 첫 번째 사진은 스페셜 젤라또는 시그니처인데 딱 해외에서 먹는 젤라또 맛이네요
라벤더는 상큼하고 따뜻한 맛
먹고 싶었는데 가격이 너무 상해서 왠지 손해보는 느낌으로 매번 먹지 못했어요
큰일났어요 와이프랑 아이들이 너무 좋아해서 지갑 탈탈 털리고 있어요 ㅋㅋㅋ
접기",특별한 메뉴가 있어요,점심에 방문
마망젤라또 성수점,5.28.수,1,"평일 저녁 8시 넘어서 오니까 줄이 별로 안 길었어요
품절 된 메뉴가 많아서 아쉬웠지만 새로운 맛들을 도전해 볼 수 있어서 좋았습니다
라벤더와 참외 소르베를 먹었는데 걱정과 달리 굉장히 맛있었어요 추천합니다👍👍","특별한 메뉴가 있어요, 디저트가 맛있어요",아침에 방문
마망젤라또 성수점,6.6.금,1,"성수에 올때마다 와보고 싶었던 마망젤라또!
점심식사 빠르게 하고 왔는데도 사람이 엄청 많아서 뜨거운 햇살에 웨이팅 했네요.

기다린만큼 엄청 쫄깃하고 맛있어요.
특히 젤라띠벨라띠 이천쌀 젤라또를 엄청 좋아하는데, 여기 리조 메뉴가 비슷해보여서 시켰는데 만족해요 👍🏻💕 다음에 오면 재방문할 계획입니다!
접기","특별한 메뉴가 있어요, 디저트가 맛있어요, 음식이 맛있어요",밤에 방문
마망젤라또 성수점,5.14.수,1,"유명한 젤라또 맛집이라는 소문에 방문했어요.
무슨맛을 먹어야할까- 고민하다가
바닐라 위스키를 먹어야겠다 생각했는데,
막상 주문할때는 라벤더랑 피스타치오를…ㅎ
라벤더맛 호불호 있을듯한데
저는 너무너무너무너무 맛있었어요
다음엔 라벤더로 두번먹을래요 ㅠ
라벤더아이스크림 제스타일…
라벤더티 생각할땐 특유의 차 쓴맛이 나지않을까 고민했는데 색깔도 맛도 모두 제스타일 ㅠㅠ
라벤더맛 정말 맛도리에요
다음에도 서울놀러오면 들리려구요~~~~
줄은 딥다 길었습니다 ㅋ 하지만 생각보다 빨리빠짐!
접기","디저트가 맛있어요, 비싼 만큼 가치있어요",아침에 방문
마망젤라또 성수점,5.17.토,1,"블랙카카오를 먹었는데 위에 체리도 있어서 먹기에 좋았어요
카카오를 좋아하시는 분들은 괜찮지만 아닌분들은 쌉쌀한 쓴맛이 날 수도 있어요
아몬드콘으로 먹으니 먹는도중에 아몬드가 씹혀서 맛있었고 콘도 바삭했어요",디저트가 맛있어요,밤에 방문
마망젤라또 성수점,5.26.월,1,"월요일이었는데도 대기줄있고 관광객들이 많았어요

첨가물 안 들어간 젤라또라 엄청 빨리 녹긴하더라고요 물티슈 많이 챙겨서 나오는거 추천드립니다. 맛은 그냥 젤라또맛",디저트가 맛있어요,밤에 방문
마망젤라또 성수점,6.9.월,1,"“한 입 베어무는 이탈리아 감성, 성수 골목에서 만나다”

성수동을 걷다 보면, 트렌디한 공방과 카페들 사이로
줄이 길게 늘어선 조용한 핫플이 눈에 들어옵니다.
바로 마망젤라또.
겉보기엔 소박한 유럽 골목의 디저트 숍 같지만,
한 입 먹어보는 순간… 고개가 끄덕여집니다. “아, 여긴 진짜다.”

✔ 젤라또의 퀄리티:
입에 넣자마자 느껴지는 부드러움.
‘인공적인 단맛 ZERO’
진짜 재료, 제대로 만든 디저트란 게 이런 거구나 싶더군요.
제가 고른 조합은 피스타치오 + 인절미 젤라또.

피스타치오는 고소함이 꽉 차 있고, 씁쓸한 여운이 딱 이탈리아 스타일.

인절미는 진짜 콩고물 풍미가 살아 있어서 고급 디저트 버전의 찹쌀떡 느낌.
접기","특별한 메뉴가 있어요, 디저트가 맛있어요, 친절해요",아침에 방문
마망젤라또 성수점,4.23.수,1,평일인데도 매장에 사람이 꽉 차있어서 뭐지뭐지? 하면서 홀린듯 친구와 들어간 곳인데 쫀득하면서 뒤끝이 깔끔한 맛의 젤라또였어요. 초코맛은 진하고 맛있는 아는 맛있는 맛이고 리쪼(쌀)은 진한 우유맛에 살짝 생쌀느낌의 알갱이가 씹혀서 처음엔 엥? 하다가 계속 먹게되는 맛이었어요.,"디저트가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
마망젤라또 성수점,5.25.일,1,성수 구격 중 줄이 어마어마해서 기다렸다가 사먹었어요 아쉽게도 대부분 솔드아웃이라 선택지가 많지않았지만 레몬소르베는 새콤달콤 맛있어요^^다음에는 다른 맛도 꼭 !!!,"디저트가 맛있어요, 컨셉이 독특해요, 특별한 날 가기 좋아요",밤에 방문
