식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
멘노아지 성수점,5.25.일,1,"11시 좀 넘어서 갔는데 좌석 다 차있고
한자리 남아서 앉았어요! 12시되니 웨이팅하네요~
대창덥밥먹고싶었는데 품절이어서 대신
소곱창라멘 약간 맵게했더니 제입맛에 딱!
남편은 돈코츠라멘에 차슈추가해서 아이랑 같이
먹었는데 잘먹네요! 공기밥도 무료여서
말아서 먹었어요👍🏻 잘 먹었습니다^^
접기","친절해요, 음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 메뉴 구성이 알차요",점심에 방문
멘노아지 성수점,4.26.토,1,"교대점 갔다가 맛있어서 성수점도 방문했어요!
운좋게도 빈자리 생겨서 바로 들어갔는데 회전율이 좋아서 금방 빠지더라구요. 기본 돈코츠는 쿰쿰한맛 싫어하는 사람도 부담없이 먹을만큼 찐한데 깔끔하고 모츠 돈코츠는 기본 맵기로 먹었는데 느끼하지않고 고소한게 딱 좋았어요! 직원분들도 친절하시구 공기밥도 무료도 주셔서 든든하게 먹을 수 있어요ㅎㅎ","음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 친절해요, 혼밥하기 좋아요",저녁에 방문
멘노아지 성수점,5.25.일,1,"성수동에서맛집 검색하다 발견한 보물같은곳을 찾았네요
아이랑 둘이 완전 흡입해서 밥을 마셨어요~♡
가격대비 양과 맛도 훌륭합니다~!!담엔 온가족 총 출동해야겠어요
라무네도 만나서 기뻤어요~♡
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요",점심에 방문
멘노아지 성수점,5.25.일,1,"성수동 맛집 멘노아지!
주말인데 쪼끔만 기다리고 금방 들어왔어요~
블랙가쓰오라멘, 마제소바, 차슈덮밥 시켰는데 다 맛있었어요!
성수동 오신다면 강추입니다.
접기","음식이 맛있어요, 인테리어가 멋져요, 친절해요",점심에 방문
멘노아지 성수점,6.2.월,1,"매운돈코츠 맛있네용ㅋㅋㅋㅋ 국물 색상은 맑아보이는데 시원하구 칼칼한게 제대로에요
매운거 좋아하시면 추천합니다👍🏻
타코야끼도 초생강이랑 같이 나와서 입안 개운하게 먹을 수 있어요!","음식이 맛있어요, 가성비가 좋아요, 술이 다양해요, 혼밥하기 좋아요, 차분한 분위기에요",저녁에 방문
멘노아지 성수점,6.7.토,1,분위기도 좋고 라멘이 정말 맛있네요!!! 매운거 좋아하는데 따로 메뉴에다가 기본/매운맛 선택까지 할 수 있어서 더 좋았어영 전 기뷴맛 먹었는데 부담없는 맛 너무 좋아여,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
멘노아지 성수점,6.6.금,1,"오랜만에 라멘으로 해장이 고파! 왔는데
맛도 좋고 가성비도 좋아요!
전 ㅎ 호르몬동에 한표 더 던져요! 달달 짭잘 고소!
3박자가 넘 좋아요!
접기","음식이 맛있어요, 가성비가 좋아요",저녁에 방문
멘노아지 성수점,6.10.화,1,모츠 돈코츠라멘은 가게 대표메뉴라 당연히 너무 맛있었습니다 특히 곱창은 냄새 하나도 안나고 맛있었습니다. 츠케멘 처음 먹어봤능데 찍어먹는 국물도 너무 맛있고 면도 탱글탱글해서 잘 먹었습니다☺️,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 혼밥하기 좋아요",저녁에 방문
멘노아지 성수점,3.28.금,1,"주문한 소곱창소바, 마제소바를 좋아하는 편이라 여기저기 많이 다녀봤는게 소곱창과 소바가 이렇게나 잘 어울릴줄이야!! 사이드로 주문한 타코야끼, 닭껍질교자도 정말 맛있어요 ㅎㅎ 혼밥하기도 좋고 점심 런치하기도 딱인 것 같은 식당입니다 ㅎㅎ 재방문 의사 100%!!","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요",점심에 방문
멘노아지 성수점,5.23.금,1,"‼️진짜 왕솔직한 리뷰‼️
소곱창이랑 라멘이랑 완전 잘어울리고 잡내없고 소곱창도 생각보다 꽤 올라와있어요 신라면정도맛인데 맵찔이도 맛있게 먹었어요","음식이 맛있어요, 특별한 메뉴가 있어요, 잡내가 적어요, 혼밥하기 좋아요, 차분한 분위기에요",점심에 방문
