식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
미루 성수,6.2.월,1,"해산물 비린거 안좋아하는 사람인데 하나도 안비리고 너무 맛있었어요🥹❤️‍🔥 참치랑 회, 문어 등이 들어있는 미루동 정말 너무 맛있어서 나중에 와서 또 먹고싶어요 ㅎㅎ 사이드로 나오는 함박스테이크, 새우튀김까지 완벽하게 맛있었어요 >< 식빵 샐러드는 아는 맛인데 특이해서 먹는 동안 너무 재밌었어요 ㅎㅎ 돈폐야끼 진짜 맛있으니까 꼭 시키세요 !!

성수동 연무장길에서 카이센동, 오꼬노미야끼, 우니파스타 있는 일식맛집 찾으신다면 미루성수 추천드려요 !
접기","친절해요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
미루 성수,6.1.일,1,"토요일 저녁, 성수동 데이트 겸 방문한 연무장길에 위치한 미루 성수!
깔끔한 인테리어와 정갈한 한상이 인상적이었어요. 우니와 연어알이 올라간 카이센동,미루동은 비주얼도 훌륭했고, 함박스테이크·튀김까지 구성된 한상은 가성비도 괜찮았습니다. 오꼬노미야끼도 추천! 진짜 정말정말 맛있었어요 분위기 좋고 데이트나 소규모 모임에 제격인 성수역 일식맛집!!! 😆 하이볼도 달지않은 깔끔한 맛이라 음식과 잘 어울렸어요 메론소다하이볼도 특이하고 괜찮았구요🥂성수디올쪽에있어서 위치도 좋아요 다음에는 우니파스타 먹으러 갈게요","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 친절해요, 특별한 날 가기 좋아요",저녁에 방문
미루 성수,5.31.토,1,"어쩌다가 발견해서 봣는데 너무 맛있어보이고 가성비도 좋아보여서 바로 예약하규 바로왓어요

너무너무 친절하시고 완전 다들 열정적이세요!
물론 음식맛도 미쳤습니다ㅠㅠ
둘이와서 단품하나 한상하나 시키면 양이 딱좋아여
성수에서 이런가격에 이런맛이라니 일본갈필요가없어여ㅠㅠ 주방도 오픈되어있어서 너무 깔끔하게 유지하시는게 다 보여요 강추!!
접기","매장이 넓어요, 혼밥하기 좋아요, 음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요",점심에 방문
미루 성수,5.31.토,1,"성게알 미루동 시켰는데 비린 맛 전혀 없고 맛있어요ㅎㅎ 잘 되가고 있는사람이나 썸남,썸녀 있으면 데려오기 딱 좋다🤭(없으면…칭구랑 와도 좋아요🥲 혼자 먹기도 너무 좋구 자리도 마주보고 앉는게 아니라 한명씩 앉을수 있어서 앞에 음식 만드는거 보는 재미도 있음👍🏻)","인테리어가 멋져요, 혼밥하기 좋아요, 혼술하기 좋아요, 음식이 맛있어요, 재료가 신선해요",저녁에 방문
미루 성수,5.21.수,1,"성수동데이트하기 좋은 일식 맛집이 생겼네요~ 연무장길 핫플쪽에 있어서 포토스팟인 성수디올 가기도 편하고 데이트 코스로 딱이에요.

분위기가 고급스럽고 세련돼서 좋고, 음식맛도 좋은 곳이에요. 카이센동 종류도 다양하고 맛있고 비주얼도 좋습니다~

그리고 여기 오코노미야끼 꼭 시켜먹으시길! 옥수수 튀긴게 곁들여져 나오는데 그게 아주 별미입니다. 소스에다 먹으면 정말 맛있어요👍🏻👍🏻 오코노미야끼 때문에 또 가고싶을 정도에요🥹
접기","인테리어가 멋져요, 차분한 분위기에요, 재료가 신선해요, 건강한 맛이에요, 매장이 청결해요",저녁에 방문
미루 성수,6.4.수,1,"스프카레가 궁금했지만 품절이라 성게알 미루동 한상,
연어알 미루동 한상, 오코노미야끼 시켰는데
다 맛나네요👍🏻👍🏻// 그리고 오코노미야끼 주문 할 때
많아서 다 먹을 수 있나 고민했는데 맛있으니 다 들어갑니다. 간만에 입이 즐거운 하루네요😎
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",점심에 방문
미루 성수,6.2.월,1,"음식이 맛있고 재료가 신선합니다.
요즘따라 카이센동이 너무 땡겨서 어제도 먹고 그제도 먹었는데 오늘 또 먹고 싶어서 왔는데 오늘 먹은게 제일 맛있었어요.
개인적으로는 단품보다는 세트로 시켜서 든든하게 먹는 게 좋아요.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 혼밥하기 좋아요, 대화하기 좋아요",저녁에 방문
미루 성수,5.31.토,1,"미루동이랑 스프카레 먹었는데 맛있게먹었습니다
스프카레가 뜨거웠르면 좋았을거같은데 그것 빼고는 맛있게 먹었습니다~~~
마루동 맛있고 바로 앞에서 조리하는 모습을 볼수있어 신기해요ㅎㅎ추천","인테리어가 멋져요, 혼밥하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
미루 성수,5.25.일,1,"성수에 있는 카이센동 신상 맛집.
미루성수에 방문해서 ‘미루동’ 을 먹었는데요,
단품에도 제공되는 식빵 샐러드로 입맛을 돋우고
한입 떠 먹은 미루동은 너무 맛있더라고요.

참치와 연어알, 성게알을 비롯한 신선한 해산물이 입안에서 춤을 췄습니다.

밥이 3분의 1정도 남았을때 직원분께 말씀드리면 오차츠케로 먹을 수 있도록 도미육수를 부어주시는데,
미루동이 너무 맛있었던 나머지 남기지 못하고 입 속으로 싹싹 긁어 먹었지 뭐예요?

그래서 밥을 추가로 주셔서 도미육수를 부어주셨는데
도미육수도 정말 맛있어서 넘 든든하게 잘 먹었답니다.

성수동에 방문하시면 카이센동 맛집 미루동에 방문해 보세요!
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 인테리어가 멋져요, 혼밥하기 좋아요",저녁에 방문
미루 성수,5.21.수,1,"둘이와서 미루동한상 트러플라구파스타 먹엇는데 둘의 조합도 너무 좋구 트러플향 장난아니면서 꾸덕하고 계속 중독되서 맛잇엇고,, 미루동도 일본식이 아닌 한식느낌으로 재해색한 느낌이라 거부감없이 계속 들어가는느낌!!!! 너무 잘먹엇습니당 😛❤️ 또올께요~~!","혼밥하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
