식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
민지슈퍼 건대본점,6.1.일,1,"건대에서 1차부터 3차까지 한 방에 해결?

우거지+들깨로 진하게 끓인 닭볶음탕은
진심 국물 미쳤고, 국물떡볶이랑 후라이드치킨 반마리까지 구성 완-벽했어요
생맥 2잔까지 찐 한 상 차림이 3만원대라니!!
가성비도 GOOD
야장도 분위기 좋고,
실내 인테리어는 레트로해서 술이 술술~~
네이버에 쿠폰도 많이 있어 무조건 각!!!
건대 대학생들이 제일 많이 찾는 이유가 있네요
접기","음식이 맛있어요, 가성비가 좋아요, 컨셉이 독특해요, 사진이 잘 나와요, 야외공간이 멋져요",저녁에 방문
민지슈퍼 건대본점,4.7.월,1,민지슈퍼 in 건대. 세상의 모든 민지에게 바치는 가맥이다. 뉴진스민지 부터 2NE1 공민지까지 포스터가 있다. 술과 식기는 가자 다 먹으면 되고 슈퍼에서 파는 과자는 말하고 가져가면 된다. 안주는 QR코드로 주문 한다. 래트로 풍의 인테리어가 속 마음에 든다. 음악의 선곡이 깜짝 놀랄 정도다. 떡볶이 튀김 예술이고 먹태는 계속 들어 간다. 막걸리도 맥주도 소주도 모든 것에 어울리는 안주가 갖춰져 있다. 굿이다.,"음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 인테리어가 멋져요, 음악이 좋아요",저녁에 방문
민지슈퍼 건대본점,6.10.화,1,지난번에 방문했다가 너무 재밌게 놀고 먹었던 기억이 있어서 또 왔네요 !! 안주도 가볍게 먹기에 좋아서 맘에 드는 곳이에요 😆😆,"음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 음악이 좋아요, 대화하기 좋아요",밤에 방문
민지슈퍼 건대본점,6.1.일,1,"너무 맛있어요 대학가라 그런지 가격도 저렴하고 노래도 좋고 야장 분위기 뿜뿜 닭매운탕 감자탕맛나요!
비빔면 볶음면도 맛도링요링요 건대가성비술집 추천!","음악이 좋아요, 친절해요, 매장이 청결해요, 화장실이 깨끗해요, 가성비가 좋아요",저녁에 방문
민지슈퍼 건대본점,5.21.수,1,"귀여운 컨셉에 맛도 만족스러웠던 민지슈퍼 방문후기입니다🤍🤍🤍 예약하고 갔더니 잘 안내해주시고, 친구들도 다들 넘 만족했어욤","친절해요, 음식이 빨리 나와요, 인테리어가 멋져요, 음식이 맛있어요, 가성비가 좋아요",저녁에 방문
민지슈퍼 건대본점,4.21.월,1,건대입구 진짜 오랜만에 왔는데 2차로 오기 넘 좋아요! 안주도 저렴하구 과자랑 라면도 있고 분위기도 너무 좋습니다 ㅎㅎㅎ 야외에서 먹을수있는 자리도 있고 오늘 같은 날씨 좋은 날에 오기 딱 좋은 곳이네요! 글구 떡볶이 진짜 마싯서용! 약간 신전느낌나고 좋으네여,"음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 오래 머무르기 좋아요, 컨셉이 독특해요",저녁에 방문
민지슈퍼 건대본점,5.27.화,2,"너무 친절하셔서 무조건 다시 와야하는곳입니다!!!!
무조건 재방문👍","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 음악이 좋아요, 친절해요",저녁에 방문
민지슈퍼 건대본점,5.18.일,1,가맥집 분위기 너무 좋고 메뉴 다양하고 저렴해서 너무 좋습니다!!! 매일 오고 싶어요,"음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 인테리어가 멋져요",저녁에 방문
민지슈퍼 건대본점,5.4.일,1,건대에서 가성비 좋은 분식집 겸 술집이고 간단하게 2차 오기에 좋은곳인 거 같습니다!! 떡볶이도 맵고 맛있어서 매운 음식 좋아하시고 대식가분들이면 좋아할 가게인 거 같습니다. 가격도 건대에서 엄청 저렴합니다~,"음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 대화하기 좋아요, 친절해요",저녁에 방문
민지슈퍼 건대본점,6.7.토,1,양도 많고 맛도 맛있고 사장님도 친절하셔요 데이트로 갔는데 분위기도 좋고 담에 또 오고싶은 집이에용!!,"음식이 맛있어요, 특별한 메뉴가 있어요",저녁에 방문
