식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
바오젠 성수점,5.13.화,1,"생긴지 얼마 안된 곳으로 요리들이 모두 깔끔하고 정갈해요💕
양도 많아서 가성비 짱입니다!!💘 특히 딤섬은 안의 육즙이 팡팡 터지고 식감이 부드러워서 넘 맛있었어요🥰
분위기도 고급스럽구 좋더라구용!!","친절해요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요",저녁에 방문
바오젠 성수점,5.24.토,1,"간만에 성수에 들린김에 친구들과 점심을 먹으러왔어요
처음 방문한 곳인데도 직원분들도 친절하시고
음식도 맛있었습니다!!
딤섬도 깔끔하고 맛있고 완탕면도 국물이 담백하구 시원한게 나중에도 생각 날 것같아요😄😄
다음에도 성수에 들리면 방문할 의사 100000%입니다
접기","음식이 맛있어요, 아늑해요, 친절해요, 매장이 청결해요, 특별한 날 가기 좋아요",점심에 방문
바오젠 성수점,6.9.월,1,"광저우에서 딤섬 먹고 반해서 한국에서 찾아왔어요!!! 중국에서 쉐프들이 직접 와서 만드는 곳이래요!!
그리고 특히 크리스피새우창펀 한국에서 먹을줄 몰랐어요ㅠㅠㅠㅠ호불호 없는 진짜 맛있는 맛이에요!!! 크리스피새우창펀은 꼭 드세요!!!진짜 맛있오요","매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 현지 맛에 가까워요",점심에 방문
바오젠 성수점,5.20.화,1,"WOW!! 단연코 한국 최고의
딤섬집입니다. 🥟이 가격에 이 맛이라면 여기 안 올 이유가 없어요.. 역대급 맛도리 딤섬~ 직접 여기서 다 만든다고 하시네요. 매운완탕과 게살 볶음밥 같이 페어링 했는데 속도 편하고 하나하나 디테일이 살아있어요. 면의 삶기, 청경채의 익힘..등등 매우 만족하고 갑니다! 성수동 주민인데 친구들과의 모임은 앞으로 여기입니다❤️
대박나세요~~
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
바오젠 성수점,5.24.토,1,"모임으로 다녀왔는데 매장도 넓고 주차도 가능해서 좋았어요!
특히 딤섬은 우리나라에서 찾기 힘든 정도의 퀄리티입니다. 모든 종류가 속이 꽉찼고 새우속이 너무나 탱글하니 식감 최고였어요~
청경채요리 간장소스도 짜지않고 간간하니 일품이었고.. 전반적으로 모든 요리가 신경많이 쓰신 티가 났습니다. 가격이 합리적이고 매장도 넓고 쾌적해서 딤섬생각날때 꼭 다시 방문하고 싶은 집입니다.","매장이 넓어요, 단체모임 하기 좋아요, 음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요",저녁에 방문
바오젠 성수점,5.22.목,1,"회사에서 점심회식으로 갔다가 맛있어서
다른 날 저녁에 친구들이랑 또 방문했어요🫧
인테리어도 이쁘지만
멘보샤 맛집이라 멘보샤 사진 많음 주의👀

전반적으로 요리에 들어가는 모든 새우가 탱글탱글

그리고 완탕면 국물이 매우 시원함ㅋㅋ
볶음밥도 넘 맛났음
그리고 매장인테리어가 좀 이국적인 느낌이 있어서
더 좋았어요~

인스타 틱톡 유튜브 @jeomyume
접기","음식이 맛있어요, 향신료가 강하지 않아요, 인테리어가 멋져요, 대화하기 좋아요, 매장이 청결해요",저녁에 방문
바오젠 성수점,5.22.목,1,"페스츄리 춘권, 가지튀김 강추합니다‼️
매장도 넓고 깨끗하고 사장님도 너무너무 친절하시구요
주방이 무슨 호텔 주방같아요 셰프님들이 많더라구요
그만큼 음식도 너무 맛있고 또간집입니다 !!
잘되시길
접기","친절해요, 화장실이 깨끗해요, 음식이 맛있어요, 매장이 넓어요, 단체모임 하기 좋아요",점심에 방문
바오젠 성수점,5.25.일,1,"성수 어딜 가든 웨이팅 있어서
그냥 검색해서 기대 안 하고 왔는데
결론은 다음에 또 오려구요.
반찬으로 나오는 오이 피클 이거
존맛탱이라서 한 번 더 추가했어요 으갸갹ㅋㅋ
육즙 쫙 입안을 적시는 소룡포 다른 건 몰라도
이건 꼭 드셔보세요... 제발 pls

매운완탕면 맛은 우육면 비슷한데
간장 베이스가 확 느껴져요
마라맛 절대 아님xxx

하가우는 새우 러버면 꼭 시키고
알이 꽉 차있음
수마이는 탱글탱글 속이 꽉 차있어요ㄹㅇ

성수오면 꼭 한 번 들러봤으면 좋겠어요ㅠㅠ
접기","음식이 맛있어요, 매장이 청결해요, 친절해요, 매장이 넓어요",저녁에 방문
바오젠 성수점,5.24.토,1,"딤섬 러버 셋이서 방문했습니다! 결론부터 말씀드리면 여러명이서 다양한 딤섬 주문 필수입니다ㅜ
우선 가게 첫인상이 너무 깔끔하고 넓어서 좋았고, 테이블 간격이 넓어서 조용하고 단체 모임을 하기에도 좋아보였습니다.

특히 가지튀김은 사장님 추천으로 먹게 되었는데 저는 개인적으로 가지를 좋아하지 않는데도 너무 맛있더라구요.. 미슐랭 쉐프님이 만든거라고 설명해주셨어요.
오시게되면 슈마이, 게살 하가우, 마라크림딤섬, 완탕면까지 다 추천드려요. 전부 만족스러웠고, 설명도 친절하게 해주셨답니다✨
세명이서 각 원픽 딤섬이 다 다를 정도로 다 맛있어요 ㅎㅎ

성수에서 정통 딤섬 찾는다면 꼭 추천드립니다! 딤섬이 먹고싶어지면 다시 방문 의사 100%입니다.. 또 방문할게요!
접기","친절해요, 매장이 청결해요, 음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
바오젠 성수점,6.9.월,1,"오랜만에 딤섬이 땡겼는데 새로생긴곳이 생각나 방문했어요 !!! 얼마잔에 중국에서 홍미창펀 처음 먹었었는데 여기서 먹을수 있어서 너무 좋았습니다 ! 현지맛
그대러 😎 소룡포도 생각향이 은은해서 부드럽게 먹기좋구 , 쇼마이 트러플까지 오이반찬이랑 먹으니 찰떡 🫶 사장님도 친절하셔서 다음에 또 오고싶어요 !","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 현지 맛에 가까워요",점심에 방문
