식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
베통 성수 플래그십,5.18.일,2,"오늘은 포장대기줄에 섰어요. 늘 매장에서 취식하는 빵손님들이 더 길게 줄을 서있었었는데, 오늘은 아침 이른 시각부터 문전성시 네요. 아무튼 이제부터 저는 베통 소금빵 🥐 맛을 알아 버려서 다른 빵집은 끊었어요 ㅎㅎ","디저트가 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 음식이 맛있어요, 빵이 맛있어요",아침에 방문
베통 성수 플래그십,6.11.수,1,"한국와서 오랜만에 성수동을 찾았습니다. 오랜만에 자연도소금빵을 사러 (9시오픈) 가고있는데, BETON이라는 소금빵집을 지나가게 되었습니다. 일본사람들이 오픈런으로 기다리고 있는 모습을 보면서 저도 같이 기다리게되었네요 ^^; (원래 기다리지않는 사람). 잘생긴 총각이 일본어를 하면서 손님을 응대하는 모습에 밝은가게라는 느낌을 받았고 또 소금빵의 맛을 자연도소금빵처럼 최고라는 느낌을 받았습니다!
대한민국의 수십곳의 소금빵을 먹어봤지만 베통 이 1순위로 올라와버리는 매직을 경험하고 갑니다 ^^","커피가 맛있어요, 빵이 맛있어요, 인테리어가 멋져요, 친절해요, 포장이 깔끔해요",아침에 방문
베통 성수 플래그십,5.16.금,1,"베통 성수에요 갓나온 세서미소금빵 최애트러플소금빵 솔티처코소금빵 그리고 핫아메☕️🥐☕️🥐☕️

살짝 흐린 금요일 오후.
마침 3층 테라스 좌석 비어있어서
테이크아웃 했다가,

다시 먹고 가기로🤭

갓구워 나온거라
기분좋은 바삭함과
촉촉함 가득- 진짜 잘 생각했다. 먹고 가기로 한거-

말그대로 순삭🥐☕️🥐

듣기 좋은 목소리톤으로
설명을 친근하게 해주시는 직원분들도

한번 또 와야겠다.

그런 기분좋은 생각도 들게 합니다.

점점 늘어나는 고객들이네요.

다음 분들을 위해서, 저희처럼 기분 좋은
시간 누리시라고

우리는 이만 일어나봅니다
접기","특별한 메뉴가 있어요, 가성비가 좋아요, 건강한 맛이에요, 친절해요",점심에 방문
베통 성수 플래그십,5.23.금,1,성수동 유명 소금빵집이래요. 지인이 가자고 해서 찾아갔는데 10시에 가니 이미 줄을 서고있네요. 일본여성분들도 많이 오시는걸보니 유명하긴한가바요. 앉아서 먹으려고 대기줄 섰네요. 주변이 볼거리가 많아 사진도 찍으면서 기다렸어요. 포장도 많이 하시네요. 외관도 멋지지만 입장하니 인테리어가 아기자기 멋져요. 소금빵 종류도 많아요. 언제 또 올까싶어서 다양하게 담으니 금액이 꽤나오네요.^^ 2층에 자리잡고 커피와 함께 먹어봤어요. 일반 소금빵과 다르게 묵직해요. 꽉찬 느낌! 또 먹고싶네요~^^,"커피가 맛있어요, 디저트가 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 인테리어가 멋져요",점심에 방문
베통 성수 플래그십,6.5.목,1,"베통 다녀왔습니다
제가 갔을때는 빵종류가 많이 없는상태였지만
웨이팅은 안하고 바로 주문할 수 있었어요
커피랑 빵 주문해서 매장에서 먹고 갔습니다
디카페인 커피 주문했는데 디카페인도 괜찮네요
소금빵도 맛있었습니다 😊
접기","대화하기 좋아요, 커피가 맛있어요, 디저트가 맛있어요, 특별한 메뉴가 있어요, 음식이 맛있어요",점심에 방문
베통 성수 플래그십,4.25.금,1,50년 빵순이 인생에 드디어 빵만세를 부르는 맛집 입니다. 빵좋아하는 친구와 빵을 찾아 젊은이들이 많이 찾는 힙한 동네 성수를 찾아왔어요 . 무방부제의 겉바 속촉 소금빵 ! 둘이 먹다 하나가 저세상 가도 모를 맛이네요. 🤣 정말 행복 하네요. 😸 그런데 어떻게 외국인들은 이 빵집을 알고 찾아 오는것인지 ? 참말로 궁금 하네요.,"디저트가 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 음식이 맛있어요, 빵이 맛있어요",점심에 방문
베통 성수 플래그십,5.30.금,1,"성수에 소금빵으로 유명한 곳이 있다고 해서 방문했어요!! 리뷰 찾아볼 때는 구매갯수제한있다고 들었는데 이제는 구매제한 풀렸다고 하네요👍
평일 방문했는데 포장 줄도 꽤 있더라고요.
기다려서 구매하고 얼마나 맛있을지 궁금해서 집 오자마자 먹어봤는데 와… 너무 맛있어요ㅠㅠㅠ
더 사올 걸 후회했어요ㅠㅠ
초코 소금빵은 무난한 초코빵 맛이었는데 일반 소금빵이 계속 생각나는 맛이에요!! 성수 잘 안가는데 소금빵 사러 또 가고싶네요👍
ㅡ
접기","디저트가 맛있어요, 특별한 메뉴가 있어요, 빵이 맛있어요, 친절해요, 선물하기 좋아요",점심에 방문
베통 성수 플래그십,5.23.금,1,"역시 평일에 와도 웨이팅이,,ㅜㅜ 그래도 직원분께서 넘 친절하셔서 감사했습니당
베통 소금빵 넘 넘 궁금했는데 존맛 !! 링 모양이어서 끝부분이 아주 바삭바삭해요
버터동굴과 빠쨕한 식감, 풍미 다 잘 살렸는데 꽤나 담백해서 맛있었어용ㅎㅎ","디저트가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
베통 성수 플래그십,6.5.목,1,"지금까지먹었던소금빵은 뭐였을까요?
우왕 넘버원입니다.
모양도독특하지만 통통한부분은부드럽고촉촉,
얇은부분은바삭한크리스피,

직원분들도친절하고유쾌하세요.

평일 11시쯤방문
대기10분정도 테이크아웃했습니다.
접기","비싼 만큼 가치있어요, 음식이 맛있어요, 인테리어가 멋져요",점심에 방문
베통 성수 플래그십,5.7.수,1,"성수동 갈때마다
베통 품절되서 엉엉 울다가
평일 낮에 다시 도전
드디어 성공했습니다.
베통 인기 엄청나네요. 손님 여전히 많고
3층까지 만석이예요.
베통 소금빵 진짜
감둉... 너무 맛있어요.ㅜㅜ
접기","커피가 맛있어요, 디저트가 맛있어요, 음료가 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
베통 성수 플래그십,5.31.토,1,여수언니가 먹는거 보고 맛있어보여서 웨이팅하러 왔는데 가게에서 먹는 줄은 긴데 포장줄은 금방 빠지더라구요~~ 토요일이라 1시간 기다릴 맘먹고 왔는데 15분도 안기다렸어요 ㅎㅎ,특별한 메뉴가 있어요,점심에 방문
베통 성수 플래그십,3.21.금,1,"평일 오전임에도 엄청난 줄에 깜짝 놀랐어요
앞뒤로 들리는 일본어가 여기는 글로벌하게 인기가 많구나 느꼈네요

포장/매장 줄이 따로 있는데 전 포장 줄에 섰어요
30분정도 기다려서 입장했구요
기다리는 와중에 베통의 유래, 여기만의 빵 특징을 설명해주시는 점이 인상적이었어요
특히 단점일수도 있는 느낌까지 가감없이 말씀해주시는게 친절함을 넘어서 빵에 대한 진심이 느껴지는 것 같아 좋았어요

내부는 런베뮤스타일로 모두가 사진찍는 그런 느낌이구요
빵 모양도 특이해서 다른 곳과 확실히 구분할 수 있을 것 같네요
소금빵 종류는 여럿 있었는데
기본맛보단 다른 맛들을 추천드려요
패딩턴맛은 오렌지 마말레이드맛이 잘 어울려 맛있었어요

끊어서 받기 때문에 막상 들어가면 번잡스럽진 않아요
담엔 초코소금빵 먹으러 와야 겠어요🥐
접기","종류가 다양해요, 친절해요, 인테리어가 멋져요, 사진이 잘 나와요, 아늑해요",점심에 방문
베통 성수 플래그십,6.6.금,1,"드디어 드디어 포장했어요~~ 대기줄이 의외로 짧아서 10분정도만 기다렸어요~

기본 소금빵👍👍👍
블루베리 소금빵(블루베리잼 들어가 있음,풍미
아쉬움)
시금치 바질 소금빵(안에 달달한 바질크림이 들어가있어요)

처음이라 하나씩 구매했어요~
역시 🥐기본이 제일 맛있어요!!
얇은 부분은 쫄깃 두꺼운 부분은 퐁신
버터풍미 가득💕

전 다음에 기본 소금빵만 많이 사오려구요~
접기","디저트가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
베통 성수 플래그십,3.15.토,1,다음은 베통에 갔어요~ 8시 45분에 갔는 데 사람들이 벌써부터 줄 서고 있었어요~ 대표메뉴인 소금빵이랑 아메리카노를 주문했어요~ 빵은 겉은 바삭했고 속은 촉촉하고 부드러웠어요~ㅎㅎㅎ 커피도 좋았고요~ 확실히 소금빵이 맛있어요~ 사람들도 많이들 사가시고요~,"커피가 맛있어요, 특별한 메뉴가 있어요, 빵이 맛있어요, 인테리어가 멋져요, 친절해요",아침에 방문
베통 성수 플래그십,3.17.월,2,"그동안 먹은 소금빵은 모야??
정말 특별한 여러 가지 건강한 베통 소금빵!!
가장 기본 소금빵도 고소하고 담백한 맛이 또다른 소금빵맛을 궁금하게 만들었다
웨이팅의 가치가 충분히 있는 핫플이다
커피맛도 아주 특별하고 소금빵을 더욱 돋보이게 하기에 충분했다
접기","커피가 맛있어요, 디저트가 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 친절해요",저녁에 방문
베통 성수 플래그십,5.3.토,1,"24년 대구 신세계 팝업으로 왔을 때 먹고 반했는데 대구에서 사라져서 서울 놀러왔을 때 생각나서 방문했어요 오랜만에 먹어도 맛있었고, 대구 팝업에 없던 메뉴들도 맛 볼 수 있어서 좋았어요 ㅎㅎ 특히 대구 팝업 때 오셨던 직원 분을 봐서 신기했어요 ㅎㅎ 베통은 기본이 베스트지만 모든 소금빵이 최고입니다 !!! 웨이팅도 생각보다 짧아서 좋았고 먹고 갈 수 있어서 좋았습니다 또 올게요!","디저트가 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",점심에 방문
베통 성수 플래그십,4.18.금,1,드디어 가본 성수 베통. 금욜 낮 오래 기다리지 않고 입장! 빵은 비면 자주 채워 주시는데 그래도 솔드아웃 되는 아이들은 타이밍상 못 만날수도..전체적인 분위기는 런던베이글 유사 너낌...? 빵은 묵직하고 버터리한게 맛있고 원픽은 뭐니뭐니해도 오리지널!,디저트가 맛있어요,점심에 방문
베통 성수 플래그십,5.2.금,1,"베통 고터점에서 먹고 반해서 성수점으로 방문했어요~~
금요일 오후 방문했고, 30분 정도 웨이팅했습니다
고터점과 다른 점은 빵 구매 개수 제한이 없더라구요
늦은 시간이라 그런지 직원분이 웨이팅 중에 원하는 맛이 소진될 수 있다고 미리 안내해 주신 점 좋았어요.

다행히 플레인이 있어 드디어 맛보았습니다ㅎㅎ
저는 뭐니뭐니해도 오리지널이 제일 맛있는거 같아요🥹
바질 고르곤졸라 남아있어서 골랐는데 풍미가 좋아요
접기","디저트가 맛있어요, 특별한 메뉴가 있어요, 친절해요",점심에 방문
베통 성수 플래그십,4.23.수,1,"오후에 포장 방문 했는데 품절된 제품이 좀 있었어요.
가족들이랑 먹을려고 4개 샀는데
너무 맛있었어요.
부위별로 식감이 다른 재미도 있지만
빵 자체가 그냥 맛있습니다.
소금빵 좋아하시면 꼭 드셔보세요~
접기",특별한 메뉴가 있어요,점심에 방문
베통 성수 플래그십,4.16.수,1,"줄서는 베이커리 베통 성수 플래그십에 드디어 왔네요.
요즘은 외국인 관광객들이 더 많이 오는 듯...
플레인을 먼저 맛봤는데 부드럽고 버터리해서 맛있네요. 생각보다 임팩트는 약한 느낌이었지만 맛있는 빵은 맞아요^^","특별한 메뉴가 있어요, 메뉴 구성이 알차요, 빵이 맛있어요, 인테리어가 멋져요, 친절해요",아침에 방문
베통 성수 플래그십,4.16.수,1,"베통 소금빵 3,900
시금치 바질 소금빵 4,800
차이브 크림치즈 소금빵 8,500
메이플 피칸 크림치즈 소금빵 8,000

가장 두툼한 부분에서 바삭한 크러스트와 소금과 빵의 단짠한 맛을 즐길 수 있어요
사이드 부분은 오븐에 구워질 때, 버터가 고이기 시작해 버터향이 퍼지면서 바삭해지기 시작한데, 이를 이어주는 꼬리 부분은 바삭한 고급 버터 과자처럼 입가심 용으로 제격이에요
접기","비싼 만큼 가치있어요, 빵이 맛있어요, 종류가 다양해요",점심에 방문
베통 성수 플래그십,4.27.일,1,친구가 전에 왔다가 전부 팔려서 못 먹어봤던 카페라고 해서 이번에 온 김에 들러봤습니다! 일요일 2시 30분 기준 웨이팅 30분 정도 하고 들어갔고 소금빵 맛집으로 유명하니까 소금빵도 4개 정도 같이 먹었어요🤤 제일 맛있었던 소금빵은 고르곤졸라 치즈랑 기본 소금빵이었어요! 초코도 먹어보고 싶었는데 마침 갔을 때 다 팔리고 조리 중이었어서 못 먹어봐서 아쉬웠어요🥹 아메리카노랑 생딸기 주스도 같이 먹었구요! 기대만큼 맛있는 맛은 아니어서 아쉬웠지만.. 잘 먹구 갑니다!,"대화하기 좋아요, 커피가 맛있어요, 디저트가 맛있어요, 음료가 맛있어요",점심에 방문
베통 성수 플래그십,3.22.토,1,"소금빵은 안 좋아하는 빵순인데도 베통은 딱 봐도
다른 소금빵들과 다를 것 같아서.. 어쨌든 1시간 웨이팅
후, 입장~ 입장 할 때는 10명 정도 들여 보낼때도 있고,
4명 들여 보낼때도 있음. 역시나 베통은 타 소금빵보다
맛있음.. 아들은 소금빵 보단 그냥 맛있는 빵 같다며ㅎ
오므라진 부분. 제일 빠직한 부분이 난 좋았음
직원분들도 굉장히 친절하고, 🌽 취향저격, 치아시드 담백, 아이들은 블베가 맛있다던데 난 블베는 별로. 아직 안 먹어 본 애들도 빵동고에 있으니 나중에 먹어보기로~~
접기","디저트가 맛있어요, 특별한 메뉴가 있어요, 건강한 맛이에요, 비싼 만큼 가치있어요, 친절해요",점심에 방문
