식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
봄의정원 성수점,5.25.일,1,"구름떡볶이?
호불호가 갈릴맛인데 매운떡볶이를 중화시켜주는 맛이 신선했어요.
우리들의 픽은 머쉬룸?파스타 였던거같아요
구운 팽이버섯이 올려져 여러버섯종류들과 어울려
감칠맛이 좋아서 계속 먹게되더라구요~
전체적으로 조합이 신선해서 맛있었어요^^

입장할때는 실내가 뿌얘서 어두운 분위기여서
연인들은 좋아할거같아요.
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 청결해요",점심에 방문
봄의정원 성수점,4.26.토,1,와 요기는 쌉인정~~!! 찐 맛집이고 가격두 너무 합리적인데요. 사람들 미어터집니다 ㅋ 모든 메뉴가 완벽하게 맛있네요~~ 건강보다는 맛에 초점을 둔 그런 은둔고수 맛집같은 느낌였어요~~~ 배터져 죽는줄~~~떡볶이 옥수수 다량 쫄긴 머랭과의 조합도 특이했지만 맛있었고 갓김치볶음밥 조금 짜지만 맛은끝내줬네요 마지막 봉골레는 말해모해 완벽한 맛집였어요!!! 또 갈께요 대만족한 찐 맛집였어요!!^^,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 인테리어가 멋져요",저녁에 방문
봄의정원 성수점,5.3.토,1,"친구들과 모임을 위해 미리 네이버예약을 하고 갔더니 편하게 자리잡고 먹을 수 있었어요
메뉴 구성도 괜찮고 음식이 다 맛있었어요
부담없고 편해서 좋았어요
단, 지하라서인지 환기가 잘 안되서 공기가 좀 안좋았어요 그부분만 개선하면 좋을 거 같아요
접기","인테리어가 멋져요, 매장이 넓어요, 아늑해요, 음식이 맛있어요, 가성비가 좋아요",저녁에 방문
봄의정원 성수점,6.10.화,1,"남자친구랑 데이트로 왔는데 분위기가 너무 좋고 대화하기도 좋은 곳이었어요😊
양도 많고 해산물이 신선해서 너무 맛있었어요!
저희는 봉골레파스타랑 로제파스타 주문했는데 둘 다 맛있어서 다음에도 또 먹고 싶어요😋
데이트 장소로 추천드립니다!👍
접기","인테리어가 멋져요, 단체모임 하기 좋아요, 아늑해요, 음식이 맛있어요, 특별한 메뉴가 있어요",저녁에 방문
봄의정원 성수점,6.5.목,1,"지인분하고 연휴 전에 수다도 떨고 맛있는 음식도 먹으려고 예약하고 왔는데…예상보다 분위기도 좋고 음식도 너무 맛있었어요~🍅🍤🍝
웨이팅도 없이 바로 입장해서 음식도 후딱 시켜서 먹을수 있었네요~ 분위기도 아늑해서 데이트로 와도 너무 좋을거 같네요~👍🏻다음엔 구름 떡볶이도 시도해 봐야겠네요~😊","인테리어가 멋져요, 컨셉이 독특해요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
봄의정원 성수점,5.30.금,1,성수동 데이트 할겸 나왔다가 파스타가 먹고 싶어서 검색후 방문했는데 너무 잘한 선택이었어요! 머쉬룸 파스타 짱 맛있어요!! 목살이랑 대파크림 볶음밥도 매우매우 만족이고요~ 머랭 떡볶이도 맛보고 싶었지만 양이 많아서 다음에 꼭 먹어보려구요!! 성수동 파스타맛집 인정입니다!!,"매장이 넓어요, 음식이 맛있어요, 양이 많아요, 가성비가 좋아요",점심에 방문
봄의정원 성수점,6.5.목,1,"아이들과 성수동 찾게 되었는데 분위기도 좋으면서 파스타도 맛있는 곳을 발견했어요!
머쉬룸 향이 정말 진해서 더 맛있었습니다.","음식이 맛있어요, 특별한 메뉴가 있어요, 아늑해요, 대화하기 좋아요, 특별한 날 가기 좋아요",점심에 방문
봄의정원 성수점,6.3.화,1,"예쁜 음식, 맛있는 음식으로 기분이 좋아지는 성수 맛집이에요. 다음에 또 먹으러 올거에요 👍
#파스타
#양식
#데이트
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 인테리어가 멋져요, 화장실이 깨끗해요",저녁에 방문
봄의정원 성수점,3.21.금,1,"왕십리쪽에서 방문하려다 성수에도 있길래 와보았습니다
매장은 지하에 있구요
지하 내려가서 오른쪽 문을 열면 들어갈 수 있습니다

구조는 꽤 특이했는데 넓은 공간에 감성적인 느낌으로 꾸며져있었네요
접객 친절하셨구 식기류도 멋졌습니다

테이블에있는 qr코드로 메뉴판을 보고 주문할 수 있었으며 메뉴판 젤 위에 있는 떡볶이가 대표메뉴인 것 같아 그걸로 시킬까했는데 제가 어제 떡볶이를 먹었기도해서 파스타로 골랐습니다
다른 메뉴들도 쓱 보니 성수임에도 가격대가 괜찮은 편이었네요

암튼 제가 시킨 볼로네제 라구 파스타는 금방 나왔고 특이점이라면 베샤멜 소스가 얹어져 나온다는 점이겠습니다
베샤멜은 쉽게말하면 크림소스인데 엄밀히 따지면 다르지만... 비슷하긴합니다
토마토&라구와 비주얼로도 대비되면서 맛에서도 포인트가 되네요
접기","인테리어가 멋져요, 컨셉이 독특해요, 친절해요, 특별한 메뉴가 있어요",점심에 방문
봄의정원 성수점,6.10.화,1,분위기가 너무 좋아서 데이트 하기 좋아요! 그리고 파스타 완전 맛집!!! 👍👍👍👍,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
