식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
사운드클라스카 성수점,6.6.금,1,"분위기 미쳤습니다, 고기도 너무 맛있고, 외부 공간인데도 청결해요!!! 고기 종류도 다양하고 해산물도 있어요 무엇보다 날씨 좋을 때 오면 진짜 감성 뒤집어져요ㅜㅜㅜㅜㅜㅜ게다가 금토일 오면 뮤지컬 배우분들이 직접 노래도 불러주셔요 진짜 무료 공연 개꿀임니다...완전 강추!!!!!","음식이 맛있어요, 고기 질이 좋아요, 야외공간이 멋져요, 특별한 날 가기 좋아요, 아이와 가기 좋아요",저녁에 방문
사운드클라스카 성수점,5.11.일,1,"인별에서 보고 저장해놓은곳!
성수에서 캠핑처럼 고기 구워먹는 곳이라니
넘 궁금하잖아요 ㅎㅎ

자리는 정~말 많네요.
하늘텐트는 2시간반 제한이라 6시반에 비워줘야한다고해서 일반 실외자리 잡았어요.
고기는 정육식당처럼 직접 보고 결제해서 구워드심됩니다.
소고기/돼지고기에 새우/가리비도 있어요.

반찬과 소스류는 셀프바에서 직접 가져가시면 되고요 ㅎ
뭐든게 셀프라 아무래도 왔다갔다하는 시간도 크고 귀찮은게 한몫하긴 하지만.. 분위기는 나쁘지 않아서 와볼만 했습니다 :)
접기","친절해요, 매장이 넓어요, 단체모임 하기 좋아요",저녁에 방문
사운드클라스카 성수점,5.5.월,1,"한강에서 소풍하고 러닝하고 마지막코스로들렀어요
미쳤어요. 요즘 힘들고 지쳐서 뭔가 힐링이필요했는데
장소도 너무좋고 공연까지 힐링에힐링을더해 너무 좋은 하루마무리를 한것같아요!
친구들이랑 자주 가야겠어요!

그리고 고기가진짜맛있어요! ㅋㅋㅋ
뮤지컬배우분들도 더 큰 공연에서 뵙길바랄게요!!
접기","음식이 맛있어요, 고기 질이 좋아요, 친절해요, 아늑해요, 단체모임 하기 좋아요",저녁에 방문
사운드클라스카 성수점,5.24.토,4,"고기도 맛있고 게라면 필수에용! 캠핑 느낌 넘 좋아요~!
넘 좋아서 매번 방문하게 되는곳입니당~!
텐트는 예약하구 가면 대기없이 이용하기 좋아용!","야외공간이 멋져요, 음식이 맛있어요",저녁에 방문
사운드클라스카 성수점,5.25.일,1,성수에서 글램핑이라니!!가격대는 좀 있지만 그래도 새롭게 재미져요 강아지랑도 같이 갈 수 았어서 좋아요 재밌게 먹고 가는 것 같습니다~😆,"인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요, 컨셉이 독특해요",점심에 방문
사운드클라스카 성수점,4.18.금,1,"힙한 성수동에서 루프탑 캠핑느낌으로 날씨 좋은날에 저녁 먹으러 갔어요~! 텐트존 예약했는데 냉난방기 있구요!! 야채셀프바 두명 19,800원입니다! 소고기도 먹었지만 야외는 역시 돼지고기네요~ 뮤지컬 배우분들의 노래공연까지 너무 좋아요! 리뷰작성으로 마시멜로 받아서 나오는길에 구워먹고!! 직원분들 친절해서 넘 좋았습니다^^
아! 네이버 지도보고 갔는데 ㅠㅠ거리뷰 사진을 봤어야했나봐요 길을 헤매서 한바퀴 돌다보니! 빨간벽돌!!! 우영푸드빌 주차장 맞은편!!! 맥코이카페 건물이에요~!!!!!!!^^","인테리어가 멋져요, 친절해요",저녁에 방문
사운드클라스카 성수점,6.1.일,1,고기 질도 너무 좋고 루프탑 캠핑 분위기도 너무 좋아서 행복한 시간 보냈습니다!ㅎㅎ 게라면은 훌륭한 안주니까 꼭 먹는거 추천드려요!!,"음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 단체모임 하기 좋아요, 뷰가 좋아요",저녁에 방문
사운드클라스카 성수점,6.6.금,1,친구한테 추천받아서 예약하고 왔는데 너무 좋았어요😍날씨도 좋고 고기도 맛있고 최고,"음식이 맛있어요, 특별한 날 가기 좋아요, 단체모임 하기 좋아요, 뷰가 좋아요",저녁에 방문
사운드클라스카 성수점,5.7.수,1,"요즘 날씨도 좋고, 바람도 살랑살랑 불어오니까 캠핑 가고 싶은 마음이 간절하더라고요.
그런데 시간도 없고, 장비도 없고… 그럴 때 딱 좋은 곳을 찾았어요! 🥹🥹
바로 캠핑장 감성 가득한 고깃집이예용 고기 퀄리티도 정말 좋구 삼겹살이랑 항정살을 시켰는데, 캠핑처럼 직접 구워 먹는 재미가 있어서 좋았어용!
사이드로 셀프존이 있어서 좋았어요, 너무 맛있게 먹었습니닷!
특히 마음에 들었던 건 불멍 존! 식사 후에 밖에 있는 화롯불 옆에 앉아서 따뜻한 마시멜로우 구우면서 이야기 나눌 수 있게 되어 있더라고요. 진짜 캠핑 온 느낌!
다음에 또 오고 싶어요 엉엉 ㅜㅜ 너무 추천이에요👍👍
접기","인테리어가 멋져요, 야외공간이 멋져요, 친절해요, 반려동물과 가기 좋아요, 음식이 맛있어요",저녁에 방문
사운드클라스카 성수점,5.11.일,1,도심속 루프탑에서 캠핑식당이란 이색식당. 고기의 퀄리티가 좋네요. 셀프바가 입구에 있어 여러번 왔다갔다 하면 좀 번거로우니 한번에 들고 오세요. 직원분들이 친절해요:),"음식이 맛있어요, 고기 질이 좋아요, 비싼 만큼 가치있어요, 매장이 넓어요, 주차하기 편해요",점심에 방문
