식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
사토규카츠 건대본점,6.1.일,1,"사토규카츠 건대본점에서 빙소바규카츠정식을 먹었어요. 겉바속촉 규카츠에 시원한 빙소바 조합이 정말 찰떡! 부드러운 카츠와 다양한 소스로 취향껏 즐길 수 있었고, 매장도 깔끔하고 직원분도 친절했어요. 더운 날씨에 딱 어울리는 메뉴였습니다.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
사토규카츠 건대본점,6.11.수,1,규카츠 먹고 싶어서 방문했어요! 예약 없이 바로 입장 가능했고 매장도 쾌적하고 넓어서 넘 좋았습니당 규카츠 정식엔 소바랑 밥 둘 다 포함이라서 가성비 있게 다양한 음식 먹을 수 있어서 좋았습니다 😻😻 !! 규카츠도 맛있어용,"음식이 맛있어요, 메뉴 구성이 알차요"
사토규카츠 건대본점,5.25.일,2,"아이랑 기분내고 싶을때 찾는 곳이에요.
웨이팅 있는 맛집이라
캐치테이블 예약하고 출발했어요
정식부터 단품, 사이드까지 어느 것 하나
감동적이지 않은 메뉴가 없어요
오늘도 성공적인 외식이었습니다
감사합니다 사장님^^
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 현지 맛에 가까워요, 친절해요, 매장이 청결해요"
사토규카츠 건대본점,6.8.일,1,"아이와 왔는데 맛있게 잘먹고왔어요.
양도 많고 구성이 알차요.
소바도 맛보고싶었는데 세트에 들어있어 좋았고
아이가 규카츠 처음 먹어보는데 너무 맛있다고
얘기하네요.
구워먹는 재미도있어 좋다해요^^
카레도 적당매콤 굿굿
새우튀김도 굿굿
매우 만족스러운식사였어요❤️
접기","음식이 맛있어요, 메뉴 구성이 알차요, 친절해요, 매장이 청결해요"
사토규카츠 건대본점,5.30.금,1,"건대입구 숨은 규카츠 맛집, 사토규카츠는 고기 애호가의 천국!
겉은 바삭, 속은 촉촉한 레어 규카츠가 입에서 살살 녹아요.
돌판에 구워 먹는 재미까지 더해져 한 끼가 즐거움 그 자체!
와사비 간장, 소금, 특제소스까지 곁들이면 풍미 폭발!
줄 서는 이유가 있는 집, 한 번 맛보면 재방문 예약각!
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요"
사토규카츠 건대본점,6.7.토,1,"규카츠를 좋아하는데 저희동네에는 없어서 온김에
먹었는데 여름메뉴로 냉소바정식이 있더라구요
여름정식이라서 규카츠는 구워서 주셔서 먹기 편했습니다.
냉소바는 시원하고 면도 많아서 좋았구요
규카츠는 부드럽고 맛있어서 다음엔 규카츠정식으로
먹어봐야겠어요
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요, 매장이 청결해요"
사토규카츠 건대본점,6.4.수,1,"건대에 맛있는 규카츠 집이 있다기에 방문했는데 정말 너어무 맛있어요,,
규카츠에 김치우동 주문하고 고로케도 받았는데 일단 기본 구성이 너무 알차요🥹
모밀에 반숙 달걀까지 주시는데 가격도 너무 합리적이여서 진짜 남자친구랑 계속 카츠 먹고 싶을 때 앞으로 여기로 오자는 말만 했어용,,💕
흑 너무 맛있게 먹구 갑니다 또 방문할게요!
접기","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 잡내가 적어요"
사토규카츠 건대본점,6.3.화,1,"양도 딱 적당하고 정식 구성이 좋아요!
샐러드 상큼해서 입맛 딱 돋구어주고 규카츠 부드럽고 맛있어요 온센타마고에 찍어서 먹어도 맛있는데 개인적으론 규카츠에 소금 뿌려서 구워가지고 소스 없이 먹는게 제일 맛있었어요ㅎㅎ","음식이 맛있어요, 가성비가 좋아요"
사토규카츠 건대본점,6.3.화,1,"영화보러왔다가 점심먹고 들어가려고 했는데
신랑이 데리고 왔어요~ 여기 맛집이였네요~^^
돈까스는 많이 먹어봤지만, 이렇게 구워서 먹는 곳은 처음입니다~ 먹는 재미도 있고 좋네요~
잘 먹었습니다~~
재방문의사 있어요!!~~^^
접기","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 고기 질이 좋아요, 특별한 메뉴가 있어요"
사토규카츠 건대본점,6.6.금,1,"규가츠랑 삼색 연어덮밥 먹어봤어요 !!!!!
규카츠는 취향대로 구워먹을수있어용 ㅎㅎㅎ 너무 맛있고 음식 구성도 알차요 ~~ 또 방문할 의향 100퍼센트에요 ! 연어도 정말 신선하고 맛있더라고요!! 규카츠는 말해뭐해 부드러워 입암에 살살 녹아요~~
맛집인 이유가 있더라구요~~
꼭 방문해주세요 !!🩵🩵🩵🩵
접기","친절해요, 인테리어가 멋져요, 뷰가 좋아요, 음식이 맛있어요, 재료가 신선해요"
사토규카츠 건대본점,5.20.화,1,"저번에 웨이팅 많아서 못 왔었는데 오늘은 웨이팅 없이 바로 입장했어요!!
남자친구가 맛있다구 계속 얘기하고 저도 먹으면서 진짜 맛있다고 느꼈어요 ㅋㅋㅋㅋㅋ
재방문의사 완전 있습니다~~!!!
잘 먹었습니다!! 😇😇
접기","음식이 맛있어요, 인테리어가 멋져요"
사토규카츠 건대본점,5.10.토,1,"1. 규카츠정식
대표메뉴인데는 다 이유가 있는법이죠?!
토끼 장식도 귀여운데 고기 양이 꽤 되더라구요!!
화로에 구워먹으면 일본느낌도 낭낭하고 같이 나온 냉소바도 진짜 별미에요❣️
고기 잡내 1도 없고 엄청 부드러워서 추천드려요💓

2. 카레정식
개인적인 추천메뉴라고 할 수 있습니다요!!
매운맛 조절되는데 2단계도 꽤 매워서 맛있게 먹었어요😍
밥도 어찌나 꾹꾹 담아주시는지 양도 많고
새우튀김이 진짜 맛도리..
여기 튀김맛집이에요 완전 겉바속촉의 정석💕

혼밥하기도 편하고 세트로 나오는데도 가성비도 좋은 편인 사토규카츠!!
맛있는 규카츠 먹으러 방문해보세요🤭
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
사토규카츠 건대본점,5.18.일,1,"규가츠 먹고싶어서 찾아오게되었는데
생각보다 웨이팅이 금방 줄어서 좋았어용
음식도 빨리 나오고 판도 금방 갈아주세요!
김치나베 같이 나눠 먹으려고 시켰는데 국물이 너무 맛있어서 바닥까지 긁어먹었네용
다음에 또 오겠습니다
접기","친절해요, 매장이 청결해요, 음식이 맛있어요, 특별한 메뉴가 있어요"
사토규카츠 건대본점,6.6.금,1,초딩딸 생일이라서 같이 왓는데 이렇게 맛잇는곳에 웨이팅없이 들어오다니 완전 럭키비키:) 규카츠 한입먹어보고 평소에 왜 웨이팅이 많은지 단번에 알겟는맛임! 규카츠정식은 무조건 시켜야되고 규카츠김치나베도 꼭 시킵시다! 너무 맛잇어서 규카츠 추가해서 먹엇어요 입에서 살살 녹아서 그냥 후루룩 순삭 ㅋㅋ 초딩입맛에도 합격인집. 담에 재방문 예약!!!,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 고기 질이 좋아요"
사토규카츠 건대본점,6.11.수,1,지나가다 들린집인데 생각보다 더 괜찮네요! 양도 적당하고 맛있습니다~ 보통 웨이팅이 있나봐요 저희는 7시 20분쯤 도착해서 한자리 남은거 바로앉음 귯.,"음식이 맛있어요, 인테리어가 멋져요, 매장이 청결해요"
사토규카츠 건대본점,4.26.토,1,"건대 규카츠 맛집 찾아서 오게되었어요~!
퀄리티도 너무 좋고 양도 많아서 완전 배부르네용
분위기도 깔끔하고 혼밥도 가능해서
건대입구역 혼밥 맛집 찾으시는 분들한테 추천!
데이트코스로도 너무 완벽했습니당 :)
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 차분한 분위기에요"
사토규카츠 건대본점,5.13.화,1,"화요일 저녁에 웨이팅 없이 입장했고 규카츠정식, 카레정식 주문했어요. 규카츠가 양도 많고 부드러워서 맛있게 잘 먹었어요. 카레정식에 같이 나오는 새우튀김도 엄청 크고 맛있었어요. 다음에 근처 오게 된다면 또 방문할 것 같아요.","음식이 맛있어요, 양이 많아요, 대화하기 좋아요, 친절해요"
사토규카츠 건대본점,6.5.목,1,건대 올때마다 오는 규카츠집인데 일본여행 갔다가 너무 맛있었던 규카츠랑 제일 비슷한거 찾으려고 여러 군데 돌아다닌 결과 여기가 최곱니다👍🏻고기 부들부들하고 신선해서 맛있어요☺️지인들이랑 약속있을때마다 데리고 왔는데 다들 저장하고 갔어요!!,"친절해요, 매장이 청결해요, 혼밥하기 좋아요, 음식이 맛있어요, 재료가 신선해요"
사토규카츠 건대본점,6.1.일,2,"두번째 방문이에요 ㅎㅎㅎ
규카츠 마니 먹어봤는데 여기만큼 플레이팅 예쁘고 맛있는 곳 없는 것 같아요!!!!!
앞으로도 자주자주 방문할 것 같습니다~~ 👍👍👍","음식이 맛있어요, 친절해요"
사토규카츠 건대본점,5.24.토,1,"규카츠 먹고 싶어서 찾다가 엄청난 맛집 발견💓
규카츠정식으로 먹었는데 규카츠옆 토끼에 와사비가 있어서 독특하고 신선했어요 ㅋㅋㅋㅋ
규카츠 재료도 신선하고 엄청 부드러워서 만족스럽게 먹었어용 규카츠 생각난다면 방문 강추추추💗
다음에 또 올거예용~~!
접기","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 고기 질이 좋아요, 인테리어가 멋져요"
사토규카츠 건대본점,6.4.수,1,"제가 먹어본 규카츠 중에 손에 꼽히는 맛집이에용 🤤🩷
나베두 넘 맛있구…🥺🥺🥺 손님이 엄청 많던데 이유를 알 것 같아여… 오늘 처음 와봤는데, 앞으로 자주 올 것 같습니당 ~ 😵‍💫💗","친절해요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요"
사토규카츠 건대본점,6.6.금,1,처음 방문하는데 직원분들이 친절해서 기분이 좋았어요! 규카츠 양도 많고 맛있어서 시원한 매장에서 쾌적하게 잘 먹었네요 다음에 또 방문할게요🥰,"음식이 맛있어요, 매장이 넓어요, 친절해요"
사토규카츠 건대본점,5.17.토,1,"샤토규카츠에서 규카츠 정식과 연어정식을 주문했어요. 규카츠는 겉바속촉의 정석! 고기가 부드럽고 튀김옷이 바삭해서 씹는 맛이 정말 좋았습니다. 함께 나온 밥과 된장국, 반찬도 깔끔하고 정갈해서 전체적으로 균형 잡힌 한 끼였어요. 특히 테이블에서 직접 고기를 구워 먹는 재미가 쏠쏠했네요!연어정식은 신선한 연어가 듬뿍 올라가 살살 녹는 식감이 일품이었어요. 양념이 과하지 않아 연어 본연의 맛을 잘 느낄 수 있었고, 같이 나온 샐러드와 소스가 조화로웠습니다. 다만, 연어정식은 약간 양이 적게 느껴질 수 있을 것 같아요.서비스는 친절했고, 매장 분위기도 깔끔해서 편안하게 밥을 먹기 좋았습니다. 가격 대비 만족스러운 식사였고, 다음엔 다른 메뉴도 도전해보고 싶네요!
접기",음식이 맛있어요
사토규카츠 건대본점,3.25.화,1,"(내돈내산)

규카츠가 먹고싶어서 서치해서 찾아온 곳

인테리어도 깔끔하고 무엇보다 음식이 너무 정갈하게 나와서 놀랐다.

맛은 지금까지 먹었던 규카츠 중 최고
고기의 담백한 맛과 반숙란의 조합은 맥주를 부르게되…그렇게 돼지가 되..

브레이크타임도 없어서 언제든 혼자가서 먹기에 좋다.

집근처에 이런 곳을 발견하게 되어 뿌듯할뿐

더도말고 추천드립니다!
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 혼밥하기 좋아요, 친절해요"
사토규카츠 건대본점,6.3.화,1,"맛있어요!! 규카츠 맛집👍👍
카레규카츠는 매운맛 단계도 설정할 수 있고 좋아용
웨이팅이 있어서 시간은 여유있게!! 가는거 추천해요~!","음식이 맛있어요, 재료가 신선해요, 친절해요"
사토규카츠 건대본점,4.26.토,1,"사람들이 앞에 많이 서있는걸 보고 기다렸다가 먹으러 들어왔는데 , 웨이팅이 괜히 있는게 아니였더라구요 ..? 정말 맛있어요 ㅜ 규가츠 일단 너무 부드럽고 바삭해요
김치가츠나베는 폭신하니 우동도 맛있어여 🤍
미니소바가 나왔는데 , 그냥 다 맛있어여 ㅠㅠㅠ","대화하기 좋아요, 사진이 잘 나와요, 음악이 좋아요, 음식이 맛있어요, 반찬이 잘 나와요"
사토규카츠 건대본점,3.15.토,1,"겉은 바삭하면서 속은 부드러운
소고기의 맛을 한 번에 느낄 수 있는
규카츠와 얼큰한 김치나베정식을
먹어보고 왔습니다.

고체연료를 통해서 가열하면서
따뜻하게 먹을 수 있는 점이 인상적이었고
원하는 굽기로 조절하면서 먹을 수 있고
취향에 맞게 즐길 수 있는 점도 좋았습니다.

혼밥 하기에도 부담 없는 분위기라서
혼자서 먹는 맛집으로도 괜찮았습니다.

소고기 특유의 부드러움은 살아있으면서도
겉은 살짝 튀겨져 있어서 튀김의 바삭함과
촉촉한 육질을 동시에 느낄 수 있었습니다.

여러 가지 소스가 제공되어
취향에 맞게 먹을 수 있게 되어 있었습니다.

그중에서도 저는 클래식하게 소금에 찍어 먹는 게
맛도 있고 밸런스가 좋았습니다.
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 현지 맛에 가까워요"
사토규카츠 건대본점,5.31.토,1,너무 맛있고 친절해요~ 음식이 하나같이 부들ㆍㅂ고 바삭바삭 입에서 녹아요~ 일본에 온것같은 느낌! 기분좋게 즐거운시간보내고 갑니다~ 또올게요^^,"음식이 맛있어요, 음악이 좋아요, 친절해요, 매장이 청결해요, 좌석이 편해요"
사토규카츠 건대본점,6.10.화,1,"건대입구역 근처에서 규카츠 맛집을 찾다가 방문한 사토규카츠! 기대 이상으로 정말 만족스러웠어요😋
고기는 겉은 바삭, 속은 촉촉하게 잘 익었고, 같이 나오는 소스랑 조합도 완벽했습니다.
분위기도 깔끔하고 직원분들도 친절해서 기분 좋게 식사하고 왔습니다.
재방문 의사 100%입니다
접기","음식이 맛있어요, 재료가 신선해요, 반찬이 잘 나와요, 메뉴 구성이 알차요, 아늑해요"
사토규카츠 건대본점,5.25.일,1,친구와 건대맛집검색해서 왔는데 운좋게 웨이팅없이 바로 착석후 시그니처인 사토규카츠정식2개를 먹었는데 고기가 야들야들 한입먹으니 육즙이 가득해서 너무 맛있었어요.양배추도 신선하고 재방문 각이네요.,"음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요"
사토규카츠 건대본점,5.7.수,1,"규카츠 정식 먹었는데 가성비 너무 좋고, 겉은 바삭하고 속은 촉촉 부드러워서 너무 맛있게 잘 먹었어요ㅜㅜ 정식에 미니 소바도 너무 맛있어서 다음엔 소바 정식 시키려구요!
토끼 머리에 와사비가 킥입니다ㅎㅎ❣️","음식이 맛있어요, 가성비가 좋아요, 아늑해요, 대화하기 좋아요, 친절해요"
사토규카츠 건대본점,4.6.일,2,"두번째 왔는데 두번째 와도 맛있어용!!
처음에 왓을 땐 우동이 었는데 벌써 메밀을 즈시네요 우동도 쫄깃했는메 미밀소바도 넘 맛있어요 다음에 또 올게요!
규가츠 덮밥도 신성한 느낌이에요 고기 너무 부드러워서 맛있어요~","음식이 맛있어요, 특별한 메뉴가 있어요, 반찬이 잘 나와요, 인테리어가 멋져요, 혼밥하기 좋아요"
사토규카츠 건대본점,3.30.일,1,"와 너무 맛있어서 또 오려구요!!
규카츠 입에서 살살녹고 카레도 엄청 맛있네요!
특히 카레 맵기 조절되어서 너무 좋아요👍
꼭 사이드 추가해서 밥에 비벼 드셔보세요

양도 많고 직원분들도 친절하시고 너무 만족한 식사였습니다❤️
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요"
사토규카츠 건대본점,5.20.화,1,"생각한 것보다 훨씬 기대 이상이었어요. 양도 적당히 많고, 직원 분들도 친절하세요. 그리고 가장 중요한 고기가 정말 맛있었습니다. 제가 갔을 때도 그랬고 웨이팅이 조금 있을 수 있어서 이 점은 인지해주세요!","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 혼밥하기 좋아요, 친절해요"
사토규카츠 건대본점,5.22.목,1,"엄마랑 방문했는데 입맛에 너무 잘맞으시대요!!
가게 분위기도 좋고 음식도 너무너무 맛있으니
꼭 방문하셔서 드셔보세요 ㅎㅎ","음식이 맛있어요, 재료가 신선해요"
사토규카츠 건대본점,5.18.일,1,"오랜만에 건대 왔는데 맛집이 생겼다길래 웨이팅해서 먹었는데 기다릴만 합니다ㅎㅎ정식 메뉴 시키면 규카츠,모밀 다 먹을 수 있어서 좋아요 원하는 굽기로 구우면서 먹으니까 취향에 맞게 먹을 수 있고 매장을 일본느낌으로 꾸며놔서 일본에서 먹는 느낌이였어요ㅋㅋㅋㅋ 잘 먹고 갑니다^^","음식이 맛있어요, 고기 질이 좋아요, 메뉴 구성이 알차요, 친절해요, 컨셉이 독특해요"
사토규카츠 건대본점,5.10.토,1,음식이 전체적으로 엄청 부드러워요 !!! 서비스로 주시는 감자고로케 별로 기대안했는데 감자 샐러드 보다 엄청엄청 부드럽고 맛있었어요 !! 전체적으로 맛있어서 다음에 또 오고싶네요😍,"인테리어가 멋져요, 음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요"
사토규카츠 건대본점,5.13.화,1,"너무 부드럽고 맛있는 규카츠집입니다 ㅎㅎㅎ
같이 간 엄마도 맛있다고 하셨어요!!
다음에 또 규카츠 먹고 싶으면 이 곳으로 올 거 같아용~! 👍","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 친절해요, 매장이 청결해요"
사토규카츠 건대본점,6.6.금,1,규카츠도 부드럽도 냉모밀은 깔끔하니 맛엏어어여 !!!! 어쩌다 발견했는데 맛집이여서 너무 좋았습니다아아,"차분한 분위기에요, 음식이 맛있어요, 특별한 메뉴가 있어요"
사토규카츠 건대본점,4.23.수,1,"규카츠정식, 삼색연어정식 먹었는데 규카츠는 입에서 살살 녹고 연어정식은 다양한 연어를 즐길
수 있어서 너무 맛있게 잘 먹었습니당👍
정식마다 찬이랑 소스 구성이 조금씩 다른 것 보고
세심하게 메뉴 조합에 신경쓰신 것을 느꼈어요!

재료도 너무 신선하고 매장도 청결해요.
데이트하러 방문하는 손님들이 많았는데 왜 그런지
납득이 가는 식사시간이었어요💕

다음에 또 방문해서 다른 메뉴들도 도장깨기해보려구요! 잘 먹었습니다:)
접기","음식이 맛있어요, 메뉴 구성이 알차요, 혼밥하기 좋아요, 친절해요, 매장이 청결해요"
사토규카츠 건대본점,5.16.금,1,"생각보다 규카츠 맛집을 찾기 어려웠는데 드디어 찾았다 내 맛집!!! 같이 나오는 갈색 특제 소스가 진짜 맛있어요!!!!!
밥까지 무료로 추가 되니까 걱정없이 든든하고 배부르게 먹었습니다😋😋","혼술하기 좋아요, 음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요"
사토규카츠 건대본점,5.21.수,2,"재방문하면 말모말모… 건대오면 꼭 오는 집…. 맛있아여,,,, 카레는 오늘 처음 먹었는데 간 적당하니 좋아유 번창하세유 사장님~~","음식이 맛있어요, 고기 질이 좋아요, 대화하기 좋아요"
사토규카츠 건대본점,6.7.토,1,"너무 맛있고 정말 깔끔한 식사였습니당 ㅎ
친구들고ㅏ 함께하기 좋은 추억을 만들기 좋은 장소이자 음식이있었습니당 ㅎ","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요, 혼밥하기 좋아요"
사토규카츠 건대본점,5.25.일,1,"규카츠 먹고싶어서 방문했는데
고기도 좋고 규카츠말고 다른 메뉴들도 맛있었어요!
가게도 깔끔하고 분위기도 좋아서 맛있게 잘먹고갑니다! ☺️☺️☺️","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요"
사토규카츠 건대본점,5.25.일,1,"음식 플레이팅도 깔끔하고 맛있어요
데이트코스로도 딱입니닷
자주올게요~!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 아늑해요"
사토규카츠 건대본점,6.7.토,1,"규카츠와 김치나베 너무 맛있게 먹었어요~
음식이 대체적으로 깔끔하네요!","음식이 맛있어요, 특별한 메뉴가 있어요"
사토규카츠 건대본점,6.7.토,1,"규카츠랑 김치나베 먹으러 왔어요 ^^
인테리어도 음식도 너무 예쁘고 맛있어요 ^^ 잘먹고 갑니다~♡ 재방문 의사 있어요 ^^","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요"
사토규카츠 건대본점,4.6.일,1,남자친구와 지나가다가 맛있어보여서 들어온 집인데 기대한 만큼 너무 맛있게 먹었습니다! 규카츠도 맛있고 옆에 있는 샐러드도 맛있었습니다. 플레이팅이 예쁘게 되어있어서 사진찍기도 너무 좋았습니다. ✨✨,"음식이 맛있어요, 음료가 맛있어요, 잡내가 적어요, 매장이 청결해요, 음악이 좋아요"
사토규카츠 건대본점,5.9.금,1,규카츠 튀김이 바삭해서 식감이 좋았고 고기도 부드러워 만족스러웠습니다 속은 촉촉하게 익어서 밥이랑 같이 먹기 딱 좋았어요 함께 주문한 연어덮밥도 신선한 연어가 넉넉하게 올라가 있어서 괜찮았고 간도 세지 않아 부담 없이 먹을 수 있었습니다 가게 분위기도 깔끔하고 직원들도 친절해서 편하게 식사할 수 있었어요,"음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요, 대화하기 좋아요, 사진이 잘 나와요"
사토규카츠 건대본점,5.31.토,1,오랜만에 규카츠 먹고 싶어서 왔는데 넘 맛있네용!! 여름 메뉴로 소바도 있어서 더 좋았어요☺️,"음식이 맛있어요, 특별한 메뉴가 있어요"
