식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
서관면옥 홍대점,6.9.월,2,"면이 단연 돋보임. 100% 제주산 메밀로만, 매일 아침 맷돌로 저온,저속 제분한다는. 그래선지 면발의 식감이 다른데와 다름🥢
🔹️
육수 역시 독특. 육향이 도드라지는데 의도적인 듯. 호불호 있겠다 싶음. 3일 이내 도축한 초신선 한우 고기를 우려낸 것이라고. 어쨌든 평양냉면 한 사발에 이 집의 자부심이 느껴짐🥄
🔹️
어느정도 먹으면 다시마식초를 살짝 뿌려 맛의 미묘한 변화를 느껴보시길.
🔹️
홍대입구 근처 세련된 복합문화공간인 누디트 홍대에 위치. 매장이 넓고 테이블 간격 여유있어 좋음. 친절하심🪄.. 지하에 1시간 무료 주차 가능.
접기","음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요, 주차하기 편해요",점심에 방문
서관면옥 홍대점,6.1.일,1,매장이 넓고 쾌적하다. 점심메뉴인 불고기세트는 [불고기+냉면]이 나오는데 물냉과 비냉으로 주문. 요즘 냉면은 잘 끊겨서 가위가 필요없을 정도다. 불고기와 냉면 모두 무난한 맛~개인적으로 다음 번에는 물냉 보다 비냉을 먹을 계획^^ 화장실은 밖에 있지만 깨끗하고 편하다.,"음식이 맛있어요, 매장이 넓어요, 친절해요, 매장이 청결해요, 화장실이 깨끗해요",점심에 방문
서관면옥 홍대점,4.30.수,2,"이번에 한우 투뿔, 불고기가 출시되었다고해서 방문해봤어요!
역시나 한우 투뿔 불고기 답게 엄청 부드러우면서도
너무 달지 않고 슴슴하게 맛있더라구요!

맛박이 냉면도 같이 주문해서 맛보았는데
술안주용으로 먹는 냉면이라서 위에 고명이 잔뜩 올라가져있어서
안주용으로 최고였어요!

홍대 서관면옥은 테이블의 간격이 널찍하게 되어있어서
마포 가족모임이나 각종 모임들로 방문하기 너무 좋은것 같아요! 👍🏻👍🏻👍🏻
접기","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요, 친절해요",저녁에 방문
서관면옥 홍대점,4.16.수,1,"오늘 처음으로 방문을 합니다 수요일 점심때 햇빛이 너무나
따뜻한 봄날같아서 메뉴를 평양물냉면으로 정하고 전부터 눈에
봤던 서관면옥 홍대점에 갑니다 가기전에 1인 예약을 합니다,
메뉴를 고르는 기능은 없고 시간하고 인원수만 받는 예약이기에
인원수+시간예약만 하고 갑니다, 점심 20인분 한점 특선면상을
주문하고 녹두빈대떡 반접시(1개)를 주문을합니다 (28,000원)
음식은 5분안에 나왔습니다, 11시 오픈하자마자 가서 손님이
저밖에 없어서 빨리 나온듯 합니다, 누디트 건물 안쪽에 있어서
찾기에는 어렵지않고 지하에 주차장도 있어서 차를 가지고 가도
됩니다, 홀매장은 넓습니다, 음악은 잔잔하게 나옵니다, 식탁위
에는 메밀생수와 다시마식초가 있어서 취향껏 냉면에 넣어드시면 됩니다, 녹두전은 두부소스를 찍어드세요,
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요, 매장이 청결해요",점심에 방문
서관면옥 홍대점,5.6.화,1,"연휴 내 자극적인 음식만 먹다가 담백한 음식 먹고 싶어서 서관면옥 방문했어요. 확실히 재료퀄리티가 좋고, 음식도 담백하니 맛나네요. 메밀사리 추가해서 불고기랑 즐기니 색다르고 좋았어요. 한우불고기 드시는 분들 메밀사리랑도 즐겨보세요.","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 인테리어가 멋져요",저녁에 방문
서관면옥 홍대점,5.24.토,1,"너무 좋아하는 평양냉면 집인데 홍대점도 있길래 와봤어요! 교대점보다 줄은 덜 서지만 맛은 똑같고 여전히 맛있어요😌 공간도 넓고 너무 쾌적해요!
평양냉면 초심자도 무리없이 먹을 수 있는 곳입니다!!","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
서관면옥 홍대점,4.23.수,1,"너무나도 유명한 맛집 서관면옥!
을밀대보다 육향강하고 더 맛있어요
홍대에 생겨서 어복쟁반, 평양냉면
먹으러 다녀왔는데

어복쟁반은 재료하나하나 정성이 느껴지고
다른곳에서 먹는것과 차원이 달라요!
맛이 정말 진하고 몸보신 제대로 되는 느낌

평양냉면은 메밀면 특유의 식감이 매력적이고
슴슴한 맛에 그냥 무한으로 들어갈 것 같아요
전체적으로 자극적이지않고 속이 편안합니다
어른들 모시고 가면 너무 좋아하실 것 같아
부모님 데리고 재방문할 예정입니다
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 넓어요, 단체모임 하기 좋아요",저녁에 방문
서관면옥 홍대점,5.15.목,1,"슴슴하고 구수한 평양냉면의 맛이 제대로 납니다
플레이팅이 참 예뻐서 먹기 좋았어요
주차가 가능하고 플레이팅 예쁘고 장소가 넓직해서 소개팅 식사장소로도 괜찮을것 같아요
그리고 음식에 대한 자부심, 철학 이 엿보이는것 같아서 참
좋았어요 추천합니다 가보세요!
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
서관면옥 홍대점,6.3.화,1,"물냉면 육수 정직한 고기육수+메밀100%면이 오히려 식감 조금 아쉬움(취향문제겠지만,, 여기 면은 비빔류에 더 어울리는 것 같아요)
매운비빔냉면 양념장은 좀 거친 느낌이고 맛 그냥저냥
근데 들기름막국수같은 골동냉면이 개𝓶𝓲𝓬𝓱𝓲𝓷놈이에요 평냉 조아하시는 분들도 여기선 그냥 골동냉면 드세요
만두는 시판만두같고 빈대떡도 무난합니다
골동냉면이.. 통들깨+들개가루+버섯 등 고명 조합이 탑티어다 진짜
접기","인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요",점심에 방문
서관면옥 홍대점,4.25.금,1,"어복쟁반 다양한 부위의 고기🍖 본연의 맛을 잘 살려 깔끔하고 담백해서 맛있게 먹었어요. 신선한 채소에 고기가 잘 어울려져 은은하게 우러난 육수도 깔끔 시원해요 👍👍👍
제주 메밀 100% 사용한 평양냉면도 씹을수록 고소한 메밀을 풍미와 슴슴하면서 육향에 감칠맛 넘치고 깔끔해서 맛있게 먹었어요👏👏👏 매장 넓고 직원분들도 친절해요~","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 친절해요",저녁에 방문
