식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
소바마에 니고 성수점,5.31.토,1,"교토갔을때 먹었던 식감과 맛이 유사해서 놀랬어요🫢😋👍 (오리소바가 있는것조차🥹)
진짜 일본식 소바는 뚝-뚝- 끊어지는 소바인데 딱 그 소바라 너무 반가웠어요🤤👍 연말에 먹는 딱 그 소바!
지인들이 면이 덜 익은줄 알던데, 그게 아니라 일본 소바는 메밀의 비율이 80%가 넘어서 이 식감이 정상인거고 다 익은겁니다! 오히려 몸에 더 좋은거지요!

교토에서는 너무 당연하게 다들 니싱소바를 먹고, 저도 교토가서 처음 접해보았거든요. 이걸 한국에서도 만날줄이야... 하나도 안비리고 정말 맛있는 메뉴랍니다. 교토분들은 자부심도 있으셨던 기억이...

.그 외에도 교토는 간이 섬섬한 편인데, 그만큼 재료의 본연의 향과 맛을 느낄 수 있다는 큰 자부심이 있는 점인데 그 맛을 느낄줄은 몰랐어요!

재방문의사 10000%
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요",점심에 방문
소바마에 니고 성수점,6.1.일,1,날이 더워져서 방문했어요 온 냉 선택 가능하고 결제하고 대기하는 방식이에요 식당 회전율은 빠른 거 같아요 반지하 식당이고 키오스크는 내려가 문 앞에 바로 있어요 소바 깔끔하게 맛있고 새우튀김도 맛있는데 청도 냉으로 먹었는데 맛있었어요 청어는 구이보다는 조려서 건조한 느낌인데 저는 맛있었어요 디음엔 온면으로 먹어보고 싶어요,"음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 친절해요",점심에 방문
소바마에 니고 성수점,5.30.금,1,"휴무일과 주말을 피해 오는 것도 나름 미션이더라고요 :) 마침 금요일에 점심 때 시간이 맞아 방문했는데, 주변 직장인들도 많이 찾는지 대기를 20-30분 정도 한 것 같아요.
그런데 기다린 보람이 있게 정말이지 한입 하는 순간 일본에 온 듯한 기분이었습니다. 달콤짭쪼름하면서도 살짝은 기름진 맛의 조화가 일본에서 경험한 음식들 그대로를 담고 있었어요. 어설픈 흉내로는 감히 범접할 수 없는 깊은 이해가 담긴 맛이랄까요. 살짝 느끼한 맛은 같이 주신 시치미, 얹어진 생강들이 잡아주면서 계속해서 당기는 맛이 되더라고요...!! 정말이지 특별한 경험이었습니다. ㅣ한 블로거분의 추천을 받아 온소바로 시켰는데 그게 탁월한 선택이었던 것 같고, 다시 또 와서 와카메, 카모세이로, 토로로를 먹어보고 싶어요.
접기","특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 혼밥하기 좋아요, 차분한 분위기에요",점심에 방문
소바마에 니고 성수점,6.8.일,1,"비싼데 너무나...쉬이 잊혀지지 않습니다. 맛이 아주 자극적인 것도 아닌데, 그렇다고 아주 슴슴하지도 않아요.
혀는 자극을 원할지라도 먹고나면 몸이 편해서 그런가? 이번에도 먹으러 왔어요! 메밀면 너무 취향이에요~","인테리어가 멋져요, 혼밥하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",점심에 방문
소바마에 니고 성수점,4.27.일,1,"성수동의 유명한 소바 맛집 소바마에 니고이다.

니싱소바 청어가 유명한 곳이다.

면은 니하치라고 해서 메밀:밀가루 비율 8:2를 쓴다. 메밀면은 특유의 식감이 있어서 먹으면 덜 익은 면은 먹는 것 같지만 그게 익은 식감이다.

니싱소바 청어는 청어가 하나 올라가있고 냉과 온을 고를 수 있다. 나는 냉으로 주문.

맛은 평범했던 것 같다. 그렇게 맛있나? 생각해보면 평범한 맛이었다.

같이 시킨 덴푸라와 텐동이 맛있다. 텐동은 새우 하나에 야채 5개, 덴푸라는 새우 2개에 야채 5개이다.

텐동 간장 소스가 맛있다. 그리고 튀김이 맛있어서 튀김은 꼭 먹는 것을 추천한다.

매장은 조금 좁고, 일찍 가지 않으면 기다려야 한다. 난 11시 10분에 들어갔는데 아슬아슬하게 먹었다.
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",점심에 방문
소바마에 니고 성수점,4.16.수,1,"오픈타임은 줄이 긴거같고 12시 좀 넘어서 가니까 한바퀴 돌았는지 한산했다. 대신 나올때 1시쯤 다시 사람들 모여들기 시작!!
들어가기전에 키오스크로 오더하고 들어가는 시스템인데 사람 성격마다 다르겠지만 뒤에 줄을 서니까 조바심이 생겨서 자세히 볼 엄두가 안났음 ㅜㅠ 그래서 온소바만 있는줄알고 온소바 두개 주문했다가 식당 입장 후 냉소바 드시는거보고 직원분한테 주문 바꿔달라고 부탁드렸는데… 다행히 붐비는 시간이 아니어서 키오스크에서 그 귀찮은 환불처리를 다 해주심 ㅠㅠ 너무 죄송하고 감사했음.

맛은 사실 자극적인 맛이 아니었고 소바의 평양냉면(?) 느낌임. 면에 간이 안되어있는지 심심 삼삼한데 밀가루가 없어서인지 부담이 안되고 후루룩 계속 먹게됨!
에비가 맛있어서 튀김만 따로 추가해서 먹음!! 🤤
접기","매장이 청결해요, 재료가 신선해요, 양이 많아요, 건강한 맛이에요, 혼밥하기 좋아요",점심에 방문
소바마에 니고 성수점,4.19.토,1,"맛집으로 유명해서 왔는데 진짜 맛있네요
자가제면이라서 면 식감도 다른곳과 다르구요
덴뿌라는 바삭이고 느끼하지않아요
특히 니싱소바가 진짜 맛있었는데요..!
과하지않고 적당히 달달하면서 짭조름한게 너무 맛있어서 흡입했습니당!! 맛있게잘먹고갑니다~~
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
소바마에 니고 성수점,4.26.토,1,"면이 특이한 가게라고 해 방문했어요. 웨이팅 전에 미리 결제를 해야 하는 시스템입니다. 중간에 대기가 빠지지 않다 보니 조금 오래 걸려서 들어갔네요. 면이 무척 부드러워서 씹지 않아도 잘 넘어가고, 조금 슴슴한 맛이었습니다. 텐동은 튀김류가 바삭바삭해서 맛있었는데 살짝 짭짤한 편이라 저는 더 좋았어요.","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요",점심에 방문
소바마에 니고 성수점,6.4.수,1,"일본스타일의 소바입니다 튀김도 맛있고 친절하십니다!! 생맥주가 없는게 아쉽네요~~
맛있게 먹었습니다","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",점심에 방문
소바마에 니고 성수점,5.6.화,1,"생활의 달인,블루,레드 리본 맛집.
청어소바가 시그니쳐 라고 해서 주문해
먹었는데 담백하고 튀김은 메밀로
묻혀 바삭하니 맛있게 먹었어요.
줄서서 먹을만 했네요.
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",점심에 방문
