식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
송화산시도삭면 2호점,6.1.일,1,"새우아스파라거스 덮밥(9,0)
도삭면 매운맛(9,0)
어향육슬 덮밥(9,0)

전날 처음 먹어보고 그 담날 바로 다른 가족 데리고 또 방문한 곳..🥰

셋 다 엄청 맛있어요!!!!
딤섬에는 새우소가 빈틈 없이 꽉 차있고 의외로 아스파라거스랑 새우 조합이 좋아서 너무너무 맛있었구요..

도삭면은 처음 먹어보는데, 길고 덜 쫀득한 수제비를 먹는 느낌?? 국물은 얼큰칼칼로는 설명이 안돼요 향신료 향이 있어서... 진짜 맛있음..ㅠㅠ 고수는 넣지말고 따로 달라고 부탁하면 주십니다!!

마지막으로 어향육슬 덮밥!! 살짝 매콤한 탕수육 소스 같더라구요?? 흔한 맛일 것 같지만, 리뷰 쓰는 지금 입에 침 고이는 중..🤤 입에 쉬지 않고 들어간 메뉴입니당ㅎㅎ

매장에 중국인들이 많아서 이색적인 분위기에서 잘식사했어요!
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 매장이 넓어요, 친절해요",저녁에 방문
송화산시도삭면 2호점,5.1.목,2,딤섬&가지튀김 생각나면 무조건 오는 곳인데요! 늘 상 올때마다 웨이팅 있을 정도로 인기 많은 곳이었어요. 이번에도 가지튀김하고 새우아스파라거스 딤섬 주문했는데요. 부드러우면서 꽉 찬 속이 입 안 가득 채워질 정도로 맛있었습니다! 웨이팅까지 용서되는 곳이었어요!,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
송화산시도삭면 2호점,4.27.일,1,"시킨거 전부 맛있었는데
특히 가지튀김이 진짜맛있어요🍆
눅눅한거하나도없고 존맛짱맛🩷
딤섬은 아스파라거스새우딤섬이맛있었음
한라인에 1호점 2호점 다있음
1호점에 사람이너무많아서 2호점으로왔음
1호점에서 2호점 번호표 뽑고왔으나 줄선대로 입장시켜줌 오히려빨리입장하고좋았음
접기","친절해요, 매장이 청결해요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",점심에 방문
송화산시도삭면 2호점,5.21.수,1,"송화산시도삭면은 건대입구역 근처의 인기 중식당으로, 직접 칼로 썰어 만든 쫄깃한 도삭면이 유명합니다. 마라 향이 은은한 국물과 가지튀김, 딤섬류도 인기 메뉴예요. 웨이팅이 있지만 그만한 가치가 있는 집입니다.","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 음식이 빨리 나와요",점심에 방문
송화산시도삭면 2호점,5.5.월,1,"면이 쫄깃하고 잘 퍼지지 않아서 면 요리 다 맛있어요. 도삭면이야 유명한 메뉴고, 채소볶음면은 매콤고소한 팟타이 느낌입니다. 새우아스파라거스도 피가 쫄깃하고 오동통한 새우가 들어가 괜찮아요. 어향가지도 매콤한 양념이 배어 좋았습니다.","음식이 맛있어요, 양이 많아요, 가성비가 좋아요",저녁에 방문
송화산시도삭면 2호점,4.29.화,1,"도삭면이 먹고 싶으면 여기~
면성애자 드래곤스카이에게 취저.
찰지고 쫀득한 도삭면이 칼칼하고 향신료가 느껴지는
매콤한 국물이 어우어져서 맛있습니다.
칼칼한 국물이 시원해서 해장으로도 딱.
청경채도 좋고 고수도 너무 잘 어울려요~
왜 인기있는지 알 수 있는 곳.
이 집 잘 하네. 여기 맛있고 좋아요.
맛있게 잘 먹었습니다.
#자양동맛집 #건대맛집 #도삭면맛집
#도삭면 #송화산시도삭면 #드래곤스카이
#드래곤스카이의싱글라이프
접기","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 현지 맛에 가까워요",저녁에 방문
송화산시도삭면 2호점,6.7.토,1,정말 맛있어요!! 딤섬 도삭면 새우 먹었는데 너무 맛있게 먹었습니다. 웨이팅 있지만 회전율이 빨라서 좋아요. 다음에 다른 요리 먹으러 또 가려고 합니다.,"음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",저녁에 방문
송화산시도삭면 2호점,5.24.토,1,"도삭면, 야채볶음면, 가지튀김과 쇼마이를 주문했는데, 도삭면의 식감, 가지튀김의 겉바속촉, 쇼마이의 알차고 담백한 고기 맛을 맛볼 수 있었어요. 가지튀김은 적극 추천입니다.","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 가성비가 좋아요, 메뉴 구성이 알차요",점심에 방문
송화산시도삭면 2호점,4.21.월,1,"너무너무너무 좋아하는 음식집 ❤️ 일년에 몇번이나 온지 모르겠을정도 ㅎㅎ 추운날에도 이거 먹구싶어서 밖에서 오돌오돌 떨면서 기다린적도 있을정도로 단골 여기는 늘 웨이팅이 길어서 칼퇴하고 웨이팅하는데 친구가 좀 늦게와서 혼자 웨이팅하니까 뒤에 계신 남자분께서 같이 먹자해서 너무 당황했어욬ㅋㅋㅋㅋㅋㅋㅋ친구가 좀 늦게와서 웨이팅 끝내고(10분정도 기다린듯!) 음식 주문하고 있으니까 회전률이 빨라져서 음식이 진짜 5분만에 나오더라구요 ㅋㅋㅋ친구 기다리구 음식 다 탱탱 뿔었는데도 너무너무너무 맛있었습니당
전에 옆에 테이블에서 야채볶음면 시켜먹는거보구 너무 맛있어보여서 시켜봤는데 진짜! 꿔바로우랑 너무 잘어울려요 ㅜㅜ 도삭면<<<<<<야채볶음면!
토계밥 + 야채볶음면 + 꿔바로우 OR 가지튀김은 둘이서도 충분히 먹어용!
접기","매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
송화산시도삭면 2호점,4.17.목,1,"제일 좋아하는 도삭면 가게,,, 건대 최고 맛집
일단 가성비가 짱임ㅠ

야채볶음면은 처음 먹어봤는데 🔥
기름에 볶은거라 식으니까 쪼끔 느끼해져요!
확실히 볶음류는 뜨거울 때 먹는게 맛있습니당
개인적으로 야채볶음면엔 불맛이 입혀지면 더 맛있을 것 같기두 하네요

깐풍샤는 꼭 드시길!!! 가지덮밥도 굿굿!!!
역시 인기메뉴인 이유가 있습니다!!! 🍤🍆
고민하지 말고 시켜보세요!!!!!
취향이 아니면 어쩔 수 없지만요……

리뷰 쓰다보니 또 먹고 싶네요……
접기","음식이 빨리 나와요, 음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
