식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
시누아즈 홍대점,6.5.목,1,기념일에 남자친구와 방문하게 되었는데 분위기가 차분하고 따뜻한 느낌이라 첫느낌이 아주 좋았고 파인다이닝하면 맛이 부담스러운 경우가 있는데 부담스럽지않게 새로운 맛을 접할 수 있어서 좋았습니다. 또 방문할 예정입니다:),"음식이 맛있어요, 가성비가 좋아요, 인테리어가 멋져요, 뷰가 좋아요, 친절해요",점심에 방문
시누아즈 홍대점,3.30.일,1,"초반에는 양이 적나 싶었는데 솥밥까지 먹으니 배불렀어요.
깔끔하면서 조화로운 맛이 좋았고
페어링으로 추천해주신 와인도 산미가 좀 있으면서 메뉴와 잘 어울려서 맛있게 먹었습니다.
예약할 때 생일이라고 적었더니 티라미수에 레터링도 적어 주셔서 감사했어요! 엄청 친절하게 설명해 주셔서 기분 좋은 방문이었습니다.
접기","음식이 맛있어요, 인테리어가 멋져요",점심에 방문
시누아즈 홍대점,5.10.토,1,"후배가 추천해줘서 갔는데,
중국음식 태국음식 사랑하는 저희 가족들은 정말 맛있게 먹었어요. 먹보들이라 양이 부족하진 않을까 했는데, 칭따오 300씩 마시고 런치에 타르타르 추가해서 먹었더니 아주 든든하고 기분 좋게 배부릅니다. 먹고 보니 여기 평점도 좋더라구요? 오빠가 이런 데는 어떻게 찾냐며 칭찬일색이었어요. 외관은 좀 꾸리꾸리해서 의심했지만 맛만 좋네요. 다만 직원분들이 긴장하신 게 느껴져요ㅋㅋㅋ 부드러운 서비스를 위해 노력하시는 모습 보기 좋습니다.","아늑해요, 음식이 맛있어요, 가성비가 좋아요, 코스요리가 알차요, 친절해요",점심에 방문
시누아즈 홍대점,2.10.월,1,"음식 하나 하나가 다 너무 맛있었어요 🤤

발렌타인데이 기념 남자친구 데리고 갔는데
색다른 아시안 다이닝이라 너무 특별했어요!

코스요리인데 양이 많아서 충분히 배불렀고
매장 내부 분위기도 너무 좋아서 더욱 만족스러웠어요

다음에 또 방문할게요 🤍
접기","음식이 맛있어요, 향신료가 강하지 않아요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 코스요리가 알차요",저녁에 방문
시누아즈 홍대점,3.15.토,1,기념일에 방문했는데 음식도 맛있고 친절했습니다. 저만 알고 싶은 곳이에오,"음식이 맛있어요, 가성비가 좋아요, 특별한 메뉴가 있어요, 아늑해요, 친절해요",저녁에 방문
시누아즈 홍대점,2.27.목,1,"특별한 기념일이라 분위기 좋다고 소문난 시누아즈에
예약하고 가봤어요
매장이 진짜 너무 멋지고 음식이 깔끔하게 잘나오더라구요
처음먹어보는 음식도 있었는데 친절하게 설명도 잘해주시구 기념일 식사로 제격이였습니다
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 코스요리가 알차요, 인테리어가 멋져요, 친절해요",저녁에 방문
시누아즈 홍대점,3.13.목,1,"아시아음식 좋아하시는 분들은 방문해보세요! 분위기도 좋고 음식도 너무 맛있어요♥
코스요리로 맛있게 즐기고 좋은 시간 보냈어요^^
기념일에 방문해도 정말 좋을 것 같아요♥
다음엔 남편이랑 방문 해보려구요 :-)
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 코스요리가 알차요, 친절해요",저녁에 방문
시누아즈 홍대점,4.7.월,1,미리 예약하고 방문했어요~ 아늑한 조명과 고급진 인테리어로 식사분위기 진짜 좋았구요 음식들도 다 맛있어서 돈이 일도 아깝지 않은 곳이였습니다^^ 요리에 들어가는 재료들도 신선해보여서 다음엔 부모님도 모시고 오고싶네요ㅎㅎ,"음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",저녁에 방문
시누아즈 홍대점,2.22.토,1,음식 구성이 전체적으로너무좋앗어요 ㅋㅋ 음식도맛잇고 설명도자세히잘해주샤서 좋앗습니다,음식이 맛있어요,점심에 방문
시누아즈 홍대점,24.11.30.토,1,"디너코스 예약 후 방문했습니다!
아시안 코스요리는 처음이었는데 생각보다 너무 신선하고 맛있더라구요.
직원분도 요리 하나하나 설명도 친절하게 잘 해주시고, 잘 챙겨주셨습니다.
매장 인테리어나 분위기도 너무 좋았고, 낮에 와도 참 예쁠것 같다는 생각이 들었어요.
화장실도 라디에이터가 틀어져있어서 진짜 손님을 위한다는게 느껴져서 내심 감동받았습니다 ㅎㅎ
남자친구가 레터링 서비스를 몰래 신청했는데 티라미수도 무료로 같이 주셨다고 하시더라구요.. 정말 너무 맛있게 잘먹었고 덕분에 좋은 시간 보내고 왔습니다!
저희의 기념일을 더 빛나게 해주셔서 감사합니다
또 갈게요 💗
접기","친절해요, 인테리어가 멋져요, 음식이 맛있어요, 메뉴 구성이 알차요, 코스요리가 알차요",저녁에 방문
