식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
신선술집 도원 건대점,6.10.화,1,"우선 음식이 맛있음!
건대 먹자골목 술집중 가성비도 좋은거같고, 매장이 넓어서 편하게 식사가능
3,4층은 룸으로 되어있어서 단체 모임도 가능
인테리어도 깔끔하고 직원분들도 친절함
데이트하러 예약하고 방문했는데 다음에는 친구들 모임하러 갈예정
룸이 너무 마음에 들었음
접기","룸이 잘 되어있어요, 음식이 맛있어요, 메뉴 구성이 알차요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
신선술집 도원 건대점,6.1.일,1,"건대에 이렇게 넓고 분위기 좋고 대화하기 좋은 룸 술집이 있다니!! 너무 좋았어요 ㅎㅎ 메뉴도 다양하구 양도 많아서 단체 모임하기 딱이었구요 주류도 막걸리 종류별로 많아서 막걸리 좋아하시는 분들 특히 추천드려요!!
뷰도 좋고 좌석이 무엇보다 많아서 좋았어요 ㅎㅎ 룸도 정맣 많아요!!","음식이 맛있어요, 메뉴 구성이 알차요, 뷰가 좋아요, 사진이 잘 나와요, 단체모임 하기 좋아요",저녁에 방문
신선술집 도원 건대점,5.25.일,1,건물부터 눈에 뛰어서 찾기가 쉬웠고 매장 인테리어도 예쁘고 컨셉이 확실해서 좋았어요~ 음식도 너무 맛있어서 다같이 술이 술술 들어가더라고요~ 친목도모에는 이만한 곳이 없는거 같아요~ 직원분들도 다 친절하셔서 맛있게 잘 먹고 왔습니다~🙂,"음식이 맛있어요, 기본 안주가 좋아요, 인테리어가 멋져요, 사진이 잘 나와요, 친절해요",저녁에 방문
신선술집 도원 건대점,6.7.토,1,도원술집 처음와보는데 소꼬리 먹자마자 너무 맛있고 부드럽고 쫄깃해서 깜짝놀랏습니다! 그리고 벌꿀집 막걸리 먹었는데 벌집이 너무 많이 들어가서 막걸리 맛이 전혀 안날정도로 정말 달고 맛있엇습니다! 앞으로 자주 올거같아요,"음식이 맛있어요, 메뉴 구성이 알차요, 양이 많아요, 재료가 신선해요, 디저트가 맛있어요",저녁에 방문
신선술집 도원 건대점,5.14.수,2,"여기 되게 메뉴가 많고 특히 막걸리가 유명해요.
저희는 차돌 육개장전골, 베이컨 페퍼치즈 김치전과 장수막걸리를 시켰어요ㅎㅎ
육개장 전골은 소고기랑 버섯이랑 다양한 야채가 들어가있어서 맛있었어요 딱 육개장 전골 같은 맛이났어요","양이 많아요, 술이 다양해요, 음악이 좋아요, 대화하기 좋아요, 단체모임 하기 좋아요",저녁에 방문
신선술집 도원 건대점,5.17.토,1,"일단 메뉴랑 주종 종류가 다양해요!!
깔끔하게 나오는 것도 한 몫하고 친구들이랑 대화하기 좋아요 아아 그리고 노래가 너무 좋아요 선곡 정말 잘하시는 것 같아요 구러다보니까 술맛도 좋구, 음식맛을 더 좋게 하는 것 같아요
어! 또 직원분들이 친절해서 좋아요~~~
다음에 또 방문할꺼에요
접기","대화하기 좋아요, 음식이 맛있어요, 메뉴 구성이 알차요, 술이 다양해요",저녁에 방문
신선술집 도원 건대점,6.9.월,1,건대 주변 돌아다니다가 분위기가 좋아보여서 방문했는데 내부도 넓고 깨끗하고 너무 시끄럽지도 않고 좋았습니다! 음식 퀄리티도 솔직히 훌륭한 편이고 화장실도 남녀 나눠져있어서 깨끗하고 고데기까지 구비되어있어요 세심함 미쳤음 다음에도 또 오고싶어지는 술집이에요 데이트 장소로도 굿!👍👍,"음식이 맛있어요, 사진이 잘 나와요, 친절해요",저녁에 방문
신선술집 도원 건대점,6.6.금,1,건물부터 눈에 뛰어서 찾기가 쉬웠고 매장 인테리어도 예쁘고 컨셉이 확 실해서 좋았어요~ 음식도 너무 맛있어서 다같이 술이 술술 들어가더라고 요~ 친목도모에는 이만한 곳이 없는거 같아요~ 직원분들도 다 친절하셔서 맛있게 잘 먹고 왔습니다~😄😄,"음식이 맛있어요, 재료가 신선해요",저녁에 방문
신선술집 도원 건대점,6.4.수,1,"파전 맛있다고해서 왔는데 진짜 맛있고 양도 정말 많습니다. 둘이 왔는데 나중에 한 명더 불러서 먹인...ㅋㅋ
족발도 양념이 진짜 맛있고 파전에 찍어먹으면 딱 맞습니당! 막걸리두 맛있어서 간술하기 좋은듯요.","음식이 맛있어요, 양이 많아요, 인테리어가 멋져요, 사진이 잘 나와요",저녁에 방문
신선술집 도원 건대점,6.9.월,1,"아니 진짜 육회 물회 대박이에요!
투쁠 한우라고 했는데 육회 자체가 너무 맛있거
양념도 맛있어서 바로 소면 추가해서 뿌셨어요!
얼음맥주는 진짜 찐 살얼음맥주 최고! 또올게요💛
접기","음식이 맛있어요, 메뉴 구성이 알차요, 양이 많아요, 인테리어가 멋져요, 아늑해요",저녁에 방문
신선술집 도원 건대점,5.29.목,1,"신선이 될것 같은 술집 도원, 건대에 위치해서 접근성도 좋았고 한옥느낌 좋아하는데 인테리어도 예뻤어요💗 고추장찌개와 내기마요타코야끼전을 주문했는데 양도 많았고 재료도 충분하게 들어가서 저녁겸술안주로 딱이었어요😆 안주,주류도 다양하게 즐길 수 있는 곳 추천입니다!!","인테리어가 멋져요, 음식이 맛있어요, 술이 다양해요, 가성비가 좋아요, 룸이 잘 되어있어요",저녁에 방문
