식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
아카보시 성수점,6.7.토,1,"소주도 예쁜 병에 담아주시고, 사시미도 친절하게 설명해주셔서 기분이 좋습니다!
맛과 분위기 너무 좋아서 가볍게 한잔 하고 싶을때 오기에 추천합니다😉","인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요, 매장이 넓어요, 차분한 분위기에요",저녁에 방문
아카보시 성수점,6.11.수,1,음식이 맛있어용 분위기좋구요 유튜브보고왔는데 맛집이네요 사장님도친절하고 추천합니다,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 음악이 좋아요, 단체모임 하기 좋아요",저녁에 방문
아카보시 성수점,6.7.토,1,"식당 분위기도 좋고 맛도 좋아요~
늘 궁금해서 와볼까 고민하던 곳인데 오길 잘 한것 같아요~~","음식이 맛있어요, 가성비가 좋아요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 음악이 좋아요",저녁에 방문
아카보시 성수점,5.6.화,1,"성수에 위치한 분위기 좋은 이자카야에요🤍
사시미가 정말 신선하고 입에서 살살 녹아서 맛있게 먹었어요! 명란 테바사키는 처음 먹어보는 메뉴였는데, 명란의 짭짤함과 바삭함이 너무 조화로웠어요☺️ 집에 가면 또 생각날 것 같아요~","음식이 맛있어요, 술이 다양해요, 대화하기 좋아요, 차분한 분위기에요",저녁에 방문
아카보시 성수점,5.17.토,1,"단새우,우니랑 졸복 가라아게에 아나고초밥 먹었는데 메뉴구성이 너무 신선했고 음식도 너무 맛있어서 자주와야할 것 같습니다 👍","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 재료가 신선해요, 매장이 청결해요",저녁에 방문
아카보시 성수점,2.27.목,1,"성수 안주 맛있고 분위기 좋은 이자카야에용❤️
남표니랑 퇴근 후에 데이트하기에 넘 좋았어요
프리미엄 이자카야라서 오마카세급 신선한 재료들로 단품 안주들을 제공해 주시는데
모듬 모리아와세 제철 11종 다양한 회를 제대로 맛볼 수 있구 특이한 졸복가라아게도 맛있었어요
논알콜 매실 하이볼도 있어서 제대로 즐겼어욤
접기","음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
아카보시 성수점,4.26.토,1,"저는 회를 좋아하지 않습니다.
하지만 여기 회를 먹는 순간 제 평생의 생각이 바뀌었습니다
저는 이제 회를 좋아하고 해산물도 좋아하게 됐습니다

꼭 한번 드셔보십시오 생각이 달라지실겁니다
너무맛있고 입에서 녹아요ㅠㅠㅠㅠ
접기","음식이 맛있어요, 술이 다양해요, 대화하기 좋아요, 혼술하기 좋아요, 친절해요",저녁에 방문
아카보시 성수점,4.29.화,1,"동네에 이런 맛집이 있다니
너무 맛있어요~~~♡♡♡
또또또 올께요!!
😍😍😍
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 재료가 신선해요, 아늑해요, 친절해요",저녁에 방문
아카보시 성수점,3.12.수,1,워크인으로 방문했습니다. 메뉴 구성이 알차고 하나하나 다 맛있었어요.. 스시 메뉴 강추합니다.. 분위기도 좋고 조용하게 대화가 가능해서 너무 좋았어요 혼잡한 분위기 대신 조용하게 먹기 좋은 식당 찾으시는 분들에게 추천합니당😄,"음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 재료가 신선해요, 대화하기 좋아요",밤에 방문
아카보시 성수점,3.12.수,1,"최고의 안주 맛집 .. 𖦹
스시 너무 맛있으니 필수 주문 추천 드려요 .. ⸝⸝ ᷇࿀ ᷆⸝⸝
테바스키란 이런 거구나 싶었어요 !
하이볼도 너무 맛있고 또간집이 될 거 같습니다 ⁂
접기","대화하기 좋아요, 친절해요, 음식이 맛있어요, 술이 다양해요, 재료가 신선해요",밤에 방문
아카보시 성수점,2.15.토,1,"이번 모임은 성수핫플 인기지인 아카보시 방문~!!
주말이라 미리 예약하고~~~
숙성회를 좋아하는지라 ㅋ
이곳은 지구대 맞은편에 있는곳이라 안전하다고 할까?? ㅎ
친절한 직원분인지 사장님덕에 맛있게 잘 먹었습니다~~
비싼만큼 안주 선택이 중요하답니다
나가사키 짬뽕.스시.복어 등~~~~
비싼 사케와 함께 즐거운 시간 좋아용~^^
아~~ 유자사케?? 달달하니 이것도 맛나네요 ㅋ
접기","음식이 맛있어요, 술이 다양해요, 비싼 만큼 가치있어요, 대화하기 좋아요, 친절해요",저녁에 방문
아카보시 성수점,5.17.토,1,숙성회 진짜 맛있어요! 동네에 한적한데 생겨서 조용한데 음식도 맛있어서 너무 좋았습니다!!,"음식이 맛있어요, 비싼 만큼 가치있어요, 인테리어가 멋져요, 대화하기 좋아요, 아늑해요",저녁에 방문
아카보시 성수점,6.5.목,1,생맥주랑 기본안주부터 다 너무 맛있어요🩷 유튜브 보고 왔는데 단골 예약입니다!!>_<,"음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
아카보시 성수점,5.7.수,1,"제철생선으로 만든 스시 12피스에요
회가 부드럽고 숙성이 잘되어있어요~
하이볼하고 같이 먹으니 Good~!😋","음식이 맛있어요, 혼술하기 좋아요, 아늑해요",저녁에 방문
아카보시 성수점,24.12.27.금,2,"오마카세는 비싸서 자주 가기 쉽지 않은데 메뉴 하나하나마다 너무 맛있어서 자주 찾게되는 곳이에요
늘 남편과 맛있는거 먹으러가자 하면 여기부터 오는데, 정말 맛있게 먹어서 다른 지인들도 데려오면 누구하나 입맛에 안맞는다고 한 사람이 없을정도로 맛있게 먹고 갑니다~ 사장님도 친절하셔서 늘 꾸준히 다니는곳이에요!","음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 친절해요",저녁에 방문
아카보시 성수점,4.10.목,1,여자친구 생일이라 방문했는데 진짜 너무 맛있고요. 사장님 두분이 진짜 친절하시게 야무지게 잘 챙겨주셔서 너무 만족했습니다! 리뷰 스스로 쓴게 처음입니다! 다음에 또 먹으러 가겠습니다! 감사합니다!,"아늑해요, 음식이 맛있어요, 메뉴 구성이 알차요, 양이 많아요, 재료가 신선해요",저녁에 방문
아카보시 성수점,6.5.목,1,지려요.. 영롱험… 너무 마싯서요.. 맥주렁 후루룩 먹엇움 여러분 스시 꼭 드새요 스시!!!,"음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 특별한 메뉴가 있어요",저녁에 방문
아카보시 성수점,5.1.목,1,지나가다 우연히 들어왔는데 너무 맛있게 먹고갑니다 ㅎㅎ 다음에 또 방문 예정입니다!,"음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요",밤에 방문
아카보시 성수점,5.6.화,1,행복한 시간이었습니다.,"음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 대화하기 좋아요, 친절해요",저녁에 방문
아카보시 성수점,3.22.토,1,바테이블에 앉아서 사장님께 추천도 받고 아주 만족스런 식사였어요! 기본적으로 숙성회가 다 녹아내렸고 술찌임에도 술이 끊임없이 들어가는 맛있는 안주들이 너무 만족스러웠어요!,"음식이 맛있어요, 기본 안주가 좋아요, 대화하기 좋아요",저녁에 방문
아카보시 성수점,6.10.화,1,너무 맛있고 합리적인 가격에 잘 먹었습니다,"음식이 맛있어요, 기본 안주가 좋아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 친절해요",밤에 방문
아카보시 성수점,3.28.금,1,사케 종류 많고 사시미 맛있어요!,"음식이 맛있어요, 기본 안주가 좋아요, 아늑해요",저녁에 방문
아카보시 성수점,4.11.금,1,"너무 맛있고 지금까지 먹었던 스시와는 전혀 달랐어요.
👍👍👍 다른 메뉴도 기대중~","음식이 맛있어요, 재료가 신선해요, 사진이 잘 나와요, 특별한 날 가기 좋아요",저녁에 방문
아카보시 성수점,24.12.4.수,1,"성수동 이자카야 중에 채고 ,,, 진짜 모든 메뉴가 너무 맛있어요ㅜㅜㅜ 하나만 꼽기엔 너무 어려운 곳 ,,,
집 근처였으면 맨날 왔을텐데,,,,,
성수동 사는 분들 부럽네요,,, 🤧
회가 너무 싱싱하구 맛있구ㅜㅜㅜㅜ🥺
다음에 한국들어오면 꼭 다시오겠습니당..!! 🫶🏻🫶🏻
다들 왜안가….? 사장님 번창하세요 !!! 🔥🔥
접기","아늑해요, 음식이 맛있어요, 메뉴 구성이 알차요, 재료가 신선해요, 매장이 청결해요",밤에 방문
아카보시 성수점,3.22.토,1,"사시미가 너무 맛있어요..ㅎ 입에서 녹아 사라져요🫶🏻
분위기도 좋구 재방문 의사 1000%!!!!!","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 친절해요",저녁에 방문
아카보시 성수점,6.7.토,1,"초밥이 아주 맛있고ᆢ회도 신선한재료로 아주 좋아요
남편이랑 데이트하면서 저녁에 들렀는데
최고입니다~^^♡","음식이 맛있어요, 가성비가 좋아요",저녁에 방문
아카보시 성수점,4.19.토,1,"숙소 주변에 이자카야가 있어서 들어왔는데
안주 맛있고 유자사케도 너무 맛있게 먹었습니다:)","음식이 맛있어요, 아늑해요",저녁에 방문
아카보시 성수점,24.12.11.수,1,"음식이 하나같이 맛있어요
그리고 특별했어요
일류호텔 음식과 견주어도 손색없습니다
셰프님들. 솜씨가 최고예요
싸인받고 사진찍고 올걸 후회되요
곧 백수저 셰쁘님들 되실거 같아요
감사합니다
잘 먹고왔습니다
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 대화하기 좋아요, 친절해요, 매장이 청결해요",저녁에 방문
아카보시 성수점,24.12.12.목,1,"분위기 너무좋아요 숙성회도 나무 맛이ㅛ고
훈제 좋아하면 더 좋아할 것 같네요.
연말 분위기도 나고 매장 자체가 고급스러워서 중요 손님이나 연인이랑 오기 좋을 것 같아요.","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 대화하기 좋아요, 사진이 잘 나와요",저녁에 방문
아카보시 성수점,6.7.토,1,깔끔하고 음식도 분위기도 좋아요.,"음식이 맛있어요, 기본 안주가 좋아요, 특별한 메뉴가 있어요",저녁에 방문
아카보시 성수점,3.1.토,1,친구 집앞에 놀러왔어요 ㅎㅎ ㅎㅎ ㅠ 메뉴듀 다양하고 너무 맛있어요~ ㅠㅠㅠ🫶🏻 다음에 또 방문하겠습니다💛,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 청결해요",저녁에 방문
아카보시 성수점,5.1.목,1,분위기가 좋고 맛있어요,"음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 인테리어가 멋져요, 음악이 좋아요",저녁에 방문
아카보시 성수점,24.10.31.목,1,"예전부터 와보고싶었는데 너무 맛있어요🤍🤍🤍 회사 회식으로 왔는데 사시미는 너무 신선하고, 명란구이는 다들 강추했어요!!! 나가사끼짬뽕도 다 맛있어요🫶🏻 분위기도 너무 좋고 조용히 먹기 너무 좋아요!!! 강츄예요🥰🥰🥰","음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 인테리어가 멋져요, 음악이 좋아요",저녁에 방문
아카보시 성수점,2.28.금,1,성수에서 조금 떨어져있지만 그만큼 비교적 조용하고 술도 다양하고 이야기하기 좋습니다!!,"음식이 맛있어요, 술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
아카보시 성수점,24.9.21.토,1,"소개팅 성지 성수 아카보시
모듬 사시미 사시미모리아와세 시키면 게임 끝
숙성기술이 엄청나고 입에서 살살 녹아요
고등어봉초밥 꼭 드세요 느끼하거나 비리지 않고 적당한 기름진 맛이 일품 입니다
접기","음식이 맛있어요, 메뉴 구성이 알차요, 대화하기 좋아요",저녁에 방문
아카보시 성수점,1.25.토,1,사장님이 친절하시고 마싯어용,음식이 맛있어요,저녁에 방문
