식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
언더다이닝 건대본점,6.3.화,1,"다른데는 없는 특이한 메뉴라 궁금했는데 정말 맛있었어요!
양고기오일파스타도 정말 신선했고, 토마토 파스타도 진짜 맛이 깊어서 추천합니다!
스테이크는 겉바속촉이구 소스가 정말 맛있어요ㅠㅠㅠ😊","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
언더다이닝 건대본점,6.8.일,1,특별한 메뉴가 많습니당! 양고기쯔란이랑 살치살크림파스타를 먹었는데 면 식감도 좋고 맛있었습니다. 특히 장소가 조용하고 층고도 높고 쾌적해서 더 만족스러웠던 것 같네요. 건대에서 데이트약속있으신 분들께 추천드립니다!,"음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 아늑해요, 친절해요",점심에 방문
언더다이닝 건대본점,4.27.일,1,"파스타는 보통 맵기로 했는데 더 말하면 입아플정도로 맛있음. 근데 새우 추가금액에 비해 쏘쏘한 느낌. 3000원 주고 츄가했는데 총 6마리. 원래 3마리 나오나? 스테이크는 가격에 비해 뜨악인 양이었지만 대체로 맛있었음. 고기보다는 소스가 맛있었던 느낌. 근데 굽기를 선택 못했는데 작은거는 거의 탄 느낌으로 먹는데 질기고 말라있었음. 굽기선택해서 레어로 먹었으면 더 맛있었을듯.

또 방문 의사 있음. 그때는 다른 파스타랑 스테이크 굽기 요청할듯😋
접기","음식이 맛있어요, 인테리어가 멋져요, 매장이 청결해요",점심에 방문
언더다이닝 건대본점,5.25.일,1,"캐치테이블로 예약하고 왔는데 대기없이 들어왔어요
직원분들 너무 친절하시고, 음식 양도 많고 맛있네요
크림 파스타 꾸덕하니 좋아요
오일 파스타도 맵기로 조절해서 먹었는데 괜찮았어요
접기","음식이 맛있어요, 친절해요, 매장이 넓어요",저녁에 방문
언더다이닝 건대본점,6.3.화,1,와 너무 맛있어용.. 양고기 냄새날까봐 걱정했는데 진짜 맛있게 멋었어요!!! 약간 퓨전이라 더 맛있었구 리조또에 올라간 스테이크도 너무 맛있어요… 전반적으로 마늘맛 강한 느낌이라 크림인데도 질림 없이 잘들어갑니당..ㅎㅎ 너무 잘먹고가요~~~~,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
언더다이닝 건대본점,5.5.월,1,"분위기가 좋고,테이블간격이 넓어요.
주문이 밀려서,서빙이 잘못나왔네요~ 맛은 그럭저럭 ^^

명란과 양고기는 좀 짰어요~

나머지는 평타이상은 되는듯 합니다.
접기","인테리어가 멋져요, 음식이 맛있어요",저녁에 방문
언더다이닝 건대본점,5.7.수,1,"지하로 내려오시면됩니다 들어오면 귀여운 인형들이 반겨주더라구요 😍
분위기 통일되서 엄청 깔끔해요🩶
전복내장리조또는 크리미하면서 내장 맛이 잘 나요 하나도 안비려요~
쯔란양고기파스타 매콤하게로 먹었는 데 제 기준에는 안매워서 혹시 다음에 방문하면 완전 매콤으로 먹어보려구요!!
어니언페퍼크림미트볼도 고기가 엄청 부드럽고 밑에 매싀포테이토랑 잘 어울려요 👍
또 방문할 생각있습니다! 저는 싹싹 클리어 😊
약간 중독되는 맛이에요 음식들이 😝😝
접기","양이 많아요, 특별한 메뉴가 있어요, 친절해요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
언더다이닝 건대본점,5.31.토,1,"분위기가 좋고 음식이 맛있어요!
직원분들도 친절하시고 다음에 또 방문하고 싶습니다!!🫶🏻🫶🏻","음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 고기 질이 좋아요, 인테리어가 멋져요",점심에 방문
언더다이닝 건대본점,5.31.토,1,청모때문에 왔어요~~ 음식이 맛있고 인테리어고 넘 예뻐요 ㅎㅎㅎ 흘러나오는 음악도 넘 좋아요 ㅎㅎ,"인테리어가 멋져요, 친절해요, 음식이 맛있어요",점심에 방문
언더다이닝 건대본점,6.1.일,1,"투움바 쉬림프 파스타, 살치스테이크 김치볶음밥 시켰는데요 저는 김볶이 더 맛있었어요!!
두 메뉴 둘다 맛있습니다 😁","음식이 맛있어요, 가성비가 좋아요, 건강한 맛이에요, 차분한 분위기에요",점심에 방문
언더다이닝 건대본점,6.7.토,1,"평소 중국음식 좋아했는데 쯔란 파스타 먹으니 색다르고 맛있었어요, 아기의자도 충분히 있어서 다음엔 아기 데리고 남편이랑 분위기있게 식사하러 오려구요~","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 넓어요, 인테리어가 멋져요",점심에 방문
언더다이닝 건대본점,6.8.일,1,우연히 알게 돼서 방문했는데 음식이 예쁘고 맛있어요!! 여자친구랑 데이트할 때 오기 좋을 것 같아요,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요",저녁에 방문
언더다이닝 건대본점,6.10.화,1,전부터 와보고 싶어서 남자친구한테 보냈었는데 남자친구가 오늘 오자해서 왔습니다 메뉴 하나하나 너무 맛있게 잘먹었습니다. ⭐️매장도 깔끔해서 기분 좋게 먹고 나왔습니다 ⭐️,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 매장이 청결해요",저녁에 방문
언더다이닝 건대본점,5.25.일,1,기깔나는음식….. 너무너무맛잇게잘먹엇습니다 직원분도 넘넘 친절하셔요 감동이되,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요",저녁에 방문
언더다이닝 건대본점,5.12.월,1,"분위기도 좋고 음식도 맛있어요
지나가다 우연히 보고 들어왔는데 잘먹고갑니다!","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 특별한 날 가기 좋아요",점심에 방문
언더다이닝 건대본점,5.25.일,1,분위기 너무좋고 직원분들도 엄청 친절하셔서 좋았어요!! 파스타 양도 많고 재료도 크고 맛있어서 다음에 또 올것같아요~~!!!,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
언더다이닝 건대본점,6.7.토,1,"전복내장리조또와 쉬림프투움바파스타 시켰구요
둘다 맛있어요 부드럽고 녹진한 크림이 좋아요
건대 파스타 맛집","음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 차분한 분위기에요, 매장이 청결해요",점심에 방문
