식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
엘로코 성수,5.21.수,1,"코스요리하나하나 정성가득 맛가득
스페인요리에 진심쉐프님이 계시는곳입니다
분위기도 음악도 데이트하기에 딱이고
주차가좀불편하지만 성수동은 차갖고가는데 아니니까 충분히 이해됩니다. 빠에야감동. 리코타크림올라가 트러플향가득한 빵..맛이 감동이어요. 음식하나하나 친절하게 요리설명해주셔서 좋아요. 와인궁합도 참조은 엘로코 성수데이트로강추
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 차분한 분위기에요, 친절해요",점심에 방문
엘로코 성수,6.5.목,1,"성수는 요런 맛있는거 먹는 맛으로 오는거져
다른 곳에서는 먹을 수 없는 여기만의 특별한 요리들이 있어요 감동의 맛!!!
분위기도 좋구 사장님두 넘 잘생기셨습니당....ㅎㅎ
담에 친구들도 꼭꼭 데려올게요
접기","음식이 맛있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요, 화장실이 깨끗해요",점심에 방문
엘로코 성수,6.8.일,1,"우니 비스큐 파스타 진짜 맛잇어요!!!
꿀대구도 적당히 달고 빠에야도 뭔가 견과류?!? 같은게 같이.씹혀서 존맛탱..와인도 잘 어울립니당

마지막 디저트는 자몽소르베에 코코넛, 밀크티 커스타트 있는데 조합이 신기하면서도 깔끔하게 마무리할수있습니다!

데이트나 모임장소로 추천이에용!
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 대화하기 좋아요, 친절해요, 특별한 날 가기 좋아요",점심에 방문
엘로코 성수,6.6.금,1,"진짜 지인짜 맛있어요 진심으로 스페인 현지보다 맛있고요 서울 다른 양식집보다 훨씬 맛있어요…우니 새우내장 파스타가 진짜 도른놈이에요 너무 녹진하니 맛있어서 머리에 형광등 켜지는 맛!! 이태리 시칠리아에서 먹었던 그 맛이에요 ㅋㅋㅋㅋ 저희 가족 다 원픽이 우니 파스타…
다른 메뉴도 다 너무 맛있습니다 ㅎㅎ 뽈보 쫄깃하고 꿀대구 부드럽고 상큼하고 관자세비체도 고수향 크게 안나고 맛있어요 그리고 콜리플라워도 바삭하고 견과류랑 조화가 좋아서 진짜 맛있어요 ㅋㅋㅋㅋ
이것저것 다 먹어보고싶어서 단품으로 먹었구 다음에 또 올게요 진짜! 쉐프님 앞으로 진짜 유명해지실거같네요👍😇
접기","친절해요, 특별한 날 가기 좋아요, 인테리어가 멋져요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
엘로코 성수,5.22.목,1,"성수에 엄청난 미친 맛집입니다
진짜 인생집이에요ㅠㅠ
왜 이런곳이 미슐랭이 아니지;;
월-목 콜키지 프리 와인한병
구운문어 23000
트러플뇨끼 24000
비스큐 파스타 29000
구운오리반마리 60000
치즈크로켓 18000
디저트 10000
그냥 메뉴 고르는게 솔직히 의미가없을정도긴한데 구운문어와 오리 치즈크로켓 뇨끼 미쳤어요
기념일인거 아시고 디저트에 초도 같이 주셨어요
접기","인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요",저녁에 방문
엘로코 성수,5.29.목,1,스페인 음식 맛집으로 엘로코 성수 꼭 기억하세요✨💓 뽈뽀 꿀대구 유명한 스페인 요리 뿐 아니라 우니 비스큐 파스타도 그냥 미쳤고요🥹 분위기도 블랙블랙 고급져서 데이트 기념일이나 소개팅 장소로 추천드려요!! 다음에 런치나 디너코스에 와인까지 제대로 즐겨보고 싶어요🥰,"인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
엘로코 성수,6.5.목,1,"도착하자마자 아내 눈빛이 변함.
조명은 Low Light, 인테리어는 Chic한 Black Wood.
‘This is not 그냥 점심, This is a Date Experience.’
그 순간부터 already 분위기 점수는 MAX.”

But... ‘스테이크가 없어…?’
한국인의 본능이 튀어나옴.
No Beef, No Gogi Satisfaction.”

맛? 별 다섯 개.
퀄리티? 쉐프 손끝에 감탄.
But 문제는
요리는 1개씩만 나와서 Share Share.
우리는 2명인데 음식은 One by One?
“내 꺼 어딨어…” 마음속 외침 발생.
조금만 더 generous했으면…
My Wallet would be happy to

그래도 말할 수 있어요
다녀오길 잘했다 다음엔 Wine까지 곁들일래요
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요",점심에 방문
엘로코 성수,5.9.금,1,기념일로 방문했는데 너무 알차고 배부르게 잘 먹었습니다🥰🥰🤍 코스로 먹었는데 두 명이서 정말 알차게 먹었어요! 특히 그라탕이랑 문어 뽈뽀가 너무 맛있었어요 🥹🥹특히 음식 잘 맞는지 친철하게 여쭤봐주셔서 감동이었어요 🫶 덕분에 배부르고 맛있게 잘 먹고 갑니다!,"친절해요, 음식이 빨리 나와요, 인테리어가 멋져요, 음식이 맛있어요, 가성비가 좋아요",저녁에 방문
엘로코 성수,4.17.목,1,"남편 생일에 캐치테이블로 예약하고 방문했어요.
스페인 음식은 처음인데 디너세트 주문 했고,
메뉴 구성도 좋고 가성비도 좋았어요.
맛은 말할 필요 없이 하나하나 섬세하고 맛있었고 분위기도 차분하니 와인한잔 하기 좋더라구요.
분위기 좋은 곳 찾으면 딱 와서 먹기 좋아요><
데이트 하기 추천 해용.
접기","특별한 날 가기 좋아요, 아늑해요, 차분한 분위기에요, 음식이 맛있어요, 메뉴 구성이 알차요",저녁에 방문
엘로코 성수,5.4.일,1,런치 코스요리 먹었습니다! 단품 말고 코스 드시길 꼭 추천드려요!! 메뉴 하나하나 다 특색있고 맛있어서 단품으로는 다양한 경험을 못할거 같아요ㅠㅠ 특히 제 최애는 브라타치즈..! 헤이즐넛이랑 같이 먹으니 너무 맛나네요ㅠㅠ,"음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 특별한 날 가기 좋아요",점심에 방문
엘로코 성수,5.4.일,1,워크인으로 왔는데 기대보다도 훨씬 맜있었어요! 빠에야는 작년 바르셀로나에서 먹었던것보다 더 맛있었어요(소스 비결이 뭔지 궁금해요윻ㅎ) 직접 만든 디저트라고 말씀해주신 추러스도 츄레리아보다 이백만배 맛있네요,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
엘로코 성수,5.2.금,1,"스테이크 부드러워서 입에서 녹고 고기가 고퀄이라 먹기 너무 좋아요 !! 뇨끼도 트러플 향 솔솔나서 넘 만족스러웠어용 ~
나머지 메뉴도 다 맛있게 먹어서 기분좋게 식사했어요 :) 분위기도 좋아서 데이트 하기에도 딱!","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 고기 질이 좋아요, 인테리어가 멋져요",점심에 방문
엘로코 성수,6.9.월,1,"결혼기념일로 왔오요!
가격은 비슷한 레스토랑이랑 비교해서 싼편인것같아요!
저희는 런치 코스에 스파게티 단품 추가했눈데
저는 배부르고, 남편은 살짝 부족하대요!
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 코스요리가 알차요",점심에 방문
엘로코 성수,6.8.일,1,"친구랑 오랜만에 맛집가고 싶어서 방문햇는데 생각보다 더 맛있네요~!! 찐맛집이예요.. 파스타랑 대구 전부 다 맛있어요 🙂🙂
담번에 또 재방문 의사 있습니당 ㅎㅎ 짱","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요",점심에 방문
