식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
연하동 홍대점,6.5.목,1,딸아이와 막내아들과 함께 셋이 방문했어요. 독특한 메뉴가 많아서 아이들 먹여주고싶어서 예약하고 방문했어요. 꼬꼬동은 치킨가라아게가 진짜 진짜 맛있어요. 씹기 좋게 부드러우면서 겉은 빠사삭 하는 맛이 아주 일품입니다. 짭짤하니 정말 맛있어요. 연어국수는 진짜 어디서도 볼 수 없는 비주얼과 맛입니다. 연어 귀신인 아이들이 독특하고 맛있다면서 엄청 잘먹네요. 직원분들도 엄청 친절하시고 너무 좋아요. 다음엔 와이프랑도 꼭 와보려구요. 네이버 예약으로 예약하고 오시면 웨이팅 없이 2층에서 편하게 드실 수 있습니다.,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 아늑해요, 친절해요",점심에 방문
연하동 홍대점,6.6.금,1,"초대왕 꼬꼬동을 먹으러 방문했는데요! 기대한대로 넘 맛있었습니다!! 대왕 연어초밥도 굿입니당히히
미리 캐치테이블 잡고 왔는데 예상보다 빨리 들어왔어요~~😆
주말에 연남 데이트 할 때 방문해보세요!!","인테리어가 멋져요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
연하동 홍대점,6.9.월,1,"데이트 겸 연어가 먹고 싶어서 찾아왔는데 대왕연어초밥도 맛있구 까르보우동도 맛있었습니다!
저는 사바동이 젤 맛있었어요! 순살고등어랑 양념된 밥이랑 김에 싸먹으니까 고소하고 향긋했습니다 추천~","음식이 빨리 나와요, 음식이 맛있어요, 특별한 메뉴가 있어요, 아늑해요, 대화하기 좋아요",저녁에 방문
연하동 홍대점,6.8.일,1,"너무너무 맛있어요!! 점점 더워지는 날씨에 시원하게 먹을 수 있는 연어국수!! 비리지않고 부드럽고, 깔끔해서 좋아요!!
꼬꼬동은 바삭하고 , 부드럽고 양도 많네요!!
조용하고, 혼밥하기 좋은 장소에요! 다음에 또 방문하고 싶은 곳 입니다! 맛있게 잘 먹고 가요😍🥰👍🏻👍🏻","혼밥하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",점심에 방문
연하동 홍대점,5.24.토,1,"연남종 맛집 ""연하동""
예전에 텐동&후토마키 먹어보았는데 너무 맛잇어 다시 왔습니다.
다시 먹으려다가 연어국수와 고등어구이가 너무 맛있어보여 주문하였는데 역시나.. 맛있더라구요
다음엔 가츠동을 먹어보아야겟어요
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요",점심에 방문
연하동 홍대점,6.5.목,1,"산더미 가츠동 정말 맛있어요
튀김이 바삭하고 밥알도 너무 적당히 촉촉하게 소스가 배어있어서 간도적당하고 맛있습니다!!
친구추천으로 오게됐는데 정말 단골이 될거같네요

그리고 대왕연어초밥은 정말 크고 연어도 신선해서 좋습니다! ㅜㅠㅠ 연어좋아하시는분에게 강추
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
연하동 홍대점,5.25.일,1,리뷰를 안 쓸 수가 없어요 연어가 입에서 날뛰어요 ㅠ ㅜ ㅠ ㅠ ㅠ ㅠ 그냥 살아있는 것 가튼 신선함 ...... 음식이 맛있어요 버튼은 왜 한 번 밖에 안 눌리나요?.... 직원분도 정말 친절하세요 바에 계속 계셨던 포니테일 여자직원분 덕분에 밥 먹으러 왔다가 행복을 가득 안구 갑니다.. 특별한날에도 데일리하게도 오기 좋을 것 같아요 :) 분위기도 도란도란 편안해요!! 꼭 또 올게요 연남동데이트 맛집으로 추천..💖,"친절해요, 매장이 청결해요, 인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요",저녁에 방문
연하동 홍대점,5.25.일,1,"#연남동맛집 #연남동데이트
처갓집 치킨 맛 가라아게 맛있어요! 소스 적당해서 좋아요.
대왕연어초밥은 사이즈 별로 안 클까봐 걱정했는데 진짜 크네요. 초밥 한 피스 세 입에 나눠먹을 정도에요.
연어동도 맛있었어요.
접기","음식이 맛있어요, 인테리어가 멋져요, 친절해요",점심에 방문
연하동 홍대점,5.22.목,1,"친구랑 저녁먹으러 방문했어요✨️
대왕연어초밥이랑 꼬꼬동 주문했구요.
몇년만에 다시 방문했는데 여전히 맛있네요 :)
여자직원분 인상도 좋으시고 너무 친절하셔서 기분좋았습니다😄
잘 먹고 갑니다👍 또 올게요☺️
접기","음식이 맛있어요, 양이 많아요, 혼밥하기 좋아요, 친절해요, 음식이 빨리 나와요",저녁에 방문
연하동 홍대점,5.10.토,1,"드디어 먹어봅니다!!
캐치테이블 앱으로 웨이팅 걸어놓고 맘편히 기다렸어요!!
그외에도 현장에서 웨이팅 걸 수 있어요~
* 꼬꼬동: 슈프림 치킨보다 찐 맛있어요!! 바삭하고 짭쪼름하면서 달달한 ㅎㅎ
* 연어초밥 4개: 왕 크고 부드러워서 입에서 녹아요😋
* 연어국수: 색다로운 맛? 얘도 맛있어요!!
그냥 추천해요!!! 주말에는 대기가 길어요!!
접기","음식이 맛있어요, 양이 많아요, 비싼 만큼 가치있어요, 친절해요, 매장이 청결해요",점심에 방문
연하동 홍대점,5.12.월,1,"연어먹고 싶다는 말에 남친이 데리고 외주었어요.
연어하면 #연하동 #데이트맛집 이죠. ^^
실은 남자사장님?의 불친절한 응대에 그냥 가려다 여지직원분의 친절한 응대에 마음 풀고 앉았습니다. 연어 부드럽게 녹고, 소스의 간도 딱이고, 비린맛 없고요. 꼬꼬동도 차별화된 맛이네요. 후토마끼는 평범 ^^;;; 연어국수를 먹어볼 껄 그랬습니가. 그래도 음식 다 너무너무 맛있고요. 바에 옹기종기 마란히 앉아 먹는 재미도 있네요.

먹다가 또 적어요. ㅠㅠ 대왕연어초밥 너무 맛있어요. ㅠㅠ
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 대화하기 좋아요",저녁에 방문
