식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
오밀 성수,6.3.화,1,"오밀 성수 성수의 신상 파스타 맛집이라고해서 다녀왔는데 휴일이라 웨이팅도 많았던 인기 맛집이었어요😄
예약 후 방문해서 바로 들어갔고 미나리명란파스타는 매콤한 오일파스타에 명란과 미나리 그리고 쪽파와 마늘등 다양한 재료들이 들어가서 너무 맛있었어요💛
연어스테이크뇨끼는 꾸덕한 로제소스와 수제뇨끼가 정말 맛있었던 인생 뇨끼가 되었네요🫶
오밀소바마끼도 소스도 맛있었고 달달한 계란말이가 킥인 맛있었던 메뉴였어요!
에이드도 귀엽고 맛있어서 꼭 같이 드셔보시기를 추천드려요🍍🍅
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 대화하기 좋아요, 친절해요",점심에 방문
오밀 성수,5.5.월,1,"오픈시간 맞춰서 방문했는데 입장 전 기다리고 계시는 분들도 계셔서 그런지 오픈과 동시에 만석이였어요.
손님 연령층이 상당히 다양했는데 음식 먹어보니 남녀노소 모두 사로잡는 맛에서 이유를 찾았네요.
플레이팅부터 맛까지 훌륭하고 분위기도 좋아서 어느 모임으로 와도 만족할만한 곳 입니다.(핫플이라 예약 필수)
바쁜 와중에 시종일관 웃으며 친절하게 응대해주시는 직원분들도 인상깊었어요. 재방문의사 100 입니다 :)
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 친절해요, 인테리어가 멋져요",점심에 방문
오밀 성수,6.8.일,1,"새로 생긴 것 같아서 성수역에서 거리가 좀 있지만
살살 걸어왔어요! 너무 분위기좋고
번화가에서 떨어져있어서 오히려 웨이팅도 많이 없었고 일단 재료가 너무 신선하고 음식이 다 너무너무 맛있었어요😍😍 친구들이랑 성수오면 다시 여기 예약해서 올 거 같아요! 추천합니다!🧡","음식이 맛있어요, 재료가 신선해요, 음료가 맛있어요, 인테리어가 멋져요, 아늑해요",점심에 방문
오밀 성수,5.27.화,1,"점심시간에 동료들과 함께 방문했어요
테이블이 많긴 했는데 1시 20분쯤 방문하니 점심을 먹고 있는 사람들이 이미 많아서, 2인이상 방문 예정이라면 미리 예약하고 가는게 좋을것 같아요~
메뉴판에 1인 1메인메뉴를 주문해달라고 씌여있었지만 소바마끼를 먹고 싶어서 방문한 곳이라 주문 할 때 다시 물어보니 가능했어요!
주문한 메뉴도 다 맛있었고, 직원분도 친절하셔서 기분 좋게 식사 할 수 있었어요ෆ
다음에 또 소바마끼 먹으러 가고 싶은데, 소바마끼도 메인메뉴에 끼워주셨으면 좋겠어요🥲
접기","친절해요, 인테리어가 멋져요, 사진이 잘 나와요, 음식이 맛있어요",점심에 방문
오밀 성수,6.8.일,1,"바질토마토에이드 맛있어요 드셔보세요
메뉴들이 특이한데 성공했어요
연어스테이크 뇨끼는 으깬감자스타일이 아닌 쫄깃스타일이라 맛있고 미나리파스타도 맛있어요
실패없이 맛있습니다
추천해요
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 음료가 맛있어요",점심에 방문
오밀 성수,6.7.토,1,"회사 점심시간에 산책하다 구경만 했던 곳인데
주말에 성수동 나들이 할겸 밥먹으러 왔어요!
미나리명란파스타와 연어뇨끼 먹었는데
뇨끼 겉노릇속촉촉이라 진짜 너무 맛있어요,,,👍
미나리 향이 엄청 강하지 않아 명란과 면이 너무 조화로웠고
살짝 매콤해서 느끼하거나 물리지않아서
소스까지 긁어 먹었네요ㅋㅋㅋㅋ
직원분들도 너무 친절하시고 맛있어서 재방문 의사 있음
성수동 맛집입니다!!
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 음료가 맛있어요, 대화하기 좋아요",점심에 방문
오밀 성수,6.6.금,1,전부터 와보고 싶었는데 마침 자리가 있어서 먹을 수 있었어요! 직원분도 엄청 친절하시고 인테리어가 너무 이뻐요! 특히 메밀 김밥 정말 너무 신선하고 맛있어요 그리고 매콤리조또도 너어무 맛있었어요 또오고싶어요!,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 아늑해요",점심에 방문
오밀 성수,5.24.토,1,"성수 오면 꼭 와보고싶었던 곳인데 진짜 ㄴ기대이상이에요🥹🥹🤤 직원분들도 다들 넘 친절하셔용👏
연어뇨끼 비주얼보고 왔는데 맛도 미쳤네옄ㅋㅋㅋㅋ소바마끼도 넘 마싯고ㅠㅠㅜ파스타는 맛있는데 넘 매웠아여씁하씁하🥲ㅋㅋㅋㅋ
다음에 서울 또 언제 올지는 모르겠는데 또 오고싶어여ㅠㅠㅜㅜ 부산에도 생겨주세용~💓🥺","친절해요, 특별한 날 가기 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
오밀 성수,5.23.금,1,정말 너무너무맛있고 분위기좋은 맛집을 찾은것같아 기뻐요 하나하나 매장에서 직접 만들어서 더 특별하고 재료가 신선해요 맛있게먹고 건강해지는 맛이라 더 특별해요 바질토마토에이드랑 파인애플에이드 모두 특별해서 강추구요 연어뇨끼랑 명란미나리파스타 정말 퀄리티최강입니다 담엔 친구들 데려오려고요👍,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 사진이 잘 나와요",저녁에 방문
오밀 성수,5.31.토,1,"명란파스타, 연어뇨끼 먹었어요!
와 뇨끼 너무 맛있습니다 ❤️ 바질 토마토 에이드는 정말 말 그대로의 맛이에요 바질과 토마토 맛이 그대로 납니다
명란파스타는 약간 더 오일리했으면 좋았을 것 같아요
잘먹고 갑니당
접기","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 친절해요",점심에 방문
