식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
오일내 건대점,5.31.토,1,"결론부터 말씀드릴게요. 내가 건대입구역에서 삼겹살집 찾고 있다, 그냥가세요. 후회 안합니다.

1. 맛 10점
2. 서비스 10점 (직원들 생기있는 것만봐도 사장님이 얼마나 올곧은 분이신지 느낄 수 있으실거에요. 사장님 인상, 인성 최곱니다.)
3. 매장 분위기 굿


작업해야하는데 문득 주머니에서 영수증나와서 어제 행복한기억이 떠올라서 안달수가없어서 답니다. 강추
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 친절해요, 매장이 청결해요",저녁에 방문
오일내 건대점,6.6.금,1,"진짜 좋아요 다음에 또 올거예요 진짜
이 주변에 안 살긴 하지만 가성비도 좋고 주류이벤트도 넘 좋았어요 퀄리티가 남다른데 신선하고 김찌도 맛있고 계란찜도 맛있고 밑반찬까지 걍 다 좋아요. 진짜. 근데 공기밥 양도 많고 밥이 그릇 안에 봉긋 솟아있어요ㅠㅠㅜ 짱 ㅠㅜ 남자친구랑 왔는데 데이트로 그냥 후회도 없고 둘다 너무 만족해서 계속 시켜 먹었어요!!!! 진짜 번창하세요ㅜ 골목 쪽에 2층에 있어서 사람 많이 없는데 손님 입장에서는 오히려 좋았달까... ㅎ 매장 넓고 쾌적해요 직원분들도 친절해요. 완벽한 저녁이엇습니다ㅠ","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 잡내가 적어요, 반찬이 잘 나와요",저녁에 방문
오일내 건대점,6.6.금,1,"고기가 진짜 신선해요! 도축한지 5일 이내만 쓴다더니 역시 고기질이 다르네요. 저는 목살, 삼겹살, 낙엽살에 찌개 나오는 가성비 세트 시켰어요.

낙엽살은 낙엽모양이라 이름이 그런가봐요. 쫄깃하니 식감 좋고, 목살 삼겹살도 기름 적당해서 같이 나온 김치 3종이랑 소스랑 먹으니 딱 좋아요!

원래 고기집가면 저희 딸은 된찌에 밥이 기본이거든요,
여기 찌개 너무 맛있다고 감탄하네요. 안에 꽃게들어서 개운해요. 건더기도 큼직하고 밥 비며먹으니 밥한공기 뚝딱 해치우더라고요! 물론 고기도 너무 맛있다며 싹싹 비우고 왔습니다~~
접기","음식이 맛있어요, 고기 질이 좋아요, 재료가 신선해요, 친절해요, 매장이 청결해요",점심에 방문
오일내 건대점,5.1.목,1,"건대 가성비 고기집 인정입니다!
비오는 날이라 삼겹살 먹고싶어서 갔는데
넘 맛있었어요! 김치찌개는 꼭 드셔보세요.
진짜 맛도리입니다 ><

마지막에 볶음밥까지 시켜서 먹었는데
양 진짜 많아서 둘이서 다 못 먹었어요..
약간 맵기도 해서 물리지 않고 맛있게 드실 수 있슴당!
담에 건대 오면 또 방문하겠습니당!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
오일내 건대점,6.3.화,1,"저녁에 고기 먹고싶어서 방문했는데 저렴한 가격에 질 좋은 고기 먹어서 너무 좋았어요! 항정살이랑 삼겹살 특히 맛있고 파김치도 진짜 맛있어요
다음에 또 방문하려구요!! 추천해툐","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요",저녁에 방문
오일내 건대점,4.29.화,2,"두번째 방문이에요!!
일단 기본 반찬이 많고 직원분들도 너무 친절하시고 고기가 질이 너무 좋아서 마싯어요!ㅠ 건대 사는데 주변에 맛집이 생겨서 너무 좋아용!!
진짜 자주올것 같아용 ㅠㅠ❤️❤️
술이랑 음료가 너무 저렴해서 부담없이 먹을수있어욤..ㅠ 자주 오겠습니당😀😀🩷
+껍데기거 진짜 마싯어여~~
접기","매장이 넓어요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
오일내 건대점,6.1.일,1,"고기가 정말 맛있고 직원분들도 정말 친절하세요~
건대 삼겹살질 오신다면 꼭 오일내로 오세요~
한돈이여서 고기질도 정말 좋습니다.","인테리어가 멋져요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요",점심에 방문
오일내 건대점,5.16.금,3,"한돈에 이가격이라니 말도 안돼용
너무너무 마싯고 일주일에 3범정도 와요!!
직원분들 알바분들 다 너무 친절하십니당
자주 또 올게요~🙃❤️❤️
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
오일내 건대점,4.16.수,2,"두 번째 방문이에요. 건대에 2인분 이상 시킨다고 해도 혼자면 거부당하거나 추가요금(상차림비, 숯불비 등등) 받는다고 하는 곳 많은데 여기는 그런 거 없이 2인분 이상 주문이면 1인 식사도 가능하다고 하셨어요. 덕분에 삼겹살 맛있게 먹었어요. 매장 자체도 쾌적하고 관리 잘 된 느낌입니다. 나갈 때 챙길 수 있는 마스크, 스틱형 1회용 가글도 있었어요. 그리고 여기 파김치 너무 맛있어서 저번에도 리필 부탁드렸는데 이번에도 리필했어요 파김치가 생각날 때 또 방문할 것 같아요!","음식이 맛있어요, 가성비가 좋아요",저녁에 방문
오일내 건대점,6.9.월,1,"그냥 다른거 다 필요 없고 고기도 고기인데 파김치가 진짜 미친놈 입니다..
전 바깥 창가 자리 추천 드려요 그냥 힐링 그 자체 입니다","음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 친절해요",저녁에 방문
오일내 건대점,4.13.일,1,"가성비가 좋아보여 방문햇는디 진짜 짱임다
일단 소주 맥주 싼것규 좋구염
밑반찬 등 넘 정갈하게 잘나와요!

매장도 넓어서 단체모임하기에두 좋겠어요
무엇보다 고기진짜 쫀듯쫀듯 좔깃 장난아닙니다 ㅋㅋㅋ
보정 1도없는 사진이에여
때깔 굿굿 또올게용 :) 😌
접기","음식이 맛있어요, 가성비가 좋아요, 매장이 넓어요, 친절해요, 음식이 빨리 나와요",저녁에 방문
오일내 건대점,4.12.토,1,"야장 분위기에 가성비가 좋은 건대 고기집이에요.
이름에 걸맞게 도축 후 5일 이내에 한돈 원플등급만 취급하는 곳이라 고기질이 너무 좋고 신선했어요. 상차림도 훌륭했고, 파김치가 별미였어요. 고기는 너무 맛있었어요. 매장이 넓어서 쾌적하게 식사할 수 있었어요.","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 넓어요",점심에 방문
오일내 건대점,5.26.월,1,"가성비 제대로 돌아버린 곳이네요
처음 가봤는데 완전 만족이요 ㅋㅋ
친구들도 다 맛있대요!
술도 저렴하고 건대 삼겹살 맛집으로
이제 오일내 정착입니다
접기","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 메뉴 구성이 알차요, 반찬이 잘 나와요",저녁에 방문
