식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
오일내 홍대점,5.18.일,1,"신선한 고기를 합리적인 가격에 즐길 수 있는 곳이에요. 한판세트(4인분)에 한정수량인 낙엽살을 포함해 먹었는데, 육즙 가득하고 부드러워 정말 대만족!! 찌개도 포함되어 나와서 꽃게 된장찌개랑 돼지고기 김치찌개중에 고를 수 있어요. 저희는 김치찌개로~!! 푹 끓여 진하기가 남다른데 두부며 고기까지 듬뿍 들어있답니다, 치즈계란찜은 고소하고 부드러워 고기 사이사이 곁들이기 좋았어요. 고기는 도축 후 5일 이내 초신선육만 사용한다고 해서 더 믿음이 갔고, 깔끔한 매장 분위기와 합리적인 가격도 마음에 들었습니다. 홍대 고깃집 중 완전 강추!!","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요",저녁에 방문
오일내 홍대점,5.9.금,1,이 가격에 이 퀄리티가 가능하다니.. 진짜 단체모임 장소로 완전 추천합니당 소주 맥주도 병당 1900원이라 부담없이 맘껏 먹을 수 있어서 좋았습니다 명이나물도 리필 계속 해주시고 비빔면도 고기랑 싸먹으면 너무 맛있어용 홍대 삼겹살 맛집으로 추천합니당!!💕,"고기 질이 좋아요, 양이 많아요, 가성비가 좋아요, 재료가 신선해요, 단체모임 하기 좋아요",밤에 방문
오일내 홍대점,6.3.화,1,"홍대 밭깥 풍경이 한눈에 잘보이는 고기집이에요
야외에서 먹는 느낌이라고나할까요
고기질도 좋고 담에는 단체회식하러가야겠습니당♡♡♡♡♡","음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 친절해요",점심에 방문
오일내 홍대점,4.10.목,1,"평일저녁 밥먹으러 갔는데 가성비 좋았어요
고기 질이 확실히 좋아서 삼겹살 비계도 쫄깃졸깃 넘 맛있었어요 명이나물과 파김치 리필이 된다는 사실! 테라 한병이 1900원이라 바로 시켰는데 시원하니 탄산도 있고 맛있었습니다!","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 매장이 넓어요",저녁에 방문
오일내 홍대점,4.7.월,1,요즘 세상에 고기 일인분에 만원이 말이 됩니까? 심지어 고기 질도 너무 좋아요ㅜㅜㅜ그리고 반찬들도 김치 같은게 각종 종류가 있어서 다양하게 먹기 너무 편하구요. 그리고 음료들과 주류가 무려 1900 원입니다. …….와우 저는 앞으로 약속 생기면은 오일내에서 가성비 좋게 밥 먹으려구요. 너무 너무 만족 했던 식사였습니다. 배터지게 먹고도 얼마 안 나왔어요🥹 대만족!!,"매장이 넓어요, 음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 매장이 청결해요",저녁에 방문
오일내 홍대점,4.5.토,1,"오일내 홍대점👍👍 신선한 삼셥살과 목살, 가브리살!! 저렴한 가격에 너어어어어무 맛있게 먹었습니다!! 진짜 요새 이런 가성비 고깃집이 어디있나요ㅋㅋㅋ 제 텅장 살려주는 집이었습니다ㅎㅎㅎ 고기 질도 넘 좋고 잡내도 안나구요 쫄깃쫄깃 윤기 좌르륵 아 또 먹고싶네요 ... 그리고 꽃게찌개 하 진짜 너무 맛있습니다 .. 짭쪼름 시원한 국물맛 ㅠㅠ 딱 제가 좋아하는 스타일이았어요 .. 사이드로 주문했던 비빔면도 고기랑 넘 잘 어울렸구요. 이런 사이드 메뉴가 있다는 것주터가 센스 미친 거 아닙니까ㅎㅎ 뭣보다 고기는 만 원, 술이 1900원인 게 찐이죠ㅋㅋㅋ 홍대 오면 여기서만 먹을 것 같아요ㅎㅎ 직원분들도 친절하시구 화장실도 실내에 따로 있어서 넘 편안하게 있었습니당😊 흥해주세요~~👍👍","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 매장이 넓어요, 친절해요",점심에 방문
오일내 홍대점,3.22.토,1,"너무 맛있어요!!!🩷🤗🐷
뷰가 일단 미쳤구요 창가자리 추천해요
홍대 버스킹 및 춤공연 앉아서 볼 수 있어요
치즈 계란찜 부드럽고 맛나요

신선함, 두 마리 토끼를 모두 잡은 진짜 맛집입니다. 이곳은 도축 후 5일 이내의 한돈만을 고집스럽게 사용해 고기의 신선함을 제대로 느낄 수 있는 게 가장 큰 장점인데요. 특히 삼겹살과 목살을 1인분에 단돈 10,000원에 맛볼 수 있어, 가격 대비 만족도가 상당합니다.

뿐만 아니라, 소주와 맥주가 한 잔에 1,900원이라는 파격적인 가격! 친구들과의 가벼운 술자리나 회사 회식 장소로 안성맞춤입니다. 매장 내부는 넓고 쾌적하며, 단체석 룸도 마련돼 있어 소규모 모임부터 대규모 회식까지 모두 소화 가능하죵
접기","음식이 맛있어요, 고기 질이 좋아요, 잡내가 적어요, 단체모임 하기 좋아요, 뷰가 좋아요",점심에 방문
오일내 홍대점,3.20.목,1,"새로 오픈한 홍대 가성비 고깃집이에요!!
건물 외관에 삼겹살, 목살 1만원, 주류 1,900원 보고 놀라서 들어갔는데 가격이 저렴하다고해서 맛도 저렴한건 아니더라구요 ㅋㅋ!! 가성비 좋은 한판셋트로 주문했는데 개인적으로 통항정이 너무 고소하고 맛있었습니다👍 밑반찬도 깔끔하니 잘 나오고 파김치, 명이나물 죤맛이에여,,,
오픈기념 주류 할인 이벤트 기간 놓치지 마시고 홍대 가성비 고깃집 찾으신다면 오일내 추천 드려요!
접기","가성비가 좋아요, 재료가 신선해요, 단체모임 하기 좋아요, 친절해요, 음식이 빨리 나와요",저녁에 방문
오일내 홍대점,3.25.화,1,"홍대에 새롭게 오픈한 맛집으로

가성비 좋은 메뉴와 신선한 재료를 사용하고 있어

한번 가면 자주 가고 싶은 맛집이 될 거 같습니다

도축 후 5일 이내의 신선한 한 돈만을 사용한다는 점이

정말 큰 장점으로 직원들의 친절한 응대 덕분에

더 편안하게 식사를 즐기 수 있었습니다

가격, 맛, 분위기 모든 면에서 만족스러운 경험이었습니다
접기","음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
오일내 홍대점,5.14.수,1,"혼자서도 고기 먹기 좋은 곳!!
반반세트로 먹었는데 고기 맛 구웃!!!","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
