식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
육일관 건대본점,5.12.월,1,"저 후기 웬만해선 잘 안 남기는데, 기대 이상으로 너무 맛있어서 글 남깁니다.
사실 건대입구 맛의 거리는 술집 위주라서 아무 고기집이나 들어가면 실패한 적도 많았는데, 건대 다니는 친구가 사장님이 고기에 진심이라며 여길 추천해주더라고요. 네이버지도에 저장하려고 들어갔더니 이미 저장되어 있는 걸 보고 바로 출동했습니다.ㅋㅋ

일단 매장은 테이블 간 간격도 넓고 전체적으로 시끄럽지 않아서 좋았어요.
밑반찬도 하나하나 다 맛있었고, 특히 찍어 먹는 소스 종류가 5가지나 돼서 너무 행복했어요. 삼겹살은 직원분이 직접 구워주세요!잘 구워진 고기 한 점 들어서 소금만 찍어서 먹어봤는데 입에서 사르르 녹고, 머리가 띠링띠링 울리더라구요 ㅠ-ㅠ 정신없이 먹다보니 3인분 순삭했습니다...
접기","음식이 맛있어요, 고기 질이 좋아요, 단체모임 하기 좋아요, 친절해요, 직접 잘 구워줘요",저녁에 방문
육일관 건대본점,5.6.화,1,"삼겹살 2인분이랑 초지일밥 주문했는데 두툼하니 식감도 좋고 맛있었어요 (이미 배가 부른 상태였는데도 맛있게 잘 먹었어요)
삼겹살 집 가면 반찬(특히 김치)도 중요하게 생각하는데 김치도 맛있고 다른 반찬도 맛있었어요 게다가 특히 계란찜이 진짜 부드럽고 맛있어서 찌개도 맛있지 않을까 하는 생각이 들었어요 다음에 재방문 할땐 세트로 먹어봐야겠어요 분위기도 좋아요","음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 아늑해요",저녁에 방문
육일관 건대본점,5.21.수,1,"건대입구 맛집 육일관 !! 🥩🥩 고기 및 김치찌개, 그리고 음료까지 세트로 즐길 수 있는 건대입구의 육일관.
고기도 굉장히 고급스럽고, 너무 맛있는 한 끼가 될 수 있는 최상의 고기맛 ☺️☺️
“초지일관 최산의 고기맛을 고집하다.”
육일관 건대입구점 추천합니다 !!!
접기","음식이 맛있어요, 고기 질이 좋아요, 비싼 만큼 가치있어요, 매장이 넓어요, 컨셉이 독특해요",저녁에 방문
육일관 건대본점,5.9.금,1,"친구가 자신잇는 맛집이라구 해서 다같이 방문했어요!
목살 두께가.. 완존 장난 아니구 저 원래 목살 안좋아하는데 진짜 꼬독하고 넘 맛있었습니다 ㅎㅎ
항정 가브리살도 너무너무 좋고
특히 저 초지일밥은 꼭 시키세요.. 너무너무너무너무 맛있어요 진짜 마싯는 보끔밥의 부분만 모아놓은 맛이에요!
다음에도 고기땡기면 또 올게요>_< ♥
접기","매장이 넓어요, 단체모임 하기 좋아요, 직접 잘 구워줘요, 음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
육일관 건대본점,6.8.일,1,"여자친구랑 데이트로 건대와서 먹으러 왔어요 :)
리뷰가 너무 좋아서 왔는데 적당한 텐션의 가게여서 더 마음에 들었어요 ! 🥰
너무 마음에 드는 곳이네요 ㅎㅎㅎ","음식이 맛있어요, 아늑해요, 친절해요",저녁에 방문
육일관 건대본점,5.24.토,1,"직접 구워주는 고깃집.가족모임으로 정말 좋네요.
직원분들이 직접구워주시니 맛있게 알맞게 구워져서 더 맛있네요.
부위별로 삼겹살.목살.가브리살등 다양한 맛을 즐길수있어서 더욱 좋아요.
12명 단체로 와서 먹었는데 테이블 옆으로 만들어주시네요.
접기","음식이 맛있어요, 고기 질이 좋아요, 직접 잘 구워줘요",저녁에 방문
육일관 건대본점,5.19.월,1,"건대 고기집 원 top
진심 너무 맛있아요
비계조차 맛있는 삼겹살 ㅠㅠ
다구워주셔서 너무 편하게 먹았습니다
건대오면 삼걉살은 고민말고 여기로 ...
⭐️⭐️⭐️⭐️⭐️⭐️⭐️
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
육일관 건대본점,4.13.일,1,삼겹살하면 건대 육일관😗👍 세트메뉴가 있어서 고기에 된찌에 음료까지 한번에 먹을수 있어서 너무 좋네요☺️ 직원들이 고기도 직접 다 구워줘서 먹기도 편하고요! 고기는 말해뭐해💗 너무맛있네요!! 앞으로 건대에 삼겹살집은 육일관으로 픽💓,"음식이 맛있어요, 고기 질이 좋아요, 친절해요, 직접 잘 구워줘요",저녁에 방문
육일관 건대본점,4.12.토,1,"고기도 직접 구워주시고 고기도 맛있어요 특히 목살 맛있습니다 일하시는 분들도 친절하세요 매장이 넓은편이라 그런지 단체분들도 많이 계셔서 데이트, 단체모임, 가족모임, 회식장소로도 추천드립니당","친절해요, 음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 야외공간이 멋져요",저녁에 방문
육일관 건대본점,4.10.목,1,고기질이 너무 좋고 진짜 맛있어요!보통 고기 조금만 질겨도 잘 못 씹는 스타일인데 여기 고기는 너무 부드럽게 잘 구워주셔서 입에서 살살 녹아요!!사장님도 진짜 친절하시고 밑반찬도 다 너무 맛있구요 다른 스태프분들도 너무 친절하세요!건대에서 고깃집 갈거면 꼭 여기 가세요!전 재방문 의사 있어용,"음식이 맛있어요, 고기 질이 좋아요, 재료가 신선해요, 친절해요, 직접 잘 구워줘요",저녁에 방문
육일관 건대본점,5.17.토,1,건대에 데이트하러 왔는데 이런 고기맛집을 발견해서 너무 기뻐요~ 고기도 맛있고 초지알밥 꼭 먹어보세요 추천합니당〰️💗,"인테리어가 멋져요, 매장이 넓어요, 친절해요, 음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
육일관 건대본점,5.11.일,1,"남편이랑 갔는데 고기 직접 구워주셔서 편하고 맛있게 먹었어요. 매장도 넓어서 예약하고 가면 너무 간편해요.
목살이랑 삼겹살 먹었는데 맛있어요!","음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 단체모임 하기 좋아요, 직접 잘 구워줘요",저녁에 방문
육일관 건대본점,6.1.일,1,"데이트하러 건대 왔다가 우연찮게 들린 고기집인데 생각보다 맛있고 구워줘서 넘 좋았어요 ㅎㅎ
매장이 넓어서 가족모임리나 단체모임, 회식장소로도 좋을듯!
잘먹고갑니다ㅎㅎ","매장이 넓어요, 음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
