식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
육회한연어 건대점,6.8.일,1,"너무너무 잘나와요!
연어나 육회 무한리필 특유의 리필 때 질 안좋은것과, 위생 등 때문에 잘 안오는데, 여기는 연어 참치 질도 너무 좋고 너무 맛있어요.
김치전 너무 맛있고, 육회 맛도 너무너무 좋더라구요!
서비스로 주신 하이볼(에이드)도 너무너무 맛있었어요!
그리고 애쉬그레이 머리하신 직원분도 너무너무 귀여우시고 친절하셔요~!
건대 오면 꼭 또 들르고 싶은 가게입니다!
접기","친절해요, 음식이 빨리 나와요, 음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",저녁에 방문
육회한연어 건대점,6.5.목,1,"건대입구역 근처에서 가성비 좋은 무한리필 맛집을 찾는다면 ‘육회한연어 건대점’을 추천드려요. 육회 6종과 연어, 참치를 신선하게 무한으로 즐길 수 있고, 단돈 2천 원 추가하면 또띠아쌈도 함께 제공돼서 색다르게 맛볼 수 있어요. 고소하고 촉촉한 육회와 부드러운 연어가 조화롭게 어우러져 입안이 행복해지는 맛이랍니다. 데이트나 친구들과의 모임 장소로도 강력 추천해요!","인테리어가 멋져요, 음악이 좋아요, 음식이 맛있어요, 술이 다양해요, 가성비가 좋아요",저녁에 방문
육회한연어 건대점,4.25.금,1,오늘 진짜 맛있는 만찬을 먹었습니당! 소주 안주 최고! 단체 회식으로도 추천해요!! 육회랑 연어 퀄리티 너무 좋구요 사장님도 친절하셔거 다시 한 번 또 오고 싶어요~😍 건대에 온다면 육회한 연어 추천드려요❤️❤️,"음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 특별한 메뉴가 있어요",저녁에 방문
육회한연어 건대점,5.6.화,1,"육회랑 연어, 참치가 정말 신선해서 맛있었어요~
무한리필이라고 맛 없는 회도 아니고 회가 두툼하고 맛있어서 추천입니다! 가성비있는 건대 술집 찾으시는 분들은 육회한연어 추천드려요 직원분들도 친절하셔서 좋았어요","음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 인테리어가 멋져요, 대화하기 좋아요",저녁에 방문
육회한연어 건대점,5.11.일,1,일단 들어온 순간부터 기분좋게 반겨주시는 파란머리 직원분덕분에 너무 좋았습니다~~ 메뉴설명도 그렇고 친근하게 잘 다가와주셔서 편안함에 식사까지 맛있게 했어요!! 음식맛은 두말하면 잔소리입니다ㅜ 다음에 또 방문예정입니다~~!!,"음식이 맛있어요, 기본 안주가 좋아요, 친절해요, 매장이 청결해요, 오래 머무르기 좋아요",저녁에 방문
육회한연어 건대점,5.11.일,1,"육회가 먹고 싶어서 찾아보다가 방문했는데 육회도 연어도 너무 맛있어요👍🏻👍🏻
이렇게 맛있는 육회를 원없이 먹으니 세상 행복😭🥰
파워에이드같은 직원분도 굉장히 유쾌하시고 밥 먹는 내내 즐거웠습니다😆","친절해요, 음식이 맛있어요, 메뉴 구성이 알차요",저녁에 방문
육회한연어 건대점,5.24.토,1,"너무 맛이 있고 연어에 윤기가 좌르르 흘러요
다른 무한리필 집보다 퀄리티 좋고 맛도 좋아서 놀랐어요!
육회도 맛있고 양도 많고 리필해 주실때마다 처음처럼 같은 퀄리티에 연어랑 육회를 주셔서 좋았어요 ㅎㅎㅎ
서비스로 컨디션까지 감사합니다❤️
접기","음식이 맛있어요, 메뉴 구성이 알차요, 양이 많아요, 재료가 신선해요, 음악이 좋아요",저녁에 방문
육회한연어 건대점,5.13.화,1,파란 머리(애쉬그레이) 청년 분이 항상 올 때 마다 응대도 잘 해주시고 친절해서 기분이 좋아요! 그런데 음식까지 맛있어사 한 달 동안 5번은 온 것 같네요~ 다음에 또 올게요!,"친절해요, 음식이 맛있어요, 기본 안주가 좋아요",저녁에 방문
육회한연어 건대점,5.12.월,2,"이제 건대 육회/연어 먹으러는 육회한연어로 옵니다 -!
여러번 재방문한 맛집이에요 👍","음식이 맛있어요, 기본 안주가 좋아요, 술이 다양해요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
육회한연어 건대점,5.11.일,1,"가성비가 아주 좋은 곳!

연어 먹기 진짜 좋은곳입니다!
특히 알바분이 엄청 유쾌하시고 친절하세요 :)

건대 오면 꼭 한 번 들려서 먹어보세요!
접기","대화하기 좋아요, 음식이 맛있어요, 기본 안주가 좋아요",저녁에 방문
