식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
장어굽는총각들 건대직영점,5.11.일,3,"세번째 방문이에여어어🫶
자꾸 생각나욤..맨날 민물장어 기본만 먹다가 마늘장어 먹어봤는데 안달고 맛있네여..?🥹👏👏
술좋아하시는분들 복분자1:소주2 비율로 꼭타서 같이 드세욤 주전자도 센스있게 구비되어있어서 너어어무 좋아용♥️","음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 메뉴 구성이 알차요, 친절해요",저녁에 방문
장어굽는총각들 건대직영점,6.7.토,1,여기 장어구이 진짜 맛있어요 ㅠ_ㅠ 장어구이 잘못가면 비싸기만 하고 맛 없는 경우 엄청 많은데 여기는 가격도 적당하고 진짜 맛있어요🥰 그리고 문어랑 소라도 진짜 맛있으니까 꼭 세트 시켜드세요 !! 건대 살다가 이사 갔는데 여기가 그리워서 다시 놀러왔어요 🤍,"인테리어가 멋져요, 음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요",저녁에 방문
장어굽는총각들 건대직영점,6.7.토,1,"커플세트 시켜먹었는데 가성비굿 되게맛있고
셀프바도 잘되어있어요! 복분자 하이볼 처음 먹어봤는데 엄청 맛있게 잘 타주심 ✨
다음에 또 올게요! 🌞","음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 기본 안주가 좋아요, 아늑해요",저녁에 방문
장어굽는총각들 건대직영점,4.28.월,1,"식사시간 맞춰가면 기다릴 수 있어서 3시 반 오픈런 했어요.
커플세트인가? 그거 시켰는데 알차게 잘 먹었습니다. 잔가시 있을까봐 걱정했는데 전혀 걸리는거 없었어요! 해산물도 진짜 탱글탱글 신선하고, 6시전에가서 덮밥용 밥에 장어 얹어 장어덮밥 해먹었어요.

인테리어가 일본에서 밥먹는 기분이 물씬 느껴집니다 ㅋㅋ
번화가에 사람 많은 지역이라 주차가 걱정됐었는데 한아름볼링장 주차하고 1시간 할인권 주셨어요.

다음엔 매생이굴떡국도 먹어보려고요!
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 인테리어가 멋져요, 친절해요",점심에 방문
장어굽는총각들 건대직영점,4.29.화,1,건대에서 장어맛집으로 유명하길래 친구랑 다녀온 장어굽는총각들!! 진짜 이구성에 금액도 착하고 장어도 진짜 야들야들 장난없어요 ㅠㅠ 잔가시 예민한데 거슬리지도 않고 정신없이 흡입한거 같아요..! 건대에서 장어맛집 찾으신다면 장어굽는총각들 증멜 강추드리옵니다..💕,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 아늑해요, 차분한 분위기에요",저녁에 방문
장어굽는총각들 건대직영점,5.22.목,4,"흑흑 맛있는곳은 언제나 소문이 나기 마련이에여,,
저희부부의 나름 숨겨진(?) 소울맛집이었는데,,,,,,,🥹
땀 뻘뻘 흘리며 오니 웨이팅이어서 절망,,,,,😭😭
그래두 사장님 잘되셔서 기뻐욤 부자되세여♥️
접기","직접 잘 구워줘요, 음식이 맛있어요, 재료가 신선해요",저녁에 방문
장어굽는총각들 건대직영점,4.30.수,1,면목동에서 먹어본 친구가 추천해줘서 궁금했는데 건대에 생겼길래 와봣어요!!! 굉장히 친절하시고 맛도 좋고 일단 장어가 구워져서 나오니까 너무 편해요!! 숯불장어만 먹어봐서 좀 머뭇거렷눈데.. 여기는 또 오려구요!!!!,"인테리어가 멋져요, 혼밥하기 좋아요, 친절해요, 직접 잘 구워줘요, 음식이 맛있어요",저녁에 방문
장어굽는총각들 건대직영점,4.28.월,1,"맛집! 장어 좋아하는 사람 요기로~👍
건대입구역에서 가깝고 장어 맛이 자극적이지않고 겉바속촉의 정석으로 정성스럽게 굽고 양념옷을 입은 장어구이. 아주 맛있습니다. 장어굽는총각들은 자주 이용하는 곳으로 가성비좋은 맛집으로 알려져있기도 하는데, 민물 미니세트는 국내산 민물장어+문어숙회+소라숙회 로 37,000원으로 가격대비 퀄리티가 좋아 자주 이용합니다. 오늘은 서비스로 덮밥도 줬는데 간도 적당하고 맛있어서 다 비우고 왔어요. 추천합니다^^👍👍👍","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 건강한 맛이에요, 메뉴 구성이 알차요",밤에 방문
장어굽는총각들 건대직영점,4.17.목,1,"반려견과 함께 처음 방문했어요.
민물커플세트 푸짐하고 특히 장어가 진짜 두툼해요!
그리고 장어가 구워서 나와서 먹기 편했고,
양념이 달달하면서도 고소해서 정말 맛있었어요!
반려견 동반도 가능하고 분위기도 좋아서 너무 만족스러웠어요.
또먹으러 갈께요♡
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 친절해요",저녁에 방문
장어굽는총각들 건대직영점,6.6.금,1,"직원분들도 친절하고 장어와 소라, 문어를 같이 먹을 수 있어서 좋았어요! 맛있게 먹었습니다 😊","차분한 분위기에요, 음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 친절해요",저녁에 방문
