식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
제면소의하루 건대점,6.3.화,1,"매일 면을 직접 뽑으셔서 그런지 먹자마자 신선함이 느껴지는 맛이에요....!(제면소도 직접 다 보여주셔서 완전 신뢰가 가요!!!!) 그리고 제가 일본에서 냉우동으로 유명한 곳들 많이 방문해봤는데, 갔던 곳들보다 오히려 더 쫄깃함이 살아있어서 깜짝 놀랐습니다! 무엇보다, 10,000원도 훨씬 안되는 가격인데 양이 많아서 저랑 친구랑 돼지인데도 겨우겨우 다 먹었어요ㅠ 그리구 무엇보다... 여기만의 특별함인....! ‘로이’라는 귀여운 왕자 강아지를 오후 5시 이후에 방문하면 보실 수 있어요ㅠㅠ 문열고 식당에 입장하자마자 로이가 반겨줘요!!🥺 배도 만족감을 느끼고 저희 기분도 좋아지는 곳이니 꼭 방문하세요!!!!!!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 반려동물과 가기 좋아요"
제면소의하루 건대점,6.4.수,1,"강아지랑 동네 산책하다가 우연히 보게됐는데,
반려동물 같이 먹을수있다해서 친절한 사장님이 자리 안내해주셔서 들어왔어요!
근데 너무 맛있어서 깜짝 놀랐습니다!!!
면발이 쫄깃하고 붓카게 우동 양념이랑 면 둘다 맛있고, 돈가스완전 바삭해요!!!👍👍

동네주민인데 자주올것같아요 ㅎㅎ
접기","친절해요, 매장이 청결해요, 음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요"
제면소의하루 건대점,5.29.목,1,"🍜 하루우동 + 미니돈까스 (무료 면 추가 가능)
무료로 면 곱빼기가 가능해서 양이 푸짐하고 너무 좋아요!
면도 꽤 맛있는데, 휴게소 우동 느낌과는 달리 훨씬 부드럽고 야들야들한 식감이 좋았습니다.
저렴한 우동에서 흔히 느끼는 질겅거림 없이 깔끔하고 맛있었어요.
하루우동에 미니돈까스 조합은 가성비 최고! 전체적으로 깔끔한 한 끼였습니다.

🍛 카레덮밥
식어서 나와서 아쉬웠지만,
치즈와 카레 조합이 정말 잘 맞았고,
카레 간도 적당하고 양도 충분해서 맛은 만족스러웠어요.

매장에 순하고 복스러운 강아지🐶가 있는데,
손님이 오면 조용히 앉아 있다 가요.
저한테도 다가와줘서 회사에서 받은 스트레스가 풀릴 만큼 힐링됐답니다!
하지만 놀라는 손님들도 있을 수 있으니 매장 밖에 안내문구 있으면 좋을 것 같아요
접기","음식이 맛있어요, 가성비가 좋아요, 혼밥하기 좋아요, 반려동물과 가기 좋아요"
제면소의하루 건대점,4.22.화,1,"붓카케 완전 맛도리 화양동 맛집입니다! 매번 지나가던 길 건너에 있어서 모르고 지나치다가 비오는 오늘 우동한그릇 먹을까해서 검색하다 우연히 다녀왔는데 여기 자가제면 미쳤네요 면의 탱글함과 쫀쫀함이 진짜 어나더레벨
가격도 너무너무 저렴해요. 붓카케 냉우동 강추드립니다. 돈카츠 정식도 시켰는데 돈까스의 양이 어마어마합니다. 곱배기 아니고요.. 같이 나오는 사이드 온우동에도 이 자가제면 탱글면이네요! 내부가 진짜 깔끔하고 혼밥 가족식사나 데이트도 완전 강추! 우동좋아하시면 여기 꼭 가보세요!
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
제면소의하루 건대점,5.20.화,1,"너무 맛있어서 허겁지겁 묵었네요…
냉우동 진짜 진짜 좋아하는데 제면소의 하루가 1위예요… 다른 곳이랑은 정말 달라요
여기 안 뒤로부터 일주일에 두세번씩 오구 있네요..
제발 하루 잡솨주세요..
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요"
제면소의하루 건대점,5.31.토,1,"납작우동이 먹고싶어서 1시쯤 갔을때는 품절이었고, 브레이크타임 끝나고 5시에 바로 들어가서 먹을 수 있었어요! 납작우동이 목표이신 분들은 아침 일찍 오거나 5시 맞춰오셔야 좋을 것 같아요!
자루우동?이랑 납작우동이랑 소스는 같은데 면만 다른 것 같더라고요 각자 매력이 있어서 둘 다 맛있었는데 면이 쫄깃하다보니 납작한 면이 더 먹기 편했던 것 같아요
그리고 제가 갔을때는 강아지가 반겨줬어요😍😍","친절해요, 반려동물과 가기 좋아요, 음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요"
제면소의하루 건대점,5.27.화,1,"히모카와 우동이 먹고싶어서 찾던 중에 발견한 집 😆
건대에서 넓적 우동을 웨이팅없이 먹을 수 있다는게 가장 큰 메리트.. ㅎㅎ 면 추가가 무료여서 양이 굉장히 많았고, 사이드 메뉴도 다 추천! 한동안 시원한 냉우동은 이 집이다.","음식이 맛있어요, 양이 많아요"
제면소의하루 건대점,5.31.토,1,우동이 너무 독특하고 맛있어요. 히모카와 우동을 파는 곳은 처음이에요!! 튀김도 정말 맛있고 붓카케 아니면 히모카와랑 어묵 튀김 같이 드시는 걸 매우 추천합니다.,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 혼밥하기 좋아요"
제면소의하루 건대점,6.7.토,1,"친구가 어은점 다녀오고 추천해줘서 서울에서 찾아보니 건대에 있어서 오게됐습니다. 보통은 온우동이 익숙하겠지만 냉우동 좋아하시면 붓카케 꼭 추천드립니다! 면이 꼰득한 식감이고, 튀김류 중에는 어묵튀김이 맛있는데 튀김 옷이 조금 더 얇거나 없으면 더 맛있을거 같아요! 다음엔 히모카와 우동 먹어보고 싶네요 :)","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 혼밥하기 좋아요, 대화하기 좋아요"
제면소의하루 건대점,5.4.일,1,"붓카게와 카레 우동을 먹었어요. 면이 두툼하고 쫄깃합니다. 붓카게는 면이 더 쫄깃했고, 카레는 시치미를 첨가해서 더 맛있게 먹었습니다. 면 추가는 주문 할 때 해도 되고 먹고 부족해도 추가가 됩니다. 맛있게 잘 먹고 왔습니다.","음식이 맛있어요, 양이 많아요, 가성비가 좋아요"
