식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
제주곤이칼국수 건대점,5.16.금,1,"제주 애월맛집이 서울에?
우연히 건대앞에서 비오는 날 생각난 칼국수 식당 찾아 간곳.
대박
제주 현지 맛에
양도 푸짐
잘 먹었어요
칼국수 2종류
이외에 술안주 메뉴도 많아서
담에 다시 와야 할 듯.
프렌 차이즈 인지?는 아직 몰라요ㅡㅡ
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 현지 맛에 가까워요, 인테리어가 멋져요, 친절해요",점심에 방문
제주곤이칼국수 건대점,5.8.목,1,"1, 2층 넓은 매장 공간으로 편하게 식사할 수 있고 혼밥 자리도 있어 좋아요!! 주민이라 재재재x2 방문인데 술먹기도, 밥 먹기도 너무 좋은 식당입니다!!👍🏻👍🏻👍🏻

개인적으로 알곤이칼국수는 면으로 제주고기 칼국수는 밥으로 먹는 게 맛있고 고기칼국수는 약간 짭짤한 편 근데 둘 다 넘 취저 맛도리입니다!🍲

술 먹었을 땐 감자전이랑 전골도 먹어봤는데 소주 3병깜ㅋ 또 갈게용💕😘😘
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
제주곤이칼국수 건대점,5.21.수,1,"지인이 독특한 메뉴가 먹고 싶다고 해서 찾은 제주곤이칼국수. 나는 알곤칼국수를, 지인은 돼지칼국수 주문. 면이 쫄깃하고 알과 곤이가 꽤 들어있음. 국물도 생각보다 맵지 않음. 지인은 고기칼국수 국물이 진하고 깊은 맛이라고 함. 햇반에 말아먹고 싶다고...

다음에 꼬막비빔밥 먹고 그 다음에 제주고기밥으로 먹어본다고 함.

나도 허겁지겁 먹으며 싹싹 비움. 맵찔이인데 아주 안 매워서 굿. 다음에 다른 메뉴 먹으러 방문 예정. 맛나요.
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 매장이 청결해요, 음식이 빨리 나와요",저녁에 방문
제주곤이칼국수 건대점,6.8.일,1,깔끔하고 맛있는 맛이에요! 알곤이도 많이들고 맵지않은 국물이라 너무좋았어요. 고기국수도 진하고 뽀얀국물에 들어있어서 감칠맛이 엄청났습니다 너무 만족스러워요,"음식이 맛있어요, 양이 많아요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 넓어요",점심에 방문
제주곤이칼국수 건대점,5.25.일,1,"오랜만에 제주곤이 칼국수집을 다녀왔어요~!
고기칼국수는 사골 먹듯이 구수했고, 알곤 칼국수는 칼칼한데 알은 통통해서 맛있게 먹었습니다. 알곤 칼국수는 매콤하니, 맵찔이 분들은 조심하세요! 맛있게 잘 먹었습니다☺️","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
제주곤이칼국수 건대점,4.27.일,1,"- 알곤이 칼국수 곱 1.09만

- 알고니 푸짐하고 국물 얼큰하고 깨운함
- 밑빈찬 중 양파 절임이랑 김치 아주 맛남
- 주문시 알고니 추가 0.3만 선택할수 있는데
담에는 추가할 예정

결론 :
기대이상 만족하고 추우면 더 맛날듯
자주 오고 싶음
접기","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요, 혼밥하기 좋아요",점심에 방문
제주곤이칼국수 건대점,4.26.토,1,"시원 칼칼하니 맛있었어요. 저는 면을 안 좋아해서 밥으로 시켰는데 이 집은 이름처럼 칼국수로 시키는 게 훨씬 더 맛있을 것 같아요.
저희 동네에는 알곤이탕을 1인분 판매하는 곳이 없는데 여기는 1인분씩 팔아서 혼밥하기 좋네요ㅠ",음식이 맛있어요,점심에 방문
제주곤이칼국수 건대점,5.15.목,1,"알이랑 곤이 좋아하는데 들어간 칼국수 있어서 와봤어요!
알이랑 곤이 다 풍성히 넣어주시고, 국물이 찐 맛도리!!!
감자전도 추가했는데 너무 맛있네요👍🏻","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요, 매장이 청결해요",점심에 방문
제주곤이칼국수 건대점,6.7.토,1,맛있어요…양도 많고 해장되는 맛. 감자전도 바삭하고 배부른데 계속 집게되눈 맛이에여👍담에 전골도 먹으러 오겠습니다🪽,"매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",점심에 방문
제주곤이칼국수 건대점,5.24.토,2,전골만 먹다가 철판 처음 먹어봤는데 철판도 맛있어오 배불러서 볶음밥은 못먹었는데 다음에 볶음밥까지 먹으러 또 올게용,"매장이 넓어요, 음식이 맛있어요, 양이 많아요",저녁에 방문
