식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
청돈옥 홍대본점,6.1.일,1,"저는 프리미엄2인세트 먹었어요! 오랜만에 고기집 오고 싶었는데, 유명해서 찾아 왔어요
일단 고기가 부드러워요 안질겨서 편하게 맛있게 먹었어욤
홍대 삼겹살 맛집이어서 5시쯤 왔는데 저희 테이블 들어오고 바로 꽉 찰 정도로 손님이 많이 오셨어요
배불리 맛있게 잘 먹구갑니당~
접기","고기 질이 좋아요, 양이 많아요, 반찬이 잘 나와요, 뷰가 좋아요",저녁에 방문
청돈옥 홍대본점,5.18.일,1,진짜 모든 메뉴 하나하나 다 맛있었어용❤️ 고기두 직접 구워주셔서 넘 편했구요🙇 순두부찌개로 주문했는뎅 고기두 많이 들어있구 비빔밥이랑 먹으니까 완전 찰떡궁합👍💛💛 육회도 짱맛탱이었습니당😘,"음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 직접 잘 구워줘요",저녁에 방문
청돈옥 홍대본점,5.10.토,1,"고깃집을 그렇게 많이 다녀봤지만, 이렇게 맛있는 집은
처음이네요...먹을 수록 왜 단맛이 나는 거죠?
부드럽고 육즙이 느껴지는 맛이었어요
우연히 들른 집에서 기대없이 먹었다가 감탄만 하고
왔네요..먹을 수록 맛있어지는 맛이예요
젓가락 한 번 못내려놓고 계속 먹기만 했어요
돈마호크는 정말 최고였어요..등심뼈부위라고
하셨는데..아직도 그 첫 맛이 느껴지네요
청돈옥은 널리 소문내야 할 곳이네요
최고최고
접기","음식이 맛있어요, 고기 질이 좋아요, 잡내가 적어요, 메뉴 구성이 알차요",점심에 방문
청돈옥 홍대본점,5.9.금,1,합정역 고깃집 찾다가 방문 하게 되었어요~ 밑반찬도 정갈하게 잘 나오고 고기도 다 직접 구워주셔서 편하게 먹을 수 있었어요 :) 2인 세트 시키면 청국장 이랑 비빔밥 나오니까 같이 먹으면 조합이 정말 좋아요! 직원분들도 친절하고 또 방문하고 싶어요,"음식이 맛있어요, 고기 질이 좋아요, 재료가 신선해요, 메뉴 구성이 알차요, 반찬이 잘 나와요",저녁에 방문
청돈옥 홍대본점,3.22.토,2,홍대와 합정역에 위치한 고기집으로 블루리본도 받은 맛집이네요. 고기 질도 좋고 맛있었습니다. 첫번째는 구워주셔서 편하게 먹을 수 있었구요. 삼겹살이랑 목살도 좋았고 껍데기도 맛있었습니다. 마무리는 역시 청국장이네요. 구수하고 좋았네요.,"음식이 맛있어요, 고기 질이 좋아요, 친절해요, 매장이 청결해요, 직접 잘 구워줘요",점심에 방문
청돈옥 홍대본점,6.5.목,1,"처음 방문이에요. 고기질도 좋고, 위치도 좋고, 회식하기도 좋네요.!! 짱입니다!! 세트구성도 너무 좋습니다. 합정이나 홍대 약속이시면 오세요. #홍대삼겹살 #고기집","음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
청돈옥 홍대본점,6.3.화,1,"일반 삼겹살집과 달리 분위기가 세련됐고, 음식 구성이 알찹니다.
삼겹살을 시켰는데 고기 숙성관리에 신경을 많이 쓰는게 느껴집니다.
고기가 너무 맛잇네요.. 다음에 또오겠습니다.","음식이 맛있어요, 고기 질이 좋아요, 건강한 맛이에요, 재료가 신선해요, 메뉴 구성이 알차요",저녁에 방문
청돈옥 홍대본점,5.27.화,1,"240시간 숙성 삼겹살이 대표 메뉴인데, 잡내 없이 부드럽고 고소한 풍미가 정말 인상적이었어요.
함께 주문한 비빔밥과 순두부찌개도 고기와 잘 어울리고, 국물 맛이 깊고 깔끔해서 만족스러웠습니다.
반찬으로 나온 김치는 직접 담근다고 하시는데, 확실히 맛있더라고요.
개인적으로 파김치가 고기랑 찰떡이라 제일 맛있게 먹었어요 :)

매장도 깔끔하고 직원분들 응대도 친절해서 전체적으로 기분 좋은 식사였고,
저희는 5시쯤 예약하고 방문했는데 이른 시간에도 이미 손님이 많았어요.
방문하신다면 꼭 예약 추천드릴게요!
접기","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 재료가 신선해요, 친절해요",저녁에 방문
청돈옥 홍대본점,3.30.일,1,홍대 와 합정 사이에 있는 삼겹살 맛집 청돈옥 맛있게 잘 먹고 왔습니다. 핫플인 홍대답게 가성비 좋은 메뉴로 구성되어 있고 고기를 처음부터 끝까지 직접 다 구워줘서 편하게 먹을 수 있습니다. 일부러 지인들과 오픈런 시간에 다녀왔는데 빨리 안 갔으면 대기 해야 할 뻔 했을 정도로 인기 많은 삼겹살 맛집이었습니다. 음식은 세트로 주문했는데 일반적인 공기밥이 아닌 비빔밥에다 청국장을 넣어서 비벼 먹는 게 특별했고 고기랑 잘 어울렸습니다.,"음식이 맛있어요, 고기 질이 좋아요, 메뉴 구성이 알차요, 친절해요, 직접 잘 구워줘요",점심에 방문
청돈옥 홍대본점,5.4.일,1,"홍대에서 먹었던 고기집중에 최고입니다😆👍 직접 구워주신 고기는 육즙팡팡해서 정말 맛있고, 고기질이 신선하고 좋은게 느껴집니다🩷❤️메뉴구성도 다 직접 만드신다고 하는데, 진짜 맛있어요. 청국장도 미쳤습니다. 다 먹고나니 맨투맨의 그림처럼 함박웃음이 절로 지어집니다.
사장님께서도 너무 친절하셔서 정말 기분좋게 식사했습니다.
이미 잘되고 계시지만 더더 번창하시길✨️✨️
접기","음식이 맛있어요, 고기 질이 좋아요, 메뉴 구성이 알차요, 친절해요, 직접 잘 구워줘요",점심에 방문
