식당명,작성일,방문횟수,리뷰 내용,리뷰 태그
최원석의돼지한판&서해쭈꾸미 건대1호점,5.1.목,2,"아이가 비가오니 삼겹살이 먹고 싶다고 해서 또 먹으러 왔어요. 두툼한 삼겹살이 육즙을 먹고 있어서 맛있고, 직접 구워주시니 좋고, 묵사발 반찬도 좋아요~","음식이 맛있어요, 고기 질이 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.9.수,1,고기가 신선하고 맛있어요. 직접 구워주셔서 더 맛있게 먹을 수 있었습니다! 반찬들이랑 사이드 메뉴도 맛있어요. 사장님도 친절하시고 좋아요. 건대 오신다면 방문하는 거 추천드립니다. 건대 맛집이에요!,"직접 잘 구워줘요, 음식이 맛있어요, 고기 질이 좋아요, 재료가 신선해요, 반찬이 잘 나와요"
최원석의돼지한판&서해쭈꾸미 건대1호점,6.5.목,1,"직장 회식으로 왔는대
음식도 깔끔하고
맛있고 좋아요
가게가 시원해서 더 좋아여~!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 매장이 넓어요, 단체모임 하기 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,6.6.금,1,"테이블 넓고 기본반찬 다맛있어요
영수증 이벤트로 계란찜 픽
감사함다:)","음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요"
최원석의돼지한판&서해쭈꾸미 건대1호점,6.6.금,1,"남자친구랑 데이트하면서 저녁으로 고기 먹으러 왔어요!
집근처라 고기 생각날때 몇번씩 오고 있습니다 :)
맛있어요!","음식이 맛있어요, 고기 질이 좋아요, 단체모임 하기 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.12.월,1,"건대입구역 돼지고기 맛집입니다!!
퇴근하고 여자친구랑 데이트하러 왔는데 진짜
고기가 입에서 살살녹고 사장님도 진짜 친절하세요!!
건대에서 엄청 유명한 가게인 거 같아요🫶🏻
접기","고기 질이 좋아요, 잡내가 적어요, 친절해요, 직접 잘 구워줘요, 단체모임 하기 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.23.금,1,"너무 맛있어서 고기 다먹고 정신차리고 찍었습니다... 이근처 고기집에서 제일 맛있믄거같아요. 회식하기에도 좋고, 고기가 초벌되어 나오고 다 구워주셔서 너뮤 좋아요! 된장찌개도 묘한 집된장 맛이 나서 든든하게 한끼 하기 좋았습니다! 👍","직접 잘 구워줘요, 음식이 맛있어요, 고기 질이 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.20.목,1,"정말 너무 맛있습니다! 두꺼운 고기라서 굽기 힘든데 직접 구워주시니 딱 맛있는 상태로 먹었습니다.
다음번에 또 와서 먹구싶네요. 꼭 와서 드셔보세요!
건대 삼겹살 맛집은 최원석의 돼지한판!
최고입니다
접기","음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 친절해요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.29.목,1,처음 갔는데 주변에 이렇게 좋은 고깃집이 있는줄 몰랐습니다. 구워주셔서 편하게 즐길 수 있었어요. 고기도 고기지만 특히 된장찌개가 아주 맛나네요.,"음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.23.금,1,"우연히 지나가다 들렸는데 너무 맛있고, 직접 구워주셔서 잘 먹고 갑니다~! 매장도 쾌적하고 너무 시끄럽지 않아서 좋았습니다😊","음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 매장이 청결해요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.12.월,2,전에 와보고 맛있어서 또왔어요 :) 고기가 정말 맛있는데 고기를 구워줘서 더 좋아요.,"음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.26.토,1,"직접 잘 구워주시고 너무 맛있어요.
배 터지게 먹었습니다.
쭈꾸미도 매콤해서 조합이 좋아요!","친절해요, 직접 잘 구워줘요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.5.토,1,"고기가 두툼해서 육즙가득 너무 맛있어요 직접 구워주셔서 편하고 또띠아에 싸먹는맛도 별미에요
반찬도 깔끔해서 건대 고기맛집 입니당","음식이 맛있어요, 잡내가 적어요, 친절해요, 주차하기 편해요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.31.월,1,"큰길옆에있어 언젠가는 꼭가야지 하며 쳐다만보고 지나갔던곳입니다. 오늘 여자친구와 작정하고 고깃집을 방문했는데 고기도 직접썰어주시고 된장찌개도 끓여서나오는게아닌 와서 끓이는 방식이라 좋았습니다. 고기질은 두말하면 입아플정도로 좋았습니다. 이가격에 나오기힘들 퀄리티라 생각합니다. 기본찬으로 묵사발도 나오고 배추김치 갓김치, 명이나물,당귀잎까지 주셔서 여친이랑 못참고 다먹어버렸네요ㅋㅋ 주차도 가능하니 지나다 들릴일있으면 여기서 식사해결해도 너무만족할것같습니다. 맛있게 잘먹었습니다!","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.6.화,1,"저희 가족은 일주일에 두세번 고기를 먹는데
최원석 돼지한판은 처음입니다
고기를 도마에 칼로 잘라주는 고퀄리!!
고기맛 일품입니다!!^^
접기","음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 인테리어가 멋져요, 음식이 빨리 나와요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.24.토,1,건대 고기 맛집이에요. 지나가다가 발견한 고기집인데 삼겹살이 미쳤어요. 직접 구워주셔서 더 좋아요 :),"매장이 청결해요, 직접 잘 구워줘요, 음식이 맛있어요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.23.수,1,건대에서 고기 제일 맛있는 집이에요!!! 고기가 정말 싱싱하고 맛있어요💕,"음식이 맛있어요, 고기 질이 좋아요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,6.7.토,1,"항상 믿고 먹습니다!!
쭈꾸미 +고기 조합 최고 👍👍","직접 잘 구워줘요, 매장이 넓어요, 단체모임 하기 좋아요, 음식이 맛있어요, 고기 질이 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.8.목,1,돼지반판+쭈꾸미입니다! 평일점심에 와서 대기없이 바로 먹었어요ㅎㅎ 맛있습니다!,"음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.21.금,1,고기가 너무 맛있어요!!! 건대역 데이트 맛집 인정합니다! 돌솥밥도 있어서 너무 좋네요ㅎㅎ,"음식이 맛있어요, 고기 질이 좋아요, 매장이 청결해요, 직접 잘 구워줘요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.15.토,1,동료 선생님 덕에 알게 된 집입니다.. 이렇게 고급스럽고 맛있을 줄 몰랐는데 너무 만족하여 또 왔네요.. 쭈꾸미도 계란찜도 최고예용,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 재료가 신선해요, 메뉴 구성이 알차요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.2.수,1,"늦게 퇴근하고 방문했는데 새벽1시까지 영업해서 좋았어요~!! 기본으로 나오는 묵사발이 진짜 기가막힙니당 ㅠ 🩷
고기 퀄리티도 좋고 넘 맛있게 잘 먹구 갑니다","음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.6.일,2,"건대 맛집입니다. 건대 19년차 주민인데, 건대에서 돼지고기 먹을 때면 항상 여기서만 먹어요. 고기도 신선하고 함께 나오는 반찬과 멜젓, 갈치속젓도 좋습니다. 건대 오시면 한 번 쯤은 꼭 와보세요! 완전 강추👍👍","음식이 맛있어요, 고기 질이 좋아요, 재료가 신선해요, 메뉴 구성이 알차요, 반찬이 잘 나와요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.11.금,1,"여기 건대맛집이라고 해서 왔는데 너무 맛있어여~
반판 헸는데 모든 부위가 다 맛있습니다.
벚꽃보고 데이트코스로 좋을것 같고
직장인 회식하기도 좋을것 같아요
반찬이 퀄리티 있습니다.
접기","음식이 맛있어요, 고기 질이 좋아요, 반찬이 잘 나와요, 비싼 만큼 가치있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.19.수,1,지나가다가 손님이 많길래 궁금해서 들렀는데 직접 구워주시고 먹기 좋게 잘라주셔서 먹기도 편하고 맛있었어요!,"음식이 맛있어요, 비싼 만큼 가치있어요, 친절해요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.2.일,1,"남편이랑 건대 데이트하러 나왔다가 맛집이라길래 와봤는데 삼겹살, 목살 다 너무 맛있어요👍🏻
고기도 다 구워주셔서 너무 편해요ㅎㅎ","음식이 맛있어요, 고기 질이 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.6.화,1,건대역 삼겹살 맛집에서 부모님과 함께 만족스럽게 식사했어요! 회식 장소로도 좋겠네요!,"음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 잡내가 적어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.18.일,1,맛있어요 5년째 다님,"음식이 맛있어요, 고기 질이 좋아요, 단체모임 하기 좋아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.16.수,1,#건대맛집 #건대삼겹살 #건대고기집 구워주셔서 좋아요~~ 맛있게 먹었습니다,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.6.일,1,여기 진짜 고기 죤맛임ㅋㅋㅋ 고기도 다 구워주고 채소도 짱신선!!,"음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 친절해요, 직접 잘 구워줘요"
최원석의돼지한판&서해쭈꾸미 건대1호점,4.27.일,1,양도 많고 밑반찬도 많거 맛있어요!,"음식이 맛있어요, 양이 많아요, 인테리어가 멋져요, 매장이 넓어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.8.목,1,"고기가 두툼하고 맛있습니다!
사장님께서 직접 구워주셨고, 회식장소로 너무 좋습니다!","재료가 신선해요, 단체모임 하기 좋아요, 친절해요, 직접 잘 구워줘요, 주차하기 편해요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.16.일,1,"고기가 너무 숙성되서 맛있고 쫄깃 합니다
육즙도 가득해요~
직접구어주셔서 더 좋고 된장찌개에 샐러드까지 기본 반찬도구성도 너무 좋습니다
완전 추천해요!!
접기","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,5.3.토,1,고기도 구워주시고 너무 맛있어서 또왔어요 ㅠㅠ 잘먹겠습니다,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.17.월,1,"건대에서 맛있는 삽겹살집이에오
고깃집은 찾을필요없이 돼지한판으로!!","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.26.수,1,"건대에서 여기만 와요 완전 맛있어용
리뷰이벤트하면 계란찜 주시고
된찌는 청국장맛나고 맛있어용
고기질도 좋은거같고 반찬도 다양해요!!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요"
최원석의돼지한판&서해쭈꾸미 건대1호점,3.20.목,1,고기가 두툼하고 매장이 넓어요! 고기도 직접 구워주시거 좋습니다😊,"매장이 넓어요, 친절해요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요"
