식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
카페 오캄 건대점,6.7.토,1,"건대입구역 맛의거리 안쪽에 있어요
건대쪽에서 분위기 이쁜 곳 찾기 어려운데 딱 여깁니다

프렌치토스트는 계절과일이랑 같이 구성되어있어요
아메리카노도 디저트랑 잘어울리게 맛있어요~
접기","커피가 맛있어요, 디저트가 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요, 대화하기 좋아요",점심에 방문
카페 오캄 건대점,6.4.수,1,건대에 위치한 분위기가 정말 좋은 카페예요 매장도 넓고 삼층까지 있고 옥상에는 테라스도 있어서 정말 좋아요 분위기가 좋아서 친구들이랑 자주 온답니다 ㅎㅎ,"커피가 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요, 친절해요, 매장이 청결해요",저녁에 방문
카페 오캄 건대점,4.23.수,1,"대박 !! 잔 꾸불꾸불 양도 많고, 컵 디저인도 너무 예뻐요 😘❤️
오캄 카페는 이웃 블로그 후기보고 찾아왔는데~! 대만족합니다 🤤

루프탑 너무 쾌적하고, 상쾌해서 좋아요 !! 매장내부도 인테리어가 좋아서 커피 한잔 하기에 좋아요~~~! 😆
옆건물이 커서 그늘 지는게 좋아요 햇빛이 안들어와서 좋습니당 자외선 NO

방문전 밥을 든든하게 먹고와서 디저트는 안시켰지만 !! 디저트도 맛있어보여서 혼났잖아요 🥹🫶🏻

건대입구역 카페 찾는다면 여기 추천합니다 !!!
접기","커피가 맛있어요, 메뉴 구성이 알차요, 뷰가 좋아요, 아늑해요, 매장이 청결해요",점심에 방문
카페 오캄 건대점,4.27.일,1,건대 골목에 있는 아기자기한 조그만 카페 입니다. 너무 예쁘고 사랑스럽고 삼 층까지 자리가 있어서 사람들이 안 유명 하기 전에 빨리 다녀 오는 것을 추천 합니다. 케이크도 있고 가위도 있고 쿠키도 있고 맛있는 디저트들도 많고 여름에는 빙수도 있어요.♥️,"커피가 맛있어요, 디저트가 맛있어요, 음료가 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요",점심에 방문
카페 오캄 건대점,5.24.토,1,매번 지나가면서 보다가 처음 방문해봤는데 내부도 2층으로 넓고 쾌적해요! 시원하고 인테리어도 예뻐여 ✧٩(•́⌄•́๑)و ✧ 망고빙수 시켜봤는데 달달하고 망고짱많고 맛있어여 추천함니다 (*´ω｀*),"인테리어가 멋져요, 사진이 잘 나와요, 뷰가 좋아요, 커피가 맛있어요, 디저트가 맛있어요",저녁에 방문
카페 오캄 건대점,5.4.일,1,"강아지 크룽키 너무 귀엽고 맛있어요 !! 🤍🥺🐶
3층에는 테라스도 았어서 요즘 같은 날씨에는 바깥에서 먹기에도 좋을 것 같아요 - ㅎㅎ
사장님과 직원분들도 너무 친절하셔서 다음에 또 오려구여 행복하게 잘 놀다가 갑니당 ~","인테리어가 멋져요, 사진이 잘 나와요, 컨셉이 독특해요, 커피가 맛있어요, 디저트가 맛있어요",점심에 방문
카페 오캄 건대점,5.6.화,1,"날씨가 너무 좋아서 카페 찾다 여기가 루프탑이 있다고해서 친구들이랑 왔는데 너무 좋더라구요 👍🩵
프렌치토스트도 존맛이고 가격도 합리적이에요 :)
건대 카페 갈 곳이 마땅치 않았는데 여기 추천이에요!","인테리어가 멋져요, 사진이 잘 나와요, 뷰가 좋아요, 커피가 맛있어요, 디저트가 맛있어요",점심에 방문
카페 오캄 건대점,5.25.일,1,"프렌치 토스트 안에 시나몬이 들어있어요.ᐟ.ᐟ
소금찍어먹는게 생소했는데 맛있네용
커피도 아메리카노 시켰는데 연하고 안시고 맛있어요!","커피가 맛있어요, 디저트가 맛있어요, 음료가 맛있어요, 특별한 메뉴가 있어요, 빵이 맛있어요",점심에 방문
카페 오캄 건대점,6.11.수,1,"건대 카페 중 디저트가 제일 맛있는 것 같아요! 과일 프렌치토스트 당 충전하기 최고고, 과일도 다 달고 맛있었어요~ 다음엔 치즈케이크 먹어볼거에요:)","디저트가 맛있어요, 음식이 맛있어요, 음악이 좋아요, 대화하기 좋아요, 아늑해요",점심에 방문
카페 오캄 건대점,6.7.토,1,"감성가득 카페에요, 사람이 많아서 주말에는 웨이팅이 필요할지도 모루겠어요 , 의자도 편하고 잘 쉬다갑니다~~~~ 메뉴도 아쥬 맛있었어요!!!! 짱 !!!","커피가 맛있어요, 디저트가 맛있어요, 음료가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
