식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
코끼리베이글 성수,5.19.월,1,"코끼리베이글 성수!! 베이글 맛도리집 ㅜ

연어 샌드위치
크림치즈생크림베이글
단호박스프

이렇게 먹어봤어요!

오옹 단호박 스프가 진해서 너무 맛있었어요ㅜ
연어샌듸치랑 크림베이글도 진짜,, 존맛탱~,,

너무 마싯서서 포장해가고 싶었는데 참았다눈,,
코끼리 베이글은 두번쨰 방문인데
올때마다 맛나서 베이글 입문했어요~
접기","빵이 맛있어요, 커피가 맛있어요, 특별한 메뉴가 있어요, 건강한 맛이에요, 디저트가 맛있어요",점심에 방문
코끼리베이글 성수,6.3.화,1,"베이글 종류도 많고 먹음직스럽게 진열돼 있는게 보기 좋더라고요ㅎㅎ 올리브 치즈베이글 주문했는데 쫄깃하고 담백하고 맛있어요! 함께주문한 피스타치오초코 쿠키도 맛있었네요!
매장도 분위기도 좋고 넓어서 수다떨며 좋은 시간 보낼 수 있었네요✨","친절해요, 인테리어가 멋져요, 매장이 넓어요, 빵이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
코끼리베이글 성수,5.17.토,1,"성수동 공사장과 자동차 정비소 사이에서 투박하면서도 세련된 브랜드의 감성이 느껴지는 곳입니다.
토요일 오전 9시 반쯤 방문했는데도 매장 좌석이 대부분 차 있었고, 취식 공간과 판매 공간이 분리되어 있어 동선이 깔끔했습니다.

베이글은 겉면이 금세 단단해지는 편이었지만, 속은 촉촉하고 수분감이 많아 전반적으로 부드러운 식감이었습니다.
치아바타와 몰랑한 베이글의 어딘가일지도?!
크기가 큼직해서 식사 대용으로 먹을 수 있어요.

-

🌱 시금치 베이글
은은하게 퍼지는 시금치의 맛이 느껴지고요. 담백하고 건강한 맛을 좋아하신다면 추천합니다.

🍞 무화과 콩포트 베이글
무화과의 과육이 살아있는 달다구리 콩포트, 짭쪼름한 햄, 그리고 그 사이에 자연스럽게 녹아든 치즈가 맛있어요.
단짠의 밸런스가 끝내줍니다!
접기","빵이 맛있어요, 종류가 다양해요, 인테리어가 멋져요, 매장이 넓어요, 음식이 빨리 나와요",아침에 방문
코끼리베이글 성수,6.5.목,1,"런베뮤랑은 다른 매력이 있는 베이글 ㅎㅎㅎ
베이글이 촉촉하고 담백한것같아요.
공간이 넓어서 앉아서 먹기에 편하네요.
무화과콩포트,하몽샌드위치,크림치즈생크림,비프스튜
굿~~~이였어요. 근데 서비스로 비어를 주시더라구요
ㅎㅎㅎ
분위기도 빵도 좋았어요^^*
접기","빵이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",점심에 방문
코끼리베이글 성수,6.5.목,1,문래는 엄두도 안나는데 성수는 괜찮네요 널찍~~하니~ 장소가 깔끔하고요 오픈키친으로 빵만드는 모습도 좋았어요 점심시간쯤이여서 그런지 직장인들같은 여자분들은 샌드위치와 커피 많이 주문하더라구요 우선 핫한템 먼저 먹어보고 다음을 주문하겠어요~기대합니다 맛있음 또 옵니다,"인테리어가 멋져요, 사진이 잘 나와요, 매장이 청결해요",점심에 방문
코끼리베이글 성수,5.25.일,1,"매장도 넓고 인테리어와 건물도 이쁘게 잘 만든거 같아요
어니언 마요 베이글과 플레인 베이글 너무 맛있어요~
자리와 자리 사이들 간격이 서로 멀어서 시끄럽게 느껴지지도 않고 대화 할수 있어서 좋았네요~
아메리카노 커피는 진한편은 아니라 연하게 드시는 분들에게는 좋을듯 싶네요~
접기","인테리어가 멋져요, 대화하기 좋아요, 매장이 넓어요, 빵이 맛있어요, 커피가 맛있어요",점심에 방문
코끼리베이글 성수,4.26.토,1,"영등포구청 근처에서 웨이팅해서 사먹어본 뒤로 베이글은 여기가 제일 맛있다고생각해요. 성수점에는 처음왔는데, 이용할 수 공간이 넓어서 좋네요.
시금치, 토마토, 플레인, 쏠티초코 네가지 샀는데
진짜 전부다 쫄깃쫄깃하고 맛있어요!!!
저는 단단하거나 뻑뻑한 베이글류보다 쫄깃한 베이글이 더 맛있더라구요 제 최애 베이글이에요 ㅎㅎㅎ
접기","빵이 맛있어요, 종류가 다양해요",점심에 방문
코끼리베이글 성수,6.2.월,1,그동안 성수 올 때마다 오고 싶었는데 시간이 안 되서 못 가다가 이번에 방문했는데 만족스러울 정도로 너무 맛있었어요!ㅎㅎ 의외로 커피도 맛있어서 놀랬네용! 담에 또 갈 거 같아요!!,"매장이 청결해요, 빵이 맛있어요, 커피가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
코끼리베이글 성수,4.12.토,1,"먹어본 사람들이 전부 맛있다고 해서 엄청 기대하고 갔는데 기대 이상으로 맛있었어요!
베이글이 진짜 엄청 쫀득쫀득해요! 크림치즈 생크림이랑 버터솔트, 갈릭베이글 시켰는데 전부 맛있었어요ㅠㅠㅠ 아쉬운 건 주말 오후 4시쯤 갔더니 남아있는 빵이 별로 없었어요.. 다른 것도 맛보고 싶었는데..😭 담엔 오전에 가봐야겠어요!😍","빵이 맛있어요, 디저트가 맛있어요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
코끼리베이글 성수,5.17.토,2,베이글 자체가 맛있는 곳. 유명해서 가봤는데 빵도 커피도 마음에 들어서 이따금씩 가고 있어요. 옆 건물 공사 빨리 끝내줬으면…,"인테리어가 멋져요, 친절해요, 빵이 맛있어요, 커피가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
코끼리베이글 성수,4.26.토,1,"여긴 정말 베이글 맛집 인정!!! ^^
너무 단 건 별로라 버터솔트, 호두크린베리, 올리브. 플레인 주문했는데 다 맛있어요!!
플레인도 크림치즈나 잼 없이 먹어도 담백하고 쫄깃해서 커피랑 먹기 좋아요~
성수에 가면 꼭 추천하고 싶은 곳이네요~
접기","빵이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 종류가 다양해요",점심에 방문
코끼리베이글 성수,5.3.토,1,플레인 버터솔트 솔티초코 크림치즈생크림 구매했는데 식감이 진짜 쫀득하고 특이함 맛있어요! 주방이 진짜 큰데 거의 직원 스무명정도가 체계적으로 움직임 손도 빠르시고 그래서 그런지 줄 길었어도 많이 안 기다린 것 같아요! 담에 성수동 가면 또 가고싶네요😃,"빵이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
코끼리베이글 성수,3.20.목,1,"생맥주도 종류별로있었고 직원분이 원하는맛으로 골라줬어요.
베이글종류는 많은데 제가 오후에갔더미 플레인베이글이 없어서 아쉬웟어요.
다른종류로샀고
연어베이글샘드위치도 맛있게먹었어요
맥주랑 잘어울리더라구요
저는 런던베이글보다 쫄깃단백해서 더맛있는거같아요

꼬끼리베이글 추천드려요~~
접기","빵이 맛있어요, 커피가 맛있어요, 특별한 메뉴가 있어요, 종류가 다양해요, 매장이 넓어요",점심에 방문
코끼리베이글 성수,6.2.월,1,오랜만에 베이글 사러 출동~하몽샌드위치는 바로 만들어 주셔서 넘 맛있고 첨으로 사본 시그니처 크림치즈베이글 너무너무 맛있어서 곧 다시 출동해야 할듯,"인테리어가 멋져요, 빵이 맛있어요",점심에 방문
코끼리베이글 성수,6.5.목,4,"오랜만에 방문햇어요
넘넘 맛있어요
어니언 처음 먹어봤는데 맛있어요
자꾸자꾸 들어가서 한번에 다 먹었네요
접기","빵이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",점심에 방문
코끼리베이글 성수,3.23.일,1,"일요일 오후 생각보다 대기 없고 좌석 많음.
빵도 품절 없어서 먹고 싶은 거 고를 수 있는 상태.

시금치베이글
우선 매우 쫄깃하고 (이건 다 그런 듯)
시금치 향과 베이글의 간이 아주 적절했다.

크림치즈베이글
크림이 가볍고 후레쉬해서
생크림파인 나도 아주 맛있게 먹었다.
포크로 크림만 퍼 먹기도 하고
다른 베이글에 곁들여 먹기도 했다.

아메리카노는 평범했고
라떼는 특색있었다.
빨대없이그냥 마셔야 맛있는 라떼.
접기","인테리어가 멋져요, 사진이 잘 나와요, 빵이 맛있어요, 커피가 맛있어요, 특별한 메뉴가 있어요",점심에 방문
코끼리베이글 성수,5.12.월,1,평일에 애매모호한 시간에 가서그런가 대기는 없었어요. 직원에게 추천해달라해서 몇개 구매헸어요. 보관 후 에어프라이어에 돌려도 보들보들 괜찮네요.,"빵이 맛있어요, 특별한 메뉴가 있어요, 비싼 만큼 가치있어요, 야외공간이 멋져요",점심에 방문
코끼리베이글 성수,5.12.월,1,🥯 성수가 회사라서 좋은 점이 이거 딱 하나 있네요~ 출근길에베이글과 라떼 포장해서 갈 수 있다는 점! 오전 오픈하자마자도 사람이 있어서 놀랐어요. 베이글과 커피맛은 믿고 먹습니다! ✨,"빵이 맛있어요, 커피가 맛있어요",아침에 방문
코끼리베이글 성수,3.28.금,4,"금요일 휴가라 아침으로 가족들과 아침으로 코끼리베이글, 맛나게 먹고 낼 아침을 위해 몇개는 포장. 화덕에 구운 베이글의 쫄깃하고 구수한 맛이 자꾸 먹고싶다.","특별한 메뉴가 있어요, 메뉴 구성이 알차요, 음식이 맛있어요, 종류가 다양해요, 대화하기 좋아요",아침에 방문
코끼리베이글 성수,6.1.일,1,"원래 베이글은 딱딱해서 잘 못 먹는데 쫄깃쫄깃 화덕베이글이라고 하여 방문했습니다

빵은 정말 쫄깃쫄깃하더라구요!
크림이나 소스가 없이 첨가없는 빵을 잘 안먹어서 그런지 베이글은 개인적으로 엄청 맛있다는 느낌은 아니였지만!

말차크림치즈생크림은 정말 맛있었어요👍👍
처음에는 저렇게 크림이 많으면 느끼하지 않을까? 생각했는데 느끼하지도 않고 너무 맛있어서 순삭해버렸습니다😊😊
접기",빵이 맛있어요,점심에 방문
코끼리베이글 성수,3.30.일,1,"생크림베이글과 커피는 카페에서 먹었구
시금치, 트리플치즈, 버터솔트, 올리브 치즈는 포장해서 먹었습니다! (포장한 것은 사진이 없어요😭)
베이글이 전부 다 맛있더라구요🥹❤️💙💛💚💜
다음번에 또 방문해서 그땐 다른것들도 먹어보고 싶어요!!!
접기","빵이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 비싼 만큼 가치있어요, 매장이 넓어요",점심에 방문
