식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
코시 건대점,6.1.일,10,"잠실에서 첫째 미니브 팝업 갔다 저녁으로 찾은 코시입니다. 날씨도 덥고 미니브 팝업가서 첫째의 애교에 녹아 돈을 왕창 쓰는 바람에 가성비도 좋고 맛도 최강인 코시 붓가케로ㅋㅋ 건대쪽 으로 온김에 첫째 어릴적 친구도 만나 함께 저녁 먹었습니다^^
브레이크 타임 끝나는 시간에 맞춰 갔는데..
이미 홀자리 대부분이 차 있더라구요ㄷㄷㄷ
역시 가격좋고 맛 좋은곳은 금방 소문이 나나봐요~~
가볍게 맥주도 한잔 하며 즐겁게 식사 하고 갑니다♡
잘 먹었습니다♡♡♡♡
접기","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 친절해요",저녁에 방문
코시 건대점,5.7.수,9,"건대쪽에 늦게까지 일보고 늦은 점심으로 찾은 코시입니다.
더운날씨라 붓가케 우동이 땡겼으나 오늘 첫끼라~~밥으로 선택했습니다. 뭐 여기는 제가 워낙 애정하는 곳이기도 하고
대부분 메뉴들이 다 맛있는 곳이라 한번도 안 먹어본 가츠동 순한맛으로 픽~~~~
캬~~가츠동 돈가스가 이렇게 두터워도 되나요!!!
간도 적당하고 계란에 포슬한 식감까지 너무 맛있네요♡♡♡
오늘도 역시 너무 잘 먹고 갑니다^^
코시 포에버!!!!!ㅎㅎ
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 친절해요",점심에 방문
코시 건대점,5.28.수,2,"저번에는 토리텐 온우동 버전으로 먹었는데, 확실히 냉우동은 면 자체에 더 집중할 수 있는 것 같아요.
고구마 고로케까지 먹으니까 배가 터질 것 같았습니다.

🍜 토리텐 붓카케 우동
쪼올깃~태앵글한 냉우동면과 바삭한 닭튀김을 같이 먹으면 더할 나위 없이 맛있습니다!
닭튀김도 큼직해서 살이 많고 양도 충분해요.

메뉴도 빨리 나오고 매장도 넓은 편이라 편하게 식사할 수 있었습니다.
접기","음식이 맛있어요, 메뉴 구성이 알차요, 매장이 넓어요, 혼밥하기 좋아요, 친절해요",저녁에 방문
코시 건대점,6.7.토,1,"코시! 일식이 먹고싶어서 검색하여 찾아왔어요.
자가제면인 부분이 가장 마음에 들었습니다:)
가츠동 매운맛과 함께 에비덴뿌라우동 함께 먹었는데,
전반적으로 다 맛있었어요.
면이 탱글탱글해서 식감이 좋았습니다.
조금 아쉬운 점은
가츠동 양파가 너무 적고 밥이 떡밥이라.. 아쉬웠어요... 다음에는 양파를 증량 부탁드립니다!
양배추 소스가 조금 상큼하면 좋겠어요!!
또 올게요, 잘 먹었습니다.
접기","음식이 맛있어요, 재료가 신선해요, 차분한 분위기에요, 매장이 청결해요",저녁에 방문
코시 건대점,5.31.토,1,"지나다니면서 한번 꼭 먹어야지 했는데
자가제면 우동이라니 냉우동 너무너무너무 맛있네염
간이 슴슴하니 깔끔하고 면도 탱글탱글 맛있었어요
치즈돈카스는 치즈가 너무 꽈악 차있는 느낌 치즈랑 카츠랑 잘 어울려져서 맛있어요 또 오려구요 완전추천
접기","음식이 맛있어요, 재료가 신선해요, 차분한 분위기에요, 친절해요, 매장이 청결해요",저녁에 방문
코시 건대점,5.21.수,1,"외관이 멋지게 장식되어있고 내부는 시원하여 쾌적해서 좋았어요.
자리도 많고 깔끔하고 따뜻한 인테리어가 아늑합니다.
음식은 비싸지도 싸지도 않아 합리적이네요.
우동면이 자가제면이라 쫄깃하고, 국물이 시원하면서 감칠맛이 도네요. 닭튀김고 커서 좋구요 양도 많네요.
일부러 찾아왔는데 전체적으로 만족합니다.
접기","음식이 맛있어요, 가성비가 좋아요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",저녁에 방문
코시 건대점,6.10.화,19,하루의 힘이 생기는 기분 좋아지는 맛입니다. 앞으로도 계속 먹을수 있음 너무 행복할것 같아요. 서울 맛집 강력하게 추천합니다^^,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",점심에 방문
코시 건대점,5.28.수,17,힘이 나고 기분좋아지는 맛입니다. 면발도 너무 쫄깃쫄깃하고 돈까스도 입에 살살 녹습니다. 오늘도 맛있게 먹고 갑니다. 안온 사람은 있어도 한번만 온사람은 절대 없는 맛집입니다^^,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",점심에 방문
코시 건대점,5.8.목,1,"♨️ 토리텐우동 (온우동)
고소하고 짭쪼름한 닭튀김 덩어리가 풍덩!
큼직하니 닭고기 먹는 맛 제대로 나는군요.
우동 양도 푸짐해서 든든하게 잘 먹었습니다.
온우동은 뜨긋하고 그윽한 국물이 포인트인데요.
냉우동은 면의 쫄깃한 식감에 집중할 수 있을 것 같아서 다음에는 냉우동을 먹어보고 싶습니다.

🍠 고구마고로케
리뷰이벤트로 받았는데 치즈가 좌~악 입에서 늘어나서 깜짝 놀랐네요.
부드럽게 살살 녹습니다.
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
코시 건대점,5.23.금,1,"맛있게 먹었습니다!!!
양도 진짜 많은데 가격도 괜찮은 것 같아요 ㅎㅎ
냉우동은 다른 맛집에서 먹은것보다 더 맛있었던 것 같아요!!! 튀김, 돈까스도 안느끼하고 엄청 바삭했습니다🤤
그리고 서비스까지..! 넘 감사합니다ㅎㅎ 다음에 또 올게요:)
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 반찬이 잘 나와요, 매장이 넓어요",저녁에 방문
코시 건대점,4.4.금,8,"성수동쪽 일보고 늦은 점심을 코시에서 먹었습니다.
붓카케 우동을 정말 좋아 하지만~밥이 먹고 싶어 가라아게동 정식으로 주문했습니다.
어쩜~~돈부리도 이렇게 맛있을수 있는지~~~대박입니다^^
카케우동까지 해서 든든하게 잘 먹고 갑니다♡♡♡
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 매장이 청결해요",점심에 방문
코시 건대점,6.8.일,4,벌써 코시 10번 넘게 방문입니다 코시는 붓카케우동 (냉우동)이 가장 맛있는데 매번 냉우동먹다가 다른맛 먹구싶어서 첨으로 자루우동 시켜봤습니다 >< 붓카케랑 소스맛이 또 달라요 그리고 생면을 맛볼 수 잇어서 그것두 좋아용 첨가시는분은 꼭 붓카케 드시고 여러번 멋어봤다하면 자루우동도 도전해보세요 !!!!✨✨,"친절해요, 음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요",점심에 방문
