식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
타코벨 건대스타시티점,5.8.목,1,"맛은 있습니다만, 너무 지저분하고 심지어 제가 방문한 시간때에는 손님 1명? 2명이 먹고있던터라 알바생인지 사장님인지 바쁘지 않으셨는데 포스기앞에만 가만히 계시고 테이블 정리 할 생각은 안하시나봅니다.. 두번정도 방문했는데 갈때마다 더러워서.. 앉을자리 한참 찾아야 합니다 ㅎ 그나마 깨끗한 곳으로요 ㅋㅋ 사장님이나 알바생이나 똑같나봐요, 치울생각도 치우라고 말도 안하시는듯 ..",특별한 메뉴가 있어요,저녁에 방문
타코벨 건대스타시티점,6.8.일,1,하이네켄 생맥 2900 원에 타코라니 일요일 저녁을 가성비로 행복하게 마무리 했습니다~~~!,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
타코벨 건대스타시티점,6.7.토,1,쿠폰 쓰니 좋네요. 타코벨 자체가 처음인데 잘 해주셔서 감사합니다,"친절해요, 혼밥하기 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요",점심에 방문
타코벨 건대스타시티점,6.8.일,1,믿고먹는 타코벨입니다:) 가성비좋고 맛있고 구성이 좋아요!!,"음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 건강한 맛이에요",저녁에 방문
타코벨 건대스타시티점,2.16.일,2,"그릴 스테이크 부리또를 먹었습니다.
스테이크 조각들이 들어있는 부리또를 생각했으나, 거의 감자로만 채워져있고 다 먹을무렵 찹스테이크 같이 다진소고기같은게 들어있어서 종합적으로 고기 맛이 거의 나지 않고 감자맛 치즈맛 부리또 였습니다. 단품 정가가 9천원으로 생각해 봤을때 아쉽습니다. 위 가격보다 저렴한 M사 쿼터파운드 버거가 훨씬 낫다고 생각이 듭니다. 재방문 안합니다. 비추천합니다.",혼밥하기 좋아요,점심에 방문
타코벨 건대스타시티점,2.25.화,1,타코벨 트리플 치즈 퀘사디아랑 그릴 브리또는 언제나 먹어도 맛있네요ㅎㅎ 특히 타코 세트가 진짜 하나씩 집어먹기 너무 좋아요~ 갓 나온 퀘사디아 먹으니 치즈 쭈욱 늘어나고 너무 맛있어요!,"음식이 맛있어요, 혼밥하기 좋아요",점심에 방문
타코벨 건대스타시티점,4.20.일,4,타코 맛있어요~,친절해요,저녁에 방문
타코벨 건대스타시티점,24.12.15.일,1,"건대스타시티 타코벨 입니다

요즘 핫한 타코! 타코는 맛있지만 양이 다소 작은점이 ㅎㅎㅎ
타코집 공통이죠 ㅎㅎㅎ 타코는 맛있어요

1+1 이벤트도 좋아요

추천 합니당

근처는 식당가 입니다 참고 하세요

주차장 ⭕️ wi-fi ⭕️ 전기차충전⚡️⭕ #BEST #현지식당 #유튜브맛집 #추천맛집
#타코맛집 #멕시코타코 #올디스타코 #건대역 #건대역맛집
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",저녁에 방문
타코벨 건대스타시티점,3.15.토,1,"티슈가 없어서 달라고 했는데 식사중인 직원 말고는 아무도 없고
직원한테 달라고하니까 듣는둥 마는둥 안쪽에 직원 불러서 달라고하라고
그러다가 불러도 직원들이 손님을 아예 신경을 쓰지도 않아요
모른다고만하고 어이가 없어서 이어폰 끼고 자기 쉬는 시간이라나 뭐라나 ㅎㅎ
교육이 시켜야할듯싶네요
접기",,저녁에 방문
타코벨 건대스타시티점,2.21.금,1,"가성비 굳 맛남
크런치타코 짱짱임

직원은 얼굴보기도 힘들다. 친절은 기대하지않고 가면 좋은곳
접기","음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 넓어요, 혼밥하기 좋아요",점심에 방문
타코벨 건대스타시티점,24.12.4.수,1,"간단히 혼밥하러 왔어요.
평일이라 사람이 많지 않아서 손님으로서는 좋네요.

시나몬토스타다 처음 먹어봤는데 진짜 맛있어서 또 주문할거 같아요.

요거 다해서 9600원, 만원도 안한다니 혜자네요 ㅋ
접기","음식이 맛있어요, 혼밥하기 좋아요, 음식이 빨리 나와요",점심에 방문
타코벨 건대스타시티점,1.29.수,1,가끔씩 타코 먹고싶을때 가볍게 먹기 좋아요! 마트와 거의 붙어있어서 장보고 간식으로 타코 먹기 편해요. 일하은 사람이 적어서 메뉴는 좀 늦게 나오고 친절하진 않지만 가게가 한적해서 조용히 쉬었다 가긴 좋습니다!,"가성비가 좋아요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
타코벨 건대스타시티점,6.2.월,1,🥹,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,4.22.화,1,먹는데 평소와 다른 이상한 맛이 자꾸 나서 냄새를 맡아보니 타코에서 오래된 결은 냄새가 나서 버렸어요,,점심에 방문
타코벨 건대스타시티점,3.25.화,1,"양이 생각보다 쩍어요,,",재료가 신선해요,점심에 방문
타코벨 건대스타시티점,2.9.일,2,맛있어서 3일만에 또 먹으러 왔어요!,"음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
타코벨 건대스타시티점,1.11.토,1,이마트 올때마다 들러요 타코벨 최고,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 혼밥하기 좋아요, 매장이 청결해요",점심에 방문
타코벨 건대스타시티점,1.10.금,5,영수증 설문조사에 응모하면 초코디아가 무료. 요즘 아런 이벤트를 하는 프랜차이즈가 자꾸 줄어드는 추세라 더욱 애용하고 있습니다. 🌮,"음식이 맛있어요, 가성비가 좋아요",점심에 방문
타코벨 건대스타시티점,2.13.목,1,"처음 먹어봅니다,
간단한식사로 추천합니다.",인테리어가 멋져요,저녁에 방문
타코벨 건대스타시티점,2.27.목,1,"이벤트해서 타코랑퀘사디아랑 알차게 먹음
집근처에도 생겼음 좋겠다",혼밥하기 좋아요,점심에 방문
타코벨 건대스타시티점,1.29.수,1,신선한 야채와 또띠아의 맛있는 타코🌮,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 매장이 청결해요",점심에 방문
타코벨 건대스타시티점,24.12.22.일,1,"화요일은 아니지만 타코를 먹었다
우리나라에 타코벨 매장이 많지 않은데 집 근처에 있다는게 난 정말 행운아다
영화보기전 점심겸 저녁으로 짭짭 맛있었다","음식이 맛있어요, 혼밥하기 좋아요",저녁에 방문
타코벨 건대스타시티점,3.9.일,1,"멕시코 티코엔벨에서 타코도 좋지만 스테이크 브리또가 더 맛있었어요.
또 조만간 가고 싶어요.","음식이 맛있어요, 가성비가 좋아요",점심에 방문
타코벨 건대스타시티점,24.9.17.화,1,"타코벨 건대 스타시티점에 다녀왔어요. 치킨 퀘사디아, 그릴 스테이크 타코 나쵸 세트, 쉬림프 브리또를 주문했어요. 퀘사디아 정말 맛있어요! 저의 원픽입니다. 약간 짭조름한데 브리또랑 같이 먹으면 간이 잘 맞더라구요. 나초는 바삭바삭하고 시즈닝이 잘 되어 있어서 맛있었어요.
다음에는 샐러드 종류를 추가해서 주문해야겠어요.
그래야 완벽한 한끼가 될 것 같아요.
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 친절해요, 주차하기 편해요",저녁에 방문
타코벨 건대스타시티점,24.11.12.화,2,"쉬림프 보울을 주문. 상자에 넣어 포장해 주는데, 딱 적당한 크기. 구운 빵을 접시처럼 쓰면서 위에 타코 소스를 얹은 야채와 새우를 넣어놨다. 빵접시랑 같이 먹으니까 든든. 🇲🇽","가성비가 좋아요, 메뉴 구성이 알차요",저녁에 방문
타코벨 건대스타시티점,2.22.토,1,,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,24.10.27.일,1,"가성비 좋음. 간단하게 먹기 좋음. 생맥주도 판매.
방문한 날 구아카몰 소스 재료 소진으로 없어서 관련 된 메뉴 먹을 수 없었음","혼술하기 좋아요, 재료가 신선해요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
타코벨 건대스타시티점,24.11.25.월,3,"적당한 양의 크런치 카니타스, 양이 생각보다 적어서 단품으로 먹기엔 좀 그러네요.","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
타코벨 건대스타시티점,3.9.일,3,,"음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
타코벨 건대스타시티점,24.12.22.일,3,타코벨이 없는 삶은 상상할 수가 없다...,"음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
타코벨 건대스타시티점,3.15.토,1,,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 혼밥하기 좋아요",점심에 방문
타코벨 건대스타시티점,2.4.화,1,"타코가
생각날때",혼밥하기 좋아요,점심에 방문
타코벨 건대스타시티점,24.11.14.목,1,"건대 스타시티
타코벨 간단하게 먹기 좋아효 ㅋㅋ","음식이 맛있어요, 혼밥하기 좋아요, 친절해요",저녁에 방문
타코벨 건대스타시티점,24.11.29.금,1,"매장이 깔끔하지 않고, 다 오래돼 보여요..
퀘사디아에 들어간 고기도 퍽퍽하고ㅠ
직원분이 친절하지도 않으시고,,
다른 지점 타코벨을 갈 거예요.
접기",혼밥하기 좋아요,저녁에 방문
타코벨 건대스타시티점,24.12.7.토,4,말랑말랑한 부리또 껍질 속에 감자가 가득 들어간 메뉴입니다. 🥙,"음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
타코벨 건대스타시티점,24.11.13.수,2,내용물이 조금 줄었나?? 오랜만에 왔는데 아쉽네요.,"음식이 맛있어요, 혼밥하기 좋아요",저녁에 방문
타코벨 건대스타시티점,3.29.토,30,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,3.22.토,29,좋아요,음식이 맛있어요,저녁에 방문
타코벨 건대스타시티점,3.21.금,28,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,3.16.일,27,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,3.14.금,26,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,24.11.2.토,2,"저녁으로 먹었는데 양도 적당하고
마도 좋아 자주 오는 타코벨","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
타코벨 건대스타시티점,2.6.목,1,맛있어요!!,"음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
타코벨 건대스타시티점,24.9.15.일,1,"미국서 먹던 생각나서 들렀는데 음식은 빨리나오네요.
양은 적당하고 맛 보통. 테이블이 정말 새까맣게 관리안되어있어서 직접 닦았어요.","컨셉이 독특해요, 주차하기 편해요, 음식이 빨리 나와요",점심에 방문
타코벨 건대스타시티점,3.8.토,25,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,3.7.금,24,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,24.10.22.화,1,"성인남자가 먹기에는 양이 좀 적은편.
맛은 좋았음.",재료가 신선해요,저녁에 방문
타코벨 건대스타시티점,24.12.22.일,1,친구들과맛나게 먹었어요~,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요",저녁에 방문
타코벨 건대스타시티점,3.4.화,23,좋아요,음식이 맛있어요,점심에 방문
타코벨 건대스타시티점,3.3.월,22,좋아요,음식이 맛있어요,점심에 방문
