식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
탄토탄토 건대점,5.16.금,1,브런치 먹기 좋은 곳인 것 같아요 분위기도 좋고 양이 꽤 많아서 둘이서 먹을때 딱 충분해요~목살 스테이크 조금 느끼할 때 명란 파스타 먹고 상큼한 김치 볶음밥까지!!! 건대에서 방문하기 좋은 곳인 것 같아요,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요",저녁에 방문
탄토탄토 건대점,5.11.일,1,"🍝 오늘 생일이라 남자친구가 준비해둔 곳으로 방문했는데 뷰며 음식이며 인테리어며 다 좋아서 남기는 후기에요-!!

💗 일단 저희 두 사람이 시킨 메뉴는 블랙페퍼 찹스테이크, 미나리 봉골레, 연어스테이크 로제 이렇게 세 개였어요!! 뭔가 고기 하나, 오일 파스타 하나, 토마토 파스타류 하나까지 이렇게요!

🤤 진짜 들어갈 때부터 인테리어 보고 너무 만족했는데 음식 세 개 다 맛 보고서, 남자친구가 너무 잘 알아본 것 같아서 흡족하더라구요! 봉골레는 미나리가 들어가 있어서 더 향긋했고, 연어스테이크랑 로제가 어울릴까 호기심에 시켰는데 그 호기심이 너무 잘했단 생각 들었도, 찹스테이크 굽기도 너무 좋았는데 감자튀김까지 있어서 더 반했어요!!

💗 건대입구역 주변에서 소개팅, 데이트해야 하면 탄토탄토 적극추천요!!
접기","음식이 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요, 뷰가 좋아요, 친절해요",저녁에 방문
탄토탄토 건대점,6.8.일,1,"파스타가 생각나서 건대 주변으로 방문했는데
너무 맛있네요! 그동안 명란은 크림베이스만 먹었었는데
여긴 그런느낌이 아니라 신선했어요
남자친구 스테이크도 뺏어먹었는데 육즙 가득해서 코박고 먹었네요! 담에 건대에서 파스타 먹게되면 여기로 올것같아요!
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
탄토탄토 건대점,5.4.일,1,"자리가 넓어서 식사하기 편하고 대화하기도 괜찮네요!

귀여운 에이드도 맛있었구요
다양한 메뉴가 있어 고르는데 한참 걸렸어요☺️

여성 직원분들이 친절하셨숨니다!!

덕분에 맛있게 먹고 가요⸝⸝ ᷇࿀ ᷆⸝⸝
접기","인테리어가 멋져요, 매장이 넓어요, 대화하기 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
탄토탄토 건대점,5.11.일,1,"김치볶음밥은 김치, 베이컨, 초당옥수수의 조화가 미쳤고,
부드러운 채끝 스테이크와
쫜득쫜득 바질 뇨끼,
계절 과일 듬뿍들어간 리코타 샐러드까지
모든 메뉴가 만원대로 갓성비 미쳤고
분위기까지 포근하고 따뜻해서
데이트, 소개팅, 브런치로 완벽한 장소예요!
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
탄토탄토 건대점,5.18.일,1,건대 파스타하면 탄토탄토라고 지인이 추천해줘서 방문해봤습니당 식당이 깨끗하고 분위기가 좋아서 데이트 하러 오기 딱인거 같아요!! 음식은 말할 것도 없이 대존맛이고 대학가 주변이라 그런지 가격도 저렴해서 최곱니다🥹🥹 재방문 의사 283920!! 에그인헬 꼭드세요,"음식이 맛있어요, 가성비가 좋아요, 대화하기 좋아요, 친절해요, 매장이 청결해요",점심에 방문
탄토탄토 건대점,6.8.일,1,"(사진보다실물이낫습니다)
일요일 저녁에 방문하였습니다. 조금 늦은 시간이어서 그런가 웨이팅이 없었습니다!
매장 분위기가 되게 좋아서 누구든, 커플끼리 와도 되게 좋을 것 같습니다.

메뉴는 채끝스테이크크림, 브리바질뇨끼, 과일리코타샐러드 시켰고, 에이드는 후기로 받았습니다.

채끝크림은 살짝 맵긴한데 먹기 딱 적당했고, 뇨끼가 진짜 맛있었습니다! 연인끼리 가시면 메인 2개로도 적당할 거 같고, 샐러드 정도만 추가하셔도 좋을 것 같습니다 :)

좋은 분위기에 너무 잘 먹고 갑니다!
#건대탄토탄토 #건대파스타
접기","음식이 맛있어요, 인테리어가 멋져요, 친절해요",저녁에 방문
탄토탄토 건대점,6.7.토,1,"아, 정말 다른 메뉴가 궁금해 질 정도로 최고로 맛있어요.....🥹에그인헬이랑 김치볶음밥 먹었는데 둘 다 추천합니다.ㅎㅎ 매장도 넓고 인테리어도 예쁘고 시원하고 다 맘에 들어용:) 또 방문 하겠습니다. 감사합니다.👍🏻","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
탄토탄토 건대점,6.6.금,1,"친구 생일을 맞아 방문한 곳인데, 분위기도 아늑하고 음식도 정말 맛있었어요!
특히 연어 크림 파스타는 부드럽고 고소해서 입에 딱 맞았고, 스테이크와 감자튀김 조합도 최고였어요.
샐러드도 신선한 과일과 채소가 듬뿍 들어가서 상큼하게 입맛을 돋워줬답니다.
친절한 서비스와 깔끔한 인테리어 덕분에 특별한 날을 더욱 특별하게 보낼 수 있었어요.
다음에도 꼭 다시 오고 싶은 맛집입니다!
접기","인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
탄토탄토 건대점,5.29.목,2,"건대 파스타맛집 !!!! 재방문입니다아😚 직원분들도 친절하시고 음식들도 정말 맛있어요 채끝크림파스타가 정말 맛있어요,, 강추💗💗","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 인테리어가 멋져요, 친절해요",저녁에 방문
탄토탄토 건대점,6.6.금,1,"김볶밥 스테이크 파스타 시켰어요
스테이크가 너무 맛있어요 야들야들 부드러운 맛
김볶밥 베스트메뉴라 시켰는데 진짜 맛있어요","인테리어가 멋져요, 매장이 넓어요, 대화하기 좋아요, 음식이 맛있어요",점심에 방문
탄토탄토 건대점,5.31.토,1,"얼마전 1주년 기념으로 처음 왔었는데 2주만에 생각나서 또 왔네요!
갔다온 후에 다른 매장에서 비슷한 메뉴 먹었었는데 여기랑 비교돼서 자꾸 생각나더라구요.
프로틴 올라간 파스타류가 정말 맛있는 매장입니다.
건대 파스타 맛집 하나 건졌습니다~~!!
접기","음식이 맛있어요, 고기 질이 좋아요, 대화하기 좋아요, 뷰가 좋아요, 음식이 빨리 나와요",점심에 방문
탄토탄토 건대점,6.7.토,1,"이 가게는 정말 강추합니다! 음식은 신선하고 맛도 최고예요. 특히 [메뉴 이름]은 정말 대박... 첫 입부터 행복해지는 맛이에요. 😋
직원도 너무 친절하시고, 분위기도 편안해서 자주 오게 되는 곳이에요. 가격도 합리적이고 양도 푸짐해서 만족스러웠습니다.
다음에 또 가려고요~ 여기 오신 분들은 후회 안 하실 거예요! ❤️","음식이 맛있어요, 재료가 신선해요",점심에 방문
탄토탄토 건대점,5.26.월,1,근처 지나다 우연히 들렀어요! 이렇게 예쁜 곳이 있었다니 😍 뇨끼랑 김치 볶음밥 시켰는데 둘다 넘 맛있었어요. 매장이 아늑하면서도 깔끔하게 취저에요. 또 올게요~~~,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 대화하기 좋아요, 친절해요",점심에 방문
탄토탄토 건대점,5.5.월,1,"예약 후 방문 했습니다 :) 일찍 도착했음에도 불구하고 바로 자리 안내해주셨습니다!
홀에 계신 직원 분들 모두 친절하셨고, 테이블에 있는 QR을 통해 주문 했는데 빠르게 준비 되었습니다!
뇨끼가 너무너무 맛있었고, 명란 알리오올리오도 좋았습니다!!
매장이 깨끗하고 따뜻한 분위기를 받아서 데이트로도 좋을 것 같습니다~
다만, 테이블에 따로 벨이 있지 않으며, 홀에 계신 직원분께서 계속 홀을 예의주시하고 계신게 아니라 필요한 것은 직접 움직여야 했습니다 그럼에도 음식이 너무 맛있어서 재방문 할 것 같습니다!!
접기","친절해요, 매장이 청결해요, 음식이 맛있어요, 재료가 신선해요, 사진이 잘 나와요",저녁에 방문
탄토탄토 건대점,4.18.금,1,"생일이라 오랜만에 분위기 좋은데서 식사하고 싶어서 찾아본 곳이에요~일단 주황색 인테리어가 따뜻한 느낌이라 좋았고요, 소파는 노랑이라 기분이 좋더라구요!
🍝음식은 전체적으로 다 맛있었어요~전 명란 알리오올리오에 푹 빠졌달까요? 전반적으로 재료를 좋은걸 쓰는지 신선하고 맛이 풍부했어요!
다만, 여기가 데이트 맛집이라 그런지 제 기준에 양은 적당해서, 잘 드시는 분들은 인원수+1개 추가로 시키시면 딱 좋을 것 같아요😀
마지막으로 직원분 완전 친절해서, 재방문 의사 또 있습니다👍
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
탄토탄토 건대점,5.27.화,2,"-미나리 봉골레파스타
-탄토 김치볶음밥
-와인하이볼(화이트)
음식들 모두 너무 맛있고 양도 적당했어요! 와인하이볼이랑 잘 어울려서 더 좋았던 것 같아요. 분위기도 좋고 청결해서 다음에 또 오려고 합니당❤️‍🔥
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",저녁에 방문
탄토탄토 건대점,6.6.금,1,남자친구랑 처음 방문했는데 지락실에서 봤던 삭슈카가 있어서 바로 주문해봤어요! 너무 비주얼도 이쁘고 맛있어요ㅠㅠㅜ 다음에도 또 방문하고싶어요,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 사진이 잘 나와요, 친절해요",점심에 방문
탄토탄토 건대점,6.3.화,1,"열심히 검색해서 찾아왔는데 역시 인기가있고 여기저기에서 홍보하는 이유는 있어요 맛있습니다!!
바질뇨끼는 필수..!!! 분위기도 너무 좋고 음악도 감미로워요 완전 데이트코스로 추천합니다~~
기분 좋아지는 하루 시작!","고기 질이 좋아요, 메뉴 구성이 알차요, 친절해요, 매장이 청결해요, 좌석이 편해요",점심에 방문
탄토탄토 건대점,5.27.화,1,"오랜만에 건대입구역 파스타 맛집왔어요
매장도 너무 깔끔하고 이뻐요
음식맛은 말할것도 없이 맛잇네요
만족하고 갑니다
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",저녁에 방문
탄토탄토 건대점,6.7.토,1,"건대 파스타집 ㅎㅎ 아지트 같은곳!! 인터리어도 이쁘고 ㅎㅎ 맛있어용!!! 친구들과 같이 왔는데, 다음에 또 올 것 같아요!!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
탄토탄토 건대점,5.25.일,1,"🌽 김치볶음밥 + 투움바

🌽 맛
- 김치볶음밥 : 가운데 수란이랑 옥수수가 맛있어요! 미나리?가 약간 느끼한 걸 잘 잡아줘요
- 투움바 : 딱 맛있는 투움바맛

🌽 건대에서 파스타 먹고 싶을 때 추천해요!
접기",음식이 맛있어요,저녁에 방문
탄토탄토 건대점,6.11.수,1,맛있는 메뉴들이 엄청 많고 매장이 넓구 깨끗해서 데이트로 오기 딱이에요! 파스타랑 김치볶음밥 완전 추천이에여 ♡,"매장이 넓어요, 매장이 청결해요, 친절해요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
탄토탄토 건대점,6.6.금,1,"첫 방문인데 생각보다 맛있어서 깜놀했어요 🥹
재료들 다 신선하고 건강해서 좋았습니당 ♥️","음식이 빨리 나와요, 음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 메뉴 구성이 알차요",저녁에 방문
탄토탄토 건대점,5.21.수,1,"음식이 맛있고 맛이 진해요! 브리치즈 눅진해서 맛있게 먹었습니다 ㅎ 음식도 빨리나와서 좋고 매장 넓어서 여럿이 방문하기도 좋은것 같아요

#건대파스타","음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 매장이 청결해요",저녁에 방문
탄토탄토 건대점,5.25.일,1,"건대입구역 인근의 이탈리안 레스토랑 '탄토탄토'는 파스타와 스테이크를 중심으로 한 다양한 양식 요리와 감각적인 분위기로 많은 이들의 사랑을 받고 있습니다.


---

🍝 메뉴와 맛

탄토탄토는 정통 이탈리안 스타일의 다양한 메뉴를 제공합니다. 특히 크리미하고 깊은 맛이 일품인 파스타와 겉은 바삭하고 속은 촉촉한 스테이크는 꼭 맛봐야 할 메뉴로 꼽힙니다 .

또한, 수제 뇨끼는 부드럽고 쫄깃한 식감으로 크림 소스와 잘 어우러져 많은 이들의 찬사를 받고 있습니다 .


---

🏠 분위기와 인테리어

레스토랑 내부는 현대적인 감각이 돋보이며, 따뜻한 색감의 조명과 아기자기한 인테리어로 아늑하면서도 세련된 분위기를 자아냅니다 . 이러한 분위기는 데이트 장소로도 완벽하다는 평가를 받고 있습니다 .
접기","인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요, 대화하기 좋아요, 사진이 잘 나와요",점심에 방문
탄토탄토 건대점,5.15.목,1,양이 많은 편은 아니지만 매장 분위기가 좋아서 데이트 하기 좋은 장소입니다! 명란파스타에 명란과 마늘이 아낌없이 많이 들어있어서 먹는 중 즐거웠습니다! 채끝크림파스타는 살~~~~~~~짝 매워서 저같은 맵찔이한테는 좀 힘들었어여 전반적으로 좋은 장소,"음식이 맛있어요, 매장이 청결해요, 좌석이 편해요, 인테리어가 멋져요",저녁에 방문
탄토탄토 건대점,5.2.금,2,벌써 네번째 방문이네요!! 건대 주변에 갈만한 파스타집이 별로 없는데 건대파스타는 탄토탄토입니다!!! 스테이크도 정말 맛있어요ㅎㅎ 👍👍,"음식이 맛있어요, 인테리어가 멋져요, 대화하기 좋아요, 매장이 청결해요",점심에 방문
탄토탄토 건대점,5.18.일,1,분위기 좋고 음식 맛있다고 소문나서 가봐야지 했었는데 오늘 와봤습니다! 자주 와야될거같아요 테이블도 넓고 음식도 너무너무 맛있어요!,"재료가 신선해요, 음식이 맛있어요, 가성비가 좋아요, 고기 질이 좋아요, 특별한 메뉴가 있어요",점심에 방문
탄토탄토 건대점,3.24.월,1,"퓨전 요리를 즐길 수 있는 곳인데, 모든 메뉴가 기대 이상으로 맛있었어요!!
스테이크가 올라간 매콤 크림 파스타는 크림의 부드러움과 매콤한 맛이 조화를 이루면서도 스테이크까지 퀄리티가 좋았고,
들기름 소스가 더해진 들깨 리조또는 고소하면서도 깊은 맛이 인상적이었어요.
트러플 파스타도 향과 소스가 완벽해서 마지막까지 소스를 남기지 않고 싹 비웠습니다😋

분위기도 좋아서 데이트 장소로 딱! 다음에 또 방문하고 싶어요💗
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 인테리어가 멋져요, 대화하기 좋아요",저녁에 방문
탄토탄토 건대점,6.2.월,1,"파스타 먹고 싶어서 건대 파스타 검색해서 방문했는데
파스타 맛있고, 리조또도 고소해서 맛있어요!","음식이 맛있어요, 메뉴 구성이 알차요, 매장이 넓어요, 매장이 청결해요",점심에 방문
탄토탄토 건대점,6.4.수,1,건대에 유명한 파스타집이길래 왔는데 매장도 쾌적하고 직원분들도 다 친절하시네요! 파스타도 정말 맛있습니다.!! 다음에 또 방문할게요 ㅎㅎㅎ,"음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 친절해요, 인테리어가 멋져요",점심에 방문
