식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
포케웨이타코웨이 건대점,6.7.토,1,안녕하세요 먹동생입니다 포케와타코맛집인 포케웨이타코웨이 건대점을 다녀왔어요 포케는 메밀면포케랑 치즈킹쉬림프타코랑 텐더랑 여러가지를 주문해서 먹어봤는데요 타코도 포케도 너무 맛있는 곳이에요 건대에 오신다면 꼭 방문해보세요,"음식이 맛있어요, 메뉴 구성이 알차요, 혼밥하기 좋아요, 친절해요",점심에 방문
포케웨이타코웨이 건대점,5.20.화,2,"맛있어서 또 왔어요. 자꾸만 생각 나는 맛..
다른 집 가서 먹어도 이 가게랑 비교하게 돼요.
옥수수 시즈닝에서 양꼬치 시즈닝 맛이 나서 독특해요.
아이스티 진하고 맛있어요.

맛있게 잘 먹었습니다 !
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 건강한 맛이에요, 음료가 맛있어요",아침에 방문
포케웨이타코웨이 건대점,5.15.목,1,"역시 포케웨이 넘나 맛있습니다! 한번씩 배달주문해서 먹었는데 너무 맛있어서 오늘은 가게에서 먹어봤어요ㅎㅎ 가게에서 먹으니 더 맛있는 것 같아요! 양도 많고 포케도, 타코도 너무 맛있고 감자튀김 말해뭐합니까! 오늘도 맛있게 잘 먹었습니다.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 건강한 맛이에요, 메뉴 구성이 알차요",저녁에 방문
포케웨이타코웨이 건대점,3.31.월,1,"메뉴
포케, 샐러드 추가 타코 주문함.

의외로 샐러드 볼을 일부러 먹으려고 들렸는데
생각보다 채소가 맛있다는 느낌을 잘 받음
일부러 먹어야하는데 맛있어서 의외의 느낌.

타코는 것은 또띠아와 얇은 치즈때문에 바삭하면서
안에는 쉬림프 타코는 움직한 새우살이 씹히면서
고급 카나페 먹는듯한 느낌
치즈 아라비리아 타코는 묵직한 치즈맛에
안에는 고기가 씹히면서 향미가 좋고
일부러 오리지날 맛을 위해서 고수를 넣었는데
그렇게 향이 치고 올라오지는 않아서
궁금하면 도전해볼 가치가 있다.

마무리 차는 히비스커브 파인애플 차라서
음료대신에 추천하는 음료.
청량하면서 시원해서 샐러드 먹으러온
다이어트가 목적임 분들에게 맛있게 먹으면서
감량하기에 좋음.

사이드 버팔로 윙은 튀김이라
두 조각씩 샐러드 볼이라 먹으면 굿.
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 건강한 맛이에요, 메뉴 구성이 알차요",점심에 방문
포케웨이타코웨이 건대점,3.21.금,1,"치즈비리야타코 진짜 맛있어요.
매장에서 직접 먹어 보는 것을 추천합니다. 고수 맛 거의 안나는 것 같아요. 부담 없이 추가해 보셔도 좋을 것 같습니다. 포켓 샐러드도 시켰었는데 연어도 쫄깃쫄깃 맛있더라구요.","음식이 맛있어요, 특별한 메뉴가 있어요, 향신료가 강하지 않아요, 혼밥하기 좋아요, 아늑해요",저녁에 방문
포케웨이타코웨이 건대점,5.1.목,1,"타코 속재료도 진짜 많이 들어가서(특히 고기가) 완전 맛있어요!! 비프타코랑 포크타코 둘 다 매콤한 소스 들어가서 안느끼하고 좋아요 😋
새우링은,궁금해서 주문해봤는데 새우향이 진해서 만족합니당
전반적으로 음식 양이 많아서 진짜 배부르게 먹고가요!!😆","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 인테리어가 멋져요",점심에 방문
포케웨이타코웨이 건대점,5.26.월,2,"진짜 거짓말 안하고 일주일에 3번은 먹는 것 같아요
샐러드라고 생각하면서 먹으면 기분도 좋고 살도 안찌는데 그저 맛도리라 넘 쭈아용 ㅎㅎ 평소에도 냉파스타 즐겨 먹어서 항상 파스타샐러드로 시키는 편입니다! 가끔 메밀면도 먹는데 둘다 넘 맛있고 밥 먹은 기분이니 추천해요!💖 평생 장사하셨음 조켓습니다 ㅎㅎ","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 건강한 맛이에요",아침에 방문
포케웨이타코웨이 건대점,5.19.월,1,"오후 3시 30분쯤 매장에 방문해 주문을 했습니다.
치즈 비리아 타코, 비리아 타코 각각 1개씩 주문했고
매장에 사람이 한팀도 없었음에도 음식이 빨리 나오는 편은 아닙니다
하지만 맛은 기대했던 바 그 이상으로 맛있었습니다
평소 고수를 먹는 편은 아니지만 호기심에 포함해서 주문해 보았는데 과하지 않은 양으로 적당히 맛있게 먹었습니다.
또 방문해서 먹고싶은 맛있는 메뉴가 있는 식당이었습니다.
가게 내부도 아늑한 인테리어가 되어 있어 연인과 오기도 좋을 것 같습니다
접기","음식이 맛있어요, 건강한 맛이에요, 인테리어가 멋져요, 아늑해요",밤에 방문
포케웨이타코웨이 건대점,6.1.일,1,맛있어요! 간단하게 먹을 곳을 찾다가 들어왔는데 기대 이상으로 맛있습니다 커리도 진하고 새우타코도 맛있고 윙봉도 안짜서 좋네요 ㅎㅎ 콜라 서비스도 받았어요😆,"음식이 맛있어요, 가성비가 좋아요, 혼밥하기 좋아요",밤에 방문
포케웨이타코웨이 건대점,6.3.화,28,포케 맛있어요~ 자주옵니다~~,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",점심에 방문
포케웨이타코웨이 건대점,6.2.월,1,"건입 포케 먆이 먹어봤지만 여기가 매뉴도 다양하고 양도 많고 푸짐하고,, 젤 맛잇어요,,,
양 진짜 많아요
타코도 치즈 무슨 타코 주문했는데 넘 맛잇어요,, 피자 꼬투리 맛,,
두 분이서 오시면 타코 2개 포케 하나만 시켜도 양 진짜 많아요 사이드 안 시켜도 될 듯
맥주도 맛있고
자주 올 듯,,
아쉽게 고양이는 못 봤어요
Good…
접기","혼밥하기 좋아요, 음악이 좋아요, 음식이 맛있어요, 메뉴 구성이 알차요",아침에 방문
포케웨이타코웨이 건대점,3.27.목,1,"포케웨이 타코웨이 방문 후기

포케랑 타코를 한곳에서 즐길 수 있다고 해서 방문했어요!

✅ 훈제오리포케: 일반적인 포케랑 다르게 밥 없이 샐러드 베이스라 가볍게 먹기 좋았어요. 훈제오리가 부드럽고 짭짤해서 채소랑 잘 어울렸고, 소스도 맛있었어요!

✅ 포케웨이 타코 & 치즈비리아 타코: 포케웨이 타코는 한 가득 들어있는 고기와 상큼한 소스 덕분에 가볍고 신선한 느낌, 치즈비리아 타코는 고기 육즙 가득하고 치즈까지 더해져서 진짜 진하고 풍부한 맛이었어요.

✅ 나초: 바삭하고 소스랑 같이 먹으니 최고였어요!

전체적으로 신선한 재료 덕분에 만족스러웠어요. 다음에 또 재방문 의사 100퍼센트입니다!!
접기","음식이 맛있어요, 양이 많아요, 메뉴 구성이 알차요, 인테리어가 멋져요, 아늑해요",점심에 방문
포케웨이타코웨이 건대점,5.4.일,1,"원래 여기서 포케&샐러드볼 자주 먹었었는데 처음으로 타코도 먹어봤어요!! 포케타코라고 해서 안에 포케볼처럼 현미밥이 있을 줄 알고 주문한건데 그건 아니더군요ㅠㅎㅎ 그래도 치킨이 뜨끈뜨끈하고, 내용물도 신선해서 너무 맛있게 먹었답니다!! 또 갈거에용~~~🤭","친절해요, 음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요",아침에 방문
포케웨이타코웨이 건대점,6.3.화,1,"후기도좋고 가성비가 좋아보여서 꼭 먹어봐야지했는데, 아침에 문연 음식점이 여기밖에없어서 드디어와봅니다!!
보니까 유명인들도 꽤 다녀갔네요! 더 유명해지기전에 오게돼서 다행이에요 😃

너무 맛있을거같아요💓
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 인테리어가 멋져요, 혼밥하기 좋아요",아침에 방문
포케웨이타코웨이 건대점,4.13.일,1,"진짜 건대 최고의 타코집이에요!!! 을지로의 유명한 ㅇㄷㅅ타코도 좋아해서 맛 비교가 되었는데, 개인적으로는 을지로보다 더 맛있는거 같아요. 재료가 충실하고 가득해서 포만감도 훨씬 좋고 메뉴도 다양합니다~","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 혼밥하기 좋아요",밤에 방문
포케웨이타코웨이 건대점,5.26.월,1,레전드에요!!!! 치즈비리아 타코에 감자샐러드인디 고수맛이랑 치즈랑 고기맛이 정~~~말 잘 어울어져요! 저는 혼자라 타코 하나만 시켰는데 다음에는 친구랑 와서 사이드랑 이것저것 시켜서 다양하게 먹고싶어요!!! 대대대대만족!!!! 조용하고 분위기도 좋아요!!,"음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 혼밥하기 좋아요, 친절해요",점심에 방문
포케웨이타코웨이 건대점,6.6.금,1,"재료가 신선하고 양이 많아요!
타코도 너무 맛있고 생맥주랑 궁합이 좋아요!
1900원짜리 생맥주도 괜찮아요 😊","아늑해요, 친절해요, 음식이 빨리 나와요, 재료가 신선해요, 양이 많아요",아침에 방문
포케웨이타코웨이 건대점,6.3.화,1,너무너무 맛있어요! 타코는 처음 먹어 보는데 이렇게 맛있는 건 줄 몰랐어요 🥹🥹 진짜굿굿굿 또 오고 싶어요 진짜개꿀맛!!!!!!!!,"음식이 맛있어요, 가성비가 좋아요, 양이 많아요, 재료가 신선해요, 특별한 메뉴가 있어요",아침에 방문
포케웨이타코웨이 건대점,6.4.수,1,제가 좋아하는 비리아타코가 있네요! 흔치 않은데 너무 맛있고 양도 많아소 좋아요 ㅎㅎㅎㅎ 자주 와야겠어요,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요, 메뉴 구성이 알차요",점심에 방문
포케웨이타코웨이 건대점,5.17.토,1,"저녁 늦게 포케가 땡겨서 리뷰 보고 처음 와봤는데 너무 맛있어요!
포케 양도 많고 샐러드도 신선해서 맛있게 먹고 갑니다💖
인테리어도 예뻐서 나중에 친구들하고 또 오려고요!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 건강한 맛이에요, 인테리어가 멋져요",아침에 방문
포케웨이타코웨이 건대점,5.9.금,1,"포케웨이 최고예요 분위기도 좋고 혼밥하기도 좋습니다
음식도 항상 신선하고 맛있습니다!!
사장님도 친절하세요~ 항상 번창하세요^^","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요, 혼밥하기 좋아요",저녁에 방문
