식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
프렌즈앤야드 성수,6.9.월,1,"브라타 완두콩 타르틴, 살구 리코타치즈 샐러드, 단호박 당근 스프 이렇게 먹었어요.
예쁜 완두콩이 싱그러워 보여서 시켜봤습니다.
완두콩 조림이 좀 짭짤한데 브라타치즈가 부드럽고 은은하게 감싸줘서 중화됐습니다. 참고로 단맛은 없습니다.
살구 리코타치즈 샐러드는 다양한 채소에 그래놀라, 견과일 등이 들어가 있어 푸짐하고 오이가 길고 얇게 쓸려서 플레이팅에 활력을 더하니 색다른 느낌이네요.파스타를 먹을 때 같이 곁들이면 좋을 듯 합니다.
단호박 당근 스프는 약간 묽은 편이지만 맛있었습니다. 전체적으로 깔끔하고 건강한 맛을 느꼈습니다. 직원분들이 참 차분하고 친절하셔서 맘에 듭니다.👍 담에는 삼치 파스타가 인기가 좋다니 또 먹으러 오겠습니다.😉😇
접기","건강한 맛이에요, 재료가 신선해요, 대화하기 좋아요, 친절해요, 매장이 청결해요",점심에 방문
프렌즈앤야드 성수,5.17.토,1,투머치아보카도타르틴은 아보카토 진짜 많아요ㅎㅎ샤워도우 추가해서 맛있게 먹었습니다!허브오일삼치파스타는 삼치를 바로 구워서 올려주시는 거 같아요!!!따뜻하고 비린내도 전혀없어요!제 입에는 괜찮았습니다!!아란치니가 품절이어서 못 먹었는데 다음에 다시 오고 싶어요ㅎㅎ좋은 날씨에 맛있는 음식으로 힐링했습니다 추천해요!,"특별한 메뉴가 있어요, 음식이 맛있어요, 사진이 잘 나와요, 뷰가 좋아요, 친절해요",점심에 방문
프렌즈앤야드 성수,6.1.일,1,"먹고 싶은 음식이 다 솔드아웃되서 걱정했지만
걱정하지 않으셔도 돼요
음식이 하나같이 다 맛있어서 친구랑 계속
맛있다고 감탄하면서 먹었던 것 같아요~
실내도 테라스도 둘 다 야외 분위기 나서
어디 앉아도 유럽 온 기분이였어요^^
요즘같이 날 좋은 날 추천합니다
접기","친절해요, 음식이 맛있어요, 건강한 맛이에요, 뷰가 좋아요, 야외공간이 멋져요",점심에 방문
프렌즈앤야드 성수,5.25.일,1,"통창이 탁 트여있어서 날씨좋은 날 오면 분위기 최고에요!
직원분들도 친절하시고, 음식이 다 독특하고 비주얼만큼 맛도 맛있어요-! 성수에서 핫플 찾으신다면 프렌즈앤야드 추천합니다💛💫 성수역에서도 가까워서 좋아요!!","특별한 메뉴가 있어요, 음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 야외공간이 멋져요",점심에 방문
프렌즈앤야드 성수,5.14.수,1,"음식이 다 너무 맛있고 이뻐요~
테라스가 있어서 더 좋은것 같아요.
보리리조또가 크림소스인데 하나도 안느끼하고
삼치파스타는 비린맛이 하나도 없고
상큼하고 담백해서 좋았습니다.
메뉴하나하나가 정성스럽다는 생각이들었어요.
또오고싶은 곳이네요.
잘먹었습니다~♡
접기","특별한 메뉴가 있어요, 음식이 맛있어요, 인테리어가 멋져요, 야외공간이 멋져요",점심에 방문
프렌즈앤야드 성수,5.31.토,1,"단호박스프 너무 맛있구,,
삼치는 하나도 안비려요
파스타에 허브향 옴총 많이 나요
향긋해유
아란치니 생각보다 넘 맛있게 잘 먹었습니다~
12시전에 왔는데 웨이팅없었고
12시넘으니 웨이팅시작됬어요!
오시는 분들 참고해주셔요~
접기","특별한 메뉴가 있어요, 음식이 맛있어요, 인테리어가 멋져요, 대화하기 좋아요, 친절해요",점심에 방문
프렌즈앤야드 성수,5.25.일,1,"엄마랑 같이 성수 놀러와서 방문했어요!
성수에 브런치 가게가 많은데 날씨도 좋아서 1층 창문이 열려있는 곳으로 왔어요 :)
샐러드도 담백하고 양이 많고 단호박 스프도 생각보다 묽은데 맛이 진해서 너무너무 맛잇어요!
완두콩 부라타타르는 아보카도 타르가 안되서 주문했는데 처음 보는 조합인데도 너무 상큼하고 시원했어요.
여름 오기 전에 방문하셔요!
접기","커피가 맛있어요, 디저트가 맛있어요, 인테리어가 멋져요, 사진이 잘 나와요, 대화하기 좋아요",점심에 방문
프렌즈앤야드 성수,6.1.일,1,"성수 브런치 맛집...💚
외관부터 너무 예뻐요 꼭 방문하고 싶었는데 주말 4시쯤 방문하니까 웨이팅 없이 바로 입장했어요!
늦은 시간에 방문하면 솔드아웃되는 메뉴 있으니까 따로 먹고 싶은 메뉴 있으시면 일찍 방문하시는거 추천합니다
리조또 오픈샌드위치랑 리뷰로 받은 단호박 스프 다 맛있어요... 🫶🏻
접기","특별한 메뉴가 있어요, 인테리어가 멋져요, 사진이 잘 나와요",점심에 방문
프렌즈앤야드 성수,6.2.월,1,시간이 비어서 신선한 샐러드가 먹고 싶어서 검색해서 왔는데 해외 여행온 듯한 분위기와 음악에 음식도 너무 맛있네요. 단호박 당근 스푸는 너무달지도 않게 딱 당근이 살짝 느껴지는 맛에 샐러드도 상콤하니 신선한 야책까지 너무 좋네요. 다음에는 타르틴을 먹어여겠어요.,"음식이 맛있어요, 뷰가 좋아요, 혼밥하기 좋아요, 아늑해요",점심에 방문
프렌즈앤야드 성수,6.11.수,1,"음식 하나하나 너무 맛있네요! 단호박 당근 스프는 달지않고 간이 너무 적절해서 맛있었고 시저 샐러드도 드레싱이 고르게 뿌려져있어서 같이 나온 머쉬룸이랑 곁들이기 딱이었어여! 라자냐랑 아란치니 고민했는데 라자냐 너무 맛있게 먹고 갑니다~ 삼치파스타도 존맛!
나무랑 꽃이 너무 푸르른 곳에서 시원하게 바람 맞으며 식하니 너무 좋았네요~ 같이 온 일행들도 모두 만족했어요~ 재방문 할게요! 감사합니다 😆😝🍋🥬🥒🥕🧀🍳🥙🥗🍽️🧂🍄‍🟫","뷰가 좋아요, 야외공간이 멋져요, 특별한 메뉴가 있어요, 음식이 맛있어요",점심에 방문
