식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
하루 건대점,6.5.목,17,"매번 갈때마다 고를 메뉴가 많아서 고민하는데 요즘 픽이예요~
밀푀유나베는 진짜 퀄리티 너무 좋은거같아요~
뺄수없는 명란구이는 정말 말모...ㅎ
직원들 센스는 물론이고 친절도 정말 최고예요~
가는 이자카야 중에 가장 최애 이자카야예요~~~
담에 또 갈게요~~♡
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",저녁에 방문
하루 건대점,5.27.화,1,"건대입구역에서 가까운 하루 다녀왔슴당
분위기 좋은 이자카야 찾아버렸네요 😊 야키토리가 진짜 맛있어서 추천.... 혼술하기 딱 좋은 바 테이블과 창가석까지 준비되어 있어 술 한잔에 딱 어울림! 하이볼이 깔끔하고 산뜻해서 꼬치랑 완전 찰떡! 사시미까지 신선해서 혼술러들도 추천. 위치 찾기 쉽고, 운영시간 넉넉하니 늦게까지 즐기기 좋다. #건대술집추천 #하루후기","음식이 맛있어요, 술이 다양해요, 인테리어가 멋져요, 친절해요",저녁에 방문
하루 건대점,6.11.수,1,건대다니는 친구가 분위기가 좋다고 칭찬해줘서 방문하게되었어요~~ 음식 종류도 많고 분위기가 좋아서 정말 맘에들어요!! 음식도 빨리나오고 직원분들도 다 친절하셔서 좋습니다:) 밤에 오기 좋아요 ㅎㅎ❤️,"음식이 맛있어요, 술이 다양해요, 가성비가 좋아요, 인테리어가 멋져요, 대화하기 좋아요",저녁에 방문
하루 건대점,5.21.수,1,분위기 있는 감성술집 찾는다면 여기!! 꼬치구이와 사시미가 맛있는 이자카야에요 새우튀김도 시켜봤는데 맛있더라구요ㅎㅎ 그냥 전체적으로 다 맛있는거 같아요! 가성비 좋게 사시미나 야키토리 드실분이라면 여기 좋아요!,"음식이 맛있어요, 가성비가 좋아요, 친절해요, 사진이 잘 나와요, 아늑해요",저녁에 방문
하루 건대점,5.12.월,3,단골인증 합니다ㅎㅎㅎ 일본이 생각날때 맛있는 안주에 한잔하고 싶을때 오늘처럼 좋은 사람과 좋은 시간보내고 싶을때 내가 아는 안주맛집이라고 자랑하려고 오는곳이기도 해요ㅎㅎ 일본출장 자주가는 친구가 안주 먹어 보고 일본보다 맛있다고 담엔 회사사람들 대려오고 싶다고 해요 ~~ 이맛에 지인들과 오게 되네요ㅎㅎㅎ 안주맛집 !!!! 또 올게요 ~4년째 단골 ㅎㅎ 5년 채우면 서비스 주세요ㅎㅎㅎ,"음식이 맛있어요, 술이 다양해요, 가성비가 좋아요, 양이 많아요, 재료가 신선해요",저녁에 방문
하루 건대점,5.22.목,1,"이자카야에서 회는 맛있기 쉽지않은데
여기 회존맛 꼬치는 개존맛
꼬치구이집가면 옷에 냄새베서 별로 안좋아하는데
환기도 개잘됨
기본안주 콩? 저거도 쫄깃 짭짤해서 맛있고
하이볼도 도수가 좀 있는편이라 좋았음
접기","음식이 맛있어요, 가성비가 좋아요, 기본 안주가 좋아요, 메뉴 구성이 알차요",저녁에 방문
하루 건대점,6.6.금,1,꼬치랑 사시미 시켰는데 너무 맛있어요.. 얼그레이 하이볼도 말모..✨️ 진짜 너무 맛있고 대화하기에도 좋아요 많이 안시끄러워요 진짜 꼬치 먹을때마다 박수치고 사시미 먹을때마다도 박수쳤어요 이보다 맛있을수는 없어요 화장실도 진짜 배려넘치시는 모습에 반했습니다.... 진짜 최고에요 자주올게요💕,"음식이 맛있어요, 대화하기 좋아요, 친절해요, 매장이 청결해요, 화장실이 깨끗해요",저녁에 방문
하루 건대점,5.7.수,3,"하루 음식이 생각나서 재방문 했어요.😊
일본 현지 야키토리 보다 더 맛있어요.
아스파라거스의 신선함 최고입니다.👍
숙성회 더 맛있어졌구욤.❣️
고블렛 잔 덕분에 와인의 맛이 배가 된 느낌
배려가 느껴지는
건대 하루점 사랑입니다.
접기","음식이 맛있어요, 인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
하루 건대점,6.4.수,1,"회랑 꼬치 하이볼 먹었어요! 회 퀄리티 신선하고, 꼬치도 숯불에구워주셔서 맛있습니다! 무엇보다 사장님 넘 친절하세요! 이자카야 찾으신다면 추천추천><","음식이 맛있어요, 아늑해요",저녁에 방문
하루 건대점,5.29.목,1,"나가사끼 짬뽕과 유린기! 그리고 맛있는 하이볼의 조화!

분위기도 좋고, 노래도 연령대?에 맞고 참 즐거운 시간이었어요!

특히, 요리에 무슨 마법인지 맛이 아주아주아주 좋았습니다! 다음에 또 올게요!

ps. 나가사끼 드셔보세요. 존맛이에요
접기","음식이 맛있어요, 술이 다양해요, 음악이 좋아요, 대화하기 좋아요, 혼술하기 좋아요",저녁에 방문
하루 건대점,6.5.목,1,진심으로 남기는 내돈내산후기! 음식이 하나같이 맛있는데다 친절하기까지해요! 또 화장실갔는데 센스보고 놀랐어요! 이런곳이 건대에 있다니 진짜 추천합니다,"음식이 맛있어요, 가성비가 좋아요, 단체모임 하기 좋아요, 친절해요, 화장실이 깨끗해요",저녁에 방문
하루 건대점,5.18.일,1,대화하기도 너무 좋은 아늑함과 맛있고 신선한 안주 그리고 하이볼의 맛깔남은 하루 건대점을 기억에 남게 합니다. 좋은 자리가 되었습니다 :),"음식이 맛있어요, 술이 다양해요, 가성비가 좋아요, 대화하기 좋아요, 친절해요",밤에 방문
하루 건대점,4.4.금,1,"진짜 강추합니다~~~
리뷰 귀찮아서 잘 안쓰는데 하루는 진짜 잘 다녀와서 써요!

도움 받은 친구들한테 맛있는 것 대접하고 싶어서 하루로 왔어요!

꼬치 맛집이라고 하는데 진짜 숯불 향이 장난 아닙니다..
꼬치 강추이구요,
사시미도 제가 통영에서 직통으로 회 먹은 적이 많아서 기준이 높아요
근데 회도 정말 맛있게 먹었네요…!!!

다른 안주도 맛있었습니다!
저는 사시미, 야키토리, 육회, 밀푀유나베, 크림우동 먹었는데 사시미, 야키토리, 육회 추천해요!

또 너무너무 친절하셔서 기분 좋게 친구들이랑 먹고왔어요!
매장 측 실수가 있었는데도, 정말 최대한 신속하고 편하게 해결을 해주셔서 깜짝 놀랐습니다..

남자친구랑 재방문 100%에요ㅎㅎ
조만간 또 갈게요><

번창하세요~~
접기","친절해요, 오래 머무르기 좋아요, 음식이 맛있어요, 재료가 신선해요, 코스요리가 알차요",저녁에 방문
하루 건대점,6.10.화,1,꼬치구이랑 신선한 사시미가 정말 맛있어요! 여사장님 너무 친절하세요. 또 올께요! 친구들한테도 소문낼께요 !! ㅋㅋ,"음식이 맛있어요, 술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 친절해요",밤에 방문
하루 건대점,4.13.일,1,"인테리어 분위기부터 사시미,숯불꼬치 메뉴까지 완벽합니다. 대화를 나누기도 편한 분위기, 술이 술술들어가는 분위기, 건대소개팅맛집 데이트맛집으로 추천합니다. 맛도좋고 하이볼도 잘시켰네요!! 안주와 하이볼 색감보세요~ 하루 이자카야 추천해요","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 인테리어가 멋져요, 대화하기 좋아요",밤에 방문
하루 건대점,5.24.토,1,"첫방문이라 걱정하고 들어왔는데 맞이해주시는 여자직원분도 너무 친절하고 세트메뉴도 알차고 일단 너무 맛있어요.
자주 이용할 것 같아요^^ 코치. 짬뽕,사시미 뭐하나 부족한게 없네요~~번창하세요^^","음식이 맛있어요, 코스요리가 알차요, 친절해요",밤에 방문
하루 건대점,6.6.금,1,"음식이 너무 맛있어요❤️❤️❤️
꼬치도 불향이 나서 너무 맛있고, 사시미도 신선하니
먹을 때 감동입니다!! 하이볼도 시원하니 끝내줘요!!
잘먹었습니다👍👍
접기","음식이 맛있어요, 재료가 신선해요, 음료가 맛있어요, 음악이 좋아요, 대화하기 좋아요",저녁에 방문
하루 건대점,2.15.토,15,"매달 오는 곳인데 이번엔 모임이 아닌 생일이라 남편이랑 왔어요. 너무 자주 오는 좋아하는 곳이라 데리고 왔는데 좋아하는 메뉴가 크게 없음에도 역시 음식에 만족하네요~ 밀푀유나베나 나가사끼 짬뽕이나 해물짬뽕 등 탕류는 기본 맛있구요~
그외 안주도 퀄리티 당연히 좋아요~ 직원들 친절함에 무조건 재방문하는 곳이네요~ 생일날 마지막 일정을 기분 좋게 마무리해서 좋아요~ 번창하세여^^","음식이 맛있어요, 특별한 메뉴가 있어요, 가성비가 좋아요, 친절해요, 화장실이 깨끗해요",저녁에 방문
하루 건대점,5.17.토,1,사시미 퀄리티 생각보다 엄청 좋았어요!! 연어도 부드럽고 참치도 고소하고ㅜㅜㅜ 도미 최고! 꼬치도 엄청 알차서 맛있었어요 ㅎㅎ,"대화하기 좋아요, 음식이 맛있어요, 술이 다양해요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
하루 건대점,5.1.목,1,"건대 갈 때마다 자주 갔던 하루! 저만 알고 싶어서 리뷰 안쓰다가 이제야 리뷰 씁니다
술을 별로 안좋아해서 술집을 잘 안다니는데 술을 안좋아해도 여기는 분위기도 좋고 무엇보다 음식이 진짜 너무 맛있어요 개인적으로 꼬치랑 육회연어사시미랑 매콤까르보! 진짜 꼭 드셔보셨으면 좋겠습니다 😭","음식이 맛있어요, 인테리어가 멋져요, 대화하기 좋아요, 친절해요, 화장실이 깨끗해요",저녁에 방문
하루 건대점,3.11.화,1,재재재방문하는 제가 좋아하는 술집이에요. 사시미 저거 살살 녹아서 찐으로 강추해요. 지금 사진 보니 회 먹으러 가고 싶어지네요~~ 안주 맛집이라서 건대 좀 아는 사람들은 다 아는 곳이라 뭐 더 이상 설명해주고 자시고 할 필요는 없는 곳 ㅎㅎ,"음식이 맛있어요, 특별한 메뉴가 있어요, 대화하기 좋아요, 매장이 넓어요, 친절해요",저녁에 방문
