식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
하연옥 홍대점,5.24.토,1,"Q. 거홍면의 거홍은 사람 이름이다?(Y/N)🤔

친구의 추천으로 방문하게 되었는데 아주 만족스러운 식사였습니다 ㅎㅎ

11시 오픈시간에 맞춰서 도착을 했는데 근처에 주차할 만한 곳이 없어 골목에 주차를 하고 방문했어요.

물냉면은 평양냉면보다 깔끔한 맛이 자극적이지 않아 너무 좋았고👍 비빔냉면은 매콤한듯 하지만 매콤한 맛이 바로 사라지면서 양념의 새콤한 맛이 남는게 아주 좋았습니다👍👍 (온육수도 멸치의 맛이 👍👍👍)

육전은 맛있어요..! 맛있는데...! 19,500원이라는 엄청난 가격때문에 다음엔 고민해 보겠습니다 ㅎㅎ😅

재방문 의사는 완 가득입니다~!~!!

A : Y 🤣
접기","혼밥하기 좋아요, 친절해요, 음식이 맛있어요, 특별한 메뉴가 있어요, 건강한 맛이에요",점심에 방문
하연옥 홍대점,6.9.월,1,"훅 더워진 여름,물냉면이 생각나서
퇴근길 들린곳인데 육전 고명이 올라가서
맛나보였어요.
혼밥하기 좋게 테이블 칸막이도 되어있고,
포장도 된다고해요.
살얼음 살짝있는 고기육수 감칠맛나면서
간이 적당했어요. 고기수육과 육전 썬게 고명으로 올라가있어요.정갈하니 맛나요.
접기","매장이 넓어요, 혼밥하기 좋아요, 매장이 청결해요, 음식이 맛있어요",저녁에 방문
하연옥 홍대점,5.13.화,1,"함흥냉면? 평양냉면? 진주냉면이 저에겐 최고입니다…하연옥 없어지면 울 것임..
날 더워지면 짭짤하고 시원한 하연옥 냉면 육수가 자동으로 떠올라요
다른 진주냉면 가게에도 가봤지만 하연옥 마포점이 젤 맛있어요🥹
육수에는 해물을 넣고 숙성시킨 어육간장이 사용되어서 다른 냉면들과는 전혀 다른 맛이 납니다. 간장베이스의 음식들을 좋아하시는 분들 츄라이츄라이
접기","인테리어가 멋져요, 대화하기 좋아요, 음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
하연옥 홍대점,6.1.일,1,"먹고나면다시 생각나는 맛.육수시원하고 건강해지는맛.
육전 부드럽고 고소한 맛으로 기분좋아지는맛.깔끔한맛이 미소를 짖게합네요.
잘먹고갑니다","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 건강한 맛이에요, 혼밥하기 좋아요",점심에 방문
하연옥 홍대점,6.6.금,1,진짜 여름이 찾아오면 어김없이 하연옥 냉면부터 생각나요ㅠㅠ진짜 너무너무너무 맛있고 살얼음 떠있는 것도 너무좋고 진짜 역에서 조금 멀지만 꼭 한 번 다들 먹고 가세요ㅠㅠㅠㅠ후회안합니다ㅠㅠ💗💗💗,"매장이 넓어요, 친절해요, 매장이 청결해요, 음식이 맛있어요",점심에 방문
하연옥 홍대점,4.23.수,1,동료와 같이 좀 이른 점심으로 왔습니다. 점심 때는 사람이 많아서 자리가 없을 수 있다고 해서 서둘러서 왔는데 잘한 것 같네요. 먹으면서 20분? 정도 지나니까 점심 전인데도 은근 자리가 차더라구요~ 거홍면이 뭔지 궁금해서 먹어봤는데 맛있더라구요~ 깔끔하고 시원한 국물에 고기도 큼지막해서 좋았습니다:) 매장도 넓고 혼밥 자리도 있어서 다음에 생각나면 혼자라도 또 와서 먹으려고요:),"음식이 맛있어요, 재료가 신선해요, 매장이 넓어요, 혼밥하기 좋아요, 매장이 청결해요",점심에 방문
하연옥 홍대점,5.17.토,1,"국물이 정말 깊고
간도 딱 맞음!!!!
온면도 맛있고 물냉도 맛있음
육전은 꼭 시키기 고소한 계란이랑 조화롭게 어울려서 행복한 맛🙂‍↔️😗
접기","혼밥하기 좋아요, 음식이 맛있어요, 특별한 메뉴가 있어요",점심에 방문
하연옥 홍대점,6.2.월,1,"먹고나서 속 더부룩함 없는 건강한 맛집
물냉 비냉 육전 다 맛있어요!!
무더운 여름 시원~~한게 땡길때 찾게 될 하연옥","인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요",저녁에 방문
하연옥 홍대점,5.14.수,1,면도 부드럽고 간도 적당하고 육전도 고기가 느껴질만큼 많아요! 맛있습니다! 지금 시간대는 사람도 별로 없고 혼자 먹기에도 좋은 공간같아요!,"인테리어가 멋져요, 음식이 맛있어요, 재료가 신선해요",점심에 방문
하연옥 홍대점,5.31.토,1,"물냉, 비냉, 거홍면, 육전 종류별로 하나씩 시켰어요! 1945년부터 했다는 곳치곤 시스템이 최신식에 MZ스러워서 처음엔 조금 당황했는데 음식은 전부 맛있네요 덕분에 좋은 가족외식 시간 되었습니다☺️","음식이 맛있어요, 컨셉이 독특해요, 매장이 청결해요",점심에 방문
