식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
한해 건대점,6.5.목,2,"친구들한테 맛있는 횟집 있다고 자랑해서 데려간건데 역시 기대를 져버리지 않았어요!!
고등어회 추가해서 한 접시에 담아주시라고 부탁 드렸는데 플레이팅도 너무 예쁘게 잘해주셨어용ㅎㅎ
다 너무 맛있었지만 특히 고등어회가 진짜 비린맛 하나없이 진짜 싱싱해서 먹는내내 감탄이 절로 나왔네요...
룸이 있어서 친구들하고 프라이빗하게 잘 먹고 시간 보내고 갑니당~ 다음에 또 올게요!!!🙏🏻❤️❤️
접기","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 단체모임 하기 좋아요",저녁에 방문
한해 건대점,5.24.토,1,"와 진짜 맛있었어요 일단 회 한판 나왔을때는 비쥬얼을 보고 모두가 와~햇어요 ㅋㅋ 대접하기 괜찮은 비쥬얼의 횟집인거같아요 근데 회도 맛있었어요,,
가족들이 많아서 단체 룸 이용햇는데 최고였습니다 😁👍🏻 직원분들고 친절했아요!! 아 빨리 구슬아이스크림 먹고싶다.....","단체모임 하기 좋아요, 친절해요, 재료가 신선해요, 양이 많아요",저녁에 방문
한해 건대점,5.4.일,1,"공휴일에도 열일해주셔서 너무 맛있게 먹고 갑니다😇
회가 정말 신선해요! 서비스로 콘치즈도 주셔서 너무 기분 좋은 외식 했어요~! 이벤트로 구슬아이스크림도 주셔서 마무리까지 행복했어요. 다음에 또 올께요!","인테리어가 멋져요, 친절해요, 음식이 맛있어요, 재료가 신선해요",저녁에 방문
한해 건대점,4.13.일,1,"도다리 맛있다!
식감과 감칠맛 너무 좋았어요 :)


모듬초밥 맛있다!
초밥밥이 찹쌀같고 간도 좋았어요!
(초밥만 먹으러 와도 좋을듯!)

기본적으로 메뉴가 나올때 너무 깔끔해서 기분이 좋고 보기도 좋고 맛도 좋았어요 😆

새우회 구이 등 다양한 메뉴도 있고 매장안에 수족관 같은것도 있어서 횟감도 잘 관리되는거 같아서 매우 만족스러웠습니다👍
접기","재료가 신선해요, 메뉴 구성이 알차요, 잡내가 적어요, 매장이 넓어요",저녁에 방문
한해 건대점,4.19.토,1,"모둠회 소 시켰는데 양도 꽤 많구 맛있어요
콘치즈랑 야채무침 묵은지 기본으로 나와서 너무 좋구
추가로 시킬 수도 있어서 눈치 보지않구 먹을 수 있어요
집 앞이라 와 봤는데 회 먹고싶으면 이제 여기와야겠어요!!
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 메뉴 구성이 알차요, 친절해요",저녁에 방문
한해 건대점,5.3.토,2,":> 친구가 후식으로 구슬 아이스크림을 준다는 횟집이 있대서 후다닥 다녀왔어요! 회는 말하기 입아프구, 야채무침, 미니콘치즈두 맛도리맛도리! 초밥과 서비스로 주신 연어구이도 너무너무 맛있었어요! 전투식사가 디폴트 값인데 너무 맛있어서 술도 안먹고 1시간 30분을 먹었네 데헷 (∗❛⌄❛∗)ᕗ 아이스크림두 맛있었습니다. 구슬 아이스크림 신박","음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 음악이 좋아요, 친절해요",저녁에 방문
한해 건대점,5.6.화,1,2인한상 세트 먹었습니다~!! 어린이 대공원 갔다가 뭐먹을까 하다가 발견해서 왓는데 역도 바로 근처라서 밥먹고 집가기도 편해요!! 너무맛있어서 매운탕에 라면사리까지 추가해서 야무지게 먹고갑니당 ~~~ 😋😋,"친절해요, 음식이 맛있어요, 메뉴 구성이 알차요, 매장이 넓어요",점심에 방문
한해 건대점,5.18.일,8,역시는 역시 한해는 최고입니다 광진구 최고의 신선도와 푸짐한 양을 자랑하는 곳이네요,"양이 많아요, 특별한 메뉴가 있어요, 건강한 맛이에요, 메뉴 구성이 알차요, 음료가 맛있어요",저녁에 방문
한해 건대점,5.26.월,1,어린이대공원쪽에 횟집이 거의 다 사라져서 찾아보고 온건데 진짜 잘온거 같아요 가성비좋고 메뉴도 알차고 다 맛있게 먹었는데 특히 매운탕 진짜 대존맛탱이였어요 공깃밥에 비벼서 두그릇 순삭이요ㅎ..ㅎ 진짜 재방문의사 낭낭입니다 진짜 직원들도 친절하고 진짜 잘먹고 가요ㅎㅎ😀,"음식이 맛있어요, 재료가 신선해요, 대화하기 좋아요, 친절해요, 매장이 청결해요",밤에 방문
한해 건대점,5.4.일,1,엄마랑 깔끔한 횟집 찾아왔는데 매장 넓고 깨끗하고 친절하고 넘 좋았습니당!! 회무침이 진짜 취향이었어요~~ 매운탕도 생선 정말 많아서 한 끼 맛있게 먹었습니다👍☺️🥹,"음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 친절해요, 매장이 청결해요",저녁에 방문
한해 건대점,5.15.목,1,아놔 먹다 찍어서 좀 뷰끄러운데 맛있어서 못참은 걸로 봐주세요 사장님이 진짜 맛있었고 음식들이 친절했어요~ 다음에 또봬여 ㅎ ㅎ,"음식이 맛있어요, 메뉴 구성이 알차요, 친절해요",저녁에 방문
한해 건대점,6.5.목,1,일단 횟집인데도 불구하고 매장이 굉장히 크고 깔끔한점이 너무 좋아요 양도 괜찮고 신선합니다!,"메뉴 구성이 알차요, 음식이 맛있어요, 대화하기 좋아요, 매장이 넓어요, 매장이 청결해요",저녁에 방문
