식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
함흥본가면옥 건대점,5.26.월,1,"갑자기 냉면이 땡겨서
동네서 유명하대서 가본집.

원래 인근에 소사면옥을
가보려는데 하필 휴무였다.

검색해보니
길동.문정에도 있는듯하고
건대점을 가봤다.

물냉은 육수가 좀 달달한 느낌이었고
식초를 추가하면 좋아진다.

회냉은 맵지않고 양념도 괜찮았고
대중적으로 좋아할 맛이었다.

만두는 6개에 8,000이면 요새
물가에 합리적으로 느껴졌다.

전반적인 맛이나 가격을 고려하면
장사 잘되실거로 보였고

종업원들의 유니폼도
좀더 전문적으로 느껴지게끔
깔끔했다.

친절한 접객에 주차도 편했고
무난히 누구나 무리없이
먹을수 있는 맛으로 보였다.
접기","친절해요, 주차하기 편해요",점심에 방문
함흥본가면옥 건대점,5.17.토,11,함흥물냉면과 손만두가 맛있어요 마무리로 아메리카노를 마실 수 있어 좋아요,"음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 뷰가 좋아요, 친절해요",점심에 방문
함흥본가면옥 건대점,5.23.금,1,냉면이 먹고싶어서 검색하다가 방문했습니다. 건대입구 보다는 어린이대공원역에 가깝네요. 비빔냉면이랑 만두랑 궁합도 좋고 넓고 깨끗해서 식사하기 좋았습니다,"음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요",저녁에 방문
함흥본가면옥 건대점,4.6.일,1,"냉면 간은 좀 약한편이라 식초 겨자 , 테이블 옆에있는 양념장 더 추가로 많이 넣어줬어요
같이 나오는 반찬1 열무가 아삭하니 맛있어요 불고기 쫀득거리고 맛있고 만두는 두부가 가득한 만두에요 슴슴하고 괜찮은거 같아요
화장실이 전반적으로 깨끗하고 2개로 나눠있어서 편리했습니다
다만 벨을 울려도 직원들이 바로 오는 느낌이 아니라 아쉬웠어요
접기",매장이 넓어요,저녁에 방문
함흥본가면옥 건대점,5.3.토,10,"함흥 물냉면, 비빔냉면, 회냉면이 맛있어요 손만두도 맛있어서 포장해 왔어요 마무리로 아메리카노를 마실수 있어 좋아요","음식이 맛있어요, 매장이 넓어요, 뷰가 좋아요, 친절해요, 매장이 청결해요",저녁에 방문
함흥본가면옥 건대점,5.8.목,5,만두손 만두있고 6개. 김치도 열무 라 시원한 맛. 담백하고. 비빔냉면도 식감이 최고,음식이 맛있어요,저녁에 방문
함흥본가면옥 건대점,4.26.토,9,갈비탕과 손만두가 맛있어요 손만두가 맛있어서 포장도 해 왔어요,"음식이 맛있어요, 재료가 신선해요, 뷰가 좋아요, 친절해요, 화장실이 깨끗해요",점심에 방문
함흥본가면옥 건대점,5.25.일,1,함냉 맛나요 새콤달콤 온육수도 맛도리 자주 오는 맛집!,"음식이 맛있어요, 매장이 넓어요",저녁에 방문
함흥본가면옥 건대점,5.18.일,1,함흥냉면 맛있어요 만두도 두부가 들어가서 부드럽고 좋아요,"음식이 맛있어요, 매장이 넓어요, 주차하기 편해요",저녁에 방문
함흥본가면옥 건대점,4.17.목,8,함흥물냉면이 맛있어요 손만두도 맛있어서 포장해 왔어요,"음식이 맛있어요, 특별한 메뉴가 있어요, 매장이 넓어요, 뷰가 좋아요, 친절해요",점심에 방문
함흥본가면옥 건대점,3.10.월,1,"어릴 때 왔던 냉면집! 간만에 와서 먹었는데 인테리어 좀 바뀐 거 말고는 똑같이 맛있었어요!:) 저는 비냉 곱배기, 가족들은 갈비탕과 육개장 먹었는데 갈비탕은 깔끔하고 파 향이 잘 어울렸고, 육개장은 은근한 매콤함에 다 먹고나면 속 뚫리고 땀 삐질 나는 맛이에요!:) 반찬들도 깔끔하니 맛 좋아서 한 번씩 더 시켜서 먹었어요! 담에 또 올거에욧ㅠㅠ 번창하세요!!","음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 매장이 넓어요, 친절해요",점심에 방문
함흥본가면옥 건대점,4.10.목,9,광진구 맛집. 오랜 단골. 강추,음식이 맛있어요,점심에 방문
