식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
호르몬치치 건대입구점,5.30.금,1,"우설먹고 싶어하는 남편이 여기가자해서 생일기념으로 왔어요!!
분위기도 너무 좋고, 일본에서 맛나게 먹었던 우설 원없이 먹었어요👍👍😘
오픈한지 얼마 안되서 그런지 매장도 깔끔하고 음식도 잘먹고 갑니다!!
야끼니꾸 먹고 싶은신분들 강추예요!
접기","음식이 맛있어요, 가성비가 좋아요, 친절해요, 인테리어가 멋져요, 매장이 넓어요",저녁에 방문
호르몬치치 건대입구점,5.28.수,1,"건대입구 호르몬치치 다녀왔어요! 고기, 술, 사이드 무제한에 주문형 리필이라 편리함 끝판왕! 😋 소, 돼지, 닭고기 다양하고 와규, 우설 같은 고급 부위도 무한 제공! 가격대별 코스라 선택 폭 넓고, 라면, 우동까지 무제한이라 배부르게 먹었어요. 분위기 좋고 서비스 친절! 예약 필수, 강추! 😍","음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",점심에 방문
호르몬치치 건대입구점,6.6.금,1,"처음 방문한 곳이라 주문하고 결제하는 방식이 익숙하지 않아서 초반에 조금 헤맸어요. 셀프 방식이라 처음엔 당황했지만, 직원분들도 친절하게 안내해주셔서 금방 적응할 수 있었습니다.

무엇보다 고기 퀄리티가 정말 좋았어요. 한입 먹는 순간 ‘아, 여긴 진짜다’ 싶은 맛이었습니다. 고기의 풍미나 식감이 마치 일본 현지 고깃집에서 먹는 것처럼 정통 느낌이 살아 있어서 만족도가 정말 높았어요.

가게 분위기도 너무 마음에 들었어요. 깔끔하고 조용한 편이라 식사하는 내내 편안했고, 일본 감성이 잘 느껴지는 인테리어 덕분에 여행 온 기분도 조금 들었어요.

처음이라 다소 서툴렀지만, 다음에 오면 훨씬 더 여유 있게 즐길 수 있을 것 같아요. 일본식 고기집을 좋아하신다면 꼭 한 번쯤 방문해보시길 추천드려요!
접기","음식이 빨리 나와요, 음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요",저녁에 방문
호르몬치치 건대입구점,5.15.목,1,"네이버 예약 덕분에 편하게 방문했어요.
일본 노포 감성이? 물씬 풍기는 인테리어가 인상적이더라구요~?
친구들과 방문했는데요~ 좋아하는 내장류를 무한리필로 먹을 수 있어 행복했답니다!!
자리에서 주문만 하면 와규·우설·곱창 등 특수부위를 바로바로 서빙해 주는 주문형 무한리필 시스템이 정말 편리한거 있죠~?!
전체적으로 맛도 좋았는데요.
전 특히 와규가 제일 좋더라구요 💞
중간에 제공된 된장술밥도 깔끔했어요
영수증 리뷰 이벤트로 서비스 받은 계란밥까지 득템!
가오픈 기간인데도, 세심한 서비스가 인상적이었고,
정식 오픈은 5월 16일부터라고 하니 더 기대됩니다.
접기","특별한 메뉴가 있어요, 가성비가 좋아요, 음식이 맛있어요, 친절해요, 컨셉이 독특해요",점심에 방문
호르몬치치 건대입구점,5.15.목,1,"특수부위 좋아하는데 여긴 소, 닭, 돼지 다 있어요.
배부르게 먹고 왔습니다~ 매장 분위기도 너무 좋고 일본여행 중 갔던 가게 생각나더라고요!
직원분들도 다 친절하고 고기랑 야채랑 구워먹으니까 맛도 있고 시간가는줄도 모르겠더라고요 😆 특히 고기는 말할것도 없이 맛있어요!! 저희가 나름 특수고기 매니아라 많이 먹어봤는데 베스트3 안에 드는 맛집인것 같아요
주문형 무한리필이라 자리에서 추가주문도 가능해서 편하고요 😉 깨끗친절하고 맛있는 한끼 식사로 아주 딱 👍
접기","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",점심에 방문
호르몬치치 건대입구점,5.15.목,1,"건대맛집 호르몬치치 정식오픈전에 다녀왔는데
너무맛있어서 놀래고 친절함에 반했오요..ㅠㅠ
일본감성가득해서 데이트장소로도 너무좋고
일단 메뉴구성이 넘맘에들었답니댜~!!🙌🏻❣️
핫플건대에 빠질수없는 고기맛집 주말도다가오는데
추천드리는곳입니둥!!
접기","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 인테리어가 멋져요",점심에 방문
호르몬치치 건대입구점,5.29.목,1,새로 생겨서 와봤는데 다른 무한리필 가게 보다 깔끔하고 프라이빗 해서 좋았어요 !! 고기도 맛있고 특수부위도 다양해서 좋습니당 담에 또 올게요 ㅎㅎ,"음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요, 혼밥하기 좋아요",저녁에 방문
호르몬치치 건대입구점,5.27.화,1,"친구가 건대 맛집이라고 추천해줘서 예약하고 방문해봤어요. 우선 분위기가 일본 노포갬성이라 정말 마음에 들었고, 흔치 않은 내장구이 무한리필이라고 해서 완전 궁금했거든요, 근데 여러가지 부위도 많이 있어서 고민할 필요가 전혀 없더라고요, 고기도 신선해서 굽자마자 육즙 터지는 게 친구랑 둘 다 감탄했어요. 무한리필인데 직접 가지러 가지 않아도 되서 모임이나 회식 메뉴로도 정말 좋을듯 해요~ 가성비도 굿~ 완전 만족하고 갑니다.~","음식이 맛있어요, 특별한 메뉴가 있어요, 컨셉이 독특해요, 단체모임 하기 좋아요, 친절해요",점심에 방문
호르몬치치 건대입구점,5.28.수,1,친구들이랑 호르몬치치 첨 가봤는데 넘 맛있고 무한리필이라 맘껏 먹을 수 있어서 좋았어요 고기도 잡내없이 맛있고 매장도 깨끗해요~~또 가서 먹고싶어요🤩,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요",점심에 방문
호르몬치치 건대입구점,6.5.목,1,가성비 있게 너무 맛있게 먹었습니다 야끼니꾸 정말 좋아하는데 종종 올 것 같아요 직원분도 너무 친절해요♥️♥️,"음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 매장이 넓어요, 혼밥하기 좋아요",점심에 방문
호르몬치치 건대입구점,6.9.월,1,무한리필이라 기대없이 왔는데 기대 이상으로 고기 질이나 친절함 대박이네요 일본여행 갔을때 정말 친절하다는 느낌 이였는데 일본 여행 온 느낌이네요,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 인테리어가 멋져요, 친절해요",저녁에 방문
호르몬치치 건대입구점,5.28.수,1,무한리필인데 이렇게 고기 질이 좋은 곳은 처음이네요~ 부위 다양해서 좋았고 사이드 무한리필도 저렴한 가격으로 즐길 수 있어 재방문 의사 있습니다^^,"음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",점심에 방문
호르몬치치 건대입구점,6.5.목,1,"가성비 괜춘!!!!!
키오스크로주문해서 편하게 눈치안보고 먹을수있어요.
직원도 친절하시고 불판잘갈아주세요.","음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요, 친절해요",저녁에 방문
호르몬치치 건대입구점,5.27.화,1,"건대맛집 중 제대로 된 고기 무한리필 찾는다면 호르몬치치 강력 추천해요! 와규, 우설 같은 고급 부위부터 소·돼지·닭 특수부위까지 다양하고, 주문형 시스템이라 편하게 먹을 수 있고 무한리필이라는점이 너무 메리트있어요!!
친구랑 고기에 한잔하러갔는데 분위기도 일본 노포 느낌이라 색다르고 좋아서 다음에 또 가려고 합니다!","고기 질이 좋아요, 단체모임 하기 좋아요, 친절해요",점심에 방문
호르몬치치 건대입구점,5.29.목,1,"오랜만에 신랑이랑 정말 좋은 시간 보내고 왔어요♥️♥️
분위기도 좋고 새로생긴곳이라 깨끗해서 더 좋았어요 >_<
특히 고기 좋아하는 남편이 무한리필집인데도 퀄리티 좋다고 아주 제대로 흡입 하고 왔네요ㅋㅋㅋㅋ
조만간 또 갈께요 사쟝님♥️
접기","친절해요, 음식이 맛있어요, 고기 질이 좋아요, 인테리어가 멋져요",점심에 방문
호르몬치치 건대입구점,6.6.금,1,일본갬성 가득한 자리에서 야끼니꾸를 무한리필로 먹으니 너무 좋았습니당 수원에서 먹어보고 건대로 두번째 왔는데 역시나 맛있구 조아요🩷🩷 그리고 여기 사이드 국물치즈계란찜은 무조건 먹어야됨요.,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요",저녁에 방문
호르몬치치 건대입구점,5.31.토,1,"우설이랑 와규 특수부위가 살살 녹아요
자리에서 바로 주문하면 가져다줘서 편해요","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 재료가 신선해요, 친절해요",저녁에 방문
호르몬치치 건대입구점,6.7.토,1,"천호점 갔다가 바로 건대점으로 두번째 방문이에요
고퀄리티로 맛잇는 고기를 든든하게 먹고 기분 좋게 다녀왔어요
정말 맛있었고 감사합니다~!!","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 매장이 넓어요, 친절해요",저녁에 방문
