식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
호요 홍대점,5.23.금,1,"오꼬노미야끼가 먹고싶어서
홍대 온김에 검색해서
오게 되었는데
일단 친절하세요^^
매장도 넓고
날씨가 좋으니 오픈된 공간도 있어서
기분좋게 먹었어요
넘 기분좋아서 하이볼을 두잔이나ᆢㅎ
서비스 안주도 주시는 센스~~^^
혼자먹는데도 편히 챙겨주시는
편안한 매장입니다
접기","음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요, 친절해요, 매장이 청결해요",점심에 방문
호요 홍대점,5.25.일,1,"홍대 데이트 필수코스랍니다~~~
분위기 맛 진짜 모 하나 빠지는게없눈
꼭 가봐야할 오코노미야끼와 야끼소바 찐맛집
인정이에요!✨️💖💖 철판에 불쇼는 덤이랍니당
일본가서 먹었던 음식들보다 더 맛도리라
강추드려요~~
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
호요 홍대점,5.26.월,1,"음식 하나하나 너무 맛있고 매장도 넓어서 완전 쾌적해요 ㅎㅎ
직원분들이 모두 너무 친절하셔서 식사 내내 기분이 좋았습니다 ☺️
오꼬노미야끼도 직접 앞에서 만드는 모습 보면서 먹었는데 넘 청결하고 깔끔했어요 !!
재방문의사 100입니당 ><
접기","인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요",저녁에 방문
호요 홍대점,5.21.수,1,"후기 평도 좋고 분위기도 괜찮다는
홍대의 ‘호요 홍대점’을 발견했어요.
데이트로 가볍게 들르기 딱 좋더라고요.
요리사분이 직접 철판에서
오코노미야끼와 야끼소바를 굽고 계셨고,
중간중간 불쇼도 보여주셔서 기다리는 동안
지루할 틈이 없었어요.
접기","음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요",저녁에 방문
호요 홍대점,6.7.토,1,"오코노미야끼 두께감도 엄청나고 양배추 식감도 좋고 너무 맛있어요✨
야끼소바는 단짠이 매력적이고 안에 재료도 아낌없이 들어있고 너무 맛있네요!!
사장님도 너무 친절하셔서 재방문 의사 100%입니다!!!!데이트 장소로도 추천드려요!!!","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 친절해요, 인테리어가 멋져요",밤에 방문
호요 홍대점,5.29.목,1,"🤎홍대 맛집 호요 홍대점🤎
호요 홍대점 후기가 좋은 이유를 알겠네요 ㅎㅎ 분위기도 좋고 음식도 너무 맛있어요~~ 특히 오코노미야끼 대박이에요👍👍 직원분들도 모두 친절하세요오~~ 다음에 또 방문할게요🫶
오코노미야끼 하이볼 조합 추천드려요","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 술이 다양해요",저녁에 방문
호요 홍대점,5.19.월,1,"친구가 히로시마식 오코노미야키가 먹고 싶다고 해서 찾아봤는데 여기가 있길래 와 봤어요 매우 성공적이었습니다🥰 야키소바, 오코노미야키, 가라아게 모두 다 맛있었어요 서비스로 주신 부추전도 매우 맛있게 잘 먹었습니다 진짜 배불렀어요 ㅋㅋㅋ 다음에 오코노미야키 먹고 싶으면 여기로 또 오려고요!","음식이 맛있어요, 양이 많아요, 술이 다양해요, 재료가 신선해요, 친절해요",저녁에 방문
호요 홍대점,6.7.토,1,"점심때 방문했는데 식사로 먹기에도 좋았어요
매장 넓직해서 좋습니다
아이와 먹기에도 맛있어요
특히 연어가 소스도 특이하고 신선하고 좋아요♡
찹스테이크 고기 부들부들 합니다
서빙하시는 직원분듀 친절^^
기분좋은나들이~~덕분에
접기","음식이 맛있어요, 재료가 신선해요",점심에 방문
호요 홍대점,6.7.토,1,"맛있는건 기본에 인테리어도 이뻐서 데이트 분위기
내기 딱이네요💖 메뉴 하나하나 다 자극적이지 않고 담백하게 잘 먹었습니다! 감사합니다👍🏻🥰","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 인테리어가 멋져요, 매장이 넓어요",점심에 방문
호요 홍대점,3.30.일,1,"홍대맛집 호요 다녀왔습니다!
홍대 거리 안쪽에 위치한 오코노미야끼 맛집 호요는 홍대역에서 도보 10분정도 거리에 위치해있습니당
저희는 일요일 오후5시에 방문했어용
우선 내부! 엄청 깔끔하고 자리도많고 넓습니다
저희는 오코노미야끼 만드는 모습을 보고싶어서 다찌석, 철판 앞에 앉았어용ㅎㅎ
요기 이자카야답게 술이 다양합니다ㅋㅋ 사케부터 다양한 위스키 라인업까지!
특히 야마자키가 있어요ㄷㄷ 야마자키 하이볼도 파니 꼭 드셔보시길ㅎ
저희는 히로시마풍 오코노미야끼와 야끼소바 이렇게 두가지 메뉴 주문했구요, 술은 짐빔하이볼! 하나는 탄산수 하나는 토닉 요렇게 매칭했습니다ㅎ
오고노미야끼 제조해주시는데 철판위에서 화려한 쇼를 펼쳐주십니다
만드는걸 구경하다보면 어느새 모든 메뉴가 준비되요
맛은 홍대 오코노미야끼중'1등!
접기","음식이 맛있어요, 기본 안주가 좋아요, 가성비가 좋아요, 인테리어가 멋져요, 친절해요",점심에 방문
