식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
화기애애 본점,6.5.목,1,"깔끔한 인테리어, 친절한 응대, 무난한 고기 퀄리티까지 좋았던 건대입구 고깃집이었습니다!

🥩 돼지모둠小 400g(31,000원)
삼겹살·목살·항정살 구성이에요! 삼겹살은 은은한 숯향에 특히 고소했어요! 목살은 두툼하고 촉촉, 항정살은 부드럽고 쫄깃했습니다 기본 이상 하는 고기 퀄리티라고 생각하심 됩니다! 특히 항정살 좋아하는 분들에겐 강력추천해요!

🍚 매콤한 비빔국수(4,500원)
적당히 새콤하고 과하지 않은 매운맛이 좋았어요! 고기 곁들여서 쌈 싸먹었는데 맛잘알 ㅇㅈ? 식사 마무리로 딱 좋은 메뉴였습니다

🧂 계란찜·김치찌개 무한리필
계란찜은 부드럽고 촉촉한 스타일이었습니다! 리필 제안까지 해주셨는데 사장님 친절하세요!
접기","음식이 맛있어요, 고기 질이 좋아요, 친절해요",밤에 방문
화기애애 본점,6.5.목,1,남자친구랑 데이트 할겸 방문 한곳인데 인테리어가 고급스럽고 세련된 느낌이에요 불판이 아닌 화로에 구워서 분위기도 더 좋고 소고기모듬 주문했는데 가성비가 참 좋더라고요 양도 양이지만 질도 좋고 비빔국수도 양이 어마어마했어요 김치찌개랑 계란찜이 무한리필 되는것도 너무 좋았어요 리필 요청하시니 빠르고 친절하게 준비해주셔서 기분까지 좋아졌네요 잘먹었습니다~,"음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 재료가 신선해요, 인테리어가 멋져요",점심에 방문
화기애애 본점,6.3.화,1,분위기가 너무 좋아서 들어왔는데 음식도 너무 맛있어요! 치즈에 고기 싸서 야채꼬치랑 먹었는데 생각보다 배부르고 같이 나온 계란찜이랑 된찌랑 잘 먹고갑니다! 마지막으로 밥 한 공기 같이 먹을 겸 묵밥 시켰더니 배불러요 ㅋㅋㅋ,"음식이 맛있어요, 고기 질이 좋아요, 재료가 신선해요, 아늑해요, 매장이 청결해요",저녁에 방문
화기애애 본점,6.1.일,1,"솔직히 화로구이 집중에 제일 가성비 좋습니다.
음식 가격 싸고 양많고, 그리고 무엇보다
가게가 고급져요
부모님 모시고 가도 좋고, 조용한 분위기에 비오는날 천천히 소주한잔하기도 너무 좋네요
완전 추천이여~~
접기","인테리어가 멋져요, 뷰가 좋아요, 음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요",저녁에 방문
화기애애 본점,6.5.목,1,건대에서 고기집 찾아서 왔는데 내부 인테리어도 정말 고급스럽고 고기가 정말 신선하고 맛있어요!! 김치찌개랑 계란찜도 무한리필로 줘서 앞으로 고기집은 여기만 오려구요~,"음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",점심에 방문
화기애애 본점,4.19.토,1,화로에 구워먹는 소고기라 먹는맛도 있지만 분위기도 좋은거같아요~~ 일본여행가서 갔던 식당들을 떠올리게 하는 분위기가 있습니다😆 김치찌개와 계란찜은 무한리필인 서비스도 좋았어요~~ 건대 데이트코스로 추천해요👍,"인테리어가 멋져요, 친절해요, 음식이 맛있어요, 가성비가 좋아요, 반찬이 잘 나와요",저녁에 방문
화기애애 본점,5.17.토,1,"여러분 꼭 와인이랑 치즈구이랑 소고기 같이 드세요
진짜 너무 맛있어서 자꾸 생각나요 ㅠㅠ
갠취로는 양념 소갈비가 진짜 너무 맛있었고
안창살이 육향 풍부해서 와인이랑 찰떡이에요
구워먹는 치즈 구이랑 같이 먹으면 진짜 맛나요
화로구이에 와인 하.. 말해뭐해 진짜 최고 👍👍
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 친절해요",저녁에 방문
화기애애 본점,4.28.월,1,"건대이 이만한 가성비에 맛있는 소고기집은 절대 없습니다!
저는 양이 많아서 그렇지 식사로도 괜찮고 술먹으로 1차 오기에 너무 좋아요!! 셀프바가 있어서 더먹고싶으면 편하게 더 먹을수 있어요 건대 소고기 먹을일 있으면 무조건 여기로 오세요!!","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 메뉴 구성이 알차요, 반찬이 잘 나와요",점심에 방문
화기애애 본점,5.13.화,1,"명품 고기집입니다. 화로에 고기를 조금씩 놓고 구워먹는, 야끼니꾸 스타일에요. 저희는 사랑세트를 먹었고 다 먹으니 배가 적당히 불러서 기분도 딱 좋았어요. 거기에다가 김치찌개랑 계란찜이 무한리필이라서 계란찜은 덤 ㅎㅎ 사장님과 직원분들 모두 엄청 친절하셔서 먹는 내내 행복했어요❤️ 오랫동안 가게를 유지한 내공이 보이는데 계속 번창하세요!","음식이 맛있어요, 고기 질이 좋아요, 특별한 메뉴가 있어요, 재료가 신선해요, 인테리어가 멋져요",저녁에 방문
화기애애 본점,3.28.금,1,소고기가 많이 안 비싸고 맛있어서 건대 근처 가성비 소고기집으로 좋은 것 같아요. 김치찌개랑 계란찜이 기본제공에 무한리필도 되어서 좋았고 반찬들도 다 신선하고 맛있었어요. 1층 2층으로 되어 있어서 넓은데도 식사시간에는 인기가 많아서 웨이팅이 조금 있었어요. 돼지고기도 파는데 개인적으로 돼지보다는 소가 더 맛있었습니다!,"음식이 맛있어요, 고기 질이 좋아요, 메뉴 구성이 알차요, 반찬이 잘 나와요, 단체모임 하기 좋아요",저녁에 방문
화기애애 본점,5.31.토,1,구성이 알차고 고기 잡내가 없어서 잘 먹었어요! 웨이팅이 좀 길어서 고민했는데 만족스러웠습니다 :-) 야채꼬치 꼭 시켜드세요!! 고기랑 너무 잘 어울립니다👍👍,"차분한 분위기에요, 매장이 청결해요, 음식이 맛있어요, 고기 질이 좋아요, 잡내가 적어요",저녁에 방문
화기애애 본점,4.26.토,1,"웨이팅은 살짝 있었는데 생각보다 웨이팅이 빨리 줄었어요. 캐치테이블로 웨이팅 걸어놓고 가면 더 좋겠더라구요.
화로랑 숯불로 고기를 굽는데 화로가 넘 예뻤어요. 갬성낭낭, 숯불로 구우니 고기도 더 맛있구요^^
살얼음 동동 동치미 국수도 고기와의 조화가 너무 좋았구요.
계란찜 김치찌개 기본제공에 무한리필이니 놓치지마세요~!
접기","음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요, 잡내가 적어요, 인테리어가 멋져요",저녁에 방문
화기애애 본점,6.8.일,1,고기 퀄리티 최애고 !!! 사진으로만 봐도 보이시죠 ㅎㅎㅎ 정말 맛있었어요 계란찜에 김치찌개까지 무한이라 푸짐하게 먹기 좋아요,"친절해요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요",점심에 방문
화기애애 본점,4.1.화,1,"건대입구 고기집 화기애애 너무 맛있네요! 특히 갈비살이 정말 고소하고 맛있어요! 겉은 바삭하게 익고 안에는 육즙이 담겨있어용 고기 맛집이네요!❤️

✔️숯이 너무 좋아요
숯향이 가늑 베어 고기가 정말 맛있게 익습니다!

✔️김치찌개 + 계란찜 “무한리필”인점이 가성비가
너무 좋았어요~💖

다음에 또 방문하겠습니다!!!!!!
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 매장이 넓어요",저녁에 방문
화기애애 본점,4.30.수,1,갈비살 넘 맛있네요. 고기맛의 풍미를 더 올려주는 가벼운 양념도 좋아요. 숯불향 가득 머금은 부드럽고 고소한 갈비살 마니마니 드세요. 새송이버섯이 무한리필인거 정말 좋아요. 공원뷰라 초록초록 뷰 보며 고기 먹는거 힐링이에요. 계란찜이랑 김치찌개 무한리필인거 정말 대박이지 않아요? 슴슴한 계란찜 두번 먹었답니다.,"음식이 맛있어요, 고기 질이 좋아요, 잡내가 적어요, 재료가 신선해요, 뷰가 좋아요",점심에 방문
화기애애 본점,6.5.목,1,"고기도 맛있고 야채도 맛있고 분위기도 좋아요
그리고 직원분들께서 항상 웃으면서 응대해주시고
친절하세요^^
다음에는 돼지먹으러 방문예정이에요
접기","음식이 맛있어요, 고기 질이 좋아요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
화기애애 본점,6.6.금,1,건대에서 화로구이한다면 여기인거같아요! 고기도 맛있고 불판도 자주 갈아줘서 먹기 편했어여! 고기는 직접구워야하지만 내입맛에 맞게 먹을수있어서 좋아요! 기본으로 나오는 계란찜은 맛있는데 김치찌개는 짰어요 ㅠ 그래도 또 올거같아요~,"음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
화기애애 본점,5.26.월,5,"계란찜 무료에 무한리필 정말 눈물이 납니다. 계란찜 8000원시대에 무료라니ㅠㅠ김치찌개도 무료라니...사장님 제발 돈 많이 버세요

하이볼이 정말 맛있어요. 달달한 술 좋아하시면 얼그레이 무조건입니다. 정말 여기가 고깃집인지 하이볼집인지 헷갈리게 맛있어요

원래 비빔국수파지만 그날은 동치미가 너무 맛있어서 2번 먹고싶은거 맛있는 고기 먹고 싶어서 참았어요. 고기에서 냄새도 안 나고 파채랑 같이 먹으니 극락. 갠적으로 항정살이랑 양념갈비살이 제일 맛있었습니다. 친구는 안창살이랑 그냥 갈비살이 좋다고했어요 다 맛있어서 뭘 시켜고 실패는×

이 고물가시대에 한줄기 빛입니다 사장님...정말 감사해요ㅠㅠ고기 먹고싶어짐 또 올게요!
접기","음식이 맛있어요, 가성비가 좋아요, 반찬이 잘 나와요, 친절해요, 매장이 청결해요",저녁에 방문
화기애애 본점,5.7.수,1,"목살, 삼겹살, 가브리살 세트메뉴로 구성돼 있어서 가성비 좋게 먹었어요~!! 계란찜, 김치찌개 기본으로 나와서 굿굿👍 고깃집인데 분위기 넘 좋아요❤️","인테리어가 멋져요, 음식이 맛있어요, 고기 질이 좋아요, 양이 많아요",점심에 방문
화기애애 본점,5.24.토,2,"근방에서 가장 조아하는 고깃집입니당 🥰ㅎㅎ
계란찜 김치찌개 서비스+무한이에요.. 계란찜 러버로서 넘 행복합니당
삼겹살 딱 먹고 소갈비 동치미 국스로 마무리해주면 굿..","음식이 맛있어요, 고기 질이 좋아요, 매장이 넓어요, 친절해요, 매장이 청결해요",저녁에 방문
화기애애 본점,6.2.월,8,너무 좋아요 또 이용할께요 고기도 맛있어요 완전 친절하시고 최고에요,"인테리어가 멋져요, 매장이 넓어요, 음식이 맛있어요, 고기 질이 좋아요",저녁에 방문
화기애애 본점,6.2.월,1,"맛있는소고기를 가성비있는가격으로 너무맛있게잘먹구 갑니다!
다음에 소고기먹고싶을때 또 방문할거같아요!!","인테리어가 멋져요, 음식이 맛있어요, 고기 질이 좋아요, 가성비가 좋아요",저녁에 방문
