식당명,작성일,방문횟수,리뷰 내용,리뷰 태그,방문자 유형
회판장 건대점,6.10.화,1,"건대 횟집은 회판장이 최고 ㅎㅎㅎ가성비 좋고 구성이 미쳤어요 .,. 신선한 모듬회랑 해산물 세트가 59,000원이에요 민어,재방어,보리숭어,연어,광어 등 다양한 정류라 다채롭게 먹을 수 있고요 회가 진짜 신선해서 쫀득 탱글 그냥 행복해집니당..😋😋기본으로 나오는 홍합탕도 술에 곁들여 먹기 좋아요 !! 완전 강추합니당

#건대횟집 #건대술집#건대맛집#건대입구역횟집
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 매장이 넓어요, 친절해요",저녁에 방문
회판장 건대점,5.25.일,1,"건대에 제 단골 횟집으로 지정한 건대 “회판장”에 다녀와봤는데요..! 사실 너무 핫플 될까봐 알려주기 싫은데..
그래도 또 유명했으면 좋겠고.. 하는 마음에 리뷰를 써봅니다🥲

일단 가성비,맛,분위기 그냥 다 잡고 있는 건대 횟집 1티어라고 생각합니다. 건대 횟집 거의 다녀봤는데 개인적으로 제일 마음에 드는 횟집이에요

모둠회 한판에 물회, 홍합탕, 특제소스장(명란,된장), 기름장, 초대리밥, 곱창김, 백김치, 고추, 마늘 등 회와 곁들여 먹을 수 있는 소스들은 물론이고 구성이 그냥 알차다 못해 넘치구요

모둠회 한판의 메인인 회는 사장님이 직접 경매장,어판장을 찾아서 산지에서 공수하셔서 숙성과정을 거쳐 온 쫄깃하고 감칠맛 가득인 회에요..🤍
스키다시는 왜인지 정말,, 무한리필에다가 다들 친절하시고 ,,
접기","인테리어가 멋져요, 단체모임 하기 좋아요, 음식이 맛있어요, 가성비가 좋아요, 메뉴 구성이 알차요",저녁에 방문
회판장 건대점,6.6.금,1,"산지에서 공수한 신선한 해산물과 특수 비법으로 잘 숙성 시킨 모금회로 술 한잔하기 좋은 건대입구횟집 !
소주 일병 바로 깔수 있는 홍합탕이 기본~~ 해삼은 꼬둑꼬득, 멍게 향을 가득이라 바다를 옮겨 놓은 듯 신선하고 잿방어를 비롯해 뱃살 등 맛있는 분위기 가득한 숙성회 술이 술술 넘어가는 회판장이였어요. 가성비 좋은 건대 횟집이라 자주 올 것 같아요 !","재료가 신선해요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 청결해요, 매장이 넓어요",점심에 방문
회판장 건대점,6.5.목,1,"건대 회 맛집 회판장!
품질 좋은 숙성회에 구성까지 너무 좋아요👍🏻
저희는 모둠회한판(소) 주문했는데요
쫄깃한 숙성회+새콤달콤 물회+시원한 홍합탕에 맛있는 소스 게다가 김과 초대리밥까지 있어 식사로도 안주로도 훌륭한 메뉴였습니다ㅎㅎ
건대에서 맛있는 안주 찾으신다면 회판장 추천입니다🐟
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 친절해요, 매장이 청결해요",저녁에 방문
회판장 건대점,5.4.일,1,"미역국이 떨어졌다고 기본안주로 멍게를 내어주시는 집이 있다..?
모듬회 구성에 밥, 김, 물회가 포함돼있고
회구성도 양도 최고에요 🥹
최근에 생긴 신상맛집인 것 같은데 대박났으면 좋겠어요..♥️
우선 저는 단골 예약입니다!!!
접기","음식이 맛있어요, 재료가 신선해요, 가성비가 좋아요, 인테리어가 멋져요, 친절해요",저녁에 방문
회판장 건대점,5.17.토,1,"모듬회 한판+해산물세트(소) 59,000원 이거 갓성비예요!!! 회 7가지? 남게 나오는디 숙성회라 부드럽고 대광어 자연산 나와서 놀래미 돼써요♡ 사장님 설명 친절해서 진짜 깜놀!!! 감동 받았구요. 회에 청라 조합 밀어봅니당 ㅋㅋㅋ 너무 배터지겠어요. 해산물에 전복회 나오면 뭐가 남죠?? 진짜 여기 대박인 듯 ㅎㅎㅎ 건대에 이런 회맛집 생긴거 실화냐 싶어요 ㅎㅎ","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요",저녁에 방문
회판장 건대점,5.21.수,1,"이번에 방문한 이 집은 정말 대박이었습니다. 먼저 메인으로 나온 회 정식은 종류가 정말 다양하고, 회가 전부 도톰하면서도 식감이 살아있어요. 신선한 레몬과 무순, 다양한 소스와 함께 먹는 재미도 있고요. 곁들여 나오는 김, 밥, 야채, 장아찌류 구성도 아주 알찼습니다.

특히 두 번째 사진에 있는 얼큰한 해물탕은 국물 맛 매콤하면서도 시원하고 깊은 맛이 나서 밥이랑 같이 먹으면 정말 술술
술술 들어갑니다. 위에 올라간 깻잎과 고추도 향을 더해줘서 아주 만족스러웠어요.
가격 대비 퀄리티도 훌륭하고, 무엇보다 신선도와 정성이 느껴지는 한 상이었습니다. 강력 추천합니다!
#가성비굳 #모듬회 #건대맛집 #영수증 리뷰
접기","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 친절해요, 매장이 청결해요",밤에 방문
회판장 건대점,5.18.일,1,"모둠회 대 사이즈를 주문해서 먹었는데 제철 회들로 구성이 알찼고 종류가 다양해서 좋았어요 💛
회가 신선하고 같이 나오는 물회도 맛있고 같이 나오는 김+초밥밥 으로 초밥을 만들어 먹었는데 너무 맛있었어요 회와 곁들어 먹을 다양한 소스들도 있어서 회를 더 맛있게 즐길 수 있었어요 다음에 또 방문할게요 ! 🧡","재료가 신선해요, 메뉴 구성이 알차요, 차분한 분위기에요",저녁에 방문
회판장 건대점,5.7.수,1,"잿방어부터 점성어, 참돔(껍질 토치짐), 숭어, 농어, 광어까지 숙성회가 하나같이 입에서 녹는 퀄리티였어요. 특히 껍질을 토치로 살짝 그을린 참돔은 고소함이 배가돼서 정말 인상 깊었고, 김이랑 밥에 싸서 먹으니까 풍미가 더 살아났어요. 회 한 점 한 점에 정성이 느껴지고, 신선도와 숙성의 밸런스가 완벽해서 입안이 행복했어요. 진짜 제대로 된 회 즐기고 싶다면 꼭 가봐야 할 곳이에요!",재료가 신선해요,저녁에 방문
회판장 건대점,6.9.월,1,"해산물, 숙성회 세트로 주문하면 물회, 초밥밥, 명란젓 등 한살차림으로 나오는데 정말 알차고 양많고 맛있습니다! 회덮밥도 양 많고 감칠맛 좋아요! 💗","매장이 넓어요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
회판장 건대점,5.10.토,1,"진짜 회가 너무 먹고싶어서
검색 하다가 왔는데,,일단 너무 맛도리
근데 서비스 최고고 밥에 김 등등 기본 반찬 무한리필에
서비스로 나오는 홍합탕 일단 소주 한병 부릅니다
추가로 시킨 회덮밥 퀄리티 미쳤고요
다들 회덮밥도 무조건 추가시키세요ㅠㅠㅠ
전 또올겁니다 번창하세요🫶🏻🍣🐟🎣
접기","매장이 넓어요, 친절해요, 음식이 맛있어요, 반찬이 잘 나와요, 메뉴 구성이 알차요",저녁에 방문
회판장 건대점,5.24.토,1,"방금 다녀온 이 집, 정말 대박이었어요! 회부터 해산물까지 전부 신선함이 입에서 살아 움직이는 느낌이었고, 비주얼도 예술이더라고요. 다양한 생선회가 정갈하게 담겨 있어 눈도 즐겁고, 해산물 모둠도 바다 내음 가득! 함께 나온 밑반찬과 소스들도 정성이 느껴졌고, 전체적으로 균형 잡힌 구성에 감탄했습니다. 신선도, 맛, 비주얼, 서비스 모두 완벽했어요. 회 좋아하신다면 무조건 추천드립니다. 다음에도 꼭 다시 가고 싶은 집이에요!","음식이 맛있어요, 양이 많아요, 재료가 신선해요, 인테리어가 멋져요, 친절해요",밤에 방문
회판장 건대점,5.24.토,1,"건대에 회를 먹을 만한 곳이 없었는데 회판장이 생겼다해서 와봤어요.
입정하니 기본 안주로 홍합탕이 나왔어요. 국물 한숟가락하니 따스한 국물이 너무 좋네요.
메인 요리는 모듬회한판과 해산물 대자로 주문했는데 기대이상으로 푸짐하고 먹음직스러웠어요. 요즘 가성비 따지는데 저말 오길 잘했다 생각하며 회에 소주한잔 하니 주중의 피로가 풀리네요.
자주 와야겠어~~~~^^.
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요, 매장이 청결해요",저녁에 방문
회판장 건대점,6.5.목,1,"친구가 소개해줘서 방문한 곳인데, 깔끔하게 너무 잘 나와서 만족 294₩2929%
결국 2차도 여기서 이어서 하기로 했어요 ㅎㅎ너무 만족스러워용! 재방문의사 잇습니다용!",양이 많아요,저녁에 방문
회판장 건대점,6.10.화,1,너무너무 맛있고 친절하셔서 행복해져요.. 부산사람인데 이집 찐이에요..진심.,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 매장이 넓어요, 친절해요",저녁에 방문
회판장 건대점,5.31.토,1,건대에 있는 횟집 거의 다 가봐서 새로운 곳 가보고 싶어서 왔는데 회도 신선하고 한상차림 구성이 잘 나와서 다음에 또 올거예용!! 분위기도 깔끔한데 이자카야 보다 더 편한 분위기에서 술이 술술 들가서 좋아요~~~,"메뉴 구성이 알차요, 음식이 맛있어요, 친절해요",저녁에 방문
회판장 건대점,6.6.금,2,"저번에도 행복했지만 오늘도 지인방문해서 다들만족!
너무맛있어요❤️","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요",저녁에 방문
회판장 건대점,5.10.토,1,"한판 비주얼도 가성비도 미쳤어여
사람 바글바글한 이유가있었네요...
회 쫀득하고 신선하니 마싯구 활전복부터 멍게해삼소라까지 푸짐해요~~
건대횟집 1등입니댜!!!!개추!!
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 친절해요",저녁에 방문
회판장 건대점,5.15.목,1,"신규술집이라 2차로와봤는데
너무맛있어요
비린내하나안나고
소라너무부드럽고맛있어요
양도많고 사장님맛잘알이신듯 포인트를너무잘아세요
재방문백프로입니다!!
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 매장이 청결해요",저녁에 방문
회판장 건대점,5.15.목,1,"오랜만에 회가먹고싶어지나가다보니
회판장이있어서 들어오니 맛있는메뉴가 많네요
모듬회시키니 싱싱한 홍합탕이같이나오네요
연어물회맛도정말맛있어요
강추입니다~~~^^
접기","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 친절해요",저녁에 방문
회판장 건대점,5.4.일,1,모둠회 너무잘나오고 물회도 최고에요... 상큼시원하니 요즘 계절에 딱이었어요 ㅋㅋ 밥이랑 김같이먹으니 술이 술술 ㅠㅠ잘먹고잘놀다갑니당 또올것 같아요!!,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요",저녁에 방문
회판장 건대점,5.19.월,1,우연치않게 발견해서 왔는데 우선 사장님들이 너무 친절하셔서 기분좋고 기본으로 나오는 탕부터가 넘 맛있습니댱!! 회진짜 신선해용👍🏻,"친절해요, 특별한 메뉴가 있어요, 가성비가 좋아요",저녁에 방문
회판장 건대점,6.3.화,1,신선한 해산물이랑 회가 너무 맛있어요! 가성비도 좋은것 같아요 특히 초대리밥으로 초밥해먹는거 너무맛있고 와사비도 맛있더라고요 ㅎㅎ 물회도 묵은지도 맛있습니다 완전 추천해요,"음식이 맛있어요, 재료가 신선해요, 메뉴 구성이 알차요, 친절해요, 음식이 빨리 나와요",저녁에 방문
회판장 건대점,5.15.목,1,"사장님 하나부터 다 설명해주시고
정말 맛잇습니다...ㅠㅠ 비주얼 도랏멘
지짜 입에서 살살 녹고ㅠㅠㅠㅠㅠ너무 맛잇어여
봄에 아주 맛도리 친구들 다 모엿슴다 감사합니다❤️
접기","음식이 맛있어요, 특별한 메뉴가 있어요, 인테리어가 멋져요, 친절해요, 매장이 청결해요",저녁에 방문
회판장 건대점,5.27.화,1,오픈때부터 맛있게 먹고 있는 건대 성수 맛집입니다. 완전 추천합니다~오늘도 맛있게 먹고 갑니다,"음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 친절해요, 매장이 청결해요",저녁에 방문
회판장 건대점,5.22.목,1,친구와 모임으로 만나서 방문했습니다. 가성비도 좋고 직원분들 너무 친절 하십니다. 건대 모임 회 좋아하시면 적극 추천 합니다.,"음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 매장이 넓어요, 친절해요",저녁에 방문
회판장 건대점,5.24.토,1,회가 넘 도톰하고 맛있어요 ㅠㅠ❤️❤️❤️❤️ 홍합탕도 리필되고 너무 좋네요 !! 👍👍👍👍 재방문의사 백퍼에요 🥺💖,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 인테리어가 멋져요, 친절해요",저녁에 방문
